piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	annotated_key	harmony_version	annotators	reviewers	composed_start	composed_end	composed_source	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	lyricist_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	imslp	musicbrainz	viaf	wikidata	originalFormat	transcriber	typesetter	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument
21-3	1: 2/4, 403: 2/2	1: 0, 176: -3, 313: 0	543	543	1368.0	543	543	1368.0		3626.33	6532	3979	0	0	739	C	2.3.0	Adrian Nagel (2.3.0)	Victor Zheng	1803	1804	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 21 'Waldstein'	3	Rondo: Allegretto moderato - Prestissimo	op.53					2019-03-05	3.02	Apple Macintosh			Sonata no. 21 'Waldstein'	3. Rondo: Allegretto moderato - Prestissimo		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/21-3.mscx	False	29-93 (F1-A6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/fe340921-a4cf-3871-939c-bc2e479cacd2		https://www.wikidata.org/wiki/Q145699	xml			45-93 (A2-A6)	piano	29-79 (F1-G5)	piano
23-1	1: 12/8	1: -4, 68: 0, 91: -4	264	262	1576.5	264	262	1576.5		4265.05	6097	3687	0	0	434	f	2.3.0	Daniel Grote (2.2.0), Hanné Becker (2.3.0)	AN	1804	1805	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 23 ('Appassionata')	1	Allegro assai	op.57					2017-11-26	3.02	Microsoft Windows	http://musescore.com/user/3797871/scores/3542271		Sonata no. 23 ('Appassionata')	1. Allegro assai		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/23-1.mscx	False	29-96 (F1-C7)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/c813b9f9-97c5-3e21-8f99-265c0ecef0b8		https://www.wikidata.org/wiki/Q145699	mxl			36-96 (C2-C7)	Piano	29-89 (F1-F6)	Piano
23-2	1: 2/4	1: -5	102	97	204.0	145	144	290.0	[[[24, 25], [26]], [[34], [35]], [[43], [44]], [[52], [53]]]	634.12	1493	882	0	0	220	Db	2.3.0	Daniel Grote (2.2.0), Adrian Nagel (2.3.0)	Victor Zheng	1804	1805	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 23 ('Appassionata')	2	Andante con moto	op.57					2017-11-26	3.02	Microsoft Windows	http://musescore.com/user/3797871/scores/3542271		Sonata no. 23 ('Appassionata')	2. Andante con moto		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/23-2.mscx	False	30-92 (Gb1-Ab6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/8f061e0c-fd76-36ff-8ea0-5c6671e0a183		https://www.wikidata.org/wiki/Q145699	mxl			48-92 (C3-Ab6)	Piano	30-85 (Gb1-Db6)	Piano
23-3	1: 2/4	1: -4	371	361	742.0	569	562	1138.0	[[[300, 301, 302, 303, 304, 305, 306, 307], [308]], [[323], [324]], [[334], [335]]]	2023.25	4820	2650	0	0	395	f	2.3.0	Daniel Grote (2.2.0), Adrian Nagel (2.3.0)	Victor Zheng	1804	1805	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 23 ('Appassionata')	3	Allegro ma non troppo - Presto	op.57					2017-11-26	3.02	Microsoft Windows	http://musescore.com/user/3797871/scores/3542271		Sonata no. 23 ('Appassionata')	3. Allegro ma non troppo - Presto		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/23-3.mscx	False	29-94 (F1-Bb6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/810e6450-7e87-329d-9739-687406e80dba		https://www.wikidata.org/wiki/Q145699	mxl			42-94 (Gb2-Bb6)	Piano	29-85 (F1-Db6)	Piano
24-1	1: 2/4, 5: 4/4	1: 6	109	105	424.0	207	205	816.0	[[[39, 40], [41]], [[108], [109]]]	1349.75	2142	1216	0	0	286	F#	2.3.0	Adrian Nagel (2.2.0), Hanné Becker (2.3.0)	AN	1809	1809	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 24	1	Adagio cantabile - Allegro ma non broppo	op.78					2019-03-05	3.02	Apple Macintosh			Sonata no. 24	1. Adagio cantabile - Allegro ma non broppo		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/24-1.mscx	False	30-92 (F#1-G#6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/db69f268-01ba-35ef-a151-39dff04e7fff		https://www.wikidata.org/wiki/Q146631	xml			53-92 (E#3-G#6)	piano	30-78 (F#1-F#5)	piano
24-2	1: 2/4	1: 6	183	183	370.5	183	183	370.5		792.5	1813	1140	0	0	317	F#	2.3.0	Adrian Nagel (2.3.0)	Victor Zheng	1809	1809	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 24	2	Allegro vivace	op.78					2019-03-05	3.02	Apple Macintosh			Sonata no. 24	2. Allegro vivace		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/24-2.mscx	False	30-94 (F#1-A#6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/d3ad3708-019b-36bb-a99e-80b1f3e97482		https://www.wikidata.org/wiki/Q146631	xml			44-94 (G#2-A#6)	piano	30-93 (F#1-A6)	piano
26-1	1: 2/4, 17: 2/2	1: -3	257	255	996.0	308	307	1200.0	[[[68, 69], [70, 71]]]	3049.92	2681	1386	0	0	537	Eb	2.3.0	Adrian Nagel (2.2.0), John Heilig (2.3.0)	AN	1809	1810	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 26 'Les Adieux'	1	Das Lebewohl: Adagio - Allegro	op.81a					2019-03-05	3.02	Apple Macintosh			Sonata no. 26 'Les Adieux'	1. Das Lebewohl: Adagio - Allegro		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/26-1.mscx	False	29-96 (F1-C7)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/c77882db-f275-394f-a59c-7f37061d240f		https://www.wikidata.org/wiki/Q145699	xml			46-96 (Bb2-C7)	piano	29-82 (F1-Bb5)	piano
26-2	1: 2/4	1: -3	42	42	84.0	42	42	84.0		268.0	867	440	0	0	127	Eb	2.3.0	Adrian Nagel (2.2.0), Amelia Brey (2.3.0)	AB, Victor Zheng	1809	1810	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 26 'Les Adieux'	2	Abwesenheit: Andante espressivo	op.81a					2019-03-05	3.02	Apple Macintosh			Sonata no. 26 'Les Adieux'	2. Abwesenheit: Andante espressivo		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/26-2.mscx	False	29-92 (F1-Ab6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/a6e3a8dd-affd-3e3f-9924-21ade3626e8e		https://www.wikidata.org/wiki/Q145699	xml			55-92 (G3-Ab6)		29-69 (F1-A4)	
26-3	1: 6/8	1: -3	197	196	591.0	267	267	801.0	[[[81], [82]]]	1824.75	3861	1853	0	0	317	Eb	2.3.0	Adrian Nagel (2.3.0)	VZ	1809	1810	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 26 'Les Adieux'	3	Das Wiedersehen: Vivacissimamente	op.81a					2019-03-05	3.02	Apple Macintosh			Sonata no. 26 'Les Adieux'	3. Das Wiedersehen: Vivacissimamente		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/26-3.mscx	False	29-101 (F1-F7)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/f0ef7021-e61e-331d-9322-2925bf1d2f9a		https://www.wikidata.org/wiki/Q145699	xml			46-101 (Bb2-F7)	piano	29-82 (F1-Bb5)	piano
29-1	1: 2/2	1: -2, 46: 1, 137: -3, 200: 0, 208: 2, 221: 5, 234: -2, 274: 2, 280: -2	412	405	1644.0	532	530	2120.5	[[[121, 122, 123, 124, 125, 126], [127, 128, 129, 130]]]	5464.0	6091	2695	0	0	0					1817	1818	Wikidata	Ludwig van Beethoven	Sonata no. 29 (‘Hammerklavier’)	1	Allegro	op.106					2018-02-02	3.02	Apple Macintosh	https://musescore.com/user/27102911/scores/5227209		Sonata no. 29 (‘Hammerklavier’)	1. Allegro		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/29-1.mscx	False	29-96 (F1-C7)	https://imslp.org/wiki/Piano_Sonata_No.29,_Op.106_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/80cbaf7b-a1da-3fc5-b650-6eb72a803980	https://viaf.org/viaf/186299955	https://www.wikidata.org/wiki/Q146730			https://musescore.com/user/27102911	42-96 (F#2-C7)	Piano	29-91 (F1-G6)	Piano
29-2	1: 3/4, 83: 2/4, 116: 3/4, 172: 2/2, 176: 3/4	1: -2, 48: -5, 109: -2, 172: 0, 176: -2	179	175	516.0	179	175	516.0		1416.83	1895	830	0	0	0					1817	1818	Wikidata	Ludwig van Beethoven	Sonata no. 29 (‘Hammerklavier’)	2	Scherzo. Assai vivace	op.106					2018-02-02	3.02	Apple Macintosh	https://musescore.com/user/27102911/scores/5227209		Sonata no. 29 (‘Hammerklavier’)	2. Scherzo. Assai vivace		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/29-2.mscx	False	29-94 (F1-Bb6)	https://imslp.org/wiki/Piano_Sonata_No.29,_Op.106_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/7813c9cf-6054-3ef3-b9ed-8ae4690581c9	https://viaf.org/viaf/186299955	https://www.wikidata.org/wiki/Q146730			https://musescore.com/user/27102911	33-94 (A1-Bb6)	Piano	29-88 (F1-E6)	Piano
29-3	1: 6/8	1: 3, 41: 2, 73: 3, 76: -3, 81: 0, 85: 3, 125: 6, 157: 1, 164: 2, 166: 3	187	187	561.0	187	187	561.0		2323.67	5188	2191	0	0	0					1817	1818	Wikidata	Ludwig van Beethoven	Sonata no. 29 (‘Hammerklavier’)	3	Adagio sostenuto	op.106					2018-02-02	3.02	Apple Macintosh	https://musescore.com/user/27102911/scores/5227209		Sonata no. 29 (‘Hammerklavier’)	3. Adagio sostenuto		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/29-3.mscx	False	25-95 (C#1-B6)	https://imslp.org/wiki/Piano_Sonata_No.29,_Op.106_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/7d110747-f011-41d4-9ce5-a1fad9abed2f	https://viaf.org/viaf/186299955	https://www.wikidata.org/wiki/Q146730			https://musescore.com/user/27102911	30-95 (F#1-B6)	Piano	25-82 (C#1-Bb5)	Piano
29-4	1: 4/4, 18: 3/4	1: -2, 4: 5, 12: 3, 15: 0, 17: -2, 60: -4, 92: -6, 118: -5, 131: -4, 157: 2, 212: 1, 237: -3, 253: -1, 257: 2, 286: -2	407	400	1237.25	407	400	1237.25		3373.54	6706	3929	0	0	0					1817	1818	Wikidata	Ludwig van Beethoven	Sonata no. 29 (‘Hammerklavier’)	4	Introduzione. Largo	op.106					2018-02-02	3.02	Apple Macintosh	https://musescore.com/user/27102911/scores/5227209		Sonata no. 29 (‘Hammerklavier’)	4. Introduzione. Largo		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/29-4.mscx	False	24-94 (C1-Bb6)	https://imslp.org/wiki/Piano_Sonata_No.29,_Op.106_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/cfa82cd6-bcb5-39dd-9beb-c98e275c7c84	https://viaf.org/viaf/186299955	https://www.wikidata.org/wiki/Q146730			https://musescore.com/user/27102911	40-94 (E2-Bb6)	Piano	24-80 (C1-Ab5)	Piano
30-1	1: 2/4, 10: 3/4, 17: 2/4, 60: 3/4, 69: 2/4	1: 4, 63: 0, 65: 4	103	99	218.0	103	99	218.0		695.0	1553	975	0	0	252	E	2.3.0	Adrian Nagel (2.2.0), Amelia Brey (2.3.0)	AB, AN	1820	1820	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 30	1	Vivace ma non troppo - Adagio espressivo	op.109					2019-03-05	3.02	Apple Macintosh			Sonata no. 30	1. Vivace ma non troppo - Adagio espressivo		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/30-1.mscx	False	27-95 (D#1-B6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/9cb1817a-12b0-3717-aa38-7cd6b57fc4f7	https://viaf.org/viaf/179823640	https://www.wikidata.org/wiki/Q145699	xml			40-95 (E2-B6)	piano	27-95 (D#1-B6)	piano
30-2	1: 6/8	1: 1	177	177	531.0	177	177	531.0		1551.5	1464	793	0	0	320	e	2.3.0	Adrian Nagel (2.3.0)	Victor Zheng	1820	1820	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 30	2	Prestissimo	op.109					2019-03-05	3.02	Apple Macintosh			Sonata no. 30	2. Prestissimo		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/30-2.mscx	False	28-93 (E1-A6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/de44b358-aaa8-3b1f-8585-cea2c572af7a	https://viaf.org/viaf/179823640	https://www.wikidata.org/wiki/Q145699	xml			43-93 (G2-A6)	piano	28-76 (E1-E5)	piano
30-3	1: 3/4, 68: 2/4, 100: 9/8, 120: 2/2, 160: 3/4, 164: 9/8, 168: 3/4	1: 4	211	203	673.5	252	248	814.5	[[[24], [25]], [[33, 34], [35]], [[107, 108], [109, 110]], [[117, 118], [119]]]	2061.96	4118	2135	0	0	656	E	2.3.0	Adrian Nagel (2.3.0)	Victor Zheng	1820	1820	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 30	3	Gesangvoll, mit innigster Empfindung: Andante molto cantabile ed espressivo	op.109					2020-04-29	3.02	Linux			Sonata no. 30	3. Gesangvoll, mit innigster Empfindung: Andante molto cantabile ed espressivo		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/30-3.mscx	False	30-95 (F#1-B6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/5e34dd23-fe25-3f7f-9762-ac128c7b26eb	https://viaf.org/viaf/179823640	https://www.wikidata.org/wiki/Q145699	xml			47-95 (B2-B6)		30-84 (F#1-C6)	
31-1	1: 3/4	1: -4, 69: 4, 78: -4	116	116	348.0	116	116	348.0		1107.25	2706	1524	0	0	339	Ab	2.3.0	Adrian Nagel (2.2.0), John Heilig (2.3.0)	AN	1821	1822	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 31	1	Moderato cantabile molto espressivo	op.110					2019-03-05	3.02	Apple Macintosh			Sonata no. 31	1. Moderato cantabile molto espressivo		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/31-1.mscx	False	29-94 (F1-Bb6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/5102b059-2457-30a8-8013-d45acf9ed266	https://viaf.org/viaf/179823640	https://www.wikidata.org/wiki/Q145699	xml			36-94 (C2-Bb6)		29-80 (F1-Ab5)	
31-2	1: 2/4	1: -4, 43: -5, 98: -4	162	158	324.0	230	228	460.0	[[[40, 41], [42]], [[145, 146], [147]]]	977.0	926	399	0	0	201	f	2.3.0	Adrian Nagel, Victor Zheng (2.3.0)	AN	1821	1822	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 31	2	Allegro molto	op.110					2019-03-05	3.02	Apple Macintosh			Sonata no. 31	2. Allegro molto		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/31-2.mscx	False	29-94 (F1-Bb6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/e83b7804-7b03-37f9-bfed-f8ab96a49e85	https://viaf.org/viaf/179823640	https://www.wikidata.org/wiki/Q145699	xml			49-94 (Db3-Bb6)	piano	29-90 (F1-Gb6)	piano
31-3	1: 4/4, 9: 12/16, 29: 6/8, 117: 12/16, 140: 6/8	1: -5, 5: 4, 7: -6, 29: -4, 119: -2, 140: 1, 157: -2, 178: -4	217	212	651.0	217	212	651.0		2064.62	3808	1791	0	0	644	Ab	2.3.0	Adrian Nagel (2.2.0), Victor Zheng (2.3.0)	AN	1821	1822	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 31	3	Adagio ma non troppo - Allegro ma non troppo	op.110					2019-03-05	3.02	Apple Macintosh			Sonata no. 31	3. Adagio ma non troppo - Allegro ma non troppo		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/31-3.mscx	False	24-92 (C1-Ab6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/989195d3-99b5-35f2-b296-9cc3979f14e0	https://viaf.org/viaf/179823640	https://www.wikidata.org/wiki/Q145699	xml			44-92 (Ab2-Ab6)		24-75 (C1-Eb5)	
32-1	1: 4/4	1: -3, 45: -4, 74: -2, 89: -3	160	157	636.12	210	207	836.12	[[[70], [71]]]	1970.58	4024	1972	0	0	576	c	2.3.0	Adrian Nagel (2.2.0), Amelia Brey (2.3.0)	AB, AN	1821	1822	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 32	1	Maestoso - Allegro con brio ed appassionato	op.111					2019-03-05	3.02	Apple Macintosh			Sonata no. 32	1. Maestoso - Allegro con brio ed appassionato		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/32-1.mscx	False	24-96 (C1-C7)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/88fb51a0-8dac-365d-8e00-055aa97f4d43	https://viaf.org/viaf/179823640	https://www.wikidata.org/wiki/Q145699	xml			29-96 (F1-C7)	piano	24-89 (C1-F6)	piano
32-2	1: 9/16, 40: 6/16, 59: 12/32, 78: 9/16	1: 0, 130: -3, 144: 0	191	177	389.25	235	225	469.5	[[[9], [10]], [[18], [19]], [[27], [28]], [[37, 38], [39]], [[48], [49]], [[57], [58]], [[67], [68]], [[76], [77]]]	1196.0	5717	3315	0	0	869	C	2.3.0	Adrian Nagel (2.2.0), Victor Zheng (2.3.0)	AN	1821	1822	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 32	2	Arietta: Adagio molto semplice e cantabile	op.111					2019-03-05	3.02	Apple Macintosh			Sonata no. 32	2. Arietta: Adagio molto semplice e cantabile		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/32-2.mscx	False	26-94 (D1-Bb6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/607559e1-ac3d-36af-8abc-f9a1756330b6	https://viaf.org/viaf/179823640	https://www.wikidata.org/wiki/Q145699	xml			31-94 (G1-Bb6)		26-89 (D1-F6)	
