mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
149	147	0	0	4/4	2	1	V65		D	iv		V65		V		65						Mm7	0	1	5, 2, -1, 1		1	5
149	147	1/2	1/2	4/4	2	1	IV6(+2)		D	iv		IV6(+2)		IV		6	+2					M	0	1	3, 0, -1	1	-1	3
150	148	0	0	4/4	2	1	V65		D	iv		V65		V		65						Mm7	0	1	5, 2, -1, 1		1	5
150	148	1/2	1/2	4/4	2	1	V7		D	iv		V7		V		7						Mm7	0	1	1, 5, 2, -1		1	1
151	149	0	0	4/4	2	1	i|IAC}		D	iv		i		i						IAC	}	m	0	1	0, -3, 1		0	0
151	149	3/4	3/4	4/4	2	1	{		D	iv											{		0	1				
156	154	0	0	4/4	2	1	bII.V43		D	bII		V43		V		43						Mm7	0	0	2, -1, 1, 5		1	2
156	154	1/2	1/2	4/4	2	1	V65(4)		D	bII		V65(4)		V		65	4					Mm7	0	0	0, 2, -1, 1		1	0
157	155	0	0	4/4	2	1	V65		D	bII		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
157	155	1/2	1/2	4/4	2	1	V65(^2)		D	bII		V65(^2)		V		65	^2					Mm7	0	0	3, 2, -1, 1		1	3
158	156	0	0	4/4	2	1	V65		D	bII		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
158	156	1/2	1/2	4/4	2	1	V7		D	bII		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
159	157	0	0	4/4	2	1	I|IAC}		D	bII		I		I						IAC	}	M	0	0	0, 4, 1		0	0
159	157	3/4	3/4	4/4	2	1	{		D	bII											{		0	0				
163	161	0	0	4/4	2	1	i.V65		D	i		V65		V		65						Mm7	0	1	5, 2, -1, 1		1	5
165	163	0	0	4/4	2	1	i		D	i		i		i								m	0	1	0, -3, 1		0	0
167	165	0	0	4/4	2	1	It6		D	i		It6	It	vii	o	6	b3	V				It	0	1	-4, 0, 6		6	-4
169	167	0	0	4/4	2	1	V|HC}		D	i		V		V						HC	}	M	0	1	1, 5, 2		1	1
171	169	0	0	4/4	2	1	V(64)		D	i		V(64)		V			64					M	0	1	1, 0, -3		1	1
173	171	0	0	4/4	2	1	V		D	i		V		V								M	0	1	1, 5, 2		1	1
175	173	0	0	4/4	2	1	V(64)		D	i		V(64)		V			64					M	0	1	1, 0, -3		1	1
177	175	0	0	4/4	2	1	V		D	i		V		V								M	0	1	1, 5, 2		1	1
179	177	0	0	4/4	2	1	IV6		D	i		IV6		IV		6						M	0	1	3, 0, -1		-1	3
181	179	0	0	4/4	2	1	V65|HC}		D	i		V65		V		65				HC	}	Mm7	0	1	5, 2, -1, 1		1	5
185	183	3/4	3/4	4/4	2	1	I{		D	i		I		I							{	M	0	1	0, 4, 1		0	0
186	184	0	0	4/4	2	1	V6		D	i		V6		V		6						M	0	1	5, 2, 1		1	5
187	185	0	0	4/4	2	1	I		D	i		I		I								M	0	1	0, 4, 1		0	0
187	185	1/2	1/2	4/4	2	1	V		D	i		V		V								M	0	1	1, 5, 2		1	1
188	186	0	0	4/4	2	1	I		D	i		I		I								M	0	1	0, 4, 1		0	0
189	187	0	0	4/4	2	1	V|HC}		D	i		V		V						HC	}	M	0	1	1, 5, 2		1	1
189	187	3/4	3/4	4/4	2	1	I6{		D	i		I6		I		6					{	M	0	1	4, 1, 0		0	4
190	188	0	0	4/4	2	1	viio6		D	i		viio6		vii	o	6						o	0	1	-5, -8, -2		-2	-5
190	188	1/4	1/4	4/4	2	1	vi6		D	i		vi6		vi		6						m	0	1	-7, -3, -4		-4	-7
190	188	1/2	1/2	4/4	2	1	V6		D	i		V6		V		6						M	0	1	5, 2, 1		1	5
190	188	3/4	3/4	4/4	2	1	vi65		D	i		vi65		vi		65						mm7	0	1	-7, -3, -6, -4		-4	-7
191	189	0	0	4/4	2	1	V6		D	i		V6		V		6						M	0	1	5, 2, 1		1	5
191	189	1/4	1/4	4/4	2	1	IV6(+2)		D	i		IV6(+2)		IV		6	+2					M	0	1	3, 0, -1	1	-1	3
191	189	1/2	1/2	4/4	2	1	iii6		D	i		iii6		iii		6						m	0	1	-6, -2, -3		-3	-6
191	189	3/4	3/4	4/4	2	1	IV6		D	i		IV6		IV		6						M	0	1	3, 0, -1		-1	3
192	190	0	0	4/4	2	1	iii6		D	i		iii6		iii		6						m	0	1	-6, -2, -3		-3	-6
192	190	1/4	1/4	4/4	2	1	ii6		D	i		ii6		ii		6						m	0	1	-1, 3, 2		2	-1
192	190	1/2	1/2	4/4	2	1	I6		D	i		I6		I		6						M	0	1	4, 1, 0		0	4
192	190	3/4	3/4	4/4	2	1	ii65		D	i		ii65		ii		65						mm7	0	1	-1, 3, 0, 2		2	-1
193	191	0	0	4/4	2	1	I6		D	i		I6		I		6						M	0	1	4, 1, 0		0	4
193	191	1/4	1/4	4/4	2	1	viio6		D	i		viio6		vii	o	6						o	0	1	-5, -8, -2		-2	-5
193	191	3/4	3/4	4/4	2	1	#viio/ii		D	i		#viio/ii		#vii	o			ii				o	0	1	7, 4, 1		7	7
194	192	1/4	1/4	4/4	2	1	ii6		D	i		ii6		ii		6						m	0	1	-1, 3, 2		2	-1
194	192	1/2	1/2	4/4	2	1	V7		D	i		V7		V		7						Mm7	0	1	1, 5, 2, -1		1	1
195	193	0	0	4/4	2	1	I|PAC}		D	i		I		I						PAC	}	M	0	1	0, 4, 1		0	0
195	193	3/4	3/4	4/4	2	1	I6{		D	i		I6		I		6					{	M	0	1	4, 1, 0		0	4
196	194	0	0	4/4	2	1	viio6		D	i		viio6		vii	o	6						o	0	1	-5, -8, -2		-2	-5
196	194	1/4	1/4	4/4	2	1	vi6		D	i		vi6		vi		6						m	0	1	-7, -3, -4		-4	-7
196	194	1/2	1/2	4/4	2	1	V6		D	i		V6		V		6						M	0	1	5, 2, 1		1	5
196	194	3/4	3/4	4/4	2	1	V[vi6		D	i	V	vi6		vi		6						m	0	1	-7, -3, -4		-4	-7
197	195	0	0	4/4	2	1	V6		D	i		V6		V		6						M	0	1	5, 2, 1		1	5
197	195	1/4	1/4	4/4	2	1	IV6		D	i		IV6		IV		6						M	0	1	3, 0, -1		-1	3
197	195	1/2	1/2	4/4	2	1	iii6		D	i		iii6		iii		6						m	0	1	-6, -2, -3		-3	-6
197	195	3/4	3/4	4/4	2	1	IV6		D	i		IV6		IV		6						M	0	1	3, 0, -1		-1	3
198	196	0	0	4/4	2	1	iii6		D	i		iii6		iii		6						m	0	1	-6, -2, -3		-3	-6
198	196	1/4	1/4	4/4	2	1	ii6		D	i		ii6		ii		6						m	0	1	-1, 3, 2		2	-1
198	196	1/2	1/2	4/4	2	1	ii.#viio6]		D	ii		#viio6		#vii	o	6			]			o	0	1	2, -1, 5		5	2
198	196	3/4	3/4	4/4	2	1	viio7/V		D	ii		viio7/V		vii	o	7		V				o7	0	1	6, 3, 0, -3		6	6
199	197	3/4	3/4	4/4	2	1	V(64)		D	ii		V(64)		V			64					M	0	1	1, 0, -3		1	1
200	198	1/4	1/4	4/4	2	1	V		D	ii		V		V								M	0	1	1, 5, 2		1	1
200	198	1/2	1/2	4/4	2	1	V(64)		D	ii		V(64)		V			64					M	0	1	1, 0, -3		1	1
200	198	3/4	3/4	4/4	2	1	VI		D	ii		VI		VI								M	0	1	-4, 0, -3		-4	-4
201	199	3/4	3/4	4/4	2	1	#viio2		D	ii		#viio2		#vii	o	2						o7	0	1	-4, 5, 2, -1		5	-4
202	200	0	0	4/4	2	1	viio6/V		D	ii		viio6/V		vii	o	6		V				o	0	1	3, 0, 6		6	3
203	201	0	0	4/4	2	1	V[V7		D	ii	V	V7		V		7						Mm7	0	1	1, 5, 2, -1		1	1
203	201	3/4	3/4	4/4	2	1	i		D	ii		i		i								m	0	1	0, -3, 1		0	0
204	202	0	0	4/4	2	1	V7		D	ii		V7		V		7						Mm7	0	1	1, 5, 2, -1		1	1
204	202	3/4	3/4	4/4	2	1	i		D	ii		i		i								m	0	1	0, -3, 1		0	0
205	203	0	0	4/4	2	1	V]|HC}		D	ii		V		V					]	HC	}	M	0	1	1, 5, 2		1	1
206	204	3/4	3/4	4/4	2	1	{		D	ii											{		0	1				
207	205	0	0	4/4	2	1	i		D	ii		i		i								m	0	1	0, -3, 1		0	0
207	205	1/2	1/2	4/4	2	1	V6		D	ii		V6		V		6						M	0	1	5, 2, 1		1	5
208	206	0	0	4/4	2	1	i		D	ii		i		i								m	0	1	0, -3, 1		0	0
209	207	0	0	4/4	2	1	V[V7		D	ii	V	V7		V		7						Mm7	0	1	1, 5, 2, -1		1	1
209	207	1/2	1/2	4/4	2	1	i		D	ii		i		i								m	0	1	0, -3, 1		0	0
210	208	0	0	4/4	2	1	V]		D	ii		V		V					]			M	0	1	1, 5, 2		1	1
210	208	1/2	1/2	4/4	2	1	V43		D	ii		V43		V		43						Mm7	0	1	2, -1, 1, 5		1	2
211	209	0	0	4/4	2	1	i		D	ii		i		i								m	0	1	0, -3, 1		0	0
211	209	1/2	1/2	4/4	2	1	V6		D	ii		V6		V		6						M	0	1	5, 2, 1		1	5
212	210	0	0	4/4	2	1	i		D	ii		i		i								m	0	1	0, -3, 1		0	0
212	210	1/2	1/2	4/4	2	1	i6		D	ii		i6		i		6						m	0	1	-3, 1, 0		0	-3
213	211	0	0	4/4	2	1	v.V(64)		D	v		V(64)		V			64					M	0	1	1, 0, -3		1	1
213	211	1/2	1/2	4/4	2	1	V		D	v		V		V								M	0	1	1, 5, 2		1	1
214	212	0	0	4/4	2	1	i|PAC}		D	v		i		i						PAC	}	m	0	1	0, -3, 1		0	0
214	212	3/4	3/4	4/4	2	1	V[V7{		D	v	V	V7		V		7					{	Mm7	0	1	1, 5, 2, -1		1	1
215	213	1/2	1/2	4/4	2	1	i		D	v		i		i								m	0	1	0, -3, 1		0	0
216	214	0	0	4/4	2	1	V7]		D	v		V7		V		7			]			Mm7	0	1	1, 5, 2, -1		1	1
217	215	0	0	4/4	2	1	i		D	v		i		i								m	0	1	0, -3, 1		0	0
217	215	1/2	1/2	4/4	2	1	#viio6		D	v		#viio6		#vii	o	6						o	0	1	2, -1, 5		5	2
218	216	0	0	4/4	2	1	i6	I.I	D	v		i6		i		6						m	0	1	-3, 1, 0		0	-3
219	217	0	0	4/4	2	1	V[V7		D	v	V	V7		V		7						Mm7	0	1	1, 5, 2, -1		1	1
219	217	1/2	1/2	4/4	2	1	I		D	v		I		I								M	0	1	0, 4, 1		0	0
220	218	0	0	4/4	2	1	V7]		D	v		V7		V		7			]			Mm7	0	1	1, 5, 2, -1		1	1
221	219	0	0	4/4	2	1	I		D	v		I		I								M	0	1	0, 4, 1		0	0
221	219	1/2	1/2	4/4	2	1	viio6		D	v		viio6		vii	o	6						o	0	1	-5, -8, -2		-2	-5
222	220	0	0	4/4	2	1	I6		D	v		I6		I		6						M	0	1	4, 1, 0		0	4
223	221	0	0	4/4	2	1	IV		D	v		IV		IV								M	0	1	-1, 3, 0		-1	-1
224	222	0	0	4/4	2	1	V64		D	v		V64		V		64						M	0	1	2, 1, 5		1	2
224	222	3/4	3/4	4/4	2	1	I		D	v		I		I								M	0	1	0, 4, 1		0	0
225	223	0	0	4/4	2	1	V7		D	v		V7		V		7						Mm7	0	1	1, 5, 2, -1		1	1
226	224	0	0	4/4	2	1	I		D	v		I		I								M	0	1	0, 4, 1		0	0
227	225	0	0	4/4	2	1	viio6/V		D	v		viio6/V		vii	o	6		V				o	0	1	3, 0, 6		6	3
229	227	0	0	4/4	2	1	V		D	v		V		V								M	0	1	1, 5, 2		1	1
230	228	0	0	4/4	2	1	V7		D	v		V7		V		7						Mm7	0	1	1, 5, 2, -1		1	1
230	228	1/2	1/2	4/4	2	1	V2		D	v		V2		V		2						Mm7	0	1	-1, 1, 5, 2		1	-1
231	229	0	0	4/4	2	1	I6		D	v		I6		I		6						M	0	1	4, 1, 0		0	4
232	230	0	0	4/4	2	1	IV		D	v		IV		IV								M	0	1	-1, 3, 0		-1	-1
232	230	1/2	1/2	4/4	2	1	viio/V		D	v		viio/V		vii	o			V				o	0	1	6, 3, 0		6	6
233	231	0	0	4/4	2	1	V(64)		D	v		V(64)		V			64					M	0	1	1, 0, -3		1	1
234	232	1/2	1/2	4/4	2	1	V		D	v		V		V								M	0	1	1, 5, 2		1	1
235	233	0	0	4/4	2	1	I|PAC}		D	v		I		I						PAC	}	M	0	1	0, 4, 1		0	0
235	233	1/2	1/2	4/4	2	1	{		D	v											{		0	1				
236	234	0	0	4/4	2	1	V7		D	v		V7		V		7						Mm7	0	1	1, 5, 2, -1		1	1
236	234	1/2	1/2	4/4	2	1	I		D	v		I		I								M	0	1	0, 4, 1		0	0
237	235	0	0	4/4	2	1	V		D	v		V		V								M	0	1	1, 5, 2		1	1
237	235	1/2	1/2	4/4	2	1	I		D	v		I		I								M	0	1	0, 4, 1		0	0
238	236	0	0	4/4	2	1	V7		D	v		V7		V		7						Mm7	0	1	1, 5, 2, -1		1	1
238	236	1/2	1/2	4/4	2	1	I6		D	v		I6		I		6						M	0	1	4, 1, 0		0	4
239	237	0	0	4/4	2	1	I		D	v		I		I								M	0	1	0, 4, 1		0	0
239	237	1/2	1/2	4/4	2	1	vi	IV6	D	v		vi		vi								m	0	1	-4, -7, -3		-4	-4
240	238	0	0	4/4	2	1	IV	ii6	D	v		IV		IV								M	0	1	-1, 3, 0		-1	-1
240	238	1/2	1/2	4/4	2	1	viio/V	V6/V	D	v		viio/V		vii	o			V				o	0	1	6, 3, 0		6	6
241	239	0	0	4/4	2	1	V		D	v		V		V								M	0	1	1, 5, 2		1	1
241	239	1/2	1/2	4/4	2	1	viio	V6	D	v		viio		vii	o							o	0	1	-2, -5, -8		-2	-2
242	240	0	0	4/4	2	1	I|PAC}		D	v		I		I						PAC	}	M	0	1	0, 4, 1		0	0
242	240	1/2	1/2	4/4	2	1	i{		D	v		i		i							{	m	0	1	0, -3, 1		0	0
243	241	0	0	4/4	2	1	V7		D	v		V7		V		7						Mm7	0	1	1, 5, 2, -1		1	1
243	241	1/2	1/2	4/4	2	1	i		D	v		i		i								m	0	1	0, -3, 1		0	0
244	242	0	0	4/4	2	1	V		D	v		V		V								M	0	1	1, 5, 2		1	1
244	242	1/2	1/2	4/4	2	1	i		D	v		i		i								m	0	1	0, -3, 1		0	0
245	243	0	0	4/4	2	1	V7		D	v		V7		V		7						Mm7	0	1	1, 5, 2, -1		1	1
245	243	1/2	1/2	4/4	2	1	i6		D	v		i6		i		6						m	0	1	-3, 1, 0		0	-3
246	244	0	0	4/4	2	1	i		D	v		i		i								m	0	1	0, -3, 1		0	0
246	244	1/2	1/2	4/4	2	1	bVI	iv6	D	v		bVI		bVI								M	0	1	-11, -7, -10		-11	-11
247	245	0	0	4/4	2	1	iv	iio6	D	v		iv		iv								m	0	1	-1, -4, 0		-1	-1
247	245	1/2	1/2	4/4	2	1	iio	#viio6	D	v		iio		ii	o							o	0	1	2, -1, -4		2	2
248	246	0	0	4/4	2	1	#viio|HC}	V6|HC}	D	v		#viio		#vii	o					HC	}	o	0	1	5, 2, -1		5	5
249	247	3/4	3/4	4/4	2	1	I{		D	v		I		I							{	M	0	1	0, 4, 1		0	0
250	248	0	0	4/4	2	1	V65		D	v		V65		V		65						Mm7	0	1	5, 2, -1, 1		1	5
250	248	3/4	3/4	4/4	2	1	I		D	v		I		I								M	0	1	0, 4, 1		0	0
251	249	0	0	4/4	2	1	V65		D	v		V65		V		65						Mm7	0	1	5, 2, -1, 1		1	5
251	249	3/4	3/4	4/4	2	1	I		D	v		I		I								M	0	1	0, 4, 1		0	0
252	250	0	0	4/4	2	1	ii65		D	v		ii65		ii		65						mm7	0	1	-1, 3, 0, 2		2	-1
252	250	1/4	1/4	4/4	2	1	V65/V		D	v		V65/V		V		65		V				Mm7	0	1	6, 3, 0, 2		2	6
252	250	1/2	1/2	4/4	2	1	V		D	v		V		V								M	0	1	1, 5, 2		1	1
253	251	0	0	4/4	2	1	I|IAC}		D	v		I		I						IAC	}	M	0	1	0, 4, 1		0	0
253	251	3/4	3/4	4/4	2	1	{		D	v											{		0	1				
254	252	0	0	4/4	2	1	V65		D	v		V65		V		65						Mm7	0	1	5, 2, -1, 1		1	5
254	252	3/4	3/4	4/4	2	1	I		D	v		I		I								M	0	1	0, 4, 1		0	0
255	253	0	0	4/4	2	1	V65		D	v		V65		V		65						Mm7	0	1	5, 2, -1, 1		1	5
255	253	3/4	3/4	4/4	2	1	V2/IV		D	v		V2/IV		V		2		IV				Mm7	0	1	-2, 0, 4, 1		0	-2
256	254	0	0	4/4	2	1	I6/IV		D	v		I6/IV		I		6		IV				M	0	1	3, 0, -1		-1	3
256	254	3/4	3/4	4/4	2	1	V2/IV		D	v		V2/IV		V		2		IV				Mm7	0	1	-2, 0, 4, 1		0	-2
257	255	0	0	4/4	2	1	I6/IV		D	v		I6/IV		I		6		IV				M	0	1	3, 0, -1		-1	3
257	255	3/4	3/4	4/4	2	1	V2/bIII		D	v		V2/bIII		V		2		bIII				Mm7	0	1	-11, -9, -5, -8		-9	-11
258	256	0	0	4/4	2	1	I6/bIII		D	v		I6/bIII		I		6		bIII				M	0	1	-6, -9, -10		-10	-6
258	256	3/4	3/4	4/4	2	1	V2/bIII		D	v		V2/bIII		V		2		bIII				Mm7	0	1	-11, -9, -5, -8		-9	-11
259	257	0	0	4/4	2	1	I6/bIII		D	v		I6/bIII		I		6		bIII				M	0	1	-6, -9, -10		-10	-6
259	257	3/4	3/4	4/4	2	1	V65/bIII		D	v		V65/bIII		V		65		bIII				Mm7	0	1	-5, -8, -11, -9		-9	-5
260	258	0	0	4/4	2	1	I/bIII		D	v		I/bIII		I				bIII				M	0	1	-10, -6, -9		-10	-10
260	258	3/4	3/4	4/4	2	1	V2/bIII		D	v		V2/bIII		V		2		bIII				Mm7	0	1	-11, -9, -5, -8		-9	-11
261	259	0	0	4/4	2	1	I6/bIII		D	v		I6/bIII		I		6		bIII				M	0	1	-6, -9, -10		-10	-6
261	259	3/4	3/4	4/4	2	1	V2/iv		D	v		V2/iv		V		2		iv				Mm7	0	1	-2, 0, 4, 1		0	-2
262	260	0	0	4/4	2	1	i6/iv		D	v		i6/iv		i		6		iv				m	0	1	-4, 0, -1		-1	-4
262	260	3/4	3/4	4/4	2	1	V2/iv		D	v		V2/iv		V		2		iv				Mm7	0	1	-2, 0, 4, 1		0	-2
263	261	0	0	4/4	2	1	i6/iv		D	v		i6/iv		i		6		iv				m	0	1	-4, 0, -1		-1	-4
263	261	3/4	3/4	4/4	2	1	V65/iv		D	v		V65/iv		V		65		iv				Mm7	0	1	4, 1, -2, 0		0	4
264	262	0	0	4/4	2	1	i/iv		D	v		i/iv		i				iv				m	0	1	-1, -4, 0		-1	-1
264	262	3/4	3/4	4/4	2	1	V2/iv		D	v		V2/iv		V		2		iv				Mm7	0	1	-2, 0, 4, 1		0	-2
265	263	0	0	4/4	2	1	i6/iv		D	v		i6/iv		i		6		iv				m	0	1	-4, 0, -1		-1	-4
265	263	3/4	3/4	4/4	2	1	V2/bII		D	v		V2/bII		V		2		bII				Mm7	0	1	-6, -4, 0, -3		-4	-6
266	264	0	0	4/4	2	1	I/bII		D	v		I/bII		I				bII				M	0	1	-5, -1, -4		-5	-5
266	264	3/4	3/4	4/4	2	1	V2/bII		D	v		V2/bII		V		2		bII				Mm7	0	1	-6, -4, 0, -3		-4	-6
267	265	0	0	4/4	2	1	I6/bII		D	v		I6/bII		I		6		bII				M	0	1	-1, -4, -5		-5	-1
267	265	3/4	3/4	4/4	2	1	V2/bII		D	v		V2/bII		V		2		bII				Mm7	0	1	-6, -4, 0, -3		-4	-6
268	266	0	0	4/4	2	1	I6/bII		D	v		I6/bII		I		6		bII				M	0	1	-1, -4, -5		-5	-1
269	267	0	0	4/4	2	1	V7		D	v		V7		V		7						Mm7	0	1	1, 5, 2, -1		1	1
270	268	0	0	4/4	2	1	I6		D	v		I6		I		6						M	0	1	4, 1, 0		0	4
271	269	0	0	4/4	2	1	vi		D	v		vi		vi								m	0	1	-4, -7, -3		-4	-4
272	270	0	0	4/4	2	1	ii		D	v		ii		ii								m	0	1	2, -1, 3		2	2
273	271	0	0	4/4	2	1	V		D	v		V		V								M	0	1	1, 5, 2		1	1
274	272	0	0	4/4	2	1	I		D	v		I		I								M	0	1	0, 4, 1		0	0
274	272	3/4	3/4	4/4	2	1	ii6		D	v		ii6		ii		6						m	0	1	-1, 3, 2		2	-1
275	273	0	0	4/4	2	1	V7(9)		D	v		V7(9)		V		7	9					Mm7	0	1	1, 5, 2, -1	-4	1	1
275	273	1/2	1/2	4/4	2	1	V(64)		D	v		V(64)		V			64					M	0	1	1, 0, -3		1	1
275	273	3/4	3/4	4/4	2	1	V7		D	v		V7		V		7						Mm7	0	1	1, 5, 2, -1		1	1
276	274	0	0	4/4	2	1	I|PAC}		D	v		I		I						PAC	}	M	0	1	0, 4, 1		0	0
276	274	3/4	3/4	4/4	2	1	{		D	v											{		0	1				
277	275	0	0	4/4	2	1	V7(2)/IV		D	v		V7(2)/IV		V		7	2	IV				Mm7	0	1	2, 4, 1, -2		0	2
277	275	1/2	1/2	4/4	2	1	V65/IV		D	v		V65/IV		V		65		IV				Mm7	0	1	4, 1, -2, 0		0	4
278	276	0	0	4/4	2	1	IV		D	v		IV		IV								M	0	1	-1, 3, 0		-1	-1
278	276	1/2	1/2	4/4	2	1	I64		D	v		I64		I		64						M	0	1	1, 0, 4		0	1
279	277	0	0	4/4	2	1	ii43		D	v		ii43		ii		43						mm7	0	1	3, 0, 2, -1		2	3
279	277	1/2	1/2	4/4	2	1	V65		D	v		V65		V		65						Mm7	0	1	5, 2, -1, 1		1	5
280	278	0	0	4/4	2	1	I[I|IAC}		D	v	I	I		I						IAC	}	M	0	1	0, 4, 1		0	0
280	278	3/4	3/4	4/4	2	1	{		D	v											{		0	1				
281	279	0	0	4/4	2	1	V7(9)/IV		D	v		V7(9)/IV		V		7	9	IV				Mm7	0	1	0, 4, 1, -2	2	0	0
281	279	1/2	1/2	4/4	2	1	V7/IV		D	v		V7/IV		V		7		IV				Mm7	0	1	0, 4, 1, -2		0	0
282	280	0	0	4/4	2	1	IV6		D	v		IV6		IV		6						M	0	1	3, 0, -1		-1	3
282	280	1/2	1/2	4/4	2	1	I		D	v		I		I								M	0	1	0, 4, 1		0	0
283	281	0	0	4/4	2	1	ii		D	v		ii		ii								m	0	1	2, -1, 3		2	2
283	281	1/2	1/2	4/4	2	1	V2		D	v		V2		V		2						Mm7	0	1	-1, 1, 5, 2		1	-1
284	282	0	0	4/4	2	1	I|PAC}		D	v		I		I						PAC	}	M	0	1	0, 4, 1		0	0
284	282	1/4	1/4	4/4	2	1	{		D	v											{		0	1				
285	283	0	0	4/4	2	1	V7(9)/IV		D	v		V7(9)/IV		V		7	9	IV				Mm7	0	1	0, 4, 1, -2	2	0	0
285	283	1/2	1/2	4/4	2	1	V7/IV		D	v		V7/IV		V		7		IV				Mm7	0	1	0, 4, 1, -2		0	0
286	284	0	0	4/4	2	1	IV6		D	v		IV6		IV		6						M	0	1	3, 0, -1		-1	3
286	284	1/2	1/2	4/4	2	1	I		D	v		I		I								M	0	1	0, 4, 1		0	0
287	285	0	0	4/4	2	1	ii		D	v		ii		ii								m	0	1	2, -1, 3		2	2
287	285	1/2	1/2	4/4	2	1	V2		D	v		V2		V		2						Mm7	0	1	-1, 1, 5, 2		1	-1
288	286	0	0	4/4	2	1	I]|PAC}		D	v		I		I					]	PAC	}	M	0	1	0, 4, 1		0	0
288	286	1/2	1/2	4/4	2	1	V{		D	v		V		V							{	M	0	1	1, 5, 2		1	1
289	287	0	0	4/4	2	1	vi	IV6	D	v		vi		vi								m	0	1	-4, -7, -3		-4	-4
289	287	1/2	1/2	4/4	2	1	ii		D	v		ii		ii								m	0	1	2, -1, 3		2	2
290	288	0	0	4/4	2	1	V		D	v		V		V								M	0	1	1, 5, 2		1	1
290	288	1/2	1/2	4/4	2	1	V/ii		D	v		V/ii		V				ii				M	0	1	3, 7, 4		3	3
291	289	0	0	4/4	2	1	ii		D	v		ii		ii								m	0	1	2, -1, 3		2	2
291	289	1/2	1/2	4/4	2	1	V7		D	v		V7		V		7						Mm7	0	1	1, 5, 2, -1		1	1
292	290	0	0	4/4	2	1	I|PAC}		D	v		I		I						PAC	}	M	0	1	0, 4, 1		0	0
292	290	1/2	1/2	4/4	2	1	#viio/vi{	V6/vi{	D	v		#viio/vi		#vii	o			vi			{	o	0	1	1, -2, -5		1	1
293	291	0	0	4/4	2	1	vi	IV6	D	v		vi		vi								m	0	1	-4, -7, -3		-4	-4
293	291	1/2	1/2	4/4	2	1	ii		D	v		ii		ii								m	0	1	2, -1, 3		2	2
294	292	0	0	4/4	2	1	V		D	v		V		V								M	0	1	1, 5, 2		1	1
294	292	1/2	1/2	4/4	2	1	V/ii		D	v		V/ii		V				ii				M	0	1	3, 7, 4		3	3
295	293	0	0	4/4	2	1	ii		D	v		ii		ii								m	0	1	2, -1, 3		2	2
295	293	1/2	1/2	4/4	2	1	V7		D	v		V7		V		7						Mm7	0	1	1, 5, 2, -1		1	1
296	294	0	0	4/4	2	1	I|PAC}{		D	v		I		I						PAC	}{	M	0	1	0, 4, 1		0	0
296	294	1/2	1/2	4/4	2	1	IVM7		D	v		IVM7		IV	M	7						MM7	0	1	-1, 3, 0, 4		-1	-1
297	295	0	0	4/4	2	1	viio		D	v		viio		vii	o							o	0	1	-2, -5, -8		-2	-2
297	295	1/2	1/2	4/4	2	1	V7/vi		D	v		V7/vi		V		7		vi				Mm7	0	1	-3, 1, -2, -5		-3	-3
298	296	0	0	4/4	2	1	vi		D	v		vi		vi								m	0	1	-4, -7, -3		-4	-4
298	296	1/2	1/2	4/4	2	1	ii7		D	v		ii7		ii		7						mm7	0	1	2, -1, 3, 0		2	2
299	297	0	0	4/4	2	1	IV.ii		D	IV		ii		ii								m	0	0	2, -1, 3		2	2
299	297	1/2	1/2	4/4	2	1	V7		D	IV		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
300	298	0	0	4/4	2	1	I[I|IAC}		D	IV	I	I		I						IAC	}	M	0	0	0, 4, 1		0	0
300	298	3/4	3/4	4/4	2	1	{		D	IV											{		0	0				
301	299	0	0	4/4	2	1	V6		D	IV		V6		V		6						M	0	0	5, 2, 1		1	5
302	300	0	0	4/4	2	1	I		D	IV		I		I								M	0	0	0, 4, 1		0	0
303	301	0	0	4/4	2	1	V65		D	IV		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
304	302	0	0	4/4	2	1	I		D	IV		I		I								M	0	0	0, 4, 1		0	0
305	303	0	0	4/4	2	1	V6		D	IV		V6		V		6						M	0	0	5, 2, 1		1	5
306	304	0	0	4/4	2	1	I		D	IV		I		I								M	0	0	0, 4, 1		0	0
307	305	0	0	4/4	2	1	V6		D	IV		V6		V		6						M	0	0	5, 2, 1		1	5
308	306	0	0	4/4	2	1	I		D	IV		I		I								M	0	0	0, 4, 1		0	0
312	310	0	0	4/4	2	1	i]		D	IV		i		i					]			m	0	0	0, -3, 1		0	0
315	313	3/4	3/4	4/4	2	1	bII.viio		D	bII		viio		vii	o							o	0	0	5, 2, -1		5	5
318	316	3/4	3/4	4/4	2	1	V7		D	bII		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
322	320	3/4	3/4	4/4	2	1	I.Ger6		D	I		Ger6	Ger	vii	o	65	b3	V				Ger	0	0	-4, 0, -3, 6		6	-4
324	322	3/4	3/4	4/4	2	1	V7		D	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
