mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
21	21	1/4	V65/vi	E	I		V65/vi	V		65		vi		Mm7	0	0	8, 5, 2, 4		4	8
22	22	0	vi	E	I		vi	vi						m	0	0	3, 0, 4		3	3
22	22	1/4	iv6/vi	E	I		iv6/vi	iv		6		vi		m	0	0	-1, 3, 2		2	-1
23	23	0	V/vi\\	E	I		V/vi	V				vi	\\	M	0	0	4, 8, 5		4	4
23	23	1/4	V6/iii	E	I		V6/iii	V		6		iii		M	0	0	9, 6, 5		5	9
24	24	0	iii	E	I		iii	iii						m	0	0	4, 1, 5		4	4
24	24	1/4	V43/iii	E	I		V43/iii	V		43		iii		Mm7	0	0	6, 3, 5, 9		5	6
25	25	0	iii6	E	I		iii6	iii		6				m	0	0	1, 5, 4		4	1
25	25	1/4	#viio43/iii	E	I		#viio43/iii	#vii	o	43		iii		o7	0	0	3, 0, 9, 6		9	3
26	26	0	#viio7/vii	E	I		#viio7/vii	#vii	o	7		vii		o7	0	0	10, 7, 4, 1		10	10
27	27	0	V/iii	E	I		V/iii	V				iii		M	0	0	5, 9, 6		5	5
28	28	0	iii	E	I		iii	iii						m	0	0	4, 1, 5		4	4
28	28	1/4	V/iii	E	I		V/iii	V				iii		M	0	0	5, 9, 6		5	5
29	29	0	iii	E	I		iii	iii						m	0	0	4, 1, 5		4	4
29	29	1/4	V/iii	E	I		V/iii	V				iii		M	0	0	5, 9, 6		5	5
30	30	0	iii	E	I		iii	iii						m	0	0	4, 1, 5		4	4
30	30	1/4	V/V	E	I		V/V	V				V		M	0	0	2, 6, 3		2	2
31	31	0	V	E	I		V	V						M	0	0	1, 5, 2		1	1
31	31	1/4	V/V	E	I		V/V	V				V		M	0	0	2, 6, 3		2	2
32	32	0	V	E	I		V	V						M	0	0	1, 5, 2		1	1
32	32	1/4	V/vii	E	I		V/vii	V				vii		M	0	0	6, 10, 7		6	6
33	33	0	vii	E	I		vii	vii						m	0	0	5, 2, 6		5	5
33	33	1/4	V/vii	E	I		V/vii	V				vii		M	0	0	6, 10, 7		6	6
34	34	0	vii	E	I		vii	vii						m	0	0	5, 2, 6		5	5
34	34	1/4	V/ii	E	I		V/ii	V				ii		M	0	0	3, 7, 4		3	3
35	35	0	V/V	E	I		V/V	V				V		M	0	0	2, 6, 3		2	2
35	35	1/4	V(64)/V	E	I		V(64)/V	V			64	V		M	0	0	2, 1, 5		2	2
36	36	0	V(94)/V	E	I		V(94)/V	V			94	V		M	0	0	2, 1, 3	4	2	2
36	36	1/4	V/V	E	I		V/V	V				V		M	0	0	2, 6, 3		2	2
37	37	0	V(64)/V	E	I		V(64)/V	V			64	V		M	0	0	2, 1, 5		2	2
37	37	1/4	V/V	E	I		V/V	V				V		M	0	0	2, 6, 3		2	2
38	38	0	V	E	I		V	V						M	0	0	1, 5, 2		1	1
38	38	1/4	V(64)	E	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
39	39	0	V(94)	E	I		V(94)	V			94			M	0	0	1, 0, 2	3	1	1
39	39	1/4	V	E	I		V	V						M	0	0	1, 5, 2		1	1
40	40	0	V(64)	E	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
40	40	1/4	V	E	I		V	V						M	0	0	1, 5, 2		1	1
41	41	0	V2	E	I		V2	V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
41	41	1/4	I6	E	I		I6	I		6				M	0	0	4, 1, 0		0	4
42	42	0	V43	E	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1	2
42	42	1/4	I	E	I		I	I						M	0	0	0, 4, 1		0	0
43	43	0	viio7	E	I		viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5	5
43	43	1/4	viio65/V	E	I		viio65/V	vii	o	65		V		o7	0	0	3, 0, -3, 6		6	3
44	44	0	V	E	I		V	V						M	0	0	1, 5, 2		1	1
44	44	1/4	#viio/ii	E	I		#viio/ii	#vii	o			ii		o	0	0	7, 4, 1		7	7
45	45	0	V43	E	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1	2
45	45	1/4	V6	E	I		V6	V		6				M	0	0	5, 2, 1		1	5
46	46	0	V	E	I		V	V						M	0	0	1, 5, 2		1	1
46	46	1/4	#viio/ii	E	I		#viio/ii	#vii	o			ii		o	0	0	7, 4, 1		7	7
47	47	0	V43	E	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1	2
47	47	1/4	V6	E	I		V6	V		6				M	0	0	5, 2, 1		1	5
48	48	0	V	E	I		V	V						M	0	0	1, 5, 2		1	1
48	48	1/4	#viio/ii	E	I		#viio/ii	#vii	o			ii		o	0	0	7, 4, 1		7	7
49	49	0	V43	E	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1	2
49	49	1/4	vi7	E	I		vi7	vi		7				mm7	0	0	3, 0, 4, 1		3	3
50	50	0	V6	E	I		V6	V		6				M	0	0	5, 2, 1		1	5
50	50	1/4	I	E	I		I	I						M	0	0	0, 4, 1		0	0
51	51	0	V6	E	I		V6	V		6				M	0	0	5, 2, 1		1	5
51	51	1/4	vi	E	I		vi	vi						m	0	0	3, 0, 4		3	3
52	52	0	iii6	E	I		iii6	iii		6				m	0	0	1, 5, 4		4	1
52	52	1/4	IV	E	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
53	53	0	I6	E	I		I6	I		6				M	0	0	4, 1, 0		0	4
53	53	1/4	V43	E	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1	2
54	54	0	I\\	E	I		I	I					\\	M	0	0	0, 4, 1		0	0
55	55	0	V6	E	I		V6	V		6				M	0	0	5, 2, 1		1	5
55	55	1/4	V43/V	E	I		V43/V	V		43		V		Mm7	0	0	3, 0, 2, 6		2	3
56	56	0	V	E	I		V	V						M	0	0	1, 5, 2		1	1
56	56	1/4	IV	E	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
57	57	0	I6	E	I		I6	I		6				M	0	0	4, 1, 0		0	4
57	57	1/4	V43	E	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1	2
58	58	0	I	E	I		I	I						M	0	0	0, 4, 1		0	0
58	58	1/4	IV	E	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
59	59	0	V(64)	E	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
59	59	1/4	V	E	I		V	V						M	0	0	1, 5, 2		1	1
60	60	0	#viio2/ii	E	I		#viio2/ii	#vii	o	2		ii		o7	0	0	-2, 7, 4, 1		7	-2
60	60	1/8	#viio43/ii	E	I		#viio43/ii	#vii	o	43		ii		o7	0	0	1, -2, 7, 4		7	1
60	60	3/8	#viio7/ii	E	I		#viio7/ii	#vii	o	7		ii		o7	0	0	7, 4, 1, -2		7	7
60	60	1/2	ii	E	I		ii	ii						m	0	0	2, -1, 3		2	2
60	60	9/16	#viio6/ii	E	I		#viio6/ii	#vii	o	6		ii		o	0	0	4, 1, 7		7	4
60	60	5/8	ii	E	I		ii	ii						m	0	0	2, -1, 3		2	2
60	60	11/16	V7/ii	E	I		V7/ii	V		7		ii		Mm7	0	0	3, 7, 4, 1		3	3
61	61	0	ii6(#4)	E	I		ii6(#4)	ii		6	#4			m	0	0	-1, 8, 2		2	-1
61	61	1/8	ii6	E	I		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
61	61	3/8	viio7	E	I		viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5	5
61	61	1/2	I	E	I		I	I						M	0	0	0, 4, 1		0	0
61	61	9/16	V65	E	I		V65	V		65				Mm7	0	0	5, 2, -1, 1		1	5
61	61	5/8	I	E	I		I	I						M	0	0	0, 4, 1		0	0
61	61	11/16	IV6	E	I		IV6	IV		6				M	0	0	3, 0, -1		-1	3
62	62	0	I6	E	I		I6	I		6				M	0	0	4, 1, 0		0	4
62	62	1/8	IV6	E	I		IV6	IV		6				M	0	0	3, 0, -1		-1	3
62	62	1/4	V(64)	E	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
62	62	3/8	V(#764)	E	I		V(#764)	V			#764			M	0	0	1, 0, 4	6	1	1
62	62	1/2	V	E	I		V	V						M	0	0	1, 5, 2		1	1
62	62	9/16	#viio43/ii	E	I		#viio43/ii	#vii	o	43		ii		o7	0	0	1, -2, 7, 4		7	1
62	62	5/8	viio7/IV	E	I		viio7/IV	vii	o	7		IV		o7	0	0	4, 1, -2, -5		4	4
63	63	0	V7/bVI	E	I		V7/bVI	V		7		bVI		Mm7	0	0	-3, 1, -2, -5		-3	-3
63	63	11/16	.bVI	E	I		bVI	bVI						M	0	0	-4, 0, -3		-4	-4
64	64	3/8	.bVI64	E	I		bVI64	bVI		64				M	0	0	-3, -4, 0		-4	-3
64	64	7/16	I6	E	I		I6	I		6				M	0	0	4, 1, 0		0	4
65	65	3/16	IV6	E	I		IV6	IV		6				M	0	0	3, 0, -1		-1	3
65	65	5/16	V(64)	E	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
65	65	3/8	vi6	E	I		vi6	vi		6				m	0	0	0, 4, 3		3	0
65	65	5/12	V6	E	I		V6	V		6				M	0	0	5, 2, 1		1	5
65	65	11/24	IV6	E	I		IV6	IV		6				M	0	0	3, 0, -1		-1	3
65	65	1/2	iii6	E	I		iii6	iii		6				m	0	0	1, 5, 4		4	1
65	65	13/24	ii6	E	I		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
65	65	7/12	I6	E	I		I6	I		6				M	0	0	4, 1, 0		0	4
65	65	5/8	viio6	E	I		viio6	vii	o	6				o	0	0	2, -1, 5		5	2
65	65	2/3	vi6	E	I		vi6	vi		6				m	0	0	0, 4, 3		3	0
65	65	17/24	V6	E	I		V6	V		6				M	0	0	5, 2, 1		1	5
66	66	0	IV6	E	I		IV6	IV		6				M	0	0	3, 0, -1		-1	3
66	66	1/24	iii6	E	I		iii6	iii		6				m	0	0	1, 5, 4		4	1
66	66	1/12	ii6	E	I		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
66	66	1/8	I6	E	I		I6	I		6				M	0	0	4, 1, 0		0	4
66	66	1/6	viio6	E	I		viio6	vii	o	6				o	0	0	2, -1, 5		5	2
66	66	5/24	vi6	E	I		vi6	vi		6				m	0	0	0, 4, 3		3	0
66	66	1/4	V6	E	I		V6	V		6				M	0	0	5, 2, 1		1	5
66	66	7/24	IV6	E	I		IV6	IV		6				M	0	0	3, 0, -1		-1	3
66	66	1/3	iii6	E	I		iii6	iii		6				m	0	0	1, 5, 4		4	1
66	66	3/8	ii6	E	I		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
66	66	5/12	I6	E	I		I6	I		6				M	0	0	4, 1, 0		0	4
66	66	11/24	viio6	E	I		viio6	vii	o	6				o	0	0	2, -1, 5		5	2
66	66	1/2	vi6	E	I		vi6	vi		6				m	0	0	0, 4, 3		3	0
66	66	13/24	V6	E	I		V6	V		6				M	0	0	5, 2, 1		1	5
66	66	7/12	viio6/V	E	I		viio6/V	vii	o	6		V		o	0	0	3, 0, 6		6	3
66	66	5/8	V7	E	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
66	66	2/3	vi7	E	I		vi7	vi		7				mm7	0	0	3, 0, 4, 1		3	3
66	66	17/24	V6	E	I		V6	V		6				M	0	0	5, 2, 1		1	5
67	67	0	I\\	E	I		I	I					\\	M	0	0	0, 4, 1		0	0
68	68	1/4	IV	E	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
69	69	0	I6	E	I		I6	I		6				M	0	0	4, 1, 0		0	4
69	69	1/4	V43	E	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1	2
70	70	0	I	E	I		I	I						M	0	0	0, 4, 1		0	0
70	70	1/4	IV	E	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
71	71	0	I6	E	I		I6	I		6				M	0	0	4, 1, 0		0	4
71	71	1/4	V43	E	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1	2
72	72	0	I	E	I		I	I						M	0	0	0, 4, 1		0	0
72	72	1/4	V	E	I		V	V						M	0	0	1, 5, 2		1	1
73	73	0	V(64)	E	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
73	73	1/4	V7	E	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
74	74	0	I64	E	I		I64	I		64				M	0	0	1, 0, 4		0	1
74	74	1/4	V6	E	I		V6	V		6				M	0	0	5, 2, 1		1	5
75	75	0	I	E	I		I	I						M	0	0	0, 4, 1		0	0
75	75	1/4	V43	E	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1	2
76	76	0	I	E	I		I	I						M	0	0	0, 4, 1		0	0
76	76	1/4	V7	E	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
77	77	0	V(64)	E	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
77	77	1/4	V7	E	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
79	79	1/4	V(64)	E	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
80	80	1/4	#viio7/vi	E	I		#viio7/vi	#vii	o	7		vi		o7	0	0	8, 5, 2, -1		8	8
81	81	0	vi	E	I		vi	vi						m	0	0	3, 0, 4		3	3
81	81	1/4	IV[ii6(#7)	E	I	IV	ii6(#7)	ii		6	#7			m	0	0	-1, 3, 7		2	-1
82	82	0	ii6	E	I	IV	ii6	ii		6				m	0	0	-1, 3, 2		2	-1
82	82	1/4	#viio2/ii	E	I	IV	#viio2/ii	#vii	o	2		ii		o7	0	0	-2, 7, 4, 1		7	-2
83	83	0	ii6	E	I	IV	ii6	ii		6				m	0	0	-1, 3, 2		2	-1
83	83	1/4	#viio43/ii	E	I	IV	#viio43/ii	#vii	o	43		ii		o7	0	0	1, -2, 7, 4		7	1
84	84	0	ii6]	E	I	IV	ii6	ii		6				m	0	0	-1, 3, 2		2	-1
84	84	1/4	V6/V	E	I		V6/V	V		6		V		M	0	0	6, 3, 2		2	6
85	85	0	V(64)	E	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
85	85	1/4	viio2	E	I		viio2	vii	o	2				o7	0	0	-4, 5, 2, -1		5	-4
86	86	0	V(64)	E	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
86	86	1/4	viio43	E	I		viio43	vii	o	43				o7	0	0	-1, -4, 5, 2		5	-1
87	87	0	I6	E	I		I6	I		6				M	0	0	4, 1, 0		0	4
87	87	1/4	V7/V	E	I		V7/V	V		7		V		Mm7	0	0	2, 6, 3, 0		2	2
88	88	0	V7(9)	E	I		V7(9)	V		7	9			Mm7	0	0	1, 5, 2, -1	3	1	1
88	88	1/4	V	E	I		V	V						M	0	0	1, 5, 2		1	1
89	89	0	I[I	E	I	I	I	I						M	0	0	0, 4, 1		0	0
89	89	1/4	iv6	E	I	I	iv6	iv		6				m	0	0	-4, 0, -1		-1	-4
90	90	0	viio7	E	I	I	viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5	5
90	90	1/4	I	E	I	I	I	I						M	0	0	0, 4, 1		0	0
91	91	0	viio2	E	I	I	viio2	vii	o	2				o7	0	0	-4, 5, 2, -1		5	-4
91	91	1/4	I	E	I	I	I	I						M	0	0	0, 4, 1		0	0
92	92	0	iv6	E	I	I	iv6	iv		6				m	0	0	-4, 0, -1		-1	-4
92	92	1/4	V65	E	I	I	V65	V		65				Mm7	0	0	5, 2, -1, 1		1	5
