mc	mn	onset	label	volta	globalkey	localkey	pedal	chord	numeral	special	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
169	166	1/2	#viio65		f	i		#viio65	#vii		o	65				o7	1	1	2, -1, -4, 5		5.0	2.0
169	166	3/4	i6		f	i		i6	i			6				m	1	1	-3, 1, 0		0.0	-3.0
170	167	0	V65		f	i		V65	V			65				Mm7	1	1	5, 2, -1, 1		1.0	5.0
170	167	1/4	i		f	i		i	i							m	1	1	0, -3, 1		0.0	0.0
170	167	1/2	iio6		f	i		iio6	ii		o	6				o	1	1	-1, -4, 2		2.0	-1.0
170	167	3/4	viio7/V		f	i		viio7/V	vii		o	7		V		o7	1	1	6, 3, 0, -3		6.0	6.0
171	168	0	V(64)		f	i		V(64)	V				64			M	1	1	1, 0, -3		1.0	1.0
171	168	1/2	V		f	i		V	V							M	1	1	1, 5, 2		1.0	1.0
172	169	0	i}{		f	i		i	i						}{	m	1	1	0, -3, 1		0.0	0.0
172	169	1/2	V65/vii		f	i		V65/vii	V			65		vii		Mm7	1	1	3, 0, -3, -1		-1.0	3.0
172	169	3/4	vii		f	i		vii	vii							m	1	1	-2, -5, -1		-2.0	-2.0
173	170	0	V65/iv		f	i		V65/iv	V			65		iv		Mm7	1	1	4, 1, -2, 0		0.0	4.0
173	170	1/4	iv		f	i		iv	iv							m	1	1	-1, -4, 0		-1.0	-1.0
173	170	1/2	#viio65		f	i		#viio65	#vii		o	65				o7	1	1	2, -1, -4, 5		5.0	2.0
173	170	3/4	i6		f	i		i6	i			6				m	1	1	-3, 1, 0		0.0	-3.0
174	171	0	V65		f	i		V65	V			65				Mm7	1	1	5, 2, -1, 1		1.0	5.0
174	171	1/4	i		f	i		i	i							m	1	1	0, -3, 1		0.0	0.0
174	171	1/2	iio6		f	i		iio6	ii		o	6				o	1	1	-1, -4, 2		2.0	-1.0
174	171	3/4	viio7/V		f	i		viio7/V	vii		o	7		V		o7	1	1	6, 3, 0, -3		6.0	6.0
175	172	0	V(64)		f	i		V(64)	V				64			M	1	1	1, 0, -3		1.0	1.0
175	172	1/2	V		f	i		V	V							M	1	1	1, 5, 2		1.0	1.0
176	173	0	i}		f	i		i	i						}	m	1	1	0, -3, 1		0.0	0.0
176	173	1/2	VI6{		f	i		VI6	VI			6			{	M	1	1	0, -3, -4		-4.0	0.0
177	174	0	viio/III		f	i		viio/III	vii		o			III		o	1	1	2, -1, -4		2.0	2.0
177	174	1/2	V65/III		f	i		V65/III	V			65		III		Mm7	1	1	2, -1, -4, -2		-2.0	2.0
178	175	0	III		f	i		III	III							M	1	1	-3, 1, -2		-3.0	-3.0
178	175	1/2	V6/iv		f	i		V6/iv	V			6		iv		M	1	1	4, 1, 0		0.0	4.0
179	176	0	iv		f	i		iv	iv							m	1	1	-1, -4, 0		-1.0	-1.0
179	176	1/2	viio6/III		f	i		viio6/III	vii		o	6		III		o	1	1	-1, -4, 2		2.0	-1.0
180	177	0	III6		f	i		III6	III			6				M	1	1	1, -2, -3		-3.0	1.0
180	177	1/2	#viio6/iv		f	i		#viio6/iv	#vii		o	6		iv		o	1	1	1, -2, 4		4.0	1.0
181	178	0	iv6		f	i		iv6	iv			6				m	1	1	-4, 0, -1		-1.0	-4.0
181	178	1/2	V43/V		f	i		V43/V	V			43		V		Mm7	1	1	3, 0, 2, 6		2.0	3.0
182	179	0	V(64)		f	i		V(64)	V				64			M	1	1	1, 0, -3		1.0	1.0
183	180	0	V		f	i		V	V							M	1	1	1, 5, 2		1.0	1.0
184	181	0	i}		f	i		i	i						}	m	1	1	0, -3, 1		0.0	0.0
184	181	1/2	VI6{		f	i		VI6	VI			6			{	M	1	1	0, -3, -4		-4.0	0.0
185	182	0	viio/III		f	i		viio/III	vii		o			III		o	1	1	2, -1, -4		2.0	2.0
185	182	1/2	V65/III		f	i		V65/III	V			65		III		Mm7	1	1	2, -1, -4, -2		-2.0	2.0
186	183	0	III		f	i		III	III							M	1	1	-3, 1, -2		-3.0	-3.0
186	183	1/2	V6/iv		f	i		V6/iv	V			6		iv		M	1	1	4, 1, 0		0.0	4.0
187	184	0	iv		f	i		iv	iv							m	1	1	-1, -4, 0		-1.0	-1.0
187	184	1/2	viio6/III		f	i		viio6/III	vii		o	6		III		o	1	1	-1, -4, 2		2.0	-1.0
188	185	0	III6		f	i		III6	III			6				M	1	1	1, -2, -3		-3.0	1.0
188	185	1/2	#viio6/iv		f	i		#viio6/iv	#vii		o	6		iv		o	1	1	1, -2, 4		4.0	1.0
189	186	0	iv6		f	i		iv6	iv			6				m	1	1	-4, 0, -1		-1.0	-4.0
189	186	1/2	V43/V		f	i		V43/V	V			43		V		Mm7	1	1	3, 0, 2, 6		2.0	3.0
190	187	0	V(64)		f	i		V(64)	V				64			M	1	1	1, 0, -3		1.0	1.0
191	188	0	V		f	i		V	V							M	1	1	1, 5, 2		1.0	1.0
192	189	0	i[i}		f	i	i	i	i						}	m	1	1	0, -3, 1		0.0	0.0
192	189	1/2	{		f	i	i								{		1	1				
192	189	3/4	#viio43		f	i	i	#viio43	#vii		o	43				o7	1	1	-1, -4, 5, 2		5.0	-1.0
193	190	0	i]		f	i	i	i	i							m	1	1	0, -3, 1		0.0	0.0
193	190	3/4	V		f	i		V	V							M	1	1	1, 5, 2		1.0	1.0
194	191	0	i[i		f	i	i	i	i							m	1	1	0, -3, 1		0.0	0.0
194	191	3/4	#viio43		f	i	i	#viio43	#vii		o	43				o7	1	1	-1, -4, 5, 2		5.0	-1.0
195	192	0	i]		f	i	i	i	i							m	1	1	0, -3, 1		0.0	0.0
195	192	3/4	V		f	i		V	V							M	1	1	1, 5, 2		1.0	1.0
196	193	0	i[i		f	i	i	i	i							m	1	1	0, -3, 1		0.0	0.0
196	193	3/4	#viio43		f	i	i	#viio43	#vii		o	43				o7	1	1	-1, -4, 5, 2		5.0	-1.0
197	194	0	i		f	i	i	i	i							m	1	1	0, -3, 1		0.0	0.0
197	194	3/4	#viio43		f	i	i	#viio43	#vii		o	43				o7	1	1	-1, -4, 5, 2		5.0	-1.0
198	195	0	i]}		f	i	i	i	i						}	m	1	1	0, -3, 1		0.0	0.0
