mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
54	50	3/8	3/8	6/8	1	1	#viio6/v		ab	I		#viio6/v	#vii	o	6		v		o	1	0	3, 0, 6		6	3
55	51	0	0	6/8	1	1	v(42)		ab	I		v(42)	v			42			m	1	0	3, 0, 2		1	3
55	51	1/4	1/4	6/8	1	1	v		ab	I		v	v						m	1	0	1, -2, 2		1	1
55	51	5/8	5/8	6/8	1	1	viio6/IV		ab	I		viio6/IV	vii	o	6		IV		o	1	0	1, -2, 4		4	1
56	52	0	0	6/8	1	1	IV(42)		ab	I		IV(42)	IV			42			M	1	0	1, 5, 0		-1	1
56	52	1/4	1/4	6/8	1	1	IV		ab	I		IV	IV						M	1	0	-1, 3, 0		-1	-1
56	52	1/2	1/2	6/8	1	1	#viio7/iii		ab	I		#viio7/iii	#vii	o	7		iii		o7	1	0	9, 6, 3, 0		9	9
56	52	5/8	5/8	6/8	1	1	I6		ab	I		I6	I		6				M	1	0	4, 1, 0		0	4
57	53	0	0	6/8	1	1	viio6		ab	I		viio6	vii	o	6				o	1	0	2, -1, 5		5	2
57	53	1/4	1/4	6/8	1	1	IV64		ab	I		IV64	IV		64				M	1	0	0, -1, 3		-1	0
57	53	3/8	3/8	6/8	1	1	V6		ab	I		V6	V		6				M	1	0	5, 2, 1		1	5
58	54	0	0	6/8	1	1	I6		ab	I		I6	I		6				M	1	0	4, 1, 0		0	4
58	54	1/4	1/4	6/8	1	1	iv64/ii		ab	I		iv64/ii	iv		64		ii		m	1	0	2, 1, -2		1	2
58	54	3/8	3/8	6/8	1	1	V6/ii		ab	I		V6/ii	V		6		ii		M	1	0	7, 4, 3		3	7
59	55	0	0	6/8	1	1	ii6		ab	I		ii6	ii		6				m	1	0	-1, 3, 2		2	-1
59	55	1/4	1/4	6/8	1	1	viio/V		ab	I		viio/V	vii	o			V		o	1	0	6, 3, 0		6	6
59	55	3/8	3/8	6/8	1	1	V		ab	I		V	V						M	1	0	1, 5, 2		1	1
59	55	5/8	5/8	6/8	1	1	viio		ab	I		viio	vii	o					o	1	0	5, 2, -1		5	5
60	56	0	0	6/8	1	1	I(9)		ab	I		I(9)	I			9			M	1	0	0, 4, 1	2	0	0
60	56	3/8	3/8	6/8	1	1	IV6		ab	I		IV6	IV		6				M	1	0	3, 0, -1		-1	3
60	56	5/8	5/8	6/8	1	1	vi		ab	I		vi	vi						m	1	0	3, 0, 4		3	3
61	57	0	0	6/8	1	1	viio(9)		ab	I		viio(9)	vii	o		9			o	1	0	5, 2, -1	0	5	5
61	57	3/8	3/8	6/8	1	1	V6/vi		ab	I		V6/vi	V		6		vi		M	1	0	8, 5, 4		4	8
61	57	5/8	5/8	6/8	1	1	#viio/vi		ab	I		#viio/vi	#vii	o			vi		o	1	0	8, 5, 2		8	8
62	58	0	0	6/8	1	1	vi(9)		ab	I		vi(9)	vi			9			m	1	0	3, 0, 4	5	3	3
62	58	1/8	1/8	6/8	1	1	vi		ab	I		vi	vi						m	1	0	3, 0, 4		3	3
62	58	3/8	3/8	6/8	1	1	iv6/vi		ab	I		iv6/vi	iv		6		vi		m	1	0	-1, 3, 2		2	-1
62	58	5/8	5/8	6/8	1	1	vi64		ab	I		vi64	vi		64				m	1	0	4, 3, 0		3	4
63	59	0	0	6/8	1	1	iio6/vi		ab	I		iio6/vi	ii	o	6		vi		o	1	0	2, -1, 5		5	2
63	59	1/4	1/4	6/8	1	1	V65/iii		ab	I		V65/iii	V		65		iii		Mm7	1	0	9, 6, 3, 5		5	9
63	59	3/8	3/8	6/8	1	1	V(64)/vi		ab	I		V(64)/vi	V			64	vi		M	1	0	4, 3, 0		4	4
63	59	5/8	5/8	6/8	1	1	#viio64/vi		ab	I		#viio64/vi	#vii	o	64		vi		o	1	0	2, 8, 5		8	2
64	60	0	0	6/8	1	1	vi6		ab	I		vi6	vi		6				m	1	0	0, 4, 3		3	0
64	60	1/4	1/4	6/8	1	1	#viio/ii		ab	I		#viio/ii	#vii	o			ii		o	1	0	7, 4, 1		7	7
64	60	3/8	3/8	6/8	1	1	ii		ab	I		ii	ii						m	1	0	2, -1, 3		2	2
64	60	5/8	5/8	6/8	1	1	IV64		ab	I		IV64	IV		64				M	1	0	0, -1, 3		-1	0
65	61	0	0	6/8	1	1	V65		ab	I		V65	V		65				Mm7	1	0	5, 2, -1, 1		1	5
65	61	1/8	1/8	6/8	1	1	I		ab	I		I	I						M	1	0	0, 4, 1		0	0
65	61	1/4	1/4	6/8	1	1	V6		ab	I		V6	V		6				M	1	0	5, 2, 1		1	5
