mc	mn	onset	label	alt_label	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
124	122	3/8	V6			Eb	I		V6	V		6				M	0	0	5, 2, 1		1.0	5.0
124	122	1/2	viio6/V			Eb	I		viio6/V	vii	o	6		V		o	0	0	3, 0, 6		6.0	3.0
124	122	5/8	V			Eb	I		V	V						M	0	0	1, 5, 2		1.0	1.0
124	122	3/4	viio/V			Eb	I		viio/V	vii	o			V		o	0	0	6, 3, 0		6.0	6.0
124	122	7/8	viio64			Eb	I		viio64	vii	o	64				o	0	0	-1, 5, 2		5.0	-1.0
125	123	0	I6			Eb	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
125	123	1/4	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
126	124	0	V\\			Eb	I		V	V					\\	M	0	0	1, 5, 2		1.0	1.0
126	124	1/4	#viio43/vi			Eb	I		#viio43/vi	#vii	o	43		vi		o7	0	0	2, -1, 8, 5		8.0	2.0
126	124	3/8	vi6			Eb	I		vi6	vi		6				m	0	0	0, 4, 3		3.0	0.0
126	124	1/2	V43/vi			Eb	I		V43/vi	V		43		vi		Mm7	0	0	5, 2, 4, 8		4.0	5.0
126	124	5/8	#viio43/iii			Eb	I		#viio43/iii	#vii	o	43		iii		o7	0	0	3, 0, 9, 6		9.0	3.0
126	124	3/4	V6/vi			Eb	I		V6/vi	V		6		vi		M	0	0	8, 5, 4		4.0	8.0
126	124	7/8	V64/iii			Eb	I		V64/iii	V		64		iii		M	0	0	6, 5, 9		5.0	6.0
127	125	0	V/vi			Eb	I		V/vi	V				vi		M	0	0	4, 8, 5		4.0	4.0
127	125	1/8	V2/vi			Eb	I		V2/vi	V		2		vi		Mm7	0	0	2, 4, 8, 5		4.0	2.0
127	125	1/4	vi6			Eb	I		vi6	vi		6				m	0	0	0, 4, 3		3.0	0.0
127	125	3/8	#viio6/vi			Eb	I		#viio6/vi	#vii	o	6		vi		o	0	0	5, 2, 8		8.0	5.0
127	125	1/2	vi			Eb	I		vi	vi						m	0	0	3, 0, 4		3.0	3.0
127	125	5/8	V2/ii			Eb	I		V2/ii	V		2		ii		Mm7	0	0	1, 3, 7, 4		3.0	1.0
127	125	3/4	V6/V			Eb	I		V6/V	V		6		V		M	0	0	6, 3, 2		2.0	6.0
128	126	0	V2			Eb	I		V2	V		2				Mm7	0	0	-1, 1, 5, 2		1.0	-1.0
128	126	1/2	I6			Eb	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
129	127	0	ii%43			Eb	I		ii%43	ii	%	43				%7	0	0	8, 0, 2, 1		2.0	8.0
129	127	3/4	V(4)			Eb	I		V(4)	V			4			M	0	0	1, 0, 2		1.0	1.0
130	128	0	ii%65			Eb	I		ii%65	ii	%	65				%7	0	0	1, 8, 0, 2		2.0	1.0
131	129	0	ii%43			Eb	I		ii%43	ii	%	43				%7	0	0	8, 0, 2, 1		2.0	8.0
131	129	3/4	V(4)			Eb	I		V(4)	V			4			M	0	0	1, 0, 2		1.0	1.0
132	130	0	V65/V			Eb	I		V65/V	V		65		V		Mm7	0	0	6, 3, 0, 2		2.0	6.0
133	131	0	V(b9)			Eb	I		V(b9)	V			b9			M	0	0	1, 5, 2	-4	1.0	1.0
134	132	0	I64			Eb	I		I64	I		64				M	0	0	1, 0, 4		0.0	1.0
135	133	0	V7			Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
135	133	1/2	I64			Eb	I		I64	I		64				M	0	0	1, 0, 4		0.0	1.0
136	134	0	V			Eb	I		V	V						M	0	0	1, 5, 2		1.0	1.0
136	134	1/2	I64			Eb	I		I64	I		64				M	0	0	1, 0, 4		0.0	1.0
137	135	0	V(b9)			Eb	I		V(b9)	V			b9			M	0	0	1, 5, 2	-4	1.0	1.0
138	136	0	I64			Eb	I		I64	I		64				M	0	0	1, 0, 4		0.0	1.0
139	137	0	V7			Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
139	137	1/2	I64			Eb	I		I64	I		64				M	0	0	1, 0, 4		0.0	1.0
140	138	0	V7			Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
140	138	1/2	V			Eb	I		V	V						M	0	0	1, 5, 2		1.0	1.0
140	138	3/4	viio			Eb	I		viio	vii	o					o	0	0	5, 2, -1		5.0	5.0
141	139	0	I(94)			Eb	I		I(94)	I			94			M	0	0	0, -1, 1	2	0.0	0.0
141	139	1/4	I6			Eb	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
141	139	1/2	V			Eb	I		V	V						M	0	0	1, 5, 2		1.0	1.0
141	139	3/4	viio			Eb	I		viio	vii	o					o	0	0	5, 2, -1		5.0	5.0
142	140	0	I(94)			Eb	I		I(94)	I			94			M	0	0	0, -1, 1	2	0.0	0.0
142	140	1/4	I6			Eb	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
142	140	1/2	V\\			Eb	I		V	V					\\	M	0	0	1, 5, 2		1.0	1.0
142	140	3/4	vii%43			Eb	I		vii%43	vii	%	43				%7	0	0	11, 3, 5, 4		5.0	11.0
143	141	0	I6(13)			Eb	I		I6(13)	I		6	13			M	0	0	4, 1, 0	3	0.0	4.0
143	141	1/4	i6			Eb	I		i6	i		6				m	0	0	-3, 1, 0		0.0	-3.0
143	141	1/2	ii7(4)			Eb	I		ii7(4)	ii		7	4			mm7	0	0	2, 1, 3, 0		2.0	2.0
143	141	3/4	V7			Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
144	142	0	I[I			Eb	I	I	I	I						M	0	0	0, 4, 1		0.0	0.0
144	142	1/4	I(#96#4)			Eb	I	I	I(#96#4)	I			#96#4			M	0	0	0, 4, 6	9	0.0	0.0
144	142	3/4	I			Eb	I	I	I	I						M	0	0	0, 4, 1		0.0	0.0
145	143	0	viio2			Eb	I	I	viio2	vii	o	2				o7	0	0	-4, 5, 2, -1		5.0	-4.0
145	143	3/4	V7			Eb	I	I	V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
146	144	0	I			Eb	I	I	I	I						M	0	0	0, 4, 1		0.0	0.0
146	144	1/2	IV			Eb	I	I	IV	IV						M	0	0	-1, 3, 0		-1.0	-1.0
146	144	3/4	I]			Eb	I	I	I	I						M	0	0	0, 4, 1		0.0	0.0
147	145	0	V(64)			Eb	I		V(64)	V			64			M	0	0	1, 0, 4		1.0	1.0
147	145	1/4	V7			Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
147	145	1/2	V(64)			Eb	I		V(64)	V			64			M	0	0	1, 0, 4		1.0	1.0
147	145	3/4	V7			Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
148	146	0	I[I			Eb	I	I	I	I						M	0	0	0, 4, 1		0.0	0.0
148	146	1/4	I(#96#4)			Eb	I	I	I(#96#4)	I			#96#4			M	0	0	0, 4, 6	9	0.0	0.0
148	146	3/4	I			Eb	I	I	I	I						M	0	0	0, 4, 1		0.0	0.0
149	147	0	viio2			Eb	I	I	viio2	vii	o	2				o7	0	0	-4, 5, 2, -1		5.0	-4.0
149	147	3/4	V7			Eb	I	I	V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
150	148	0	I]			Eb	I	I	I	I						M	0	0	0, 4, 1		0.0	0.0
150	148	1/2	IV			Eb	I		IV	IV						M	0	0	-1, 3, 0		-1.0	-1.0
150	148	3/4	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
151	149	0	V(64)			Eb	I		V(64)	V			64			M	0	0	1, 0, 4		1.0	1.0
151	149	1/4	V7			Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
151	149	1/2	V(64)			Eb	I		V(64)	V			64			M	0	0	1, 0, 4		1.0	1.0
151	149	3/4	V			Eb	I		V	V						M	0	0	1, 5, 2		1.0	1.0
152	150	0	I(b6)			Eb	I		I(b6)	I			b6			M	0	0	0, 4, -4		0.0	0.0
152	150	1/2	I64			Eb	I		I64	I		64				M	0	0	1, 0, 4		0.0	1.0
152	150	3/4	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
153	151	0	V(4)			Eb	I		V(4)	V			4			M	0	0	1, 0, 2		1.0	1.0
153	151	1/4	V2			Eb	I		V2	V		2				Mm7	0	0	-1, 1, 5, 2		1.0	-1.0
153	151	3/8	I6			Eb	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
153	151	1/2	viio6			Eb	I		viio6	vii	o	6				o	0	0	2, -1, 5		5.0	2.0
153	151	5/8	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
153	151	3/4	V7			Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
153	151	7/8	V			Eb	I		V	V						M	0	0	1, 5, 2		1.0	1.0
154	152	0	I(b6)			Eb	I		I(b6)	I			b6			M	0	0	0, 4, -4		0.0	0.0
154	152	1/2	I64			Eb	I		I64	I		64				M	0	0	1, 0, 4		0.0	1.0
154	152	3/4	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
155	153	0	V(4)			Eb	I		V(4)	V			4			M	0	0	1, 0, 2		1.0	1.0
155	153	1/4	V2			Eb	I		V2	V		2				Mm7	0	0	-1, 1, 5, 2		1.0	-1.0
155	153	3/8	I6			Eb	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
155	153	1/2	viio6			Eb	I		viio6	vii	o	6				o	0	0	2, -1, 5		5.0	2.0
155	153	5/8	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
155	153	3/4	V7			Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
155	153	7/8	V			Eb	I		V	V						M	0	0	1, 5, 2		1.0	1.0
156	154	0	I\\			Eb	I		I	I					\\	M	0	0	0, 4, 1		0.0	0.0
157	155	0	I64			Eb	I		I64	I		64				M	0	0	1, 0, 4		0.0	1.0
157	155	1/2	I6			Eb	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
158	156	0	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
158	156	1/2	I64			Eb	I		I64	I		64				M	0	0	1, 0, 4		0.0	1.0
159	157	0	I6			Eb	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
159	157	1/2	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
160	158	0	V7/IV			Eb	I		V7/IV	V		7		IV		Mm7	0	0	0, 4, 1, -2		0.0	0.0
161	159	0	IV			Eb	I		IV	IV						M	0	0	-1, 3, 0		-1.0	-1.0
162	160	0	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
163	161	0	VI6/ii			Eb	I		VI6/ii	VI		6		ii		M	0	0	2, -1, -2		-2.0	2.0
164	162	0	V6/ii			Eb	I		V6/ii	V		6		ii		M	0	0	7, 4, 3		3.0	7.0
164	162	3/4	V2/v			Eb	I		V2/v	V		2		v		Mm7	0	0	0, 2, 6, 3		2.0	0.0
164	162	7/8	iv6/ii			Eb	I		iv6/ii	iv		6		ii		m	0	0	-2, 2, 1		1.0	-2.0
165	163	1/4	V2/IV			Eb	I		V2/IV	V		2		IV		Mm7	0	0	-2, 0, 4, 1		0.0	-2.0
165	163	3/8	IV6			Eb	I		IV6	IV		6				M	0	0	3, 0, -1		-1.0	3.0
165	163	3/4	VIM2/ii			Eb	I		VIM2/ii	VI	M	2		ii		MM7	0	0	3, -2, 2, -1		-2.0	3.0
165	163	7/8	iio6/ii			Eb	I		iio6/ii	ii	o	6		ii		o	0	0	1, -2, 4		4.0	1.0
166	164	1/4	V2/ii			Eb	I		V2/ii	V		2		ii		Mm7	0	0	1, 3, 7, 4		3.0	1.0
166	164	3/8	ii6			Eb	I		ii6	ii		6				m	0	0	-1, 3, 2		2.0	-1.0
166	164	3/4	#viio2/vi			Eb	I		#viio2/vi	#vii	o	2		vi		o7	0	0	-1, 8, 5, 2		8.0	-1.0
167	165	0	#viio6(2)/ii			Eb	I		#viio6(2)/ii	#vii	o	6	2	ii		o	0	0	4, 1, 2		7.0	4.0
167	165	1/2	#viio6/ii			Eb	I		#viio6/ii	#vii	o	6		ii		o	0	0	4, 1, 7		7.0	4.0
167	165	3/4	ii			Eb	I		ii	ii						m	0	0	2, -1, 3		2.0	2.0
168	166	0	V6/ii			Eb	I		V6/ii	V		6		ii		M	0	0	7, 4, 3		3.0	7.0
168	166	1/4	#vi%7/ii			Eb	I		#vi%7/ii	#vi	%	7		ii		%7	0	0	5, 4, 11, 3		5.0	5.0
168	166	1/2	V7/ii			Eb	I		V7/ii	V		7		ii		Mm7	0	0	3, 7, 4, 1		3.0	3.0
169	167	0	ii\\			Eb	I		ii	ii					\\	m	0	0	2, -1, 3		2.0	2.0
170	168	0	V43/ii			Eb	I		V43/ii	V		43		ii		Mm7	0	0	4, 1, 3, 7		3.0	4.0
171	169	0	ii6			Eb	I		ii6	ii		6				m	0	0	-1, 3, 2		2.0	-1.0
172	170	0	V2/ii			Eb	I		V2/ii	V		2		ii		Mm7	0	0	1, 3, 7, 4		3.0	1.0
172	170	1/2	V(b9)/ii			Eb	I		V(b9)/ii	V			b9	ii		M	0	0	3, 7, 4	-9	3.0	3.0
172	170	3/4	V/ii			Eb	I		V/ii	V				ii		M	0	0	3, 7, 4		3.0	3.0
173	171	0	ii			Eb	I		ii	ii						m	0	0	2, -1, 3		2.0	2.0
174	172	0	V43/ii			Eb	I		V43/ii	V		43		ii		Mm7	0	0	4, 1, 3, 7		3.0	4.0
175	173	0	ii6			Eb	I		ii6	ii		6				m	0	0	-1, 3, 2		2.0	-1.0
175	173	1/2	ii			Eb	I		ii	ii						m	0	0	2, -1, 3		2.0	2.0
176	174	0	V6			Eb	I		V6	V		6				M	0	0	5, 2, 1		1.0	5.0
176	174	1/2	V6(b9)			Eb	I		V6(b9)	V		6	b9			M	0	0	5, 2, 1	-4	1.0	5.0
176	174	3/4	V6			Eb	I		V6	V		6				M	0	0	5, 2, 1		1.0	5.0
177	175	0	i\\			Eb	I		i	i					\\	m	0	0	0, -3, 1		0.0	0.0
178	176	0	V43			Eb	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
179	177	0	i6			Eb	I		i6	i		6				m	0	0	-3, 1, 0		0.0	-3.0
180	178	0	V2			Eb	I		V2	V		2				Mm7	0	0	-1, 1, 5, 2		1.0	-1.0
180	178	1/2	V(b9)			Eb	I		V(b9)	V			b9			M	0	0	1, 5, 2	-4	1.0	1.0
180	178	3/4	V			Eb	I		V	V						M	0	0	1, 5, 2		1.0	1.0
181	179	0	i			Eb	I		i	i						m	0	0	0, -3, 1		0.0	0.0
181	179	1/2	V43			Eb	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
182	180	0	I6			Eb	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
182	180	1/2	iv			Eb	I		iv	iv						m	0	0	-1, -4, 0		-1.0	-1.0
183	181	0	iv6			Eb	I		iv6	iv		6				m	0	0	-4, 0, -1		-1.0	-4.0
184	182	0	V			Eb	I		V	V						M	0	0	1, 5, 2		1.0	1.0
185	183	0	iv6			Eb	I		iv6	iv		6				m	0	0	-4, 0, -1		-1.0	-4.0
186	184	0	V			Eb	I		V	V						M	0	0	1, 5, 2		1.0	1.0
187	185	0	viio/V			Eb	I		viio/V	vii	o			V		o	0	0	6, 3, 0		6.0	6.0
188	186	0	V			Eb	I		V	V						M	0	0	1, 5, 2		1.0	1.0
189	187	0	viio6/V			Eb	I		viio6/V	vii	o	6		V		o	0	0	3, 0, 6		6.0	3.0
190	188	0	V			Eb	I		V	V						M	0	0	1, 5, 2		1.0	1.0
191	189	0	ii6	viio64		Eb	I		ii6	ii		6				m	0	0	-1, 3, 2		2.0	-1.0
192	190	0	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
193	191	0	viio6			Eb	I		viio6	vii	o	6				o	0	0	2, -1, 5		5.0	2.0
194	192	0	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
195	193	0	V6			Eb	I		V6	V		6				M	0	0	5, 2, 1		1.0	5.0
196	194	0	IV6			Eb	I		IV6	IV		6				M	0	0	3, 0, -1		-1.0	3.0
197	195	0	V6/vi			Eb	I		V6/vi	V		6		vi		M	0	0	8, 5, 4		4.0	8.0
198	196	0	V(64)			Eb	I		V(64)	V			64			M	0	0	1, 0, 4		1.0	1.0
198	196	1/2	V7			Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
198	196	3/4	V			Eb	I		V	V						M	0	0	1, 5, 2		1.0	1.0
199	197	0	I64\\			Eb	I		I64	I		64			\\	M	0	0	1, 0, 4		0.0	1.0
199	197	1/2	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
200	198	0	V7			Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
201	199	0	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
202	200	0	V(13)			Eb	I		V(13)	V			13			M	0	0	1, 5, 2	4	1.0	1.0
202	200	1/4	V7			Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
202	200	1/2	V(64)			Eb	I		V(64)	V			64			M	0	0	1, 0, 4		1.0	1.0
202	200	3/4	V7			Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
203	201	0	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
204	202	0	V			Eb	I		V	V						M	0	0	1, 5, 2		1.0	1.0
204	202	1/2	V7			Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
205	203	0	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
206	204	0	V			Eb	I		V	V						M	0	0	1, 5, 2		1.0	1.0
206	204	1/2	V7			Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
207	205	0	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
208	206	0	V			Eb	I		V	V						M	0	0	1, 5, 2		1.0	1.0
208	206	1/2	V2			Eb	I		V2	V		2				Mm7	0	0	-1, 1, 5, 2		1.0	-1.0
209	207	0	I6			Eb	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
209	207	1/2	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
210	208	0	V7			Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
211	209	0	I64			Eb	I		I64	I		64				M	0	0	1, 0, 4		0.0	1.0
211	209	1/2	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
212	210	0	V7			Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
213	211	0	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
214	212	0	V(13)			Eb	I		V(13)	V			13			M	0	0	1, 5, 2	4	1.0	1.0
214	212	1/4	V7			Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
214	212	1/2	V(64)			Eb	I		V(64)	V			64			M	0	0	1, 0, 4		1.0	1.0
214	212	3/4	V7			Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
215	213	0	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
216	214	0	V			Eb	I		V	V						M	0	0	1, 5, 2		1.0	1.0
216	214	1/2	V7			Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
217	215	0	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
218	216	0	V			Eb	I		V	V						M	0	0	1, 5, 2		1.0	1.0
218	216	1/2	V7			Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
219	217	0	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
220	218	0	V			Eb	I		V	V						M	0	0	1, 5, 2		1.0	1.0
220	218	1/2	V2			Eb	I		V2	V		2				Mm7	0	0	-1, 1, 5, 2		1.0	-1.0
221	219	0	I6			Eb	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
221	219	1/4	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
222	220	0	V			Eb	I		V	V						M	0	0	1, 5, 2		1.0	1.0
222	220	1/2	V2			Eb	I		V2	V		2				Mm7	0	0	-1, 1, 5, 2		1.0	-1.0
223	221	0	I6			Eb	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
223	221	1/4	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
224	222	0	V7			Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
225	223	0	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
226	224	0	V			Eb	I		V	V						M	0	0	1, 5, 2		1.0	1.0
227	225	0	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
228	226	0	V			Eb	I		V	V						M	0	0	1, 5, 2		1.0	1.0
229	227	0	I6			Eb	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
230	228	0	V			Eb	I		V	V						M	0	0	1, 5, 2		1.0	1.0
231	229	0	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
232	230	0	V			Eb	I		V	V						M	0	0	1, 5, 2		1.0	1.0
232	230	3/4	V(134)			Eb	I		V(134)	V			134			M	0	0	1, 0, 2	4	1.0	1.0
233	231	0	I6(9)			Eb	I		I6(9)	I		6	9			M	0	0	4, 1, 0	2	0.0	4.0
233	231	3/4	I(9)			Eb	I		I(9)	I			9			M	0	0	0, 4, 1	2	0.0	0.0
234	232	0	V(134)			Eb	I		V(134)	V			134			M	0	0	1, 0, 2	4	1.0	1.0
235	233	0	I6(9)			Eb	I		I6(9)	I		6	9			M	0	0	4, 1, 0	2	0.0	4.0
235	233	3/4	I(9)			Eb	I		I(9)	I			9			M	0	0	0, 4, 1	2	0.0	0.0
236	234	0	V(134)			Eb	I		V(134)	V			134			M	0	0	1, 0, 2	4	1.0	1.0
237	235	0	I6			Eb	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
237	235	1/4	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
237	235	1/2	V			Eb	I		V	V						M	0	0	1, 5, 2		1.0	1.0
237	235	3/4	I6			Eb	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
238	236	1/4	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
238	236	1/2	V			Eb	I		V	V						M	0	0	1, 5, 2		1.0	1.0
238	236	3/4	I6			Eb	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
239	237	1/4	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
239	237	1/2	V			Eb	I		V	V						M	0	0	1, 5, 2		1.0	1.0
239	237	3/4	I6			Eb	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
240	238	1/4	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
240	238	1/2	V			Eb	I		V	V						M	0	0	1, 5, 2		1.0	1.0
240	238	3/4	I6			Eb	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
241	239	0	V			Eb	I		V	V						M	0	0	1, 5, 2		1.0	1.0
241	239	1/2	I(9)			Eb	I		I(9)	I			9			M	0	0	0, 4, 1	2	0.0	0.0
241	239	3/4	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
242	240	0	V			Eb	I		V	V						M	0	0	1, 5, 2		1.0	1.0
242	240	1/2	I(9)			Eb	I		I(9)	I			9			M	0	0	0, 4, 1	2	0.0	0.0
242	240	3/4	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
243	241	0	V			Eb	I		V	V						M	0	0	1, 5, 2		1.0	1.0
243	241	1/2	I(9)			Eb	I		I(9)	I			9			M	0	0	0, 4, 1	2	0.0	0.0
243	241	3/4	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
244	242	0	V			Eb	I		V	V						M	0	0	1, 5, 2		1.0	1.0
244	242	3/4	V7			Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
245	243	0	I\\			Eb	I		I	I					\\	M	0	0	0, 4, 1		0.0	0.0
246	244	0	IM2			Eb	I		IM2	I	M	2				MM7	0	0	5, 0, 4, 1		0.0	5.0
247	245	0	vi			Eb	I		vi	vi						m	0	0	3, 0, 4		3.0	3.0
248	246	0	I64			Eb	I		I64	I		64				M	0	0	1, 0, 4		0.0	1.0
249	247	0	IV			Eb	I		IV	IV						M	0	0	-1, 3, 0		-1.0	-1.0
250	248	0	I6(6)			Eb	I		I6(6)	I		6	6			M	0	0	4, 3, 0		0.0	4.0
250	248	1/2	I6			Eb	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
251	249	0	IV			Eb	I		IV	IV						M	0	0	-1, 3, 0		-1.0	-1.0
252	250	0	I6(6)			Eb	I		I6(6)	I		6	6			M	0	0	4, 3, 0		0.0	4.0
252	250	1/2	I6			Eb	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
253	251	0	IV			Eb	I		IV	IV						M	0	0	-1, 3, 0		-1.0	-1.0
254	252	0	I6(6)			Eb	I		I6(6)	I		6	6			M	0	0	4, 3, 0		0.0	4.0
255	253	0	V			Eb	I		V	V						M	0	0	1, 5, 2		1.0	1.0
256	254	0	V7			Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
257	255	0	I\\			Eb	I		I	I					\\	M	0	0	0, 4, 1		0.0	0.0
