mc	mn	onset	label	alt_label	volta	globalkey	localkey	pedal	chord	numeral	special	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
292	292	0	V(64)			C	I		V(64)	V				64			M	0	0	1, 0, 4		1	1
292	292	1/4	V7			C	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
292	292	1/2	V7(9)			C	I		V7(9)	V			7	9			Mm7	0	0	1, 5, 2, -1	3	1	1
292	292	3/4	V7\\			C	I		V7	V			7			\\	Mm7	0	0	1, 5, 2, -1		1	1
293	293	0	V(64)			C	I		V(64)	V				64			M	0	0	1, 0, 4		1	1
293	293	1/4	V7			C	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
294	294	0	V7(b9)			C	I		V7(b9)	V			7	b9			Mm7	0	0	1, 5, 2, -1	-4	1	1
294	294	1/2	V7\\			C	I		V7	V			7			\\	Mm7	0	0	1, 5, 2, -1		1	1
295	295	0	V(64)			C	I		V(64)	V				64			M	0	0	1, 0, 4		1	1
295	295	1/4	V7			C	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
296	296	0	V7(9)			C	I		V7(9)	V			7	9			Mm7	0	0	1, 5, 2, -1	3	1	1
296	296	1/2	V7\\			C	I		V7	V			7			\\	Mm7	0	0	1, 5, 2, -1		1	1
297	297	0	I			C	I		I	I							M	0	0	0, 4, 1		0	0
298	298	3/4	V2/V			C	I		V2/V	V			2		V		Mm7	0	0	0, 2, 6, 3		2	0
299	299	0	V6			C	I		V6	V			6				M	0	0	5, 2, 1		1	5
299	299	1/2	V2/IV			C	I		V2/IV	V			2		IV		Mm7	0	0	-2, 0, 4, 1		0	-2
300	300	0	IV6			C	I		IV6	IV			6				M	0	0	3, 0, -1		-1	3
300	300	1/2	iv			C	I		iv	iv							m	0	0	-1, -4, 0		-1	-1
301	301	0	V7			C	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
302	302	0	ii6			C	I		ii6	ii			6				m	0	0	-1, 3, 2		2	-1
302	302	1/4	V			C	I		V	V							M	0	0	1, 5, 2		1	1
303	303	0	I			C	I		I	I							M	0	0	0, 4, 1		0	0
303	303	1/2	V			C	I		V	V							M	0	0	1, 5, 2		1	1
304	304	0	I\\			C	I		I	I						\\	M	0	0	0, 4, 1		0	0
