mc	mn	onset	label	alt_label	globalkey	localkey	pedal	chord	numeral	special	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
374	374	0	V		C	I	V	V	V							M	0	0	1, 5, 2		1	1
374	374	1/4	V2/V		C	I	V	V2/V	V			2		V		Mm7	0	0	0, 2, 6, 3		2	0
375	375	0	V		C	I	V	V	V							M	0	0	1, 5, 2		1	1
375	375	1/4	V2/V		C	I	V	V2/V	V			2		V		Mm7	0	0	0, 2, 6, 3		2	0
376	376	0	V		C	I	V	V	V							M	0	0	1, 5, 2		1	1
376	376	1/4	V2/V		C	I	V	V2/V	V			2		V		Mm7	0	0	0, 2, 6, 3		2	0
377	377	0	V		C	I	V	V	V							M	0	0	1, 5, 2		1	1
377	377	1/4	V2/V		C	I	V	V2/V	V			2		V		Mm7	0	0	0, 2, 6, 3		2	0
378	378	0	V\\		C	I	V	V	V						\\	M	0	0	1, 5, 2		1	1
382	382	1/4	V7		C	I	V	V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
386	386	1/4	viio7		C	I	V	viio7	vii		o	7				o7	0	0	5, 2, -1, -4		5	5
396	396	0	#viio43/ii		C	I	V	#viio43/ii	#vii		o	43		ii		o7	0	0	1, -2, 7, 4		7	1
398	398	0	viio65/V		C	I	V	viio65/V	vii		o	65		V		o7	0	0	3, 0, -3, 6		6	3
400	400	0	V		C	I	V	V	V							M	0	0	1, 5, 2		1	1
400	400	1/4	V7]\\		C	I	V	V7	V			7			\\	Mm7	0	0	1, 5, 2, -1		1	1
403	403	0	I[I		C	I	I	I	I							M	0	0	0, 4, 1		0	0
404	404	0	V2		C	I	I	V2	V			2				Mm7	0	0	-1, 1, 5, 2		1	-1
404	404	1/2	I		C	I	I	I	I							M	0	0	0, 4, 1		0	0
406	406	0	V2		C	I	I	V2	V			2				Mm7	0	0	-1, 1, 5, 2		1	-1
406	406	1/2	I		C	I	I	I	I							M	0	0	0, 4, 1		0	0
408	408	0	V2		C	I	I	V2	V			2				Mm7	0	0	-1, 1, 5, 2		1	-1
408	408	1/2	I		C	I	I	I	I							M	0	0	0, 4, 1		0	0
410	410	0	V2		C	I	I	V2	V			2				Mm7	0	0	-1, 1, 5, 2		1	-1
410	410	1/2	I		C	I	I	I	I							M	0	0	0, 4, 1		0	0
411	411	0	V2]		C	I	I	V2	V			2				Mm7	0	0	-1, 1, 5, 2		1	-1
411	411	1/2	I6		C	I		I6	I			6				M	0	0	4, 1, 0		0	4
411	411	3/4	I		C	I		I	I							M	0	0	0, 4, 1		0	0
412	412	0	viio6		C	I		viio6	vii		o	6				o	0	0	2, -1, 5		5	2
412	412	1/4	viio		C	I		viio	vii		o					o	0	0	5, 2, -1		5	5
412	412	1/2	vi6		C	I		vi6	vi			6				m	0	0	0, 4, 3		3	0
412	412	3/4	vi		C	I		vi	vi							m	0	0	3, 0, 4		3	3
413	413	0	V6		C	I		V6	V			6				M	0	0	5, 2, 1		1	5
413	413	1/4	V		C	I		V	V							M	0	0	1, 5, 2		1	1
413	413	1/2	IV6		C	I		IV6	IV			6				M	0	0	3, 0, -1		-1	3
413	413	3/4	IV		C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
414	414	0	iii6		C	I		iii6	iii			6				m	0	0	1, 5, 4		4	1
414	414	1/4	iii		C	I		iii	iii							m	0	0	4, 1, 5		4	4
414	414	1/2	ii6		C	I		ii6	ii			6				m	0	0	-1, 3, 2		2	-1
414	414	3/4	ii		C	I		ii	ii							m	0	0	2, -1, 3		2	2
415	415	0	I6		C	I		I6	I			6				M	0	0	4, 1, 0		0	4
415	415	1/4	I		C	I		I	I							M	0	0	0, 4, 1		0	0
416	416	0	V6		C	I		V6	V			6				M	0	0	5, 2, 1		1	5
416	416	1/2	IV6		C	I		IV6	IV			6				M	0	0	3, 0, -1		-1	3
417	417	0	iii6	V	C	I		iii6	iii			6				m	0	0	1, 5, 4		4	1
417	417	1/2	ii6		C	I		ii6	ii			6				m	0	0	-1, 3, 2		2	-1
418	418	0	I6		C	I		I6	I			6				M	0	0	4, 1, 0		0	4
418	418	1/2	viio6		C	I		viio6	vii		o	6				o	0	0	2, -1, 5		5	2
419	419	0	I		C	I		I	I							M	0	0	0, 4, 1		0	0
419	419	1/2	V		C	I		V	V							M	0	0	1, 5, 2		1	1
420	420	0	ii		C	I		ii	ii							m	0	0	2, -1, 3		2	2
420	420	1/2	vi		C	I		vi	vi							m	0	0	3, 0, 4		3	3
421	421	0	IV		C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
421	421	1/2	I		C	I		I	I							M	0	0	0, 4, 1		0	0
422	422	0	V(4)		C	I		V(4)	V				4			M	0	0	1, 0, 2		1	1
422	422	1/2	V		C	I		V	V							M	0	0	1, 5, 2		1	1
423	423	0	I		C	I		I	I							M	0	0	0, 4, 1		0	0
423	423	1/2	V		C	I		V	V							M	0	0	1, 5, 2		1	1
424	424	0	ii		C	I		ii	ii							m	0	0	2, -1, 3		2	2
424	424	1/2	vi		C	I		vi	vi							m	0	0	3, 0, 4		3	3
425	425	0	IV[IV		C	I	IV	IV	IV							M	0	0	-1, 3, 0		-1	-1
428	428	0	V2/IV		C	I	IV	V2/IV	V			2		IV		Mm7	0	0	-2, 0, 4, 1		0	-2
428	428	1/2	IV		C	I	IV	IV	IV							M	0	0	-1, 3, 0		-1	-1
430	430	0	V2/IV		C	I	IV	V2/IV	V			2		IV		Mm7	0	0	-2, 0, 4, 1		0	-2
430	430	1/2	IV]		C	I	IV	IV	IV							M	0	0	-1, 3, 0		-1	-1
431	431	0	V7		C	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
432	432	0	V(64)		C	I		V(64)	V				64			M	0	0	1, 0, 4		1	1
432	432	1/2	V		C	I		V	V							M	0	0	1, 5, 2		1	1
433	433	0	V7		C	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
434	434	0	I		C	I		I	I							M	0	0	0, 4, 1		0	0
434	434	1/2	V6		C	I		V6	V			6				M	0	0	5, 2, 1		1	5
435	435	0	IV6		C	I		IV6	IV			6				M	0	0	3, 0, -1		-1	3
435	435	1/2	iii6	V	C	I		iii6	iii			6				m	0	0	1, 5, 4		4	1
436	436	0	ii6		C	I		ii6	ii			6				m	0	0	-1, 3, 2		2	-1
436	436	1/2	I6		C	I		I6	I			6				M	0	0	4, 1, 0		0	4
437	437	0	viio6		C	I		viio6	vii		o	6				o	0	0	2, -1, 5		5	2
437	437	1/2	I	vi6	C	I		I	I							M	0	0	0, 4, 1		0	0
438	438	0	V6		C	I		V6	V			6				M	0	0	5, 2, 1		1	5
438	438	1/2	IV6		C	I		IV6	IV			6				M	0	0	3, 0, -1		-1	3
439	439	0	iii6	V	C	I		iii6	iii			6				m	0	0	1, 5, 4		4	1
439	439	1/2	ii6		C	I		ii6	ii			6				m	0	0	-1, 3, 2		2	-1
440	440	0	I6		C	I		I6	I			6				M	0	0	4, 1, 0		0	4
440	440	1/2	V7		C	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
441	441	0	.bVI\\		C	I		bVI	bVI						\\	M	0	0	-4, 0, -3		-4	-4
