mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	absolute_root	offset_x	offset_y	minDistance	offset	volta	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
84	84	0	0	4/4	2	1	V								C	V		V		V							M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	0.5	0.0
84	84	1/2	1/2	4/4	2	1	V7								C	V		V7		V		7					Mm7	0	0	2, 6, 3, 0		2	2	0	8	0.0	0.0	2.0	0.0
85	85	0	0	4/4	2	1	I|PAC}{								C	V		I		I					PAC	}{	M	0	0	1, 5, 2		1	1	12	12	0.5	0.75	0.75	0.5
85	85	3/4	3/4	4/4	2	1	viio/V		0	-4.17012		/			C	V		viio/V		vii	o			V			o	0	0	7, 4, 1		7	7	0	4	0.0	0.0	0.25	0.0
85	85	7/8	7/8	4/4	2	1	V		0	-4.11793		/			C	V		V		V							M	0	0	2, 6, 3		2	2	0	4	0.0	0.0	0.25	0.0
86	86	0	0	4/4	2	1	vi								C	V		vi		vi							m	0	0	4, 1, 5		4	4	8	8	0.5	0.5	0.5	0.5
86	86	1/2	1/2	4/4	2	1	ii								C	V		ii		ii							m	0	0	3, 0, 4		3	3	4	4	0.5	0.25	0.25	0.5
86	86	3/4	3/4	4/4	2	1	viio6							V43	C	V		viio6		vii	o	6					o	0	0	3, 0, 6		6	3	0	8	0.0	0.0	0.5	0.0
87	87	0	0	4/4	2	1	I								C	V		I		I							M	0	0	1, 5, 2		1	1	16	16	0.5	1.0	1.0	0.5
88	88	0	0	4/4	2	1	V								C	V		V		V							M	0	0	2, 6, 3		2	2	6	9	0.4	0.5	0.75	0.4
88	88	5/8	5/8	4/4	2	1	V2								C	V		V2		V		2					Mm7	0	0	0, 2, 6, 3		2	0	0	3	0.0	0.0	0.25	0.0
88	88	3/4	3/4	4/4	2	1	I6								C	V		I6		I		6					M	0	0	5, 2, 1		1	5	0	3	0.0	0.0	0.25	0.0
88	88	7/8	7/8	4/4	2	1	V43							viio6	C	V		V43		V		43					Mm7	0	0	3, 0, 2, 6		2	3	0	3	0.0	0.0	0.25	0.0
89	89	0	0	4/4	2	1	I								C	V		I		I							M	0	0	1, 5, 2		1	1	0	3	0.0	0.0	0.75	0.0
89	89	1/2	1/2	4/4	2	1	V7		0	-3.54382		/			C	V		V7		V		7					Mm7	0	0	2, 6, 3, 0		2	2	0	9	0.0	0.0	2.25	0.0
90	90	0	0	4/4	2	1	I|PAC}		0	-3.7004		/	1		C	V		I		I					PAC	}	M	0	0	1, 5, 2		1	1	0	8	0.0	0.0	2.0	0.0
91	90	0	0	4/4	2	1	I|PAC}		0	-4.09773		/	2		C	V		I		I					PAC	}	M	0	0	1, 5, 2		1	1	0	8	0.0	0.0	2.0	0.0
91	90	1/2	1/2	4/4	2	1	V{		0	-4.16719		/	2		C	V		V		V						{	M	0	0	2, 6, 3		2	2	4	8	0.3333333333333333	0.125	1.375	0.08333333333333333
92	91	1/4	1/4	4/4	2	1	I6								C	V		I6		I		6					M	0	0	5, 2, 1		1	5	0	2	0.0	0.0	0.5	0.0
92	91	1/2	1/2	4/4	2	1	i.V2								C	i		V2		V		2					Mm7	0	1	-1, 1, 5, 2		1	-1	0	4	0.0	0.0	2.0	0.0
93	92	0	0	4/4	2	1	i6		0	-3.13151		/			C	i		i6		i		6					m	0	1	-3, 1, 0		0	-3	0	4	0.0	0.0	1.0	0.0
93	92	1/2	1/2	4/4	2	1	V								C	i		V		V							M	0	1	1, 5, 2		1	1	4	8	0.3333333333333333	0.125	1.375	0.08333333333333333
94	93	1/4	1/4	4/4	2	1	I6		0	-3.17849		/			C	i		I6		I		6					M	0	1	4, 1, 0		0	4	0	2	0.0	0.0	0.5	0.0
94	93	1/2	1/2	4/4	2	1	iv.V2		0	-3.0741		/			C	iv		V2		V		2					Mm7	0	1	-2, 0, 4, 1		0	-2	0	4	0.0	0.0	2.0	0.0
95	94	0	0	4/4	2	1	i6		0	-3.7004		/			C	iv		i6		i		6					m	0	1	-4, 0, -1		-1	-4	4	12	0.25	0.125	2.375	0.05
96	95	1/4	1/4	4/4	2	1	i								C	iv		i		i							m	0	1	-1, -4, 0		-1	-1	0	2	0.0	0.0	0.5	0.0
96	95	1/2	1/2	4/4	2	1	V6/VII		0	-4.63984		/			C	iv		V6/VII		V		6		VII			M	0	1	2, -1, -2		-2	2	4	4	0.5	0.125	0.375	0.25
96	95	3/4	3/4	4/4	2	1	V/VII		0	-4.58765		/			C	iv		V/VII		V				VII			M	0	1	-2, 2, -1		-2	-2	0	2	0.0	0.0	0.5	0.0
97	96	0	0	4/4	2	1	V64/VII		0	-4.79641		/			C	iv		V64/VII		V		64		VII			M	0	1	-1, -2, 2		-2	-1	4	4	0.5	0.125	0.375	0.25
97	96	1/4	1/4	4/4	2	1	V6/VII		0	-5.08346		/			C	iv		V6/VII		V		6		VII			M	0	1	2, -1, -2		-2	2	0	2	0.0	0.0	0.5	0.0
97	96	1/2	1/2	4/4	2	1	V2/VII		0	-5.8298		/			C	iv		V2/VII		V		2		VII			Mm7	0	1	-4, -2, 2, -1		-2	-4	2	6	0.25	0.125	0.375	0.25
97	96	3/4	3/4	4/4	2	1	V43/VII		0	-5.19828		/			C	iv		V43/VII		V		43		VII			Mm7	0	1	-1, -4, -2, 2		-2	-1	0	2	0.0	0.0	0.5	0.0
98	97	0	0	4/4	2	1	V7/VII		0	-4.96864		/			C	iv		V7/VII		V		7		VII			Mm7	0	1	-2, 2, -1, -4		-2	-2	0	40	0.0	0.0	10.0	0.0
100	99	0	0	4/4	2	1	viio7/V								C	iv		viio7/V		vii	o	7		V			o7	0	1	5, 2, -1, -4		5	5	0	40	0.0	0.0	10.0	0.0
102	101	0	0	4/4	2	1	V(64)								C	iv		V(64)		V			64				M	0	1	0, -1, -4		0	0	0	40	0.0	0.0	10.0	0.0
104	103	0	0	4/4	2	1	V/V.V7/iii								C	V/V		V7/iii		V		7		iii			Mm7	0	0	7, 11, 8, 5		7	7	0	40	0.0	0.0	10.0	0.0
106	105	0	0	4/4	2	1	iii64								C	V/V		iii64		iii		64					m	0	0	7, 6, 3		6	7	0	40	0.0	0.0	10.0	0.0
108	107	0	0	4/4	2	1	V65		0	-3.1252		/			C	V/V		V65		V		65					Mm7	0	0	7, 4, 1, 3		3	7	0	8	0.0	0.0	4.25	0.0
108	107	1/4	1/4	4/4	2	1	V65(#6#4)		0	-3.47253		/			C	V/V		V65(#6#4)		V		65	#6#4				Mm7	0	0	7, 9, 13, 3		3	7	2	2	0.5	0.125	0.125	0.5
108	107	1/2	1/2	4/4	2	1	V65		0	-3.3336		/			C	V/V		V65		V		65					Mm7	0	0	7, 4, 1, 3		3	7	0	4	0.0	0.0	0.25	0.0
108	107	3/4	3/4	4/4	2	1	V65(#6#4)		0	-3.63846		/			C	V/V		V65(#6#4)		V		65	#6#4				Mm7	0	0	7, 9, 13, 3		3	7	2	2	0.5	0.125	0.125	0.5
109	108	0	0	4/4	2	1	V65		0	-3.87544		/			C	V/V		V65		V		65					Mm7	0	0	7, 4, 1, 3		3	7	0	8	0.0	0.0	4.25	0.0
109	108	1/4	1/4	4/4	2	1	V65(#6#4)		0	-4.18109		/			C	V/V		V65(#6#4)		V		65	#6#4				Mm7	0	0	7, 9, 13, 3		3	7	2	2	0.5	0.125	0.125	0.5
109	108	1/2	1/2	4/4	2	1	V65		0	-4.10467		/			C	V/V		V65		V		65					Mm7	0	0	7, 4, 1, 3		3	7	0	8	0.0	0.0	0.5	0.0
110	109	0	0	4/4	2	1	I|PAC}{								C	V/V		I		I					PAC	}{	M	0	0	2, 6, 3		2	2	6	10	0.375	0.5	3.5	0.125
111	110	0	0	4/4	2	1	V								C	V/V		V		V							M	0	0	3, 7, 4		3	3	0	8	0.0	0.0	2.0	0.0
112	111	0	0	4/4	2	1	V7								C	V/V		V7		V		7					Mm7	0	0	3, 7, 4, 1		3	3	2	9	0.18181818181818182	0.125	4.375	0.027777777777777776
113	112	0	0	4/4	2	1	I}								C	V/V		I		I						}	M	0	0	2, 6, 3		2	2	0	16	0.0	0.0	4.5	0.0
114	113	1/2	1/2	4/4	2	1	v.#viio7								C	v		#viio7		#vii	o	7					o7	0	1	6, 3, 0, -3		6	6	6	12	0.3333333333333333	0.375	1.125	0.25
116	115	0	0	4/4	2	1	V								C	v		V		V							M	0	1	2, 6, 3		2	2	0	5	0.0	0.0	1.75	0.0
116	115	1/2	1/2	4/4	2	1	iv(2)		-0.529836	-4.718	-0.54096	/		V(b9)	C	v		iv(2)		iv			2				m	0	1	2, -3, 1		0	2	0	2	0.0	0.0	0.5	0.0
116	115	3/4	3/4	4/4	2	1	iv		0.126316	-5.97712		/		V2(b9)	C	v		iv		iv							m	0	1	0, -3, 1		0	0	0	4	0.0	0.0	1.0	0.0
117	116	0	0	4/4	2	1	i6(6)		-0.378947	-6.24452		/			C	v		i6(6)		i		6	6				m	0	1	-2, -3, 1		1	-2	0	4	0.0	0.0	1.0	0.0
117	116	1/4	1/4	4/4	2	1	i6								C	v		i6		i		6					m	0	1	-2, 2, 1		1	-2	0	4	0.0	0.0	1.5	0.0
117	116	1/2	1/2	4/4	2	1	#viio6(4)		-0.865899	-3.51993		/			C	v		#viio6(4)		#vii	o	6	4				o	0	1	-2, 0, 6		6	-2	0	1	0.0	0.0	0.25	0.0
117	116	3/4	3/4	4/4	2	1	#viio6		0.140592	-5.42413		/			C	v		#viio6		#vii	o	6					o	0	1	3, 0, 6		6	3	0	4	0.0	0.0	1.0	0.0
118	117	0	0	4/4	2	1	i.V}{		0	-4.79641		/			C	i		V		V						}{	M	0	1	1, 5, 2		1	1	0	8	0.0	0.0	2.0	0.0
118	117	1/2	1/2	4/4	2	1	#viio7								C	i		#viio7		#vii	o	7					o7	0	1	5, 2, -1, -4		5	5	6	12	0.3333333333333333	0.375	1.125	0.25
120	119	0	0	4/4	2	1	V								C	i		V		V							M	0	1	1, 5, 2		1	1	0	5	0.0	0.0	1.75	0.0
120	119	1/2	1/2	4/4	2	1	iv(2)		0	-3.99267		/		V(b9)	C	i		iv(2)		iv			2				m	0	1	1, -4, 0		-1	1	0	2	0.0	0.0	0.5	0.0
120	119	3/4	3/4	4/4	2	1	iv		0	-3.99		/		V2(b9)	C	i		iv		iv							m	0	1	-1, -4, 0		-1	-1	0	4	0.0	0.0	1.0	0.0
121	120	0	0	4/4	2	1	i6(6)		0	-3.99		/			C	i		i6(6)		i		6	6				m	0	1	-3, -4, 0		0	-3	0	4	0.0	0.0	1.0	0.0
121	120	1/4	1/4	4/4	2	1	i6		0	-3.99		/			C	i		i6		i		6					m	0	1	-3, 1, 0		0	-3	0	4	0.0	0.0	1.5	0.0
121	120	1/2	1/2	4/4	2	1	#viio6(4)								C	i		#viio6(4)		#vii	o	6	4				o	0	1	-3, -1, 5		5	-3	0	2	0.0	0.0	0.5	0.0
121	120	3/4	3/4	4/4	2	1	#viio6		-2.72401	-6.57659		/			C	i		#viio6		#vii	o	6					o	0	1	2, -1, 5		5	2	0	4	0.0	0.0	1.0	0.0
122	121	0	0	4/4	2	1	iv.V}{		0	-5.02631		/			C	iv		V		V						}{	M	0	1	0, 4, 1		0	0	0	8	0.0	0.0	2.0	0.0
122	121	1/2	1/2	4/4	2	1	#viio7		0	-5.06211		/			C	iv		#viio7		#vii	o	7					o7	0	1	4, 1, -2, -5		4	4	6	12	0.3333333333333333	0.375	1.125	0.25
124	123	0	0	4/4	2	1	V								C	iv		V		V							M	0	1	0, 4, 1		0	0	0	5	0.0	0.0	1.75	0.0
124	123	1/2	1/2	4/4	2	1	iv(2)		0	-5.10956		/		V(b9)	C	iv		iv(2)		iv			2				m	0	1	0, -5, -1		-2	0	0	2	0.0	0.0	0.5	0.0
124	123	3/4	3/4	4/4	2	1	iv		0	-5.37051		/		V2(b9)	C	iv		iv		iv							m	0	1	-2, -5, -1		-2	-2	0	4	0.0	0.0	1.0	0.0
125	124	0	0	4/4	2	1	i6(6)		0	-5.37051		/			C	iv		i6(6)		i		6	6				m	0	1	-4, -5, -1		-1	-4	0	4	0.0	0.0	1.0	0.0
125	124	1/4	1/4	4/4	2	1	i6		0	-5.26613		/			C	iv		i6		i		6					m	0	1	-4, 0, -1		-1	-4	0	4	0.0	0.0	1.5	0.0
125	124	1/2	1/2	4/4	2	1	#viio6(4)								C	iv		#viio6(4)		#vii	o	6	4				o	0	1	-4, -2, 4		4	-4	0	1	0.0	0.0	0.25	0.0
125	124	3/4	3/4	4/4	2	1	#viio6		0	-5.16175		/			C	iv		#viio6		#vii	o	6					o	0	1	1, -2, 4		4	1	0	4	0.0	0.0	1.0	0.0
126	125	0	0	4/4	2	1	i(4)		0	-5.36248		/			C	iv		i(4)		i			4				m	0	1	-1, -2, 0		-1	-1	0	4	0.0	0.0	1.0	0.0
126	125	1/4	1/4	4/4	2	1	i		0	-4.69587		/			C	iv		i		i							m	0	1	-1, -4, 0		-1	-1	0	4	0.0	0.0	1.5	0.0
126	125	1/2	1/2	4/4	2	1	i.i6(4)							III(2)	C	i		i6(4)		i		6	4				m	0	1	-1, 1, 0		0	-1	0	1	0.0	0.0	0.25	0.0
126	125	3/4	3/4	4/4	2	1	i6		0	-2.83213		/		III	C	i		i6		i		6					m	0	1	-3, 1, 0		0	-3	0	4	0.0	0.0	1.0	0.0
127	126	0	0	4/4	2	1	#viio6(4)		0	-3.40148		/			C	i		#viio6(4)		#vii	o	6	4				o	0	1	-3, -1, 5		5	-3	4	0	1.0	1.0	0.0	1.0
127	126	1/4	1/4	4/4	2	1	#viio6		0	-3.16425		/			C	i		#viio6		#vii	o	6					o	0	1	2, -1, 5		5	2	0	4	0.0	0.0	1.5	0.0
127	126	1/2	1/2	4/4	2	1	i(2)								C	i		i(2)		i			2				m	0	1	2, -3, 1		0	2	0	1	0.0	0.0	0.25	0.0
127	126	3/4	3/4	4/4	2	1	i								C	i		i		i							m	0	1	0, -3, 1		0	0	0	4	0.0	0.0	1.0	0.0
128	127	0	0	4/4	2	1	iio								C	i		iio		ii	o						o	0	1	2, -1, -4		2	2	0	1	0.0	0.0	0.25	0.0
128	127	1/4	1/4	4/4	2	1	ii%65								C	i		ii%65		ii	%	65					%7	0	1	-1, -4, 0, 2		2	-1	0	6	0.0	0.0	1.5	0.0
128	127	1/2	1/2	4/4	2	1	V6/iv								C	i		V6/iv		V		6		iv			M	0	1	4, 1, 0		0	4	0	1	0.0	0.0	0.25	0.0
128	127	3/4	3/4	4/4	2	1	V64/iv								C	i		V64/iv		V		64		iv			M	0	1	1, 0, 4		0	1	0	6	0.0	0.0	1.5	0.0
129	128	0	0	4/4	2	1	iv								C	i		iv		iv							m	0	1	-1, -4, 0		-1	-1	0	1	0.0	0.0	0.25	0.0
129	128	1/4	1/4	4/4	2	1	iv6		0	-3.2117		/			C	i		iv6		iv		6					m	0	1	-4, 0, -1		-1	-4	0	6	0.0	0.0	1.5	0.0
129	128	1/2	1/2	4/4	2	1	i6								C	i		i6		i		6					m	0	1	-3, 1, 0		0	-3	0	1	0.0	0.0	0.25	0.0
129	128	3/4	3/4	4/4	2	1	Ger7	15						viio7/V	C	i		Ger7	Ger	vii	o	7	b3	V			Ger	0	1	6, -4, 0, -3		6	6	0	6	0.0	0.0	1.5	0.0
130	129	0	0	4/4	2	1	V[V|HC}{								C	i	V	V		V					HC	}{	M	0	1	1, 5, 2		1	1	0	5	0.0	0.0	2.25	0.0
130	129	1/2	1/2	4/4	2	1	viio/V								C	i	V	viio/V		vii	o			V			o	0	1	6, 3, 0		6	6	2	4	0.3333333333333333	0.125	0.375	0.25
131	130	0	0	4/4	2	1	viio2/V								C	i	V	viio2/V		vii	o	2		V			o7	0	1	-3, 6, 3, 0		6	-3	1	3	0.25	1.0	1.75	0.36363636363636365
131	130	1/4	1/4	4/4	2	1	V7/V								C	i	V	V7/V		V		7		V			Mm7	0	1	2, 6, 3, 0		2	2	2	5	0.2857142857142857	0.125	1.125	0.1
132	131	0	0	4/4	2	1	V								C	i	V	V		V							M	0	1	1, 5, 2		1	1	0	6	0.0	0.0	2.5	0.0
132	131	1/2	1/2	4/4	2	1	viio/V								C	i	V	viio/V		vii	o			V			o	0	1	6, 3, 0		6	6	2	4	0.3333333333333333	0.125	0.375	0.25
133	132	0	0	4/4	2	1	viio2/V								C	i	V	viio2/V		vii	o	2		V			o7	0	1	-3, 6, 3, 0		6	-3	1	4	0.2	1.0	2.25	0.3076923076923077
133	132	1/4	1/4	4/4	2	1	V7/V								C	i	V	V7/V		V		7		V			Mm7	0	1	2, 6, 3, 0		2	2	2	5	0.2857142857142857	0.125	1.125	0.1
134	133	0	0	4/4	2	1	V								C	i	V	V		V							M	0	1	1, 5, 2		1	1	0	7	0.0	0.0	3.0	0.0
134	133	1/2	1/2	4/4	2	1	viio/V								C	i	V	viio/V		vii	o			V			o	0	1	6, 3, 0		6	6	2	4	0.3333333333333333	0.125	0.375	0.25
135	134	0	0	4/4	2	1	viio2/V		0	-3.57357		/			C	i	V	viio2/V		vii	o	2		V			o7	0	1	-3, 6, 3, 0		6	-3	1	3	0.25	1.0	1.75	0.36363636363636365
135	134	1/4	1/4	4/4	2	1	V7/V		0	-3.76303		/			C	i	V	V7/V		V		7		V			Mm7	0	1	2, 6, 3, 0		2	2	2	5	0.2857142857142857	0.125	1.125	0.1
136	135	0	0	4/4	2	1	I.V7]		-0.88421	-5.78421		/			C	I	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	12	48	0.2	0.875	19.125	0.04375
140	139	0	0	4/4	2	1	I|IAC}{								C	I		I		I					IAC	}{	M	0	0	0, 4, 1		0	0	6	10	0.375	0.5	3.5	0.125
141	140	0	0	4/4	2	1	V								C	I		V		V							M	0	0	1, 5, 2		1	1	0	8	0.0	0.0	2.0	0.0
142	141	0	0	4/4	2	1	V7								C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	5	11	0.3125	0.375	3.625	0.09375
143	142	0	0	4/4	2	1	I								C	I		I		I							M	0	0	0, 4, 1		0	0	0	8	0.0	0.0	2.0	0.0
144	143	0	0	4/4	2	1	I		0	-3.36266		/			C	I		I		I							M	0	0	0, 4, 1		0	0	0	4	0.0	0.0	2.25	0.0
144	143	1/2	1/2	4/4	2	1	V43		0	-4.18219		/			C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2	2	4	0.3333333333333333	0.125	0.625	0.16666666666666666
144	143	3/4	3/4	4/4	2	1	V2		0	-3.70773		/			C	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1	0	4	0.0	0.0	0.75	0.0
145	144	0	0	4/4	2	1	I6								C	I		I6		I		6					M	0	0	4, 1, 0		0	4	0	4	0.0	0.0	1.0	0.0
145	144	1/4	1/4	4/4	2	1	I								C	I		I		I							M	0	0	0, 4, 1		0	0	0	4	0.0	0.0	1.25	0.0
145	144	1/2	1/2	4/4	2	1	V43		0	-4.31159		/			C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2	2	4	0.3333333333333333	0.125	0.625	0.16666666666666666
145	144	3/4	3/4	4/4	2	1	V2		0	-3.96653		/			C	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1	0	5	0.0	0.0	1.0	0.0
146	145	0	0	4/4	2	1	I6								C	I		I6		I		6					M	0	0	4, 1, 0		0	4	0	3	0.0	0.0	1.0	0.0
146	145	1/4	1/4	4/4	2	1	I								C	I		I		I							M	0	0	0, 4, 1		0	0	0	2	0.0	0.0	0.5	0.0
146	145	1/2	1/2	4/4	2	1	ii65								C	I		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1	0	5	0.0	0.0	2.0	0.0
146	145	3/4	3/4	4/4	2	1	ii7								C	I		ii7		ii		7					mm7	0	0	2, -1, 3, 0		2	2	0	2	0.0	0.0	0.5	0.0
147	146	0	0	4/4	2	1	V								C	I		V		V							M	0	0	1, 5, 2		1	1	0	5	0.0	0.0	1.5	0.0
147	146	1/2	1/2	4/4	2	1	I|IAC}								C	I		I		I					IAC	}	M	0	0	0, 4, 1		0	0	0	3	0.0	0.0	0.75	0.0
148	147	0	0	4/4	2	1	I64{								C	I		I64		I		64				{	M	0	0	1, 0, 4		0	1	0	4	0.0	0.0	1.0	0.0
148	147	1/4	1/4	4/4	2	1	I								C	I		I		I							M	0	0	0, 4, 1		0	0	0	4	0.0	0.0	1.0	0.0
148	147	1/2	1/2	4/4	2	1	ii								C	I		ii		ii							m	0	0	2, -1, 3		2	2	0	4	0.0	0.0	1.0	0.0
148	147	3/4	3/4	4/4	2	1	viio6/V		-0.242933	-4.21215		/		V64/V	C	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3	0	4	0.0	0.0	0.75	0.0
149	148	0	0	4/4	2	1	V6		1.34286	-2.84746		/			C	I		V6		V		6					M	0	0	5, 2, 1		1	5	2	6	0.25	0.25	1.5	0.14285714285714285
149	148	3/8	3/8	4/4	2	1	V7								C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	0	2	0.0	0.0	0.25	0.0
149	148	1/2	1/2	4/4	2	1	I}								C	I		I		I						}	M	0	0	0, 4, 1		0	0	4	6	0.4	0.5	1.0	0.3333333333333333
150	149	0	0	4/4	2	1	I64/IV{		0	-3.07551		/			C	I		I64/IV		I		64		IV		{	M	0	0	0, -1, 3		-1	0	0	4	0.0	0.0	1.0	0.0
150	149	1/4	1/4	4/4	2	1	I/IV		1.34286	-3.65103		/			C	I		I/IV		I				IV			M	0	0	-1, 3, 0		-1	-1	0	4	0.0	0.0	1.0	0.0
150	149	1/2	1/2	4/4	2	1	ii/IV		0	-4.6634		/			C	I		ii/IV		ii				IV			m	0	0	1, -2, 2		1	1	0	4	0.0	0.0	1.0	0.0
150	149	3/4	3/4	4/4	2	1	viio6/V/IV		-0.767351	-5.93065		/		V64/V/IV	C	I		viio6/V/IV		vii	o	6		V/IV			o	0	0	2, -1, 5		5	2	0	4	0.0	0.0	0.75	0.0
151	150	0	0	4/4	2	1	V6/IV		0.191838	-4.1679	-1.99389	/			C	I		V6/IV		V		6		IV			M	0	0	4, 1, 0		0	4	2	6	0.25	0.25	1.5	0.14285714285714285
151	150	3/8	3/8	4/4	2	1	V7/IV		-0.959188	-4.97273		/			C	I		V7/IV		V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0	0	2	0.0	0.0	0.25	0.0
151	150	1/2	1/2	4/4	2	1	I/IV}		0	-4.11793		/			C	I		I/IV		I				IV		}	M	0	0	-1, 3, 0		-1	-1	4	10	0.2857142857142857	0.5	2.0	0.2
152	151	1/4	1/4	4/4	2	1	V6/V		-0.505263	-5.7138		/			C	I		V6/V		V		6		V			M	0	0	6, 3, 2		2	6	0	4	0.0	0.0	1.0	0.0
152	151	1/2	1/2	4/4	2	1	V		-0.252631	-4.9		/			C	I		V		V							M	0	0	1, 5, 2		1	1	0	4	0.0	0.0	1.0	0.0
152	151	3/4	3/4	4/4	2	1	#viio/vi		-1.03478	-3.87971		/			C	I		#viio/vi		#vii	o			vi			o	0	0	8, 5, 2		8	8	0	4	0.0	0.0	0.5	0.0
153	152	0	0	4/4	2	1	V/ii								C	I		V/ii		V				ii			M	0	0	3, 7, 4		3	3	2	4	0.3333333333333333	0.25	1.0	0.2
153	152	1/4	1/4	4/4	2	1	V2/ii		0	-3.17849		/			C	I		V2/ii		V		2		ii			Mm7	0	0	1, 3, 7, 4		3	1	0	4	0.0	0.0	0.75	0.0
153	152	1/2	1/2	4/4	2	1	viio/V								C	I		viio/V		vii	o			V			o	0	0	6, 3, 0		6	6	2	4	0.3333333333333333	0.25	0.75	0.25
153	152	3/4	3/4	4/4	2	1	V7/V								C	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2	2	4	0.3333333333333333	0.25	0.75	0.25
154	153	0	0	4/4	2	1	V								C	I		V		V							M	0	0	1, 5, 2		1	1	0	4	0.0	0.0	1.0	0.0
154	153	1/4	1/4	4/4	2	1	V2								C	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1	0	4	0.0	0.0	0.75	0.0
154	153	1/2	1/2	4/4	2	1	viio/IV								C	I		viio/IV		vii	o			IV			o	0	0	4, 1, -2		4	4	2	4	0.3333333333333333	0.25	0.75	0.25
154	153	3/4	3/4	4/4	2	1	V7/IV								C	I		V7/IV		V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0	2	4	0.3333333333333333	0.25	0.75	0.25
155	154	0	0	4/4	2	1	IV								C	I		IV		IV							M	0	0	-1, 3, 0		-1	-1	2	6	0.25	0.25	1.5	0.14285714285714285
155	154	1/2	1/2	4/4	2	1	ii		0	-4.10749		/			C	I		ii		ii							m	0	0	2, -1, 3		2	2	4	4	0.5	0.5	0.5	0.5
155	154	3/4	3/4	4/4	2	1	ii6		0	-4.22231		/			C	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1	0	4	0.0	0.0	0.5	0.0
155	154	7/8	7/8	4/4	2	1	viio/V		0	-4.05008		/		V65/V	C	I		viio/V		vii	o			V			o	0	0	6, 3, 0		6	6	0	4	0.0	0.0	0.5	0.0
156	155	0	0	4/4	2	1	V|HC}{		0.517391	-3.56648		/			C	I		V		V					HC	}{	M	0	0	1, 5, 2		1	1	3	7	0.3	0.1875	0.8125	0.1875
156	155	1/2	1/2	4/4	2	1	V43		0	-4.05008		/			C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2	1	10	0.09090909090909091	0.03125	0.71875	0.041666666666666664
157	156	0	0	4/4	2	1	I		0.28519	-3.99359		/			C	I		I		I							M	0	0	0, 4, 1		0	0	2	11	0.15384615384615385	0.0625	0.9375	0.0625
157	156	1/2	1/2	4/4	2	1	V65								C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5	1	6	0.14285714285714285	0.0625	0.5625	0.1
157	156	3/4	3/4	4/4	2	1	I								C	I		I		I							M	0	0	0, 4, 1		0	0	1	7	0.125	0.0625	0.6875	0.08333333333333333
158	157	0	0	4/4	2	1	V|HC}								C	I		V		V					HC	}	M	0	0	1, 5, 2		1	1	3	7	0.3	0.1875	0.8125	0.1875
158	157	1/2	1/2	4/4	2	1	V43								C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2	1	11	0.08333333333333333	0.03125	0.90625	0.03333333333333333
159	158	0	0	4/4	2	1	I		0	-4.27972		/			C	I		I		I							M	0	0	0, 4, 1		0	0	3	13	0.1875	0.0625	1.3125	0.045454545454545456
159	158	1/2	1/2	4/4	2	1	V65								C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5	1	6	0.14285714285714285	0.0625	0.5625	0.1
159	158	3/4	3/4	4/4	2	1	I								C	I		I		I							M	0	0	0, 4, 1		0	0	1	7	0.125	0.0625	0.6875	0.08333333333333333
160	159	0	0	4/4	2	1	V|HC								C	I		V		V					HC		M	0	0	1, 5, 2		1	1	12	15	0.4444444444444444	0.75	1.5	0.3333333333333333
162	161	0	0	4/4	2	1	i{		0	-3.53338		/			C	I		i		i						{	m	0	0	0, -3, 1		0	0	3	12	0.2	0.375	1.625	0.1875
163	162	0	0	4/4	2	1	V2(4)/V		0	-3.41856		/			C	I		V2(4)/V		V		2	4	V			Mm7	0	0	0, 2, 1, 3		2	0	0	3	0.0	0.0	0.25	0.0
163	162	1/8	1/8	4/4	2	1	V2/V								C	I		V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2	0	0	11	0.0	0.0	1.75	0.0
