mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
77	77	1/4	1/4	4/4	2	1	i6	0	-6.80374	/			d	v		i6		i		6					m	1	1	0, 4, 3		3	0	0	2	0.0	0.0	0.25	0.0
77	77	1/2	1/2	4/4	2	1	#viio	0	-6.5741	/			d	v		#viio		#vii	o						o	1	1	8, 5, 2		8	8	0	5	0.0	0.0	1.75	0.0
77	77	3/4	3/4	4/4	2	1	V7	0	-6.68892	/			d	v		V7		V		7					Mm7	1	1	4, 8, 5, 2		4	4	0	2	0.0	0.0	0.25	0.0
78	78	0	0	4/4	2	1	i						d	v		i		i							m	1	1	3, 0, 4		3	3	0	5	0.0	0.0	1.75	0.0
78	78	1/4	1/4	4/4	2	1	V(64)						d	v		V(64)		V			64				M	1	1	4, 3, 0		4	4	0	2	0.0	0.0	0.25	0.0
78	78	1/2	1/2	4/4	2	1	V						d	v		V		V							M	1	1	4, 8, 5		4	4	2	5	0.2857142857142857	0.25	1.75	0.125
79	79	0	0	4/4	2	1	V(64){						d	v		V(64)		V			64			{	M	1	1	4, 3, 0		4	4	0	7	0.0	0.0	2.0	0.0
79	79	1/2	1/2	4/4	2	1	V(13)						d	v		V(13)		V			13				M	1	1	4, 8, 5	0	4	4	0	3	0.0	0.0	0.75	0.0
79	79	3/4	3/4	4/4	2	1	V7						d	v		V7		V		7					Mm7	1	1	4, 8, 5, 2		4	4	0	4	0.0	0.0	0.75	0.0
80	80	0	0	4/4	2	1	V7(134)						d	v		V7(134)		V		7	134				Mm7	1	1	4, 3, 5, 2	0	4	4	0	5	0.0	0.0	1.25	0.0
80	80	1/4	1/4	4/4	2	1	V(64)						d	v		V(64)		V			64				M	1	1	4, 3, 0		4	4	1	6	0.14285714285714285	0.125	1.875	0.0625
80	80	3/4	3/4	4/4	2	1	V						d	v		V		V							M	1	1	4, 8, 5		4	4	1	3	0.25	0.125	0.625	0.16666666666666666
81	81	0	0	4/4	2	1	i						d	v		i		i							m	1	1	3, 0, 4		3	3	0	3	0.0	0.0	1.0	0.0
81	81	1/4	1/4	4/4	2	1	i6						d	v		i6		i		6					m	1	1	0, 4, 3		3	0	0	4	0.0	0.0	1.25	0.0
81	81	1/2	1/2	4/4	2	1	V6(13)	0	-7.26303	/			d	v		V6(13)		V		6	13				M	1	1	8, 5, 4	0	4	8	0	2	0.0	0.0	0.25	0.0
81	81	3/4	3/4	4/4	2	1	V7	0	-7.26	/			d	v		V7		V		7					Mm7	1	1	4, 8, 5, 2		4	4	0	5	0.0	0.0	1.0	0.0
82	82	0	0	4/4	2	1	i(119)	0	-7.26	/			d	v		i(119)		i			119				m	1	1	3, 0, 4	2, 5	3	3	0	5	0.0	0.0	1.0	0.0
82	82	1/4	1/4	4/4	2	1	V(64)	0	-7.26	/			d	v		V(64)		V			64				M	1	1	4, 3, 0		4	4	1	6	0.14285714285714285	0.125	1.875	0.0625
82	82	3/4	3/4	4/4	2	1	V						d	v		V		V							M	1	1	4, 8, 5		4	4	1	4	0.2	0.125	0.875	0.125
83	83	0	0	4/4	2	1	V(64)						d	v		V(64)		V			64				M	1	1	4, 3, 0		4	4	0	7	0.0	0.0	2.0	0.0
83	83	1/2	1/2	4/4	2	1	V(13)						d	v		V(13)		V			13				M	1	1	4, 8, 5	0	4	4	0	3	0.0	0.0	0.75	0.0
83	83	3/4	3/4	4/4	2	1	V7						d	v		V7		V		7					Mm7	1	1	4, 8, 5, 2		4	4	0	4	0.0	0.0	0.75	0.0
84	84	0	0	4/4	2	1	V7(134)						d	v		V7(134)		V		7	134				Mm7	1	1	4, 3, 5, 2	0	4	4	0	5	0.0	0.0	1.25	0.0
84	84	1/4	1/4	4/4	2	1	V(64)						d	v		V(64)		V			64				M	1	1	4, 3, 0		4	4	1	6	0.14285714285714285	0.125	1.875	0.0625
84	84	3/4	3/4	4/4	2	1	V						d	v		V		V							M	1	1	4, 8, 5		4	4	1	3	0.25	0.125	0.625	0.16666666666666666
85	85	0	0	4/4	2	1	i						d	v		i		i							m	1	1	3, 0, 4		3	3	0	7	0.0	0.0	1.5	0.0
85	85	1/2	1/2	4/4	2	1	V						d	v		V		V							M	1	1	4, 8, 5		4	4	2	6	0.25	0.25	1.5	0.14285714285714285
86	86	0	0	4/4	2	1	i						d	v		i		i							m	1	1	3, 0, 4		3	3	0	7	0.0	0.0	1.5	0.0
86	86	1/2	1/2	4/4	2	1	V						d	v		V		V							M	1	1	4, 8, 5		4	4	2	6	0.25	0.25	1.5	0.14285714285714285
87	87	0	0	4/4	2	1	i|PAC}						d	v		i		i					PAC	}	m	1	1	3, 0, 4		3	3	0	18	0.0	0.0	11.25	0.0
91	91	0	0	4/4	2	1	i.iv				1	iio6	d	i		iv		iv							m	1	1	1, -2, 2		1	1	0	3	0.0	0.0	1.5	0.0
91	91	1/2	1/2	4/4	2	1	i6				1		d	i		i6		i		6					m	1	1	-1, 3, 2		2	-1	0	3	0.0	0.0	1.5	0.0
92	92	0	0	4/4	2	1	#viio6				1		d	i		#viio6		#vii	o	6					o	1	1	4, 1, 7		7	4	0	2	0.0	0.0	1.0	0.0
92	92	1/2	1/2	4/4	2	1	i6				1		d	i		i6		i		6					m	1	1	-1, 3, 2		2	-1	0	2	0.0	0.0	0.5	0.0
92	92	3/4	3/4	4/4	2	1	i				1		d	i		i		i							m	1	1	2, -1, 3		2	2	0	8	0.0	0.0	6.5	0.0
95	92	0	0	4/4	2	1	i.iv					iio6	d	i		iv		iv							m	1	1	1, -2, 2		1	1	6	8	0.42857142857142855	0.375	6.125	0.057692307692307696
97	93	1/2	1/2	4/4	2	1	V6/iv{						d	i		V6/iv		V		6		iv		{	M	1	1	6, 3, 2		2	6	6	8	0.42857142857142855	0.375	2.0	0.15789473684210525
99	95	5/8	5/8	4/4	2	1	#viio7/#vii	-3.34023	-6	/			d	i		#viio7/#vii		#vii	o	7		#vii			o7	1	1	12, 9, 6, 3		12	12	6	7	0.46153846153846156	0.8125	1.9375	0.29545454545454547
101	97	5/8	5/8	4/4	2	1	#iii.V(64)}	0.449671	5.07385	/			d	#iii		V(64)		V			64			}	M	1	1	7, 6, 3		7	7	1	2	0.3333333333333333	1.0	0.5	0.6666666666666666
103	99	0	0	4/4	2	1	i{						d	#iii		i		i						{	m	1	1	6, 3, 7		6	6	2	81	0.024096385542168676	0.5	9.0	0.05263157894736842
107	103	0	0	4/4	2	1	V43						d	#iii		V43		V		43					Mm7	1	1	8, 5, 7, 11		7	8	2	61	0.031746031746031744	0.5	6.5	0.07142857142857142
110	106	0	0	4/4	2	1	V65						d	#iii		V65		V		65					Mm7	1	1	11, 8, 5, 7		7	11	0	20	0.0	0.0	2.5	0.0
111	107	0	0	4/4	2	1	i6						d	#iii		i6		i		6					m	1	1	3, 7, 6		6	3	0	31	0.0	0.0	3.5	0.0
112	108	1/2	1/2	4/4	2	1	i						d	#iii		i		i							m	1	1	6, 3, 7		6	6	0	10	0.0	0.0	1.0	0.0
113	109	0	0	4/4	2	1	iv						d	#iii		iv		iv							m	1	1	5, 2, 6		5	5	0	41	0.0	0.0	4.5	0.0
115	111	0	0	4/4	2	1	bII6						d	#iii		bII6		bII		6					M	1	1	5, 2, 1		1	5	0	31	0.0	0.0	3.5	0.0
116	112	1/2	1/2	4/4	2	1	i.VI						d	i		VI		VI							M	1	1	-2, 2, -1		-2	-2	7	3	0.7	0.75	0.25	0.75
117	113	0	0	4/4	2	1	VII	0.112418	5.7548	/			d	i		VII		VII							M	1	1	0, 4, 1		0	0	0	41	0.0	0.0	4.5	0.0
119	115	0	0	4/4	2	1	V6						d	i		V6		V		6					M	1	1	7, 4, 3		3	7	0	31	0.0	0.0	3.5	0.0
120	116	1/2	1/2	4/4	2	1	V						d	i		V		V							M	1	1	3, 7, 4		3	3	0	10	0.0	0.0	1.0	0.0
121	117	0	0	4/4	2	1	i						d	i		i		i							m	1	1	2, -1, 3		2	2	0	41	0.0	0.0	4.5	0.0
123	119	0	0	4/4	2	1	viio6/V						d	i		viio6/V		vii	o	6		V			o	1	1	5, 2, 8		8	5	0	14	0.0	0.0	1.5	0.0
124	120	0	0	4/4	2	1	It6						d	i		It6	It	vii	o	6	b3	V			It	1	1	-2, 2, 8		8	-2	0	14	0.0	0.0	1.5	0.0
125	121	0	0	4/4	2	1	V|HC}						d	i		V		V					HC	}	M	1	1	3, 7, 4		3	3	8	19	0.2962962962962963	1.0	2.375	0.2962962962962963
126	122	1/2	1/2	4/4	2	1	V(64)						d	i		V(64)		V			64				M	1	1	3, 2, -1		3	3	0	6	0.0	0.0	0.75	0.0
126	122	3/4	3/4	4/4	2	1	V(#964)						d	i		V(#964)		V			#964				M	1	1	3, 2, -1	5	3	3	0	6	0.0	0.0	0.75	0.0
127	123	0	0	4/4	2	1	V						d	i		V		V							M	1	1	3, 7, 4		3	3	0	12	0.0	0.0	1.5	0.0
127	123	1/2	1/2	4/4	2	1	V(64)						d	i		V(64)		V			64				M	1	1	3, 2, -1		3	3	0	6	0.0	0.0	0.75	0.0
127	123	3/4	3/4	4/4	2	1	V(#964)						d	i		V(#964)		V			#964				M	1	1	3, 2, -1	5	3	3	0	6	0.0	0.0	0.75	0.0
128	124	0	0	4/4	2	1	V						d	i		V		V							M	1	1	3, 7, 4		3	3	0	12	0.0	0.0	1.5	0.0
128	124	1/2	1/2	4/4	2	1	V(64)						d	i		V(64)		V			64				M	1	1	3, 2, -1		3	3	0	6	0.0	0.0	0.75	0.0
128	124	3/4	3/4	4/4	2	1	V(#964)						d	i		V(#964)		V			#964				M	1	1	3, 2, -1	5	3	3	0	6	0.0	0.0	0.75	0.0
129	125	0	0	4/4	2	1	V						d	i		V		V							M	1	1	3, 7, 4		3	3	8	14	0.36363636363636365	1.0	1.75	0.36363636363636365
130	126	1/4	1/4	4/4	2	1	V6						d	i		V6		V		6					M	1	1	7, 4, 3		3	7	0	6	0.0	0.0	0.75	0.0
