mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	volta	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
82	80	1/2	1/2	4/4	2	1	i	0	-3.72261		/		E	I	V	i		i							m	0	0	4, 1, 5		4	4	0	10	0.0	0.0	1.625	0.0
83	81	0	0	4/4	2	1	V	0	-3.87544		/		E	I	V	V		V							M	0	0	5, 9, 6		5	5	0	11	0.0	0.0	2.625	0.0
83	81	1/2	1/2	4/4	2	1	i6	0	-3.87544		/		E	I	V	i6		i		6					m	0	0	1, 5, 4		4	1	0	10	0.0	0.0	1.625	0.0
84	82	0	0	4/4	2	1	V	0	-3.03489		/		E	I	V	V		V							M	0	0	5, 9, 6		5	5	0	9	0.0	0.0	1.5	0.0
84	82	1/2	1/2	4/4	2	1	i	0	-3.49337		/		E	I	V	i		i							m	0	0	4, 1, 5		4	4	0	10	0.0	0.0	1.625	0.0
85	83	0	0	4/4	2	1	V	0	-3.72261		/		E	I	V	V		V							M	0	0	5, 9, 6		5	5	0	10	0.0	0.0	1.625	0.0
85	83	1/2	1/2	4/4	2	1	viio6/V	0	-3.41696		/		E	I	V	viio6/V		vii	o	6		V			o	0	0	7, 4, 10		10	7	3	7	0.3	0.375	1.25	0.23076923076923078
86	84	0	0	4/4	2	1	V						E	I	V	V		V							M	0	0	5, 9, 6		5	5	0	11	0.0	0.0	2.625	0.0
86	84	1/2	1/2	4/4	2	1	i						E	I	V	i		i							m	0	0	4, 1, 5		4	4	0	10	0.0	0.0	1.625	0.0
87	85	0	0	4/4	2	1	V						E	I	V	V		V							M	0	0	5, 9, 6		5	5	0	11	0.0	0.0	2.625	0.0
87	85	1/2	1/2	4/4	2	1	i6						E	I	V	i6		i		6					m	0	0	1, 5, 4		4	1	0	10	0.0	0.0	1.625	0.0
88	86	0	0	4/4	2	1	V						E	I	V	V		V							M	0	0	5, 9, 6		5	5	0	9	0.0	0.0	1.5	0.0
88	86	1/2	1/2	4/4	2	1	i	0	-3.61146		/		E	I	V	i		i							m	0	0	4, 1, 5		4	4	0	10	0.0	0.0	1.625	0.0
89	87	0	0	4/4	2	1	V	0	-3.47253		/		E	I	V	V		V							M	0	0	5, 9, 6		5	5	0	10	0.0	0.0	1.625	0.0
89	87	1/2	1/2	4/4	2	1	viio6/V						E	I	V	viio6/V		vii	o	6		V			o	0	0	7, 4, 10		10	7	3	7	0.3	0.375	1.25	0.23076923076923078
90	88	0	0	4/4	2	1	V						E	I	V	V		V							M	0	0	5, 9, 6		5	5	0	10	0.0	0.0	1.625	0.0
90	88	1/2	1/2	4/4	2	1	IV6	0	-3.44727		/		E	I	V	IV6		IV		6					M	0	0	7, 4, 3		3	7	3	7	0.3	0.375	1.25	0.23076923076923078
91	89	0	0	4/4	2	1	V(64)	0	-3.51042		/		E	I	V	V(64)		V			64				M	0	0	5, 4, 8		5	5	0	13	0.0	0.0	2.0	0.0
91	89	1/2	1/2	4/4	2	1	V7]						E	I	V	V7		V		7					Mm7	0	0	5, 9, 6, 3		5	5	0	13	0.0	0.0	2.0	0.0
92	90	0	0	4/4	2	1	I[I|IAC}{						E	I	I	I		I					IAC	}{	M	0	0	4, 8, 5		4	4	8	15	0.34782608695652173	0.5	4.4375	0.10126582278481013
93	91	0	0	4/4	2	1	IV						E	I	I	IV		IV							M	0	0	3, 7, 4		3	3	4	5	0.4444444444444444	0.25	1.1875	0.17391304347826086
93	91	1/2	1/2	4/4	2	1	ii6						E	I	I	ii6		ii		6					m	0	0	3, 7, 6		6	3	5	6	0.45454545454545453	0.3125	1.6875	0.15625
94	92	0	0	4/4	2	1	V2						E	I	I	V2		V		2					Mm7	0	0	3, 5, 9, 6		5	3	3	7	0.3	0.1875	1.75	0.0967741935483871
94	92	1/2	1/2	4/4	2	1	V43						E	I	I	V43		V		43					Mm7	0	0	6, 3, 5, 9		5	6	4	10	0.2857142857142857	0.25	1.75	0.125
95	93	0	0	4/4	2	1	I]|IAC}	0	-6.85744		/		E	I	I	I		I					IAC	}	M	0	0	4, 8, 5		4	4	2	6	0.25	0.125	2.25	0.05263157894736842
96	94	1/8	1/8	4/4	2	1	viio6						E	I		viio6		vii	o	6					o	0	0	6, 3, 9		9	6	0	2	0.0	0.0	0.125	0.0
96	94	1/4	1/4	4/4	2	1	I6	0	-3.06836		/		E	I		I6		I		6					M	0	0	8, 5, 4		4	8	0	2	0.0	0.0	0.125	0.0
96	94	3/8	3/8	4/4	2	1	IV	0	-2.94206		/		E	I		IV		IV							M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.125	0.0
96	94	1/2	1/2	4/4	2	1	I	0	-3.19466		/		E	I		I		I							M	0	0	4, 8, 5		4	4	0	3	0.0	0.0	0.375	0.0
96	94	5/8	5/8	4/4	2	1	viio6						E	I		viio6		vii	o	6					o	0	0	6, 3, 9		9	6	0	2	0.0	0.0	0.125	0.0
96	94	3/4	3/4	4/4	2	1	I6						E	I		I6		I		6					M	0	0	8, 5, 4		4	8	0	2	0.0	0.0	0.125	0.0
96	94	7/8	7/8	4/4	2	1	IV						E	I		IV		IV							M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.125	0.0
97	95	0	0	4/4	2	1	I						E	I		I		I							M	0	0	4, 8, 5		4	4	0	3	0.0	0.0	0.375	0.0
97	95	1/8	1/8	4/4	2	1	viio6						E	I		viio6		vii	o	6					o	0	0	6, 3, 9		9	6	0	2	0.0	0.0	0.125	0.0
97	95	1/4	1/4	4/4	2	1	I6						E	I		I6		I		6					M	0	0	8, 5, 4		4	8	0	2	0.0	0.0	0.125	0.0
97	95	3/8	3/8	4/4	2	1	IV						E	I		IV		IV							M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.125	0.0
97	95	1/2	1/2	4/4	2	1	I						E	I		I		I							M	0	0	4, 8, 5		4	4	0	3	0.0	0.0	0.375	0.0
97	95	5/8	5/8	4/4	2	1	viio6						E	I		viio6		vii	o	6					o	0	0	6, 3, 9		9	6	0	2	0.0	0.0	0.125	0.0
97	95	3/4	3/4	4/4	2	1	I6						E	I		I6		I		6					M	0	0	8, 5, 4		4	8	0	2	0.0	0.0	0.125	0.0
97	95	7/8	7/8	4/4	2	1	viio/V						E	I		viio/V		vii	o			V			o	0	0	10, 7, 4		10	10	0	2	0.0	0.0	0.125	0.0
98	96	0	0	4/4	2	1	V						E	I		V		V							M	0	0	5, 9, 6		5	5	0	3	0.0	0.0	1.5	0.0
98	96	1/4	1/4	4/4	2	1	V(64)	0	-4.17012		/		E	I		V(64)		V			64				M	0	0	5, 4, 8		5	5	0	3	0.0	0.0	0.375	0.0
98	96	1/2	1/2	4/4	2	1	V7	0	-4.06573		/		E	I		V7		V		7					Mm7	0	0	5, 9, 6, 3		5	5	0	8	0.0	0.0	1.5	0.0
99	97	0	0	4/4	2	1	V(64)						E	I		V(64)		V			64				M	0	0	5, 4, 8		5	5	0	9	0.0	0.0	1.875	0.0
99	97	1/2	1/2	4/4	2	1	V7	0	-6.86871		/		E	I		V7		V		7					Mm7	0	0	5, 9, 6, 3		5	5	0	8	0.0	0.0	1.5	0.0
100	98	0	0	4/4	2	1	I	0	-5.79862		/		E	I		I		I							M	0	0	4, 8, 5		4	4	0	4	0.0	0.0	1.375	0.0
100	98	1/4	1/4	4/4	2	1	I6						E	I		I6		I		6					M	0	0	8, 5, 4		4	8	1	2	0.3333333333333333	0.0625	0.3125	0.16666666666666666
100	98	1/2	1/2	4/4	2	1	ii6	0	-5.8		/		E	I		ii6		ii		6					m	0	0	3, 7, 6		6	3	1	3	0.25	0.125	0.875	0.125
100	98	3/4	3/4	4/4	2	1	V6/V	0	-5.8		/		E	I		V6/V		V		6		V			M	0	0	10, 7, 6		6	10	1	2	0.3333333333333333	0.125	0.375	0.25
101	99	0	0	4/4	2	1	V(64)						E	I		V(64)		V			64				M	0	0	5, 4, 8		5	5	1	4	0.2	0.25	2.5	0.09090909090909091
101	99	1/2	1/2	4/4	2	1	V(4)						E	I		V(4)		V			4				M	0	0	5, 4, 6		5	5	1	2	0.3333333333333333	0.25	1.0	0.2
101	99	3/4	3/4	4/4	2	1	V7						E	I		V7		V		7					Mm7	0	0	5, 9, 6, 3		5	5	0	2	0.0	0.0	0.5	0.0
102	100	0	0	4/4	2	1	I						E	I		I		I							M	0	0	4, 8, 5		4	4	0	5	0.0	0.0	1.875	0.0
102	100	1/4	1/4	4/4	2	1	I6						E	I		I6		I		6					M	0	0	8, 5, 4		4	8	1	2	0.3333333333333333	0.0625	0.3125	0.16666666666666666
102	100	1/2	1/2	4/4	2	1	ii6						E	I		ii6		ii		6					m	0	0	3, 7, 6		6	3	1	3	0.25	0.125	0.875	0.125
102	100	3/4	3/4	4/4	2	1	V6/V						E	I		V6/V		V		6		V			M	0	0	10, 7, 6		6	10	1	2	0.3333333333333333	0.125	0.375	0.25
103	101	0	0	4/4	2	1	V(64)						E	I		V(64)		V			64				M	0	0	5, 4, 8		5	5	1	4	0.2	0.25	3.0	0.07692307692307693
103	101	1/2	1/2	4/4	2	1	V(4)						E	I		V(4)		V			4				M	0	0	5, 4, 6		5	5	0	2	0.0	0.0	1.0	0.0
103	101	3/4	3/4	4/4	2	1	V						E	I		V		V							M	0	0	5, 9, 6		5	5	0	1	0.0	0.0	0.25	0.0
104	102	0	0	4/4	2	1	bVI[bVI|DC}{						E	I	bVI	bVI		bVI					DC	}{	M	0	0	0, 4, 1		0	0	4	12	0.25	0.25	3.1875	0.07272727272727272
105	103	0	0	4/4	2	1	viio6/bVI						E	I	bVI	viio6/bVI		vii	o	6		bVI			o	0	0	2, -1, 5		5	2	4	6	0.4	0.25	1.6875	0.12903225806451613
105	103	1/2	1/2	4/4	2	1	V7/bVI						E	I	bVI	V7/bVI		V		7		bVI			Mm7	0	0	1, 5, 2, -1		1	1	4	4	0.5	0.5	2.0	0.2
106	104	0	0	4/4	2	1	bVI]						E	I	bVI	bVI		bVI							M	0	0	0, 4, 1		0	0	8	9	0.47058823529411764	0.5	2.4375	0.1702127659574468
107	105	0	0	4/4	2	1	It6	-0.546083	-6.13136		/		E	I		It6	It	vii	o	6	b3	V			It	0	0	0, 4, 10		10	0	6	10	0.375	0.375	2.625	0.125
108	106	0	0	4/4	2	1	V[V|HC}{						E	I	V	V		V					HC	}{	M	0	0	5, 9, 6		5	5	0	7	0.0	0.0	1.125	0.0
108	106	1/2	1/2	4/4	2	1	viio43/V						E	I	V	viio43/V		vii	o	43		V			o7	0	0	4, 1, 10, 7		10	4	4	4	0.5	0.5	2.0	0.2
109	107	0	0	4/4	2	1	V						E	I	V	V		V							M	0	0	5, 9, 6		5	5	0	8	0.0	0.0	2.0	0.0
109	107	1/2	1/2	4/4	2	1	viio2/V	0	-3.2117		/		E	I	V	viio2/V		vii	o	2		V			o7	0	0	1, 10, 7, 4		10	1	5	4	0.5555555555555556	0.5625	1.4375	0.28125
110	108	0	0	4/4	2	1	V						E	I	V	V		V							M	0	0	5, 9, 6		5	5	0	8	0.0	0.0	2.0	0.0
110	108	1/2	1/2	4/4	2	1	viio43/V	0	-3.40148		/		E	I	V	viio43/V		vii	o	43		V			o7	0	0	4, 1, 10, 7		10	4	4	4	0.5	0.5	2.0	0.2
111	109	0	0	4/4	2	1	V	0	-3.1168		/		E	I	V	V		V							M	0	0	5, 9, 6		5	5	0	8	0.0	0.0	2.0	0.0
111	109	1/2	1/2	4/4	2	1	viio2/V	0	-5.59804		/		E	I	V	viio2/V		vii	o	2		V			o7	0	0	1, 10, 7, 4		10	1	5	4	0.5555555555555556	0.5625	1.4375	0.28125
112	110	0	0	4/4	2	1	V	0	-4.87233		/		E	I	V	V		V							M	0	0	5, 9, 6		5	5	0	8	0.0	0.0	2.0	0.0
112	110	1/2	1/2	4/4	2	1	viio43/V	0	-4.39786		/		E	I	V	viio43/V		vii	o	43		V			o7	0	0	4, 1, 10, 7		10	4	5	6	0.45454545454545453	0.5625	2.4375	0.1875
113	111	0	0	4/4	2	1	V]|HC}	0	-4.01829		/		E	I	V	V		V					HC	}	M	0	0	5, 9, 6		5	5	2	20	0.09090909090909091	0.25	4.75	0.05
115	113	0	0	4/4	2	1	I						E	I		I		I							M	0	0	4, 8, 5		4	4	4	3	0.5714285714285714	1.0	1.0	0.5
117	115	0	0	4/4	2	1	V65/ii	-3.15789	-5.84552		/		E	I		V65/ii		V		65		ii			Mm7	0	0	11, 8, 5, 7		7	11	1	5	0.16666666666666666	0.25	2.25	0.1
118	116	0	0	4/4	2	1	ii(11)	0	-5.85		/		E	I		ii(11)		ii			11				m	0	0	6, 3, 7	5	6	6	0	4	0.0	0.0	1.75	0.0
118	116	1/4	1/4	4/4	2	1	ii	0	-5.85		/		E	I		ii		ii							m	0	0	6, 3, 7		6	6	4	4	0.5	0.25	0.5	0.3333333333333333
119	117	0	0	4/4	2	1	viio						E	I		viio		vii	o						o	0	0	9, 6, 3		9	9	0	1	0.0	0.0	0.5	0.0
119	117	1/2	1/2	4/4	2	1	I						E	I		I		I							M	0	0	4, 8, 5		4	4	4	2	0.6666666666666666	1.0	0.5	0.6666666666666666
121	119	0	0	4/4	2	1	V65	0	-5.35		/		E	I		V65		V		65					Mm7	0	0	9, 6, 3, 5		5	9	1	5	0.16666666666666666	0.25	2.25	0.1
122	120	0	0	4/4	2	1	I(11)	0	-5.35		/		E	I		I(11)		I			11				M	0	0	4, 8, 5	3	4	4	0	4	0.0	0.0	1.75	0.0
122	120	1/4	1/4	4/4	2	1	I|IAC}	0	-5.35		/		E	I		I		I					IAC	}	M	0	0	4, 8, 5		4	4	0	1	0.0	0.0	0.25	0.0
122	120	1/2	1/2	4/4	2	1	V{						E	I		V		V						{	M	0	0	5, 9, 6		5	5	2	2	0.5	0.25	0.25	0.5
123	121	0	0	4/4	2	1	I						E	I		I		I							M	0	0	4, 8, 5		4	4	0	1	0.0	0.0	0.5	0.0
123	121	1/2	1/2	4/4	2	1	V						E	I		V		V							M	0	0	5, 9, 6		5	5	3	3	0.5	0.5	0.5	0.5
124	122	0	0	4/4	2	1	#viio(4)/ii	-2.02105	-2.62632		/		E	I		#viio(4)/ii		#vii	o		4	ii			o	0	0	11, 3, 5		11	11	0	2	0.0	0.0	0.5	0.0
124	122	1/4	1/4	4/4	2	1	viio/V						E	I		viio/V		vii	o			V			o	0	0	10, 7, 4		10	10	0	1	0.0	0.0	0.25	0.0
124	122	1/2	1/2	4/4	2	1	V	0	-3.53338		/		E	I		V		V							M	0	0	5, 9, 6		5	5	1	2	0.3333333333333333	0.125	0.375	0.25
124	122	3/4	3/4	4/4	2	1	V65/vi	0	-3.87785		/		E	I		V65/vi		V		65		vi			Mm7	0	0	12, 9, 6, 8		8	12	0	3	0.0	0.0	0.5	0.0
125	123	0	0	4/4	2	1	V/ii	0	-5.67892		/		E	I		V/ii		V				ii			M	0	0	7, 11, 8		7	7	1	3	0.25	0.25	2.0	0.1111111111111111
125	123	1/2	1/2	4/4	2	1	V7(9)/ii	0	-5.78421		/		E	I		V7(9)/ii		V		7	9	ii			Mm7	0	0	7, 11, 8, 5	2	7	7	0	4	0.0	0.0	1.75	0.0
126	124	0	0	4/4	2	1	ii(9#764)	0	-6.15338		/		E	I		ii(9#764)		ii			9#764				m	0	0	6, 5, 9	8, 11	6	6	1	4	0.2	0.25	1.25	0.16666666666666666
126	124	1/4	1/4	4/4	2	1	ii	0	-5.39424		/		E	I		ii		ii							m	0	0	6, 3, 7		6	6	2	6	0.25	0.25	1.25	0.16666666666666666
127	125	0	0	4/4	2	1	viio						E	I		viio		vii	o						o	0	0	9, 6, 3		9	9	0	1	0.0	0.0	0.5	0.0
127	125	1/2	1/2	4/4	2	1	I						E	I		I		I							M	0	0	4, 8, 5		4	4	3	3	0.5	0.5	0.5	0.5
128	126	0	0	4/4	2	1	viio						E	I		viio		vii	o						o	0	0	9, 6, 3		9	9	2	1	0.6666666666666666	0.5	0.25	0.6666666666666666
128	126	1/2	1/2	4/4	2	1	IV	0	-3.00976		/		E	I		IV		IV							M	0	0	3, 7, 4		3	3	1	2	0.3333333333333333	0.125	0.375	0.25
128	126	3/4	3/4	4/4	2	1	V65/V	0	-3.20582		/		E	I		V65/V		V		65		V			Mm7	0	0	10, 7, 4, 6		6	10	0	3	0.0	0.0	0.5	0.0
129	127	0	0	4/4	2	1	V	0	-4.30375		/		E	I		V		V							M	0	0	5, 9, 6		5	5	1	3	0.25	0.25	2.0	0.1111111111111111
129	127	1/2	1/2	4/4	2	1	V7(b9)	0	-4.52522		/		E	I		V7(b9)		V		7	b9				Mm7	0	0	5, 9, 6, 3	0	5	5	0	4	0.0	0.0	1.75	0.0
130	128	0	0	4/4	2	1	I(97b64)	0	-4.87233		/		E	I		I(97b64)		I			97b64				M	0	0	4, 3, 0	6, 9	4	4	0	5	0.0	0.0	1.5	0.0
130	128	1/4	1/4	4/4	2	1	I|IAC}						E	I		I		I					IAC	}	M	0	0	4, 8, 5		4	4	0	4	0.0	0.0	1.0	0.0
130	128	1/2	1/2	4/4	2	1	I6{						E	I		I6		I		6				{	M	0	0	8, 5, 4		4	8	0	6	0.0	0.0	1.0	0.0
131	129	0	0	4/4	2	1	V2	0	-5.39424		/		E	I		V2		V		2					Mm7	0	0	3, 5, 9, 6		5	3	0	7	0.0	0.0	1.5	0.0
131	129	1/2	1/2	4/4	2	1	I6	0	-4.82488		/		E	I		I6		I		6					M	0	0	8, 5, 4		4	8	0	8	0.0	0.0	1.5	0.0
132	130	0	0	4/4	2	1	V2	0	-4.06573		/		E	I		V2		V		2					Mm7	0	0	3, 5, 9, 6		5	3	0	7	0.0	0.0	1.5	0.0
132	130	1/2	1/2	4/4	2	1	I6	0	-4.77743		/		E	I		I6		I		6					M	0	0	8, 5, 4		4	8	0	4	0.0	0.0	0.75	0.0
132	130	3/4	3/4	4/4	2	1	#viio6/ii	-1.51579	-4.33376		/		E	I		#viio6/ii		#vii	o	6		ii			o	0	0	8, 5, 11		11	8	0	4	0.0	0.0	0.75	0.0
133	131	0	0	4/4	2	1	ii6	0	-4.30297		/		E	I		ii6		ii		6					m	0	0	3, 7, 6		6	3	2	6	0.25	0.5	1.0	0.3333333333333333
133	131	1/2	1/2	4/4	2	1	V7	0	-4.20807		/		E	I		V7		V		7					Mm7	0	0	5, 9, 6, 3		5	5	0	8	0.0	0.0	1.5	0.0
134	132	0	0	4/4	2	1	I(74)	0	-5.02605		/		E	I		I(74)		I			74				M	0	0	4, 3, 5	9	4	4	0	7	0.0	0.0	2.25	0.0
134	132	1/2	1/2	4/4	2	1	I	0	-4.79641		/		E	I		I		I							M	0	0	4, 8, 5		4	4	0	4	0.0	0.0	0.75	0.0
134	132	3/4	3/4	4/4	2	1	I6	0	-5.54274		/		E	I		I6		I		6					M	0	0	8, 5, 4		4	8	0	5	0.0	0.0	1.0	0.0
135	133	0	0	4/4	2	1	V2	0	-5.19828		/		E	I		V2		V		2					Mm7	0	0	3, 5, 9, 6		5	3	0	8	0.0	0.0	2.0	0.0
135	133	1/2	1/2	4/4	2	1	I6	-0.135091	-7.76668		/		E	I		I6		I		6					M	0	0	8, 5, 4		4	8	0	10	0.0	0.0	2.0	0.0
136	134	0	0	4/4	2	1	V2	0	-5.42792		/		E	I		V2		V		2					Mm7	0	0	3, 5, 9, 6		5	3	0	8	0.0	0.0	2.0	0.0
136	134	1/2	1/2	4/4	2	1	I6	-1.00876	-7.62998		/		E	I		I6		I		6					M	0	0	8, 5, 4		4	8	0	5	0.0	0.0	1.0	0.0
136	134	3/4	3/4	4/4	2	1	#viio65/ii	-1.51579	-5.47404		/		E	I		#viio65/ii		#vii	o	65		ii			o7	0	0	8, 5, 2, 11		11	8	0	5	0.0	0.0	1.0	0.0
137	135	0	0	4/4	2	1	ii6	-0.238405	-5.23003		/		E	I		ii6		ii		6					m	0	0	3, 7, 6		6	3	2	7	0.2222222222222222	0.5	1.25	0.2857142857142857
137	135	1/2	1/2	4/4	2	1	V7	0	-5.14087		/		E	I		V7		V		7					Mm7	0	0	5, 9, 6, 3		5	5	0	10	0.0	0.0	2.0	0.0
138	136	0	0	4/4	2	1	I|PAC}{	0	-4.05008		/		E	I		I		I					PAC	}{	M	0	0	4, 8, 5		4	4	0	6	0.0	0.0	2.0	0.0
138	136	1/2	1/2	4/4	2	1	V7(b94)	0	-4.68159		/		E	I		V7(b94)		V		7	b94				Mm7	0	0	5, 4, 6, 3	0	5	5	0	2	0.0	0.0	1.0	0.0
138	136	3/4	3/4	4/4	2	1	V7(b9)	0	-3.76303		/		E	I		V7(b9)		V		7	b9				Mm7	0	0	5, 9, 6, 3	0	5	5	1	3	0.25	0.041666666666666664	0.3333333333333333	0.1111111111111111
139	137	0	0	4/4	2	1	I(b64)	0	-3.5908		/		E	I		I(b64)		I			b64				M	0	0	4, 3, 0		4	4	0	4	0.0	0.0	1.5	0.0
139	137	1/4	1/4	4/4	2	1	I	0	-3.41856		/		E	I		I		I							M	0	0	4, 8, 5		4	4	0	2	0.0	0.0	0.5	0.0
139	137	1/2	1/2	4/4	2	1	V7(94)	0	-3.64821		/		E	I		V7(94)		V		7	94				Mm7	0	0	5, 4, 6, 3	7	5	5	0	2	0.0	0.0	1.0	0.0
139	137	3/4	3/4	4/4	2	1	V7(9)						E	I		V7(9)		V		7	9				Mm7	0	0	5, 9, 6, 3	7	5	5	0	4	0.0	0.0	0.375	0.0
140	138	0	0	4/4	2	1	I(64)	0	-3.5908		/		E	I		I(64)		I			64				M	0	0	4, 3, 7		4	4	0	4	0.0	0.0	1.5	0.0
140	138	1/4	1/4	4/4	2	1	I	0	-3.76303		/		E	I		I		I							M	0	0	4, 8, 5		4	4	0	2	0.0	0.0	0.5	0.0
140	138	1/2	1/2	4/4	2	1	V7(b94)	0	-4.68159		/		E	I		V7(b94)		V		7	b94				Mm7	0	0	5, 4, 6, 3	0	5	5	0	2	0.0	0.0	1.0	0.0
140	138	3/4	3/4	4/4	2	1	V7(b9)	0	-3.76303		/		E	I		V7(b9)		V		7	b9				Mm7	0	0	5, 9, 6, 3	0	5	5	1	3	0.25	0.041666666666666664	0.3333333333333333	0.1111111111111111
141	139	0	0	4/4	2	1	I(b64)	0	-3.24633		/		E	I		I(b64)		I			b64				M	0	0	4, 3, 0		4	4	0	4	0.0	0.0	1.5	0.0
141	139	1/4	1/4	4/4	2	1	I	0	-3.36115		/		E	I		I		I							M	0	0	4, 8, 5		4	4	0	2	0.0	0.0	0.5	0.0
141	139	1/2	1/2	4/4	2	1	V7(94)	0	-3.64821		/		E	I		V7(94)		V		7	94				Mm7	0	0	5, 4, 6, 3	7	5	5	0	2	0.0	0.0	1.0	0.0
141	139	3/4	3/4	4/4	2	1	V7(9)						E	I		V7(9)		V		7	9				Mm7	0	0	5, 9, 6, 3	7	5	5	0	4	0.0	0.0	0.375	0.0
142	140	0	0	4/4	2	1	I(64)						E	I		I(64)		I			64				M	0	0	4, 3, 7		4	4	0	4	0.0	0.0	1.0	0.0
142	140	1/4	1/4	4/4	2	1	I|IAC}{						E	I		I		I					IAC	}{	M	0	0	4, 8, 5		4	4	0	4	0.0	0.0	1.0	0.0
142	140	1/2	1/2	4/4	2	1	V43						E	I		V43		V		43					Mm7	0	0	6, 3, 5, 9		5	6	0	4	0.0	0.0	1.0	0.0
142	140	3/4	3/4	4/4	2	1	I6						E	I		I6		I		6					M	0	0	8, 5, 4		4	8	0	4	0.0	0.0	1.0	0.0
143	141	0	0	4/4	2	1	ii6(9)	0	-4.00966		/		E	I		ii6(9)		ii		6	9				m	0	0	3, 7, 6	8	6	3	0	6	0.0	0.0	2.875	0.0
143	141	3/8	3/8	4/4	2	1	ii6						E	I		ii6		ii		6					m	0	0	3, 7, 6		6	3	0	1	0.0	0.0	0.125	0.0
143	141	1/2	1/2	4/4	2	1	V(64)	0	-4.35473		/		E	I		V(64)		V			64				M	0	0	5, 4, 8		5	5	0	4	0.0	0.0	1.0	0.0
143	141	3/4	3/4	4/4	2	1	V	0	-4.22533		/		E	I		V		V							M	0	0	5, 9, 6		5	5	0	5	0.0	0.0	1.25	0.0
144	142	1/4	1/4	4/4	2	1	I6	0	-3.85697		/		E	I		I6		I		6					M	0	0	8, 5, 4		4	8	0	4	0.0	0.0	1.0	0.0
144	142	1/2	1/2	4/4	2	1	V64	0	-3.96135		/		E	I		V64		V		64					M	0	0	6, 5, 9		5	6	0	4	0.0	0.0	1.0	0.0
144	142	3/4	3/4	4/4	2	1	I	0.156573	-4.74422		/		E	I		I		I							M	0	0	4, 8, 5		4	4	0	4	0.0	0.0	1.0	0.0
145	143	0	0	4/4	2	1	ii6(112)	0	-4.48326		/		E	I		ii6(112)		ii		6	112				m	0	0	3, 7, 8	5	6	3	0	4	0.0	0.0	1.75	0.0
145	143	3/8	3/8	4/4	2	1	ii6						E	I		ii6		ii		6					m	0	0	3, 7, 6		6	3	0	2	0.0	0.0	0.25	0.0
145	143	1/2	1/2	4/4	2	1	V(64)	0	-5.00518		/		E	I		V(64)		V			64				M	0	0	5, 4, 8		5	5	0	4	0.0	0.0	1.0	0.0
145	143	3/4	3/4	4/4	2	1	V	0	-4.95298		/		E	I		V		V							M	0	0	5, 9, 6		5	5	0	6	0.0	0.0	1.5	0.0
146	144	1/4	1/4	4/4	2	1	I6	0	-3.90916		/		E	I		I6		I		6					M	0	0	8, 5, 4		4	8	0	6	0.0	0.0	1.5	0.0
146	144	1/2	1/2	4/4	2	1	V43	0	-3.90916		/		E	I		V43		V		43					Mm7	0	0	6, 3, 5, 9		5	6	0	7	0.0	0.0	1.75	0.0
146	144	3/4	3/4	4/4	2	1	I	0	-3.64821		/		E	I		I		I							M	0	0	4, 8, 5		4	4	0	8	0.0	0.0	2.0	0.0
147	145	0	0	4/4	2	1	ii6	0	-4.26846		/		E	I		ii6		ii		6					m	0	0	3, 7, 6		6	3	2	6	0.25	0.5	1.5	0.25
148	146	0	0	4/4	2	1	V7						E	I		V7		V		7					Mm7	0	0	5, 9, 6, 3		5	5	0	4	0.0	0.0	1.0	0.0
149	147	0	0	4/4	2	1	I|PAC}{	0	-3.44893		/		E	I		I		I					PAC	}{	M	0	0	4, 8, 5		4	4	0	10	0.0	0.0	1.625	0.0
149	147	1/2	1/2	4/4	2	1	IV	0	-3.49206		/		E	I		IV		IV							M	0	0	3, 7, 4		3	3	0	10	0.0	0.0	1.625	0.0
150	148	0	0	4/4	2	1	I6	0	-3.57833		/		E	I		I6		I		6					M	0	0	8, 5, 4		4	8	0	10	0.0	0.0	1.625	0.0
150	148	1/2	1/2	4/4	2	1	IV6	0	-3.6646		/		E	I		IV6		IV		6					M	0	0	7, 4, 3		3	7	0	10	0.0	0.0	1.625	0.0
151	149	0	0	4/4	2	1	I64	0	-4.14193		/		E	I		I64		I		64					M	0	0	5, 4, 8		4	5	0	10	0.0	0.0	1.625	0.0
151	149	1/2	1/2	4/4	2	1	IV	0	-3.95248		/		E	I		IV		IV							M	0	0	3, 7, 4		3	3	0	10	0.0	0.0	1.625	0.0
152	150	0	0	4/4	2	1	I6	0	-4.39454		/		E	I		I6		I		6					M	0	0	8, 5, 4		4	8	0	10	0.0	0.0	1.625	0.0
152	150	1/2	1/2	4/4	2	1	viio6(b3+2)	0	-3.76303		/		E	I		viio6(b3+2)		vii	o	6	b3+2				o	0	0	-1, 3, 9	4	9	-1	0	14	0.0	0.0	2.5	0.0
153	151	0	0	4/4	2	1	I	0	-4.20509		/		E	I		I		I							M	0	0	4, 8, 5		4	4	0	11	0.0	0.0	2.125	0.0
