mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	absolute_root	offset_x	offset_y	minDistance	offset	volta	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
85	84	0	0	2/2	1	1	V7		0	-3.19634		/			c	III		V7		V		7						Mm7	1	0	-2, 2, -1, -4		-2.0	-2.0	1	4	0.2	0.25	1.25	0.16666666666666666
85	84	1/2	1/2	2/2	1	1	#viio7/vi		-0.508497	-2.8196		/			c	III		#viio7/vi		#vii	o	7		vi				o7	1	0	5, 2, -1, -4		5.0	5.0	1	6	0.14285714285714285	0.25	1.75	0.125
86	85	0	0	2/2	1	1	vi		0	-3.8285		/			c	III		vi		vi								m	1	0	0, -3, 1		0.0	0.0	2	9	0.18181818181818182	0.5	3.0	0.14285714285714285
87	86	0	0	2/2	1	1	ii65								c	III		ii65		ii		65						mm7	1	0	-4, 0, -3, -1		-1.0	-4.0	2	9	0.18181818181818182	0.5	3.0	0.14285714285714285
88	87	0	0	2/2	1	1	V(64)								c	III		V(64)		V			64					M	1	0	-2, -3, 1		-2.0	-2.0	1	10	0.09090909090909091	0.25	3.25	0.07142857142857142
89	88	0	0	2/2	1	1	V								c	III		V		V								M	1	0	-2, 2, -1		-2.0	-2.0	1	10	0.09090909090909091	0.25	3.25	0.07142857142857142
90	89	0	0	2/2	1	1	I|PAC}{								c	III		I		I						PAC	}{	M	1	0	-3, 1, -2		-3.0	-3.0	0	34	0.0	0.0	7.0	0.0
92	91	0	0	2/2	1	1	V2/IV								c	III		V2/IV		V		2		IV				Mm7	1	0	-5, -3, 1, -2		-3.0	-5.0	0	34	0.0	0.0	7.0	0.0
94	93	0	0	2/2	1	1	IV6		0	-4.43325		/			c	III		IV6		IV		6						M	1	0	0, -3, -4		-4.0	0.0	0	8	0.0	0.0	1.0	0.0
94	93	1/2	1/2	2/2	1	1	V2/ii		0	-4.43		/			c	III		V2/ii		V		2		ii				Mm7	1	0	-2, 0, 4, 1		0.0	-2.0	0	8	0.0	0.0	1.0	0.0
95	94	0	0	2/2	1	1	ii6		0	-4.43		/			c	III		ii6		ii		6						m	1	0	-4, 0, -1		-1.0	-4.0	0	8	0.0	0.0	1.0	0.0
95	94	1/2	1/2	2/2	1	1	V64/ii		0	-4.43		/			c	III		V64/ii		V		64		ii				M	1	0	1, 0, 4		0.0	1.0	0	8	0.0	0.0	1.0	0.0
96	95	0	0	2/2	1	1	ii		0	-4.43		/			c	III		ii		ii								m	1	0	-1, -4, 0		-1.0	-1.0	0	8	0.0	0.0	1.0	0.0
96	95	1/2	1/2	2/2	1	1	V2/V		0	-4.43		/			c	III		V2/V		V		2		V				Mm7	1	0	-3, -1, 3, 0		-1.0	-3.0	0	8	0.0	0.0	1.0	0.0
97	96	0	0	2/2	1	1	V6		0	-4.43		/			c	III		V6		V		6						M	1	0	2, -1, -2		-2.0	2.0	0	8	0.0	0.0	1.0	0.0
97	96	1/2	1/2	2/2	1	1	V64/v		0	-4.43		/			c	III		V64/v		V		64		v				M	1	0	0, -1, 3		-1.0	0.0	0	8	0.0	0.0	1.0	0.0
98	97	0	0	2/2	1	1	v		0	-5.16175		/			c	III		v		v								m	1	0	-2, -5, -1		-2.0	-2.0	0	8	0.0	0.0	1.0	0.0
98	97	1/2	1/2	2/2	1	1	viio64		0	-4.8486		/		V2	c	III		viio64		vii	o	64						o	1	0	-4, 2, -1		2.0	-4.0	0	8	0.0	0.0	1.0	0.0
99	98	0	0	2/2	1	1	I6		0.378947	-5.39997		/			c	III		I6		I		6						M	1	0	1, -2, -3		-3.0	1.0	0	8	0.0	0.0	1.0	0.0
99	98	1/2	1/2	2/2	1	1	V+6/IV		0	-3.96135		/			c	III		V+6/IV		V	+	6		IV				+	1	0	1, 5, -3		-3.0	1.0	0	8	0.0	0.0	1.0	0.0
100	99	0	0	2/2	1	1	IV								c	III		IV		IV								M	1	0	-4, 0, -3		-4.0	-4.0	0	9	0.0	0.0	1.375	0.0
101	100	0	0	2/2	1	1	V7								c	III		V7		V		7						Mm7	1	0	-2, 2, -1, -4		-2.0	-2.0	0	9	0.0	0.0	1.375	0.0
102	101	0	0	2/2	1	1	I|PAC}{								c	III		I		I						PAC	}{	M	1	0	-3, 1, -2		-3.0	-3.0	0	34	0.0	0.0	7.0	0.0
104	103	0	0	2/2	1	1	V2/IV								c	III		V2/IV		V		2		IV				Mm7	1	0	-5, -3, 1, -2		-3.0	-5.0	0	34	0.0	0.0	7.0	0.0
106	105	0	0	2/2	1	1	IV6		0	-5.10956		/			c	III		IV6		IV		6						M	1	0	0, -3, -4		-4.0	0.0	0	8	0.0	0.0	1.0	0.0
106	105	1/2	1/2	2/2	1	1	V2/ii		0	-5.11		/			c	III		V2/ii		V		2		ii				Mm7	1	0	-2, 0, 4, 1		0.0	-2.0	0	8	0.0	0.0	1.0	0.0
107	106	0	0	2/2	1	1	ii6		0	-5.11		/			c	III		ii6		ii		6						m	1	0	-4, 0, -1		-1.0	-4.0	0	8	0.0	0.0	1.0	0.0
107	106	1/2	1/2	2/2	1	1	V64/ii		0	-5.11		/			c	III		V64/ii		V		64		ii				M	1	0	1, 0, 4		0.0	1.0	0	8	0.0	0.0	1.0	0.0
108	107	0	0	2/2	1	1	ii		0	-5.11		/			c	III		ii		ii								m	1	0	-1, -4, 0		-1.0	-1.0	0	8	0.0	0.0	1.0	0.0
108	107	1/2	1/2	2/2	1	1	V2/V		0	-5.11		/			c	III		V2/V		V		2		V				Mm7	1	0	-3, -1, 3, 0		-1.0	-3.0	0	8	0.0	0.0	1.0	0.0
109	108	0	0	2/2	1	1	V6		0	-5.11		/			c	III		V6		V		6						M	1	0	2, -1, -2		-2.0	2.0	0	8	0.0	0.0	1.0	0.0
109	108	1/2	1/2	2/2	1	1	V64/v		0	-5.11		/			c	III		V64/v		V		64		v				M	1	0	0, -1, 3		-1.0	0.0	0	8	0.0	0.0	1.0	0.0
110	109	0	0	2/2	1	1	v		0	-5.11		/			c	III		v		v								m	1	0	-2, -5, -1		-2.0	-2.0	0	8	0.0	0.0	1.0	0.0
110	109	1/2	1/2	2/2	1	1	viio64		0	-5.11		/		V2	c	III		viio64		vii	o	64						o	1	0	-4, 2, -1		2.0	-4.0	0	8	0.0	0.0	1.0	0.0
111	110	0	0	2/2	1	1	I6		0	-5.11		/			c	III		I6		I		6						M	1	0	1, -2, -3		-3.0	1.0	0	8	0.0	0.0	1.0	0.0
111	110	1/2	1/2	2/2	1	1	#viio6/ii		0	-5.11		/			c	III		#viio6/ii		#vii	o	6		ii				o	1	0	1, -2, 4		4.0	1.0	0	8	0.0	0.0	1.0	0.0
112	111	0	0	2/2	1	1	ii6		0	-5.11		/			c	III		ii6		ii		6						m	1	0	-4, 0, -1		-1.0	-4.0	0	9	0.0	0.0	1.375	0.0
113	112	0	0	2/2	1	1	V7		0	-5.11		/			c	III		V7		V		7						Mm7	1	0	-2, 2, -1, -4		-2.0	-2.0	0	9	0.0	0.0	1.375	0.0
114	113	0	0	2/2	1	1	I|IAC}{		0	-5.11		/			c	III		I		I						IAC	}{	M	1	0	-3, 1, -2		-3.0	-3.0	1	11	0.08333333333333333	0.125	2.875	0.041666666666666664
115	114	0	0	2/2	1	1	vi		0	-7.45042		/			c	III		vi		vi								m	1	0	0, -3, 1		0.0	0.0	4	11	0.26666666666666666	0.5	3.0	0.14285714285714285
116	115	0	0	2/2	1	1	ii65		0	-7.29757		/			c	III		ii65		ii		65						mm7	1	0	-4, 0, -3, -1		-1.0	-4.0	4	11	0.26666666666666666	0.5	3.0	0.14285714285714285
117	116	0	0	2/2	1	1	V		0	-5.51187		/			c	III		V		V								M	1	0	-2, 2, -1		-2.0	-2.0	5	10	0.3333333333333333	0.625	2.875	0.17857142857142858
118	117	0	0	2/2	1	1	I|IAC}{								c	III		I		I						IAC	}{	M	1	0	-3, 1, -2		-3.0	-3.0	1	11	0.08333333333333333	0.125	3.875	0.03125
119	118	0	0	2/2	1	1	vi		-0.415841	-8.63481		/			c	III		vi		vi								m	1	0	0, -3, 1		0.0	0.0	4	14	0.2222222222222222	0.5	3.75	0.11764705882352941
120	119	0	0	2/2	1	1	ii65		0	-6.12581		/			c	III		ii65		ii		65						mm7	1	0	-4, 0, -3, -1		-1.0	-4.0	4	14	0.2222222222222222	0.5	3.75	0.11764705882352941
121	120	0	0	2/2	1	1	V		0	-3.93824		/			c	III		V		V								M	1	0	-2, 2, -1		-2.0	-2.0	4	14	0.2222222222222222	0.5	3.75	0.11764705882352941
122	121	0	0	2/2	1	1	I[I|PAC}{								c	III	I	I		I						PAC	}{	M	1	0	-3, 1, -2		-3.0	-3.0	0	8	0.0	0.0	1.5	0.0
122	121	3/4	3/4	2/2	1	1	V7/IV								c	III		V7/IV		V		7		IV				Mm7	1	0	-3, 1, -2, -5		-3.0	-3.0	0	4	0.0	0.0	0.75	0.0
123	122	0	0	2/2	1	1	IV6								c	III		IV6		IV		6						M	1	0	0, -3, -4		-4.0	0.0	0	4	0.0	0.0	0.75	0.0
123	122	1/4	1/4	2/2	1	1	V/IV								c	III		V/IV		V				IV				M	1	0	-3, 1, -2		-3.0	-3.0	0	4	0.0	0.0	0.75	0.0
123	122	1/2	1/2	2/2	1	1	IV								c	III		IV		IV								M	1	0	-4, 0, -3		-4.0	-4.0	0	4	0.0	0.0	0.75	0.0
123	122	3/4	3/4	2/2	1	1	viio64								c	III		viio64		vii	o	64						o	1	0	-4, 2, -1		2.0	-4.0	2	2	0.5	0.25	0.5	0.3333333333333333
124	123	0	0	2/2	1	1	I|PAC								c	III		I		I						PAC		M	1	0	-3, 1, -2		-3.0	-3.0	0	9	0.0	0.0	1.75	0.0
124	123	3/4	3/4	2/2	1	1	V7/IV		0	-3.7004		/			c	III		V7/IV		V		7		IV				Mm7	1	0	-3, 1, -2, -5		-3.0	-3.0	0	4	0.0	0.0	0.75	0.0
125	124	0	0	2/2	1	1	IV6		0	-3.85697		/			c	III		IV6		IV		6						M	1	0	0, -3, -4		-4.0	0.0	0	4	0.0	0.0	0.75	0.0
125	124	1/4	1/4	2/2	1	1	V/IV		0	-4.01354		/			c	III		V/IV		V				IV				M	1	0	-3, 1, -2		-3.0	-3.0	0	4	0.0	0.0	0.75	0.0
125	124	1/2	1/2	2/2	1	1	IV		0	-4.58765		/			c	III		IV		IV								M	1	0	-4, 0, -3		-4.0	-4.0	0	4	0.0	0.0	0.75	0.0
125	124	3/4	3/4	2/2	1	1	viio64		0	-4.79641		/			c	III		viio64		vii	o	64						o	1	0	-4, 2, -1		2.0	-4.0	2	2	0.5	0.25	0.5	0.3333333333333333
126	125	0	0	2/2	1	1	I]		0	-5.07323		/			c	III		I		I					]			M	1	0	-3, 1, -2		-3.0	-3.0	0	10	0.0	0.0	3.0	0.0
127	126	0	0	2/2	1	1	IM2							vi(2)	c	III		IM2		I	M	2						MM7	1	0	2, -3, 1, -2		-3.0	2.0	0	10	0.0	0.0	3.0	0.0
128	127	0	0	2/2	1	1	vi		0.00043407	-5.27866		/			c	III		vi		vi								m	1	0	0, -3, 1		0.0	0.0	0	10	0.0	0.0	3.0	0.0
129	128	0	0	2/2	1	1	I64								c	III		I64		I		64						M	1	0	-2, -3, 1		-3.0	-2.0	0	10	0.0	0.0	3.0	0.0
130	129	0	0	2/2	1	1	IV		-0.540036	-4.85306		/			c	III		IV		IV								M	1	0	-4, 0, -3		-4.0	-4.0	0	10	0.0	0.0	3.0	0.0
131	130	0	0	2/2	1	1	i.i64								c	i		i64		i		64						m	1	1	1, 0, -3		0.0	1.0	0	10	0.0	0.0	3.0	0.0
132	131	0	0	2/2	1	1	V65/V		-0.152306	-5.93361		/	1.0		c	i		V65/V		V		65		V				Mm7	1	1	6, 3, 0, 2		2.0	6.0	0	5	0.0	0.0	5.0	0.0
133	132	0	0	2/2	1	1	V7|HC}		0.383404	-6.50263	-1.63084	/	1.0		c	i		V7		V		7				HC	}	Mm7	1	1	1, 5, 2, -1		1.0	1.0	0	5	0.0	0.0	5.0	0.0
134	132	0	0	2/2	1	1	v.V65|HC}		0.0453637	-4.51252		/	2.0		c	v		V65		V		65				HC	}	Mm7	1	1	6, 3, 0, 2		2.0	6.0	0	10	0.0	0.0	10.0	0.0
136	133	0	0	4/4	1	1	i{								c	v		i		i							{	m	1	1	1, -2, 2		1.0	1.0	0	16	0.0	0.0	2.75	0.0
136	133	11/32	11/32	4/4	1	1	i6								c	v		i6		i		6						m	1	1	-2, 2, 1		1.0	-2.0	0	3	0.0	0.0	0.09375	0.0
136	133	3/8	3/8	4/4	1	1	V64		0.631579	-4.77368		/			c	v		V64		V		64						M	1	1	3, 2, 6		2.0	3.0	0	4	0.0	0.0	0.375	0.0
136	133	15/32	15/32	4/4	1	1	i								c	v		i		i								m	1	1	1, -2, 2		1.0	1.0	0	3	0.0	0.0	0.09375	0.0
136	133	1/2	1/2	4/4	1	1	viio7/V								c	v		viio7/V		vii	o	7		V				o7	1	1	7, 4, 1, -2		7.0	7.0	0	4	0.0	0.0	1.0	0.0
136	133	3/4	3/4	4/4	1	1	V}								c	v		V		V							}	M	1	1	2, 6, 3		2.0	2.0	0	3	0.0	0.0	0.375	0.0
136	133	31/32	31/32	4/4	1	1	#viio2{		-1.14109	-4.21164		/			c	v		#viio2		#vii	o	2					{	o7	1	1	-3, 6, 3, 0		6.0	-3.0	0	13	0.0	0.0	1.53125	0.0
137	134	3/8	3/8	4/4	1	1	V		0	-4.01563		/			c	v		V		V								M	1	1	2, 6, 3		2.0	2.0	0	4	0.0	0.0	0.375	0.0
137	134	15/32	15/32	4/4	1	1	#viio43		0	-4.20509		/			c	v		#viio43		#vii	o	43						o7	1	1	0, -3, 6, 3		6.0	0.0	0	4	0.0	0.0	0.125	0.0
137	134	1/2	1/2	4/4	1	1	i6(#762)		0	-4.14193		/			c	v		i6(#762)		i		6	#762					m	1	1	-2, -3, 3, 6		1.0	-2.0	0	4	0.0	0.0	1.125	0.0
137	134	3/4	3/4	4/4	1	1	i6}		0	-4.07878		/			c	v		i6		i		6					}	m	1	1	-2, 2, 1		1.0	-2.0	0	3	0.0	0.0	0.375	0.0
137	134	31/32	31/32	4/4	1	1	#viio2{		-0.998454	-3.92636		/			c	v		#viio2		#vii	o	2					{	o7	1	1	-3, 6, 3, 0		6.0	-3.0	0	13	0.0	0.0	1.53125	0.0
138	135	3/8	3/8	4/4	1	1	V		0	-4.01563		/			c	v		V		V								M	1	1	2, 6, 3		2.0	2.0	0	4	0.0	0.0	0.375	0.0
138	135	15/32	15/32	4/4	1	1	#iii.#viio2								c	#iii		#viio2		#vii	o	2						o7	1	1	0, 9, 6, 3		9.0	0.0	0	8	0.0	0.0	1.0	0.0
138	135	5/8	5/8	4/4	1	1	V7								c	#iii		V7		V		7						Mm7	1	1	5, 9, 6, 3		5.0	5.0	0	1	0.0	0.0	0.25	0.0
138	135	3/4	3/4	4/4	1	1	V(64)		0	-4.4175		/			c	#iii		V(64)		V			64					M	1	1	5, 4, 1		5.0	5.0	0	4	0.0	0.0	0.875	0.0
139	136	0	0	4/4	1	1	V7		0	-4.5402		/			c	#iii		V7		V		7						Mm7	1	1	5, 9, 6, 3		5.0	5.0	0	5	0.0	0.0	1.125	0.0
139	136	1/4	1/4	4/4	1	1	V(64)		0	-4.49275		/			c	#iii		V(64)		V			64					M	1	1	5, 4, 1		5.0	5.0	0	4	0.0	0.0	1.0	0.0
139	136	1/2	1/2	4/4	1	1	V7(9)		0	-4.16063		/			c	#iii		V7(9)		V		7	9					Mm7	1	1	5, 9, 6, 3	0	5.0	5.0	0	5	0.0	0.0	1.25	0.0
139	136	3/4	3/4	4/4	1	1	V7|HC}		0	-4.44531		/			c	#iii		V7		V		7				HC	}	Mm7	1	1	5, 9, 6, 3		5.0	5.0	0	4	0.0	0.0	0.875	0.0
140	137	0	0	2/2	1	1	i[i{								c	#iii	i	i		i							{	m	1	1	4, 1, 5		4.0	4.0	0	3	0.0	0.0	0.5	0.0
140	137	1/4	1/4	2/2	1	1	#viio64		-0.713182	-2.35736		/		iv	c	#iii		#viio64		#vii	o	64						o	1	1	3, 9, 6		9.0	3.0	2	1	0.6666666666666666	0.25	0.25	0.5
140	137	1/2	1/2	2/2	1	1	i								c	#iii		i		i								m	1	1	4, 1, 5		4.0	4.0	0	3	0.0	0.0	0.5	0.0
140	137	3/4	3/4	2/2	1	1	#viio64								c	#iii		#viio64		#vii	o	64						o	1	1	3, 9, 6		9.0	3.0	2	2	0.5	0.25	0.5	0.3333333333333333
141	138	0	0	2/2	1	1	i								c	#iii		i		i								m	1	1	4, 1, 5		4.0	4.0	0	4	0.0	0.0	0.75	0.0
141	138	1/4	1/4	2/2	1	1	#viio		0	-3.2764		/			c	#iii		#viio		#vii	o							o	1	1	9, 6, 3		9.0	9.0	2	2	0.5	0.25	0.5	0.3333333333333333
141	138	1/2	1/2	2/2	1	1	i		0	-3.44893		/			c	#iii		i		i								m	1	1	4, 1, 5		4.0	4.0	0	4	0.0	0.0	0.75	0.0
141	138	3/4	3/4	2/2	1	1	#viio64		-0.757894	-5.27895		/			c	#iii		#viio64		#vii	o	64						o	1	1	3, 9, 6		9.0	3.0	2	2	0.5	0.25	0.5	0.3333333333333333
142	139	0	0	2/2	1	1	i}{		0.215737	-5.67392		/			c	#iii		i		i							}{	m	1	1	4, 1, 5		4.0	4.0	2	23	0.08	0.5	5.75	0.08
144	141	0	0	2/2	1	1	ii%2(2)		-0.190331	-3.51755		/			c	#iii		ii%2(2)		ii	%	2	2					%7	1	1	4, 1, 3, 0		6.0	4.0	0	5	0.0	0.0	1.75	0.0
144	141	1/2	1/2	2/2	1	1	ii%2]		-0.190331	-3.51755		/			c	#iii		ii%2		ii	%	2			]			%7	1	1	4, 6, 3, 0		6.0	4.0	0	6	0.0	0.0	1.5	0.0
145	142	0	0	2/2	1	1	v.#viio2		-0.603663	-3.59312	0.393197	/			c	v		#viio2		#vii	o	2						o7	1	1	-3, 6, 3, 0		6.0	-3.0	2	11	0.15384615384615385	0.5	2.75	0.15384615384615385
146	143	0	0	2/2	1	1	V[V		-0.631579	-5.46888	-0.0441161	/			c	v	V	V		V								M	1	1	2, 6, 3		2.0	2.0	0	4	0.0	0.0	0.75	0.0
146	143	1/4	1/4	2/2	1	1	viio64/V								c	v		viio64/V		vii	o	64		V				o	1	1	1, 7, 4		7.0	1.0	2	1	0.6666666666666666	0.25	0.25	0.5
146	143	1/2	1/2	2/2	1	1	V		-0.101699	-2.83548		/			c	v		V		V								M	1	1	2, 6, 3		2.0	2.0	0	3	0.0	0.0	0.5	0.0
146	143	3/4	3/4	2/2	1	1	viio64/V		-0.939912	-2.86582		/			c	v		viio64/V		vii	o	64		V				o	1	1	1, 7, 4		7.0	1.0	2	2	0.5	0.25	0.5	0.3333333333333333
147	144	0	0	2/2	1	1	V		-0.332967	-4.37673		/			c	v		V		V								M	1	1	2, 6, 3		2.0	2.0	0	4	0.0	0.0	0.75	0.0
147	144	1/4	1/4	2/2	1	1	viio/V		-0.285496	-4.56437		/			c	v		viio/V		vii	o			V				o	1	1	7, 4, 1		7.0	7.0	2	2	0.5	0.25	0.5	0.3333333333333333
147	144	1/2	1/2	2/2	1	1	V		1.56878	-5.07149		/			c	v		V		V								M	1	1	2, 6, 3		2.0	2.0	0	4	0.0	0.0	0.75	0.0
147	144	3/4	3/4	2/2	1	1	viio64/V		-0.221481	-4.38616		/			c	v		viio64/V		vii	o	64		V				o	1	1	1, 7, 4		7.0	1.0	2	2	0.5	0.25	0.5	0.3333333333333333
148	145	0	0	2/2	1	1	V7|HC}{		-0.380662	-7.35344		/			c	v		V7		V		7				HC	}{	Mm7	1	1	2, 6, 3, 0		2.0	2.0	2	23	0.08	0.5	5.75	0.08
150	147	0	0	2/2	1	1	i(9)		0	-3.44727		/		V(64+5)	c	v		i(9)		i			9					m	1	1	1, -2, 2	3	1.0	1.0	0	5	0.0	0.0	1.75	0.0
150	147	1/2	1/2	2/2	1	1	i							V(64)]	c	v		i		i								m	1	1	1, -2, 2		1.0	1.0	0	6	0.0	0.0	1.5	0.0
151	148	0	0	2/2	1	1	I.iio64/IV		-0.101699	-6.22961		/			c	I		iio64/IV		ii	o	64		IV				o	1	0	-5, 1, -2		1.0	-5.0	2	11	0.15384615384615385	0.5	2.75	0.15384615384615385
152	149	0	0	2/2	1	1	V7/IV		0	-4.20509		/			c	I		V7/IV		V		7		IV				Mm7	1	0	0, 4, 1, -2		0.0	0.0	5	39	0.11363636363636363	1.25	5.75	0.17857142857142858
156	153	0	0	2/2	1	1	IV								c	I		IV		IV								M	1	0	-1, 3, 0		-1.0	-1.0	5	37	0.11904761904761904	1.25	5.25	0.19230769230769232
160	157	0	0	2/2	1	1	viio7		0	-3.76303		/		viio7/V/IV	c	I		viio7		vii	o	7						o7	1	0	5, 2, -1, -4		5.0	5.0	4	34	0.10526315789473684	0.75	5.25	0.125
163	160	1/2	1/2	2/2	1	1	V7								c	I		V7		V		7						Mm7	1	0	1, 5, 2, -1		1.0	1.0	0	5	0.0	0.0	0.75	0.0
164	161	0	0	2/2	1	1	#viio7(9)/iv		0	-3.82044		/			c	I		#viio7(9)/iv		#vii	o	7	9	iv				o7	1	0	4, 1, -2, -5	-1	4.0	4.0	0	4	0.0	0.0	0.75	0.0
164	161	1/4	1/4	2/2	1	1	#viio7/iv								c	I		#viio7/iv		#vii	o	7		iv				o7	1	0	4, 1, -2, -5		4.0	4.0	2	12	0.14285714285714285	0.25	2.0	0.1111111111111111
165	162	1/2	1/2	2/2	1	1	V65/iv								c	I		V65/iv		V		65		iv				Mm7	1	0	4, 1, -2, 0		0.0	4.0	0	6	0.0	0.0	1.0	0.0
166	163	0	0	2/2	1	1	iv(4)								c	I		iv(4)		iv			4					m	1	0	-1, 5, 0		-1.0	-1.0	2	2	0.5	0.25	0.5	0.3333333333333333
166	163	1/4	1/4	2/2	1	1	iv								c	I		iv		iv								m	1	0	-1, -4, 0		-1.0	-1.0	0	4	0.0	0.0	0.5	0.0
166	163	3/4	3/4	2/2	1	1	iv(9)		0	-2.77937		/			c	I		iv(9)		iv			9					m	1	0	-1, -4, 0	1	-1.0	-1.0	0	6	0.0	0.0	1.0	0.0
167	164	1/4	1/4	2/2	1	1	iv		0.562171	-3.15349		/			c	I		iv		iv								m	1	0	-1, -4, 0		-1.0	-1.0	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
168	165	0	0	2/2	1	1	viio7/V		0	-4.39454		/			c	I		viio7/V		vii	o	7		V				o7	1	0	6, 3, 0, -3		6.0	6.0	0	4	0.0	0.0	0.75	0.0
168	165	1/4	1/4	2/2	1	1	V6/V		0	-4.77345		/			c	I		V6/V		V		6		V				M	1	0	6, 3, 2		2.0	6.0	0	4	0.0	0.0	0.5	0.0
168	165	3/4	3/4	2/2	1	1	viio7/V		0	-4.68159		/			c	I		viio7/V		vii	o	7		V				o7	1	0	6, 3, 0, -3		6.0	6.0	0	6	0.0	0.0	1.0	0.0
169	166	1/4	1/4	2/2	1	1	V65/V		0	-4.71904		/			c	I		V65/V		V		65		V				Mm7	1	0	6, 3, 0, 2		2.0	6.0	0	6	0.0	0.0	0.75	0.0
170	167	0	0	2/2	1	1	V[V|HC}		0	-3.6462		/			c	I	V	V		V						HC	}	M	1	0	1, 5, 2		1.0	1.0	0	6	0.0	0.0	1.0	0.0
170	167	1/2	1/2	2/2	1	1	V7(b9^6#4)		-0.742506	-6.83368		/		#viio(b6)/ii{	c	I		V7(b9^6#4)		V		7	b9^6#4					Mm7	1	0	1, 5, 7, 4	-4	1.0	1.0	0	8	0.0	0.0	1.0	0.0
171	168	0	0	2/2	1	1	V7(b9)		0	-4.96864		/		iio	c	I		V7(b9)		V		7	b9					Mm7	1	0	1, 5, 2, -1	-4	1.0	1.0	0	8	0.0	0.0	1.0	0.0
171	168	1/2	1/2	2/2	1	1	V(b9b64)		0	-5.02605		/		VI6	c	I		V(b9b64)		V			b9b64					M	1	0	1, 0, -3	-4	1.0	1.0	0	8	0.0	0.0	1.0	0.0
172	169	0	0	2/2	1	1	V		0	-5.37051		/			c	I		V		V								M	1	0	1, 5, 2		1.0	1.0	0	8	0.0	0.0	1.0	0.0
172	169	1/2	1/2	2/2	1	1	V7(b9^6#4)		-0.101699	-6.86041		/		#viio(b6)/ii	c	I		V7(b9^6#4)		V		7	b9^6#4					Mm7	1	0	1, 5, 7, 4	-4	1.0	1.0	0	8	0.0	0.0	1.0	0.0
173	170	0	0	2/2	1	1	V7(b9)		0	-4.97605		/		iio	c	I		V7(b9)		V		7	b9					Mm7	1	0	1, 5, 2, -1	-4	1.0	1.0	0	8	0.0	0.0	1.0	0.0
173	170	1/2	1/2	2/2	1	1	V(b9b64)		0	-3.32097		/		VI6	c	I		V(b9b64)		V			b9b64					M	1	0	1, 0, -3	-4	1.0	1.0	0	8	0.0	0.0	1.0	0.0
174	171	0	0	2/2	1	1	V								c	I		V		V								M	1	0	1, 5, 2		1.0	1.0	0	5	0.0	0.0	1.0	0.0
174	171	1/4	1/4	2/2	1	1	V(6)								c	I		V(6)		V			6					M	1	0	1, 5, 4		1.0	1.0	0	3	0.0	0.0	0.5	0.0
174	171	1/2	1/2	2/2	1	1	V7								c	I		V7		V		7						Mm7	1	0	1, 5, 2, -1		1.0	1.0	0	3	0.0	0.0	0.5	0.0
174	171	3/4	3/4	2/2	1	1	V(6#4)								c	I		V(6#4)		V			6#4					M	1	0	1, 5, 7, 4		1.0	1.0	0	4	0.0	0.0	0.75	0.0
175	172	0	0	2/2	1	1	V7								c	I		V7		V		7						Mm7	1	0	1, 5, 2, -1		1.0	1.0	0	4	0.0	0.0	0.75	0.0
175	172	1/4	1/4	2/2	1	1	V(6#4)								c	I		V(6#4)		V			6#4					M	1	0	1, 5, 7, 4		1.0	1.0	0	4	0.0	0.0	0.75	0.0
175	172	1/2	1/2	2/2	1	1	V7								c	I		V7		V		7						Mm7	1	0	1, 5, 2, -1		1.0	1.0	0	4	0.0	0.0	0.75	0.0
175	172	3/4	3/4	2/2	1	1	V(6#4)		-2.02105	-5.65789		/			c	I		V(6#4)		V			6#4					M	1	0	1, 5, 7, 4		1.0	1.0	0	4	0.0	0.0	0.75	0.0
176	173	0	0	2/2	1	1	V7		0.757894	-6.03684		/			c	I		V7		V		7						Mm7	1	0	1, 5, 2, -1		1.0	1.0	0	4	0.0	0.0	1.25	0.0
176	173	1/4	1/4	2/2	1	1	V(6#4)]		0	-6.92105		/			c	I		V(6#4)		V			6#4		]			M	1	0	1, 5, 7, 4		1.0	1.0	0	3	0.0	0.0	1.0	0.0
176	173	1/2	1/2	2/2	1	1	V65		0.317376	-6.01415		/			c	I		V65		V		65						Mm7	1	0	5, 2, -1, 1		1.0	5.0	0	4	0.0	0.0	1.75	0.0
177	174	0	0	2/2	1	1	i(94)		-0.378947	-6.03684		/			c	I		i(94)		i			94					m	1	0	0, -1, 1	2	0.0	0.0	0	5	0.0	0.0	2.25	0.0
177	174	1/2	1/2	2/2	1	1	viio7(9)/V		-0.582264	-8.43102	0.339798	/			c	I		viio7(9)/V		vii	o	7	9	V				o7	1	0	6, 3, 0, -3	1	6.0	6.0	0	4	0.0	0.0	1.75	0.0
178	175	0	0	2/2	1	1	V[V|HC}		-0.70858	-4.75614	-5.90807	/			c	I	V	V		V						HC	}	M	1	0	1, 5, 2		1.0	1.0	0	6	0.0	0.0	1.0	0.0
