mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	articulation	slur
25	25	195/2	195/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	280		articStaccatoAbove	
25	25	98	98	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	281		articStaccatoAbove	
25	25	197/2	197/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	282			19
25	25	99	99	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	283			19
25	25	199/2	199/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	284			
25	25	96	96	2.0	0	0	Chord	2/2	2	1	1/2		1/2	1	285			
25	25	98	98	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	286			
26	26	100	100	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	287		articAccentAbove	20
26	26	201/2	201/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	288			
26	26	101	101	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	289		articStaccatoAbove	
26	26	203/2	203/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	290		articStaccatoAbove	
26	26	102	102	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	291		articStaccatoAbove	
26	26	205/2	205/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	292			21
26	26	103	103	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	293			21
26	26	207/2	207/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	294			
26	26	100	100	2.0	0	0	Chord	2/2	2	1	1/2		1/2	1	295			
26	26	102	102	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	296			
27	27	104	104	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	297			22
27	27	209/2	209/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	298			
27	27	211/2	211/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	299			
27	27	106	106	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	300			23
27	27	213/2	213/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	301			
27	27	215/2	215/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	302			
27	27	105	105	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	303			
27	27	107	107	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	304			
28	28	108	108	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	305			24
28	28	217/2	217/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	306			24
28	28	109	109	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	307			24
28	28	219/2	219/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	308			24
28	28	110	110	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	309			24
28	28	221/2	221/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	310			24
28	28	111	111	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	311			24
28	28	223/2	223/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	312			
28	28	108	108	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	313			
28	28	109	109	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	314			
29	29	112	112	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	315			25
29	29	113	113	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	316			25
29	29	114	114	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	317			25
29	29	115	115	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	318			
29	29	112	112	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	319			
29	29	225/2	225/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	320			
29	29	113	113	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	321			
29	29	227/2	227/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	322			
29	29	114	114	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	323			
29	29	229/2	229/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	324			
29	29	115	115	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	325			
29	29	231/2	231/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	326			
30	30	116	116	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	327			26
30	30	233/2	233/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	328			26
30	30	117	117	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	329			
30	30	237/2	237/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	330			
30	30	119	119	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	331			
30	30	239/2	239/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	332			
30	30	116	116	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	333			
30	30	233/2	233/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	334			
30	30	117	117	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	335			
30	30	235/2	235/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	336			
30	30	118	118	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	337			
31	31	120	120	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	338			27
31	31	121	121	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	339			27
31	31	122	122	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	340			27
31	31	123	123	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	341			
31	31	120	120	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	342			
31	31	241/2	241/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	343			
31	31	121	121	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	344			
31	31	243/2	243/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	345			
31	31	122	122	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	346			
31	31	245/2	245/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	347			
31	31	123	123	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	348			
31	31	247/2	247/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	349			
32	32	124	124	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	350			28
32	32	249/2	249/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	351			28
32	32	125	125	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	352			
32	32	253/2	253/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	353			29
32	32	127	127	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	354			29
32	32	255/2	255/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	355			
32	32	124	124	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	356			
32	32	249/2	249/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	357			
32	32	125	125	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	358			
32	32	251/2	251/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	359			
32	32	126	126	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	360			
33	33	128	128	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	361		articAccentAbove	30
33	33	257/2	257/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	362			
33	33	129	129	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	363		articStaccatoAbove	
33	33	259/2	259/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	364		articStaccatoAbove	
33	33	130	130	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	365			
33	33	261/2	261/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	366			31
33	33	131	131	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	367			31
33	33	263/2	263/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	368			
33	33	128	128	2.0	0	0	Chord	2/2	2	1	1/2		1/2	1	369			
33	33	130	130	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	370			
34	34	132	132	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	371		articAccentAbove	32
34	34	265/2	265/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	372			
34	34	133	133	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	373		articStaccatoAbove	
34	34	267/2	267/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	374		articStaccatoAbove	
34	34	134	134	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	375			
34	34	269/2	269/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	376			33
34	34	135	135	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	377			33
34	34	271/2	271/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	378			
34	34	132	132	2.0	0	0	Chord	2/2	2	1	1/2		1/2	1	379			
34	34	134	134	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	380			
35	35	136	136	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	381			34
35	35	273/2	273/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	382			34
35	35	137	137	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	383			34
35	35	275/2	275/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	384			
35	35	138	138	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	385			35
35	35	277/2	277/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	386			
35	35	139	139	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	387			36
35	35	279/2	279/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	388			
35	35	137	137	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	389			
35	35	138	138	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	390			
35	35	139	139	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	391			
36	36	140	140	0.0	0	0	Chord	2/2	1	1	0	grace16	1/16	2/3	392			
36	36	140	140	0.3333333333333333	0	0	Chord	2/2	1	1	1/12		1/8	2/3	393	f		
36	36	421/3	421/3	0.3333333333333333	1/12	1/12	Chord	2/2	1	1	1/12		1/8	2/3	394			
36	36	422/3	422/3	0.3333333333333333	1/6	1/6	Chord	2/2	1	1	1/12		1/8	2/3	395			
36	36	141	141	0.3333333333333333	1/4	1/4	Chord	2/2	1	1	1/12		1/8	2/3	396			
36	36	424/3	424/3	0.3333333333333333	1/3	1/3	Chord	2/2	1	1	1/12		1/8	2/3	397			
36	36	425/3	425/3	0.3333333333333333	5/12	5/12	Chord	2/2	1	1	1/12		1/8	2/3	398			
36	36	142	142	0.3333333333333333	1/2	1/2	Chord	2/2	1	1	1/12		1/8	2/3	399			
36	36	427/3	427/3	0.3333333333333333	7/12	7/12	Chord	2/2	1	1	1/12		1/8	2/3	400			
36	36	428/3	428/3	0.3333333333333333	2/3	2/3	Chord	2/2	1	1	1/12		1/8	2/3	401			
36	36	143	143	0.3333333333333333	3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	402			
36	36	430/3	430/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	403			
36	36	431/3	431/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	404			
36	36	140	140	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	405			
37	37	144	144	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	406			
37	37	145	145	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	407			
37	37	146	146	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	408			
37	37	147	147	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	409			
37	37	144	144	0.3333333333333333	0	0	Chord	2/2	2	1	1/12		1/8	2/3	410			
37	37	433/3	433/3	0.3333333333333333	1/12	1/12	Chord	2/2	2	1	1/12		1/8	2/3	411			
37	37	434/3	434/3	0.3333333333333333	1/6	1/6	Chord	2/2	2	1	1/12		1/8	2/3	412			
37	37	145	145	0.3333333333333333	1/4	1/4	Chord	2/2	2	1	1/12		1/8	2/3	413			
37	37	436/3	436/3	0.3333333333333333	1/3	1/3	Chord	2/2	2	1	1/12		1/8	2/3	414			
37	37	437/3	437/3	0.3333333333333333	5/12	5/12	Chord	2/2	2	1	1/12		1/8	2/3	415			
37	37	146	146	0.3333333333333333	1/2	1/2	Chord	2/2	2	1	1/12		1/8	2/3	416			
37	37	439/3	439/3	0.3333333333333333	7/12	7/12	Chord	2/2	2	1	1/12		1/8	2/3	417			
37	37	440/3	440/3	0.3333333333333333	2/3	2/3	Chord	2/2	2	1	1/12		1/8	2/3	418			
37	37	147	147	0.3333333333333333	3/4	3/4	Chord	2/2	2	1	1/12		1/8	2/3	419			
37	37	442/3	442/3	0.3333333333333333	5/6	5/6	Chord	2/2	2	1	1/12		1/8	2/3	420			
37	37	443/3	443/3	0.3333333333333333	11/12	11/12	Chord	2/2	2	1	1/12		1/8	2/3	421			
38	38	148	148	0.3333333333333333	0	0	Chord	2/2	1	1	1/12		1/8	2/3	422			
38	38	445/3	445/3	0.3333333333333333	1/12	1/12	Chord	2/2	1	1	1/12		1/8	2/3	423			
38	38	446/3	446/3	0.3333333333333333	1/6	1/6	Chord	2/2	1	1	1/12		1/8	2/3	424			
38	38	149	149	0.3333333333333333	1/4	1/4	Chord	2/2	1	1	1/12		1/8	2/3	425			
38	38	448/3	448/3	0.3333333333333333	1/3	1/3	Chord	2/2	1	1	1/12		1/8	2/3	426			
38	38	449/3	449/3	0.3333333333333333	5/12	5/12	Chord	2/2	1	1	1/12		1/8	2/3	427			
38	38	150	150	0.3333333333333333	1/2	1/2	Chord	2/2	1	1	1/12		1/8	2/3	428			
38	38	451/3	451/3	0.3333333333333333	7/12	7/12	Chord	2/2	1	1	1/12		1/8	2/3	429			
38	38	452/3	452/3	0.3333333333333333	2/3	2/3	Chord	2/2	1	1	1/12		1/8	2/3	430			
38	38	151	151	0.3333333333333333	3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	431			
38	38	454/3	454/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	432			
38	38	455/3	455/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	433			
38	38	148	148	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	434			
39	39	152	152	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	435			
39	39	153	153	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	436			
39	39	154	154	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	437			
39	39	155	155	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	438			
39	39	152	152	0.3333333333333333	0	0	Chord	2/2	2	1	1/12		1/8	2/3	439			
39	39	457/3	457/3	0.3333333333333333	1/12	1/12	Chord	2/2	2	1	1/12		1/8	2/3	440			
39	39	458/3	458/3	0.3333333333333333	1/6	1/6	Chord	2/2	2	1	1/12		1/8	2/3	441			
39	39	153	153	0.3333333333333333	1/4	1/4	Chord	2/2	2	1	1/12		1/8	2/3	442			
39	39	460/3	460/3	0.3333333333333333	1/3	1/3	Chord	2/2	2	1	1/12		1/8	2/3	443			
39	39	461/3	461/3	0.3333333333333333	5/12	5/12	Chord	2/2	2	1	1/12		1/8	2/3	444			
39	39	154	154	0.3333333333333333	1/2	1/2	Chord	2/2	2	1	1/12		1/8	2/3	445			
39	39	463/3	463/3	0.3333333333333333	7/12	7/12	Chord	2/2	2	1	1/12		1/8	2/3	446			
39	39	464/3	464/3	0.3333333333333333	2/3	2/3	Chord	2/2	2	1	1/12		1/8	2/3	447			
39	39	155	155	0.3333333333333333	3/4	3/4	Chord	2/2	2	1	1/12		1/8	2/3	448			
39	39	466/3	466/3	0.3333333333333333	5/6	5/6	Chord	2/2	2	1	1/12		1/8	2/3	449			
39	39	467/3	467/3	0.3333333333333333	11/12	11/12	Chord	2/2	2	1	1/12		1/8	2/3	450			
40	40	156	156	0.0	0	0	Chord	2/2	1	1	0	grace16	1/16	2/3	451			
40	40	156	156	0.3333333333333333	0	0	Chord	2/2	1	1	1/12		1/8	2/3	452			
40	40	469/3	469/3	0.3333333333333333	1/12	1/12	Chord	2/2	1	1	1/12		1/8	2/3	453			
40	40	470/3	470/3	0.3333333333333333	1/6	1/6	Chord	2/2	1	1	1/12		1/8	2/3	454			
40	40	157	157	0.3333333333333333	1/4	1/4	Chord	2/2	1	1	1/12		1/8	2/3	455			
40	40	472/3	472/3	0.3333333333333333	1/3	1/3	Chord	2/2	1	1	1/12		1/8	2/3	456			
40	40	473/3	473/3	0.3333333333333333	5/12	5/12	Chord	2/2	1	1	1/12		1/8	2/3	457			
40	40	158	158	0.3333333333333333	1/2	1/2	Chord	2/2	1	1	1/12		1/8	2/3	458			
40	40	475/3	475/3	0.3333333333333333	7/12	7/12	Chord	2/2	1	1	1/12		1/8	2/3	459			
40	40	476/3	476/3	0.3333333333333333	2/3	2/3	Chord	2/2	1	1	1/12		1/8	2/3	460			
40	40	159	159	0.3333333333333333	3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	461			
40	40	478/3	478/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	462			
40	40	479/3	479/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	463			
40	40	156	156	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	464			
41	41	160	160	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	465			
41	41	161	161	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	466			
41	41	162	162	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	467			
41	41	163	163	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	468			
41	41	160	160	0.3333333333333333	0	0	Chord	2/2	2	1	1/12		1/8	2/3	469			
41	41	481/3	481/3	0.3333333333333333	1/12	1/12	Chord	2/2	2	1	1/12		1/8	2/3	470			
41	41	482/3	482/3	0.3333333333333333	1/6	1/6	Chord	2/2	2	1	1/12		1/8	2/3	471			
41	41	161	161	0.3333333333333333	1/4	1/4	Chord	2/2	2	1	1/12		1/8	2/3	472			
41	41	484/3	484/3	0.3333333333333333	1/3	1/3	Chord	2/2	2	1	1/12		1/8	2/3	473			
41	41	485/3	485/3	0.3333333333333333	5/12	5/12	Chord	2/2	2	1	1/12		1/8	2/3	474			
41	41	162	162	0.3333333333333333	1/2	1/2	Chord	2/2	2	1	1/12		1/8	2/3	475			
41	41	487/3	487/3	0.3333333333333333	7/12	7/12	Chord	2/2	2	1	1/12		1/8	2/3	476			
41	41	488/3	488/3	0.3333333333333333	2/3	2/3	Chord	2/2	2	1	1/12		1/8	2/3	477			
41	41	163	163	0.3333333333333333	3/4	3/4	Chord	2/2	2	1	1/12		1/8	2/3	478			
41	41	490/3	490/3	0.3333333333333333	5/6	5/6	Chord	2/2	2	1	1/12		1/8	2/3	479			
41	41	491/3	491/3	0.3333333333333333	11/12	11/12	Chord	2/2	2	1	1/12		1/8	2/3	480			
42	42	164	164	0.3333333333333333	0	0	Chord	2/2	1	1	1/12		1/8	2/3	481			
42	42	493/3	493/3	0.3333333333333333	1/12	1/12	Chord	2/2	1	1	1/12		1/8	2/3	482			
42	42	494/3	494/3	0.3333333333333333	1/6	1/6	Chord	2/2	1	1	1/12		1/8	2/3	483			
42	42	165	165	0.3333333333333333	1/4	1/4	Chord	2/2	1	1	1/12		1/8	2/3	484			
42	42	496/3	496/3	0.3333333333333333	1/3	1/3	Chord	2/2	1	1	1/12		1/8	2/3	485			
42	42	497/3	497/3	0.3333333333333333	5/12	5/12	Chord	2/2	1	1	1/12		1/8	2/3	486			
42	42	166	166	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	487			
42	42	167	167	0.0	3/4	3/4	Chord	2/2	1	1	0	appoggiatura	1/8	1	488			
42	42	167	167	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	489			
42	42	165	165	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	490			
42	42	166	166	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	491			
42	42	167	167	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	492			
42	42	164	164	2.0	0	0	Chord	2/2	2	2	1/2		1/2	1	493			
42	42	166	166	1.0	1/2	1/2	Chord	2/2	2	2	1/4		1/4	1	494			
42	42	167	167	1.0	3/4	3/4	Chord	2/2	2	2	1/4		1/4	1	495			
43	43	168	168	0.3333333333333333	0	0	Chord	2/2	1	1	1/12		1/8	2/3	496			
43	43	505/3	505/3	0.3333333333333333	1/12	1/12	Chord	2/2	1	1	1/12		1/8	2/3	497			
43	43	506/3	506/3	0.3333333333333333	1/6	1/6	Chord	2/2	1	1	1/12		1/8	2/3	498			
43	43	169	169	0.3333333333333333	1/4	1/4	Chord	2/2	1	1	1/12		1/8	2/3	499			
43	43	508/3	508/3	0.3333333333333333	1/3	1/3	Chord	2/2	1	1	1/12		1/8	2/3	500			
43	43	509/3	509/3	0.3333333333333333	5/12	5/12	Chord	2/2	1	1	1/12		1/8	2/3	501			
43	43	170	170	0.3333333333333333	1/2	1/2	Chord	2/2	1	1	1/12		1/8	2/3	502			
43	43	511/3	511/3	0.3333333333333333	7/12	7/12	Chord	2/2	1	1	1/12		1/8	2/3	503			
43	43	512/3	512/3	0.3333333333333333	2/3	2/3	Chord	2/2	1	1	1/12		1/8	2/3	504			
43	43	171	171	0.3333333333333333	3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	505			
43	43	514/3	514/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	506			
43	43	515/3	515/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	507			
43	43	168	168	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	508			
44	44	172	172	4.0	0	0	Chord	2/2	1	1	1		1	1	509			
44	44	517/3	517/3	0.3333333333333333	1/12	1/12	Chord	2/2	2	1	1/12		1/8	2/3	510			
44	44	518/3	518/3	0.3333333333333333	1/6	1/6	Chord	2/2	2	1	1/12		1/8	2/3	511			
44	44	173	173	0.3333333333333333	1/4	1/4	Chord	2/2	2	1	1/12		1/8	2/3	512			
44	44	520/3	520/3	0.3333333333333333	1/3	1/3	Chord	2/2	2	1	1/12		1/8	2/3	513			
44	44	521/3	521/3	0.3333333333333333	5/12	5/12	Chord	2/2	2	1	1/12		1/8	2/3	514			
44	44	174	174	0.3333333333333333	1/2	1/2	Chord	2/2	2	1	1/12		1/8	2/3	515			
44	44	523/3	523/3	0.3333333333333333	7/12	7/12	Chord	2/2	2	1	1/12		1/8	2/3	516			
44	44	524/3	524/3	0.3333333333333333	2/3	2/3	Chord	2/2	2	1	1/12		1/8	2/3	517			
44	44	175	175	0.3333333333333333	3/4	3/4	Chord	2/2	2	1	1/12		1/8	2/3	518			
44	44	526/3	526/3	0.3333333333333333	5/6	5/6	Chord	2/2	2	1	1/12		1/8	2/3	519			
44	44	527/3	527/3	0.3333333333333333	11/12	11/12	Chord	2/2	2	1	1/12		1/8	2/3	520			
45	45	176	176	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	521		articStaccatoAbove	
45	45	177	177	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	522		articStaccatoAbove	
45	45	178	178	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	523		articStaccatoAbove	
45	45	179	179	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	524		articStaccatoAbove	
45	45	176	176	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	525		articStaccatoAbove	
45	45	177	177	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	526		articStaccatoBelow	
45	45	178	178	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	527		articStaccatoBelow	
45	45	179	179	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	528		articStaccatoBelow	
46	46	180	180	0.3333333333333333	0	0	Chord	2/2	1	1	1/12		1/8	2/3	529			
46	46	541/3	541/3	0.3333333333333333	1/12	1/12	Chord	2/2	1	1	1/12		1/8	2/3	530			
46	46	542/3	542/3	0.3333333333333333	1/6	1/6	Chord	2/2	1	1	1/12		1/8	2/3	531			
46	46	181	181	0.3333333333333333	1/4	1/4	Chord	2/2	1	1	1/12		1/8	2/3	532			
46	46	544/3	544/3	0.3333333333333333	1/3	1/3	Chord	2/2	1	1	1/12		1/8	2/3	533			
46	46	545/3	545/3	0.3333333333333333	5/12	5/12	Chord	2/2	1	1	1/12		1/8	2/3	534			
46	46	182	182	0.3333333333333333	1/2	1/2	Chord	2/2	1	1	1/12		1/8	2/3	535			
46	46	547/3	547/3	0.3333333333333333	7/12	7/12	Chord	2/2	1	1	1/12		1/8	2/3	536			
46	46	548/3	548/3	0.3333333333333333	2/3	2/3	Chord	2/2	1	1	1/12		1/8	2/3	537			
46	46	183	183	0.3333333333333333	3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	538			
46	46	550/3	550/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	539			
46	46	551/3	551/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	540			
47	47	184	184	4.0	0	0	Chord	2/2	1	1	1		1	1	541			
47	47	553/3	553/3	0.3333333333333333	1/12	1/12	Chord	2/2	2	1	1/12		1/8	2/3	542			
47	47	554/3	554/3	0.3333333333333333	1/6	1/6	Chord	2/2	2	1	1/12		1/8	2/3	543			
47	47	185	185	0.3333333333333333	1/4	1/4	Chord	2/2	2	1	1/12		1/8	2/3	544			
47	47	556/3	556/3	0.3333333333333333	1/3	1/3	Chord	2/2	2	1	1/12		1/8	2/3	545			
47	47	557/3	557/3	0.3333333333333333	5/12	5/12	Chord	2/2	2	1	1/12		1/8	2/3	546			
47	47	186	186	0.3333333333333333	1/2	1/2	Chord	2/2	2	1	1/12		1/8	2/3	547			
47	47	559/3	559/3	0.3333333333333333	7/12	7/12	Chord	2/2	2	1	1/12		1/8	2/3	548			
47	47	560/3	560/3	0.3333333333333333	2/3	2/3	Chord	2/2	2	1	1/12		1/8	2/3	549			
47	47	187	187	0.3333333333333333	3/4	3/4	Chord	2/2	2	1	1/12		1/8	2/3	550			
47	47	562/3	562/3	0.3333333333333333	5/6	5/6	Chord	2/2	2	1	1/12		1/8	2/3	551			
47	47	563/3	563/3	0.3333333333333333	11/12	11/12	Chord	2/2	2	1	1/12		1/8	2/3	552			
48	48	188	188	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	553		articStaccatoBelow	
48	48	189	189	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	554		articStaccatoBelow	
48	48	190	190	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	555		articStaccatoBelow	
