mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	tempo_visible	slur	decrescendo_hairpin	crescendo_line
16	14	217/4	217/4	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	118		articStaccatoBelow						
16	14	221/4	221/4	0.0		3/4	3/4	Dynamic	4/4	2	1	0					f							
16	14	223/4	223/4	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	119								
16	14	223/4	223/4	0.5		7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	120								
17	15	225/4	225/4	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	121								
17	15	229/4	229/4	0.0		1/4	1/4	Dynamic	4/4	1	1	0					sf							
17	15	229/4	229/4	0.0		1/4	1/4	Spanner	4/4	1	1	0											0	
17	15	229/4	229/4	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	122						6	0	
17	15	233/4	233/4	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	123						6	0	
17	15	237/4	237/4	0.0		3/4	3/4	Spanner	4/4	1	1	0										6		
17	15	237/4	237/4	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	124						6		
17	15	225/4	225/4	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	125								
17	15	229/4	229/4	1.0		1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	126								
17	15	233/4	233/4	2.0		1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	127								
17	15	225/4	225/4	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	128								
17	15	229/4	229/4	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	129								
17	15	233/4	233/4	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	130								
17	15	237/4	237/4	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	131								
17	15	225/4	225/4	1.0		0	0	Chord	4/4	2	2	1/4		1/4	1	132								
17	15	229/4	229/4	1.0		1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	133						7		
17	15	233/4	233/4	2.0		1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	134						7		
18	16	241/4	241/4	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	135		articStaccatoAbove						
18	16	245/4	245/4	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	136		articStaccatoBelow						
18	16	249/4	249/4	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	137		articStaccatoBelow						
18	16	241/4	241/4	0.0		0	0	Dynamic	4/4	2	1	0					p							
18	16	241/4	241/4	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	138		articStaccatoAbove						
18	16	245/4	245/4	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	139		articStaccatoBelow						
18	16	249/4	249/4	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	140		articStaccatoBelow						
