mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	Trill:trill	crescendo_hairpin	crescendo_line
53	51	151	151	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	282							
54	52	154	154	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	283				35			
54	52	155	155	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	284							
54	52	156	156	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	285			articStaccatoBelow				
54	52	154	154	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	286							
54	52	154	154	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	287							
55	53	157	157	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	288							
55	53	157	157	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	289				36			
55	53	157	157	0.0	0	0	Dynamic	3/4	2	1	0						pp					
55	53	157	157	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	290				37			
56	54	160	160	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	291							
56	54	160	160	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	292							
56	54	160	160	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	293							
57	54	162	162	0.3333333333333333	0	1/2	Chord	3/4	2	1	1/12		1/8	2/3	294							
57	54	487/3	487/3	0.3333333333333333	1/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	295							
57	54	488/3	488/3	0.3333333333333333	1/6	2/3	Chord	3/4	2	1	1/12		1/8	2/3	296							
57	54	162	162	0.0	0	1/2	Dynamic	3/4	2	2	0						f					
57	54	162	162	1.0	0	1/2	Chord	3/4	2	2	1/4		1/4	1	297							
58	55	165	165	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	298							
58	55	496/3	496/3	0.0	7/12	7/12	Dynamic	3/4	1	1	0						f					
58	55	163	163	0.3333333333333333	0	0	Chord	3/4	2	1	1/12		1/8	2/3	299							
58	55	490/3	490/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	300							
58	55	491/3	491/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	301							
58	55	164	164	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	302							
58	55	493/3	493/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	303							
58	55	494/3	494/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	304							
58	55	165	165	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	305							
58	55	496/3	496/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	306							
58	55	497/3	497/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	307							
58	55	163	163	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	308							
59	56	166	166	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	309							
59	56	166	166	0.3333333333333333	0	0	Chord	3/4	2	1	1/12		1/8	2/3	310							
59	56	499/3	499/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	311							
59	56	500/3	500/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	312							
59	56	167	167	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	313							
59	56	502/3	502/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	314							
59	56	503/3	503/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	315							
59	56	168	168	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	316							
59	56	505/3	505/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	317							
59	56	506/3	506/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	318							
59	56	168	168	0.0	1/2	1/2	Dynamic	3/4	2	2	0						p					
59	56	168	168	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	319							
60	57	169	169	0.3333333333333333	0	0	Chord	3/4	2	1	1/12		1/8	2/3	320							
60	57	508/3	508/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	321							
60	57	509/3	509/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	322							
60	57	170	170	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	323							
60	57	511/3	511/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	324							
60	57	512/3	512/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	325							
60	57	171	171	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	326							
60	57	514/3	514/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	327							
60	57	515/3	515/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	328							
60	57	169	169	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	329				38			
60	57	170	170	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	330							
60	57	171	171	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	331							
61	58	172	172	0.3333333333333333	0	0	Chord	3/4	2	1	1/12		1/8	2/3	332							
61	58	517/3	517/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	333							
61	58	518/3	518/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	334							
61	58	173	173	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	335							
61	58	520/3	520/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	336							
61	58	521/3	521/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	337							
61	58	174	174	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	338							
61	58	523/3	523/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	339							
61	58	524/3	524/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	340							
61	58	172	172	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	341							
61	58	174	174	0.0	1/2	1/2	Dynamic	3/4	2	2	0						f					
61	58	174	174	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	342							
62	59	177	177	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	343							
62	59	532/3	532/3	0.0	7/12	7/12	Dynamic	3/4	1	1	0						f					
62	59	175	175	0.3333333333333333	0	0	Chord	3/4	2	1	1/12		1/8	2/3	344							
62	59	526/3	526/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	345							
62	59	527/3	527/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	346							
62	59	176	176	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	347							
62	59	529/3	529/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	348							
62	59	530/3	530/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	349							
62	59	177	177	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	350							
62	59	532/3	532/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	351							
62	59	533/3	533/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	352							
62	59	175	175	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	353							
63	60	178	178	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	354							
63	60	178	178	0.3333333333333333	0	0	Chord	3/4	2	1	1/12		1/8	2/3	355							
63	60	535/3	535/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	356							
63	60	536/3	536/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	357							
63	60	179	179	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	358							
63	60	538/3	538/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	359							
63	60	539/3	539/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	360							
63	60	180	180	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	361							
63	60	541/3	541/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	362							
63	60	542/3	542/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	363							
63	60	180	180	0.0	1/2	1/2	Dynamic	3/4	2	2	0						p					
63	60	180	180	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	364							
64	61	181	181	0.3333333333333333	0	0	Chord	3/4	2	1	1/12		1/8	2/3	365							
64	61	544/3	544/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	366							
64	61	545/3	545/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	367							
64	61	182	182	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	368							
64	61	547/3	547/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	369							
64	61	548/3	548/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	370							
64	61	183	183	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	371							
64	61	550/3	550/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	372							
64	61	551/3	551/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	373							
64	61	181	181	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	374				39			
64	61	182	182	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	375							
64	61	183	183	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	376							
65	62	184	184	0.3333333333333333	0	0	Chord	3/4	2	1	1/12		1/8	2/3	377							
65	62	553/3	553/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	378							
65	62	554/3	554/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	379							
65	62	185	185	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	380							
65	62	556/3	556/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	381							
65	62	557/3	557/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	382							
65	62	186	186	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	383							
65	62	559/3	559/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	384							
65	62	560/3	560/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	385							
65	62	184	184	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	386							
65	62	186	186	0.0	1/2	1/2	Dynamic	3/4	2	2	0						f					
65	62	186	186	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	387							
66	63	189	189	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	388							
66	63	568/3	568/3	0.0	7/12	7/12	Dynamic	3/4	1	1	0						f					
66	63	187	187	0.3333333333333333	0	0	Chord	3/4	2	1	1/12		1/8	2/3	389							
66	63	562/3	562/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	390							
66	63	563/3	563/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	391							
66	63	188	188	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	392							
66	63	565/3	565/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	393							
66	63	566/3	566/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	394							
66	63	189	189	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	395							
66	63	568/3	568/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	396							
66	63	569/3	569/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	397							
66	63	187	187	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	398							
67	64	190	190	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	399							
67	64	190	190	0.3333333333333333	0	0	Chord	3/4	2	1	1/12		1/8	2/3	400							
67	64	571/3	571/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	401							
67	64	572/3	572/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	402							
67	64	191	191	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	403							
67	64	574/3	574/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	404							
67	64	575/3	575/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	405							
67	64	192	192	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	406							
67	64	577/3	577/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	407							
67	64	578/3	578/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	408							
67	64	192	192	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	409							
68	65	195	195	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	410							
68	65	193	193	0.3333333333333333	0	0	Chord	3/4	2	1	1/12		1/8	2/3	411							
68	65	580/3	580/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	412							
68	65	581/3	581/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	413							
68	65	194	194	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	414							
68	65	583/3	583/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	415							
68	65	584/3	584/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	416							
68	65	195	195	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	417							
68	65	586/3	586/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	418							
68	65	587/3	587/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	419							
68	65	193	193	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	420							
69	66	196	196	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	421							
69	66	196	196	0.3333333333333333	0	0	Chord	3/4	2	1	1/12		1/8	2/3	422							
69	66	589/3	589/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	423							
69	66	590/3	590/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	424							
69	66	197	197	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	425							
69	66	592/3	592/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	426							
69	66	593/3	593/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	427							
69	66	198	198	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	428							
69	66	595/3	595/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	429							
69	66	596/3	596/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	430							
69	66	198	198	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	431							
70	67	199	199	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	432							
70	67	598/3	598/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	433							
70	67	599/3	599/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	434							
70	67	200	200	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	435				40			
70	67	401/2	401/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	436							
70	67	201	201	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	437			articStaccatoAbove				
70	67	403/2	403/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	438			articStaccatoAbove				
70	67	199	199	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	439							
71	68	202	202	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	440			articStaccatoAbove				
71	68	405/2	405/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	441			articStaccatoAbove				
71	68	203	203	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	442			articStaccatoBelow				
71	68	407/2	407/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	443			articStaccatoBelow				
71	68	204	204	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	444			articStaccatoBelow				
71	68	409/2	409/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	445			articStaccatoBelow				
71	68	202	202	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	446							
72	69	205	205	0.0	0	0	Dynamic	3/4	1	1	0						p					
72	69	205	205	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	447				41			
72	69	411/2	411/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	448				41			
72	69	206	206	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	449				41			
72	69	413/2	413/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	450				41			
72	69	207	207	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	451				41			
72	69	415/2	415/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	452				41			
72	69	205	205	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	453							
73	70	208	208	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	454				41			
73	70	417/2	417/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	455				41			
73	70	209	209	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	456				41			
73	70	419/2	419/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	457				41			
73	70	210	210	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	458				41			
73	70	421/2	421/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	459							
73	70	210	210	0.0	1/2	1/2	Dynamic	3/4	2	1	0						f					
73	70	210	210	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	460							
74	71	213	213	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	461				42			
74	71	640/3	640/3	0.0	7/12	7/12	Dynamic	3/4	1	1	0						f		42			
74	71	211	211	0.3333333333333333	0	0	Chord	3/4	2	1	1/12		1/8	2/3	462							
74	71	634/3	634/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	463							
74	71	635/3	635/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	464							
74	71	212	212	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	465							
74	71	637/3	637/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	466							
74	71	638/3	638/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	467							
74	71	213	213	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	468							
74	71	640/3	640/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	469							
74	71	641/3	641/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	470							
74	71	211	211	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	471							
75	72	214	214	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	472							
75	72	214	214	0.3333333333333333	0	0	Chord	3/4	2	1	1/12		1/8	2/3	473							
75	72	643/3	643/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	474							
75	72	644/3	644/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	475							
75	72	215	215	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	476							
75	72	646/3	646/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	477							
75	72	647/3	647/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	478							
75	72	216	216	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	479							
75	72	649/3	649/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	480							
75	72	650/3	650/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	481							
75	72	216	216	0.0	1/2	1/2	Dynamic	3/4	2	2	0						p					
75	72	216	216	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	482							
76	73	217	217	0.3333333333333333	0	0	Chord	3/4	2	1	1/12		1/8	2/3	483							
76	73	652/3	652/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	484							
76	73	653/3	653/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	485							
76	73	218	218	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	486							
76	73	655/3	655/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	487							
76	73	656/3	656/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	488							
76	73	219	219	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	489							
76	73	658/3	658/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	490							
76	73	659/3	659/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	491							
76	73	217	217	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	492				43			
76	73	218	218	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	493							
76	73	219	219	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	494							
77	74	220	220	0.3333333333333333	0	0	Chord	3/4	2	1	1/12		1/8	2/3	495							
77	74	661/3	661/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	496							
77	74	662/3	662/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	497							
77	74	221	221	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	498							
77	74	664/3	664/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	499							
77	74	665/3	665/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	500							
77	74	222	222	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	501							
77	74	667/3	667/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	502							
77	74	668/3	668/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	503							
77	74	220	220	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	504							
77	74	222	222	0.0	1/2	1/2	Dynamic	3/4	2	2	0						f					
77	74	222	222	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	505				44			
78	75	225	225	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	506				45			
78	75	676/3	676/3	0.0	7/12	7/12	Dynamic	3/4	1	1	0						f		45			
78	75	223	223	0.3333333333333333	0	0	Chord	3/4	2	1	1/12		1/8	2/3	507							
78	75	670/3	670/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	508							
78	75	671/3	671/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	509							
78	75	224	224	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	510							
78	75	673/3	673/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	511							
78	75	674/3	674/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	512							
78	75	225	225	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	513							
78	75	676/3	676/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	514							
78	75	677/3	677/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	515							
78	75	223	223	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	516							
79	76	226	226	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	517							
79	76	226	226	0.3333333333333333	0	0	Chord	3/4	2	1	1/12		1/8	2/3	518							
79	76	679/3	679/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	519							
79	76	680/3	680/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	520							
79	76	227	227	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	521							
79	76	682/3	682/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	522							
79	76	683/3	683/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	523							
79	76	228	228	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	524							
79	76	685/3	685/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	525							
79	76	686/3	686/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	526							
79	76	228	228	0.0	1/2	1/2	Dynamic	3/4	2	2	0						p					
79	76	228	228	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	527							
80	77	229	229	0.3333333333333333	0	0	Chord	3/4	2	1	1/12		1/8	2/3	528							
80	77	688/3	688/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	529							
80	77	689/3	689/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	530							
80	77	230	230	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	531							
80	77	691/3	691/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	532							
80	77	692/3	692/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	533							
80	77	231	231	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	534							
80	77	694/3	694/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	535							
80	77	695/3	695/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	536							
80	77	229	229	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	537				46			
