mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	crescendo_hairpin	Ottava:8va	Trill:trill
35	35	102	102	0.0	0	0	Spanner	6/8	1	1	0										4		
35	35	102	102	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	278				20		4		
35	35	103	103	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	279				20		4		
35	35	207/2	207/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	280				20		4		
35	35	209/2	209/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	281				20		4		
35	35	102	102	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	282						4		
35	35	207/2	207/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	283						4		
35	35	209/2	209/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	284						4		
35	35	102	102	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	285								
35	35	205/2	205/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	286								
35	35	103	103	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	287								
35	35	207/2	207/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	288								
35	35	104	104	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	289								
35	35	209/2	209/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	290								
36	36	105	105	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	291				20		4		
36	36	106	106	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	292				20		4		
36	36	213/2	213/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	293				20		4		
36	36	215/2	215/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	294						4		
36	36	105	105	0.5	0	0	Chord	6/8	1	2	1/8		1/8	1	295						4		
36	36	211/2	211/2	1.0	1/8	1/8	Chord	6/8	1	2	1/4		1/4	1	296						4		
36	36	213/2	213/2	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	297						4		
36	36	105	105	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	298								
36	36	211/2	211/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	299								
36	36	106	106	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	300								
36	36	213/2	213/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	301								
36	36	107	107	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	302								
36	36	215/2	215/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	303								
37	37	108	108	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	304						4		
37	37	219/2	219/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	305						4		
37	37	110	110	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	306						4		
37	37	221/2	221/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	307						4		
37	37	108	108	0.5	0	0	Chord	6/8	1	2	1/8		1/8	1	308						4		
37	37	217/2	217/2	0.5	1/8	1/8	Chord	6/8	1	2	1/8		1/8	1	309						4		
37	37	109	109	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	310						4		
37	37	219/2	219/2	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	311						4		
37	37	108	108	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	312								
37	37	217/2	217/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	313								
37	37	109	109	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	314								
37	37	219/2	219/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	315								
37	37	110	110	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	316								
37	37	221/2	221/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	317								
37	37	108	108	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	318								
38	38	111	111	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	319						4		
38	38	225/2	225/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	320						4		
38	38	113	113	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	321						4		
38	38	227/2	227/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	322						4		
38	38	111	111	0.5	0	0	Chord	6/8	1	2	1/8		1/8	1	323						4		
38	38	223/2	223/2	0.5	1/8	1/8	Chord	6/8	1	2	1/8		1/8	1	324						4		
38	38	112	112	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	325						4		
38	38	225/2	225/2	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	326						4		
38	38	111	111	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	327								
38	38	223/2	223/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	328								
38	38	112	112	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	329								
38	38	225/2	225/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	330								
38	38	113	113	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	331								
38	38	227/2	227/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	332								
38	38	111	111	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	333								
39	39	114	114	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	334						4		
39	39	115	115	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	335				21		4		
39	39	231/2	231/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	336				21		4		
39	39	233/2	233/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	337				21		4		
39	39	114	114	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	338						4		
39	39	115	115	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	339						4		
39	39	231/2	231/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	340						4		
39	39	233/2	233/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	341						4		
39	39	114	114	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	342								
39	39	229/2	229/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	343								
39	39	115	115	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	344								
39	39	231/2	231/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	345								
39	39	116	116	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	346								
39	39	233/2	233/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	347								
40	40	117	117	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	348				21		4		
40	40	118	118	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	349				21		4		
40	40	237/2	237/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	350				21		4		
40	40	239/2	239/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	351				21		4		
40	40	117	117	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	352								
40	40	235/2	235/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	353								
40	40	118	118	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	354								
40	40	237/2	237/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	355								
40	40	119	119	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	356								
40	40	239/2	239/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	357								
41	41	120	120	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	358				21		4		
41	41	121	121	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	359				21		4		
41	41	243/2	243/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	360				21		4		
41	41	245/2	245/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	361				21		4		
41	41	120	120	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	362								
41	41	241/2	241/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	363								
41	41	121	121	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	364								
41	41	243/2	243/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	365								
41	41	122	122	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	366								
41	41	245/2	245/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	367								
42	42	123	123	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	368				21		4		
42	42	124	124	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	369				21		4		
42	42	249/2	249/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	370						4		
42	42	251/2	251/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	371						4		
42	42	251/2	251/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	372						4		
42	42	123	123	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	373								
42	42	247/2	247/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	374								
42	42	124	124	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	375								
42	42	249/2	249/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	376								
42	42	251/2	251/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	377								
43	43	126	126	0.0	0	0	Spanner	6/8	1	1	0												
43	43	126	126	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	378								
43	43	127	127	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	379				22				
43	43	255/2	255/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	380				22				
43	43	128	128	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	381				22				
43	43	257/2	257/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	382								
43	43	126	126	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	383								
43	43	126	126	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	384								
43	43	253/2	253/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	385								
43	43	127	127	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	386								
43	43	255/2	255/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	387								
43	43	128	128	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	388								
43	43	257/2	257/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	389								
44	44	129	129	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	390				23				
44	44	130	130	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	391				23				
44	44	261/2	261/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	392				23				
44	44	263/2	263/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	393				23				
44	44	129	129	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	394								
44	44	259/2	259/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	395								
44	44	130	130	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	396								
44	44	261/2	261/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	397								
44	44	131	131	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	398								
44	44	263/2	263/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	399								
45	45	132	132	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	400								
45	45	133	133	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	401				24				
45	45	267/2	267/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	402				24				
45	45	269/2	269/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	403								
45	45	132	132	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	404								
45	45	265/2	265/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	405								
45	45	133	133	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	406								
45	45	267/2	267/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	407								
45	45	134	134	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	408								
45	45	269/2	269/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	409								
46	46	135	135	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	410				25				
46	46	136	136	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	411				25				
46	46	273/2	273/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	412				25				
46	46	275/2	275/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	413				25				
46	46	135	135	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	414								
46	46	271/2	271/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	415								
46	46	136	136	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	416								
46	46	273/2	273/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	417								
46	46	137	137	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	418								
46	46	275/2	275/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	419								
47	47	138	138	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	420								
47	47	139	139	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	421				26				
47	47	279/2	279/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	422				26				
47	47	140	140	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	423				26				
47	47	281/2	281/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	424								
47	47	138	138	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	425								
47	47	277/2	277/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	426								
47	47	139	139	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	427								
47	47	279/2	279/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	428								
47	47	140	140	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	429								
47	47	281/2	281/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	430								
48	48	141	141	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	431				27				
48	48	142	142	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	432				27				
48	48	285/2	285/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	433				27				
48	48	287/2	287/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	434				27				
48	48	141	141	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	435								
48	48	283/2	283/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	436								
48	48	142	142	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	437								
48	48	285/2	285/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	438								
48	48	143	143	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	439								
48	48	287/2	287/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	440								
49	49	144	144	0.0	0	0	Spanner	6/8	1	1	0								27		5		
49	49	144	144	3.0	0	0	Chord	6/8	1	1	3/4		1/2	3/2	441				27		5		
49	49	144	144	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	442								
49	49	289/2	289/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	443								
49	49	145	145	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	444								
49	49	291/2	291/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	445								
49	49	146	146	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	446								
49	49	293/2	293/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	447								
49	49	144	144	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	448								
50	50	147	147	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	449				27		5		
50	50	148	148	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	450				27		5		
50	50	297/2	297/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	451				27		5		
50	50	299/2	299/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	452						5		
50	50	147	147	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	453								
50	50	295/2	295/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	454								
50	50	148	148	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	455								
50	50	297/2	297/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	456								
50	50	149	149	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	457								
50	50	299/2	299/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	458								
50	50	147	147	1.5	0	0	Chord	6/8	2	2	3/8		1/4	3/2	459								
50	50	297/2	297/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8		1/4	3/2	460								
51	51	150	150	0.0	0	0	Spanner	6/8	1	1	0												
51	51	303/2	303/2	0.0	3/8	3/8	Dynamic	6/8	1	1	0						p						
51	51	303/2	303/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	461				28				
51	51	305/2	305/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	462				28				
51	51	150	150	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	463								
51	51	301/2	301/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	464								
51	51	151	151	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	465								
51	51	303/2	303/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	466								
51	51	152	152	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	467								
51	51	305/2	305/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	468								
51	51	150	150	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	469								
52	52	153	153	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	470			articStaccatoAbove					
52	52	309/2	309/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	471								
52	52	153	153	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	472								
52	52	307/2	307/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	473								
52	52	154	154	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	474								
52	52	309/2	309/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	475								
52	52	155	155	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	476								
52	52	311/2	311/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	477								
52	52	153	153	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	478								
53	53	315/2	315/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	479				29				
53	53	317/2	317/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	480				29				
53	53	156	156	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	481								
53	53	313/2	313/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	482								
53	53	157	157	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	483								
53	53	315/2	315/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	484								
53	53	158	158	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	485								
53	53	317/2	317/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	486								
53	53	156	156	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	487								
54	54	159	159	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	488			articStaccatoAbove					
54	54	321/2	321/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	489								
54	54	159	159	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	490								
54	54	319/2	319/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	491								
54	54	160	160	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	492								
54	54	321/2	321/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	493								
54	54	161	161	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	494								
54	54	323/2	323/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	495								
54	54	159	159	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	496								
55	55	162	162	0.0	0	0	Dynamic	6/8	1	1	0						f						
55	55	162	162	0.0	0	0	Spanner	6/8	1	1	0										6		
55	55	163	163	0.0	1/4	1/4	Dynamic	6/8	1	1	0						f				6		
55	55	327/2	327/2	0.0	3/8	3/8	Dynamic	6/8	1	1	0						f				6		
55	55	327/2	327/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	497				30		6		
55	55	329/2	329/2	0.0	5/8	5/8	Dynamic	6/8	1	1	0						f				6		
55	55	329/2	329/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	498						6		
55	55	162	162	0.0	0	0	Dynamic	6/8	1	2	0						f				6		
55	55	162	162	0.5	0	0	Chord	6/8	1	2	1/8		1/8	1	499				31		6		
55	55	325/2	325/2	0.0	1/8	1/8	Dynamic	6/8	1	2	0						f		31		6		
55	55	325/2	325/2	0.5	1/8	1/8	Chord	6/8	1	2	1/8		1/8	1	500				31		6		
55	55	163	163	0.0	1/4	1/4	Dynamic	6/8	1	2	0						f		31		6		
55	55	163	163	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	501				31		6		
55	55	327/2	327/2	0.0	3/8	3/8	Dynamic	6/8	1	2	0						f		31		6		
55	55	327/2	327/2	0.5	3/8	3/8	Chord	6/8	1	2	1/8		1/8	1	502				31		6		
55	55	164	164	0.0	1/2	1/2	Dynamic	6/8	1	2	0						f		31		6		
55	55	164	164	0.5	1/2	1/2	Chord	6/8	1	2	1/8		1/8	1	503				31		6		
55	55	329/2	329/2	0.0	5/8	5/8	Dynamic	6/8	1	2	0						f				6		
55	55	329/2	329/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	504						6		
55	55	162	162	3.0	0	0	Chord	6/8	2	1	3/4		1/2	3/2	505								
56	56	165	165	0.0	0	0	Dynamic	6/8	1	1	0						f				6		
56	56	165	165	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	506						6		
56	56	166	166	0.0	1/4	1/4	Dynamic	6/8	1	1	0						f				6		
56	56	333/2	333/2	0.0	3/8	3/8	Dynamic	6/8	1	1	0						f				6		
56	56	333/2	333/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	507						6		
56	56	335/2	335/2	0.0	5/8	5/8	Dynamic	6/8	1	1	0						f				6		
56	56	165	165	0.0	0	0	Dynamic	6/8	1	2	0						f				6		
56	56	165	165	0.5	0	0	Chord	6/8	1	2	1/8		1/8	1	508						6		
56	56	331/2	331/2	0.0	1/8	1/8	Dynamic	6/8	1	2	0						f				6		
56	56	331/2	331/2	0.5	1/8	1/8	Chord	6/8	1	2	1/8		1/8	1	509						6		
56	56	166	166	0.0	1/4	1/4	Dynamic	6/8	1	2	0						f				6		
56	56	166	166	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	510						6		
56	56	333/2	333/2	0.0	3/8	3/8	Dynamic	6/8	1	2	0						f				6		
56	56	333/2	333/2	0.5	3/8	3/8	Chord	6/8	1	2	1/8		1/8	1	511						6		
56	56	167	167	0.0	1/2	1/2	Dynamic	6/8	1	2	0						f				6		
56	56	167	167	0.5	1/2	1/2	Chord	6/8	1	2	1/8		1/8	1	512						6		
56	56	335/2	335/2	0.0	5/8	5/8	Dynamic	6/8	1	2	0						f				6		
56	56	335/2	335/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	513	f					6		
56	56	165	165	3.0	0	0	Chord	6/8	2	1	3/4		1/2	3/2	514								
57	57	168	168	0.0	0	0	Dynamic	6/8	1	1	0						f						
57	57	168	168	0.0	0	0	Spanner	6/8	1	1	0												
57	57	339/2	339/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	515								
57	57	170	170	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	516								
57	57	341/2	341/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	517								
57	57	168	168	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	518								
57	57	337/2	337/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	519								
57	57	169	169	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	520								
57	57	339/2	339/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	521								
57	57	168	168	1.0	0	0	Chord	6/8	2	2	1/4		1/4	1	522								
58	58	171	171	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	523								
58	58	343/2	343/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	524								
58	58	172	172	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	525								
58	58	345/2	345/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	526								
58	58	173	173	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	527								
58	58	347/2	347/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	528								
58	58	171	171	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	529								
58	58	345/2	345/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	530								
59	59	174	174	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	531								
59	59	349/2	349/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	532								
59	59	175	175	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	533								
59	59	351/2	351/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	534								
59	59	176	176	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	535								
59	59	353/2	353/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	536								
59	59	174	174	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	537								
59	59	351/2	351/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	538								
60	60	177	177	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	539								
60	60	355/2	355/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	540								
60	60	178	178	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	541								
60	60	357/2	357/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	542								
60	60	179	179	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	543								
60	60	359/2	359/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	544								
60	60	177	177	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	545								
60	60	357/2	357/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	546								
