mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
37	37	72	72	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	280								
37	37	147/2	147/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	281								
37	37	72	72	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	282								
37	37	147/2	147/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	283								
38	38	74	74	0.75	0	0	Chord	2/4	1	1	3/16	1/8	3/2	284				99				
38	38	299/4	299/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	285								
38	38	75	75	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	286			articStaccatoAbove					
38	38	151/2	151/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	287			articStaccatoAbove					
38	38	74	74	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	288								
38	38	75	75	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	289			articStaccatoAbove					
38	38	151/2	151/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	290			articStaccatoAbove					
38	38	74	74	0.75	0	0	Chord	2/4	2	2	3/16	1/8	3/2	291				100				
38	38	299/4	299/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16	1/16	1	292								
38	38	75	75	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	293								
38	38	151/2	151/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	294								
39	39	76	76	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	295								
39	39	76	76	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	296								
40	40	78	78	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	297				101				
40	40	159/2	159/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	298								
40	40	78	78	1.5	0	0	Chord	2/4	2	1	3/8	1/4	3/2	299				102				
40	40	159/2	159/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	300								
41	41	80	80	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	301								
41	41	163/2	163/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	302								
41	41	80	80	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	303								
41	41	163/2	163/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	304								
42	42	82	82	0.75	0	0	Chord	2/4	1	1	3/16	1/8	3/2	305				103				
42	42	331/4	331/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	306								
42	42	83	83	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	307			articStaccatoAbove					
42	42	167/2	167/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	308			articStaccatoAbove					
42	42	82	82	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	309								
42	42	83	83	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	310								
42	42	167/2	167/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	311								
42	42	82	82	0.75	0	0	Chord	2/4	2	1	3/16	1/8	3/2	312				104				
42	42	331/4	331/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	313								
42	42	83	83	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	314			articStaccatoAbove					
42	42	167/2	167/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	315			articStaccatoAbove					
43	43	84	84	0.0	0	0	Dynamic	2/4	1	1	0					f						
43	43	84	84	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	316				105				
43	43	337/4	337/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	317								
43	43	169/2	169/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	318				106				
43	43	339/4	339/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	319								
43	43	85	85	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	320				107				
43	43	341/4	341/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	321								
43	43	171/2	171/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	322				108				
43	43	343/4	343/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	323								
43	43	84	84	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	324				109				
43	43	169/2	169/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	325				109				
43	43	85	85	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	326				109				
43	43	171/2	171/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	327				109				
44	44	86	86	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	328				110				
44	44	345/4	345/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	329								
44	44	173/2	173/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	330				111				
44	44	347/4	347/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	331								
44	44	87	87	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	332				112				
44	44	349/4	349/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	333								
44	44	175/2	175/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	334				113				
44	44	351/4	351/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	335								
44	44	86	86	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	336				109				
44	44	173/2	173/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	337				109				
44	44	87	87	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	338				109				
44	44	175/2	175/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	339				109				
45	45	88	88	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	340				114				
45	45	353/4	353/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	341								
45	45	177/2	177/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	342				115				
45	45	355/4	355/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	343								
45	45	89	89	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	344				116				
45	45	357/4	357/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	345								
45	45	179/2	179/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	346				117				
45	45	359/4	359/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	347								
45	45	88	88	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	348				109				
45	45	177/2	177/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	349				109				
45	45	89	89	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	350				109				
45	45	179/2	179/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	351				109				
46	46	90	90	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	352				118				
46	46	361/4	361/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	353								
46	46	181/2	181/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	354				119				
46	46	363/4	363/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	355								
46	46	91	91	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	356				120				
46	46	365/4	365/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	357								
46	46	183/2	183/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	358				121				
46	46	367/4	367/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	359								
46	46	90	90	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	360				109				
46	46	181/2	181/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	361				109				
46	46	91	91	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	362				109				
46	46	183/2	183/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	363								
47	47	92	92	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	364				122				
47	47	369/4	369/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	365								
47	47	185/2	185/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	366				123				
47	47	371/4	371/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	367								
47	47	93	93	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	368				124				
47	47	373/4	373/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	369								
47	47	187/2	187/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	370				125				
47	47	375/4	375/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	371								
47	47	92	92	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	372								
47	47	185/2	185/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	373				126				
47	47	93	93	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	374				126				
47	47	187/2	187/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	375				126				
48	48	94	94	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	376				127				
48	48	377/4	377/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	377								
48	48	189/2	189/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	378				128				
48	48	379/4	379/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	379								
48	48	95	95	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	380				129				
48	48	381/4	381/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	381								
48	48	191/2	191/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	382				130				
48	48	383/4	383/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	383								
48	48	94	94	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	384				126				
48	48	189/2	189/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	385				126				
48	48	95	95	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	386				126				
48	48	191/2	191/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	387				126				
49	49	96	96	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	388				131				
49	49	385/4	385/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	389								
49	49	193/2	193/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	390				132				
49	49	387/4	387/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	391								
49	49	97	97	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	392				133				
49	49	389/4	389/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	393								
49	49	195/2	195/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	394				134				
49	49	391/4	391/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	395								
49	49	96	96	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	396				126				
49	49	193/2	193/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	397				126				
49	49	97	97	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	398				126				
49	49	195/2	195/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	399				126				
50	50	98	98	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	400				135				
50	50	393/4	393/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	401								
50	50	197/2	197/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	402				136				
50	50	395/4	395/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	403								
50	50	99	99	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	404				137				
50	50	397/4	397/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	405								
50	50	199/2	199/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	406				138				
50	50	399/4	399/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	407								
50	50	98	98	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	408				126				
50	50	197/2	197/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	409				126				
50	50	99	99	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	410				126				
50	50	199/2	199/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	411								
51	51	100	100	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	412			articStaccatoAbove					
51	51	201/2	201/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	413				139				
51	51	403/4	403/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	414								
51	51	203/2	203/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	415				140				
51	51	407/4	407/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	416								
51	51	100	100	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	417			articStaccatoBelow					
51	51	101	101	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	418				141				
51	51	405/4	405/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	419								
52	52	205/2	205/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	420				142				
52	52	411/4	411/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	421								
52	52	207/2	207/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	422				143				
52	52	415/4	415/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	423								
52	52	102	102	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	424				144				
52	52	409/4	409/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	425								
52	52	103	103	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	426				145				
52	52	413/4	413/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	427								
53	53	209/2	209/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	428				146				
53	53	419/4	419/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	429								
53	53	211/2	211/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	430				147				
53	53	423/4	423/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	431								
53	53	104	104	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	432				148				
53	53	417/4	417/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	433								
53	53	105	105	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	434				149				
53	53	421/4	421/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	435								
54	54	213/2	213/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	436				150				
54	54	427/4	427/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	437								
54	54	215/2	215/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	438				151				
54	54	431/4	431/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	439								
54	54	106	106	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	440				152				
54	54	425/4	425/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	441								
54	54	107	107	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	442				153				
54	54	429/4	429/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	443								
55	55	108	108	0.0	0	0	Spanner	2/4	1	1	0								0			
55	55	217/2	217/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	444				154	0			
55	55	435/4	435/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	445					0			
55	55	219/2	219/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	446				155	0			
55	55	439/4	439/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	447					0			
55	55	108	108	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	448				156				
55	55	433/4	433/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	449								
55	55	109	109	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	450				157				
55	55	437/4	437/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	451								
56	56	221/2	221/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	452				158	0			
56	56	443/4	443/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	453					0			
56	56	223/2	223/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	454				159	0			
56	56	447/4	447/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	455					0			
56	56	110	110	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	456				160				
56	56	441/4	441/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	457								
56	56	111	111	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	458				161				
56	56	445/4	445/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	459								
57	57	112	112	0.0	0	0	Dynamic	2/4	1	1	0					ff						
57	57	112	112	0.0	0	0	Spanner	2/4	1	1	0											
57	57	225/2	225/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	460				162				
57	57	451/4	451/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	461								
57	57	113	113	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	462				163				
57	57	453/4	453/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	463								
57	57	227/2	227/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	464				164				
57	57	455/4	455/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	465								
57	57	112	112	0.0	0	0	Spanner	2/4	2	1	0										0	0
57	57	112	112	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	466							0	0
57	57	225/2	225/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	467			articStaccatoAbove				0	0
57	57	113	113	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	468			articStaccatoAbove				0	0
57	57	227/2	227/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	469			articStaccatoAbove				0	0
58	58	114	114	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	470				165				
58	58	457/4	457/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	471								
58	58	229/2	229/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	472				166				
58	58	459/4	459/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	473								
58	58	115	115	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	474				167				
58	58	461/4	461/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	475								
58	58	231/2	231/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	476				168				
58	58	463/4	463/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	477								
58	58	114	114	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	478			articStaccatoAbove				0	0
58	58	229/2	229/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	479			articStaccatoAbove				0	0
58	58	115	115	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	480			articStaccatoAbove				0	0
58	58	231/2	231/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	481			articStaccatoAbove				0	0
59	59	116	116	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	482								
59	59	233/2	233/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	483				169				
59	59	467/4	467/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	484								
59	59	117	117	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	485				170				
59	59	469/4	469/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	486								
59	59	235/2	235/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	487				171				
59	59	471/4	471/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	488								
59	59	116	116	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	489							0	0
59	59	233/2	233/2	0.0	1/8	1/8	Spanner	2/4	2	1	0											
59	59	233/2	233/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	490				172				
59	59	117	117	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	491				172				
59	59	235/2	235/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	492				172				
60	60	118	118	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	493				173				
60	60	473/4	473/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	494								
60	60	237/2	237/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	495				174				
60	60	475/4	475/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	496								
60	60	119	119	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	497				175				
60	60	477/4	477/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	498								
60	60	239/2	239/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	499				176				
60	60	479/4	479/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	500								
60	60	118	118	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	501				172				
60	60	237/2	237/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	502				172				
60	60	119	119	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	503				172				
60	60	239/2	239/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	504								
60	60	119	119	1.0	1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	505								
61	61	120	120	0.0	0	0	Dynamic	2/4	1	1	0					other-dynamics						
61	61	241/2	241/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	506				177				
61	61	483/4	483/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	507								
61	61	121	121	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	508				178				
61	61	485/4	485/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	509								
61	61	243/2	243/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	510				179				
61	61	487/4	487/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	511								
61	61	120	120	0.0	0	0	Spanner	2/4	2	1	0										1	1
61	61	120	120	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	512							1	1
61	61	241/2	241/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	513			articStaccatoAbove				1	1
61	61	121	121	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	514			articStaccatoAbove				1	1
61	61	243/2	243/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	515			articStaccatoAbove				1	1
62	62	122	122	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	516				180				
62	62	489/4	489/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	517								
62	62	245/2	245/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	518				181				
62	62	491/4	491/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	519								
62	62	123	123	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	520				182				
62	62	493/4	493/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	521								
62	62	247/2	247/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	522				183				
62	62	495/4	495/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	523								
62	62	122	122	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	524			articStaccatoAbove				1	1
62	62	245/2	245/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	525			articStaccatoAbove				1	1
62	62	123	123	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	526							1	1
62	62	247/2	247/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	527			articStaccatoAbove				1	1
63	63	124	124	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	528								
63	63	249/2	249/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	529				184				
63	63	499/4	499/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	530								
63	63	125	125	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	531				185				
63	63	501/4	501/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	532								
63	63	251/2	251/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	533				186				
63	63	503/4	503/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	534								
63	63	124	124	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	535							1	1
63	63	249/2	249/2	0.0	1/8	1/8	Spanner	2/4	2	1	0											
63	63	249/2	249/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	536				187				
63	63	125	125	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	537				187				
63	63	251/2	251/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	538				187				
64	64	126	126	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	539				188				
64	64	505/4	505/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	540								
64	64	253/2	253/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	541				189				
64	64	507/4	507/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	542								
64	64	127	127	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	543				190				
64	64	509/4	509/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	544								
64	64	255/2	255/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	545				191				
64	64	511/4	511/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	546								
64	64	126	126	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	547				187				
64	64	253/2	253/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	548				187				
64	64	127	127	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	549				187				
64	64	255/2	255/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	550								
64	64	127	127	1.0	1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	551								
65	65	128	128	0.0	0	0	Spanner	2/4	1	1	0									1		
65	65	128	128	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	552				192		1		
65	65	513/4	513/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	553						1		
65	65	257/2	257/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	554				193		1		
