mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	crescendo_line	decrescendo_hairpin	crescendo_hairpin
57	54	160	160	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	272							
57	54	162	162	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	273							
57	54	160	160	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	274							
57	54	160	160	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	275							
58	55	163	163	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	276							
58	55	165	165	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	277							
58	55	164	164	0.0	1/4	1/4	Dynamic	3/4	2	1	0						sf					
58	55	164	164	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	278			articStaccatoBelow				
59	56	166	166	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	279							
59	56	168	168	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	280							
59	56	167	167	0.0	1/4	1/4	Dynamic	3/4	2	1	0						sf					
59	56	167	167	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	281			articStaccatoBelow				
60	57	169	169	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	282				47			
60	57	170	170	0.0	1/4	1/4	Dynamic	3/4	2	1	0						sf					
60	57	170	170	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	283				48			
60	57	171	171	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	284				48			
60	57	343/2	343/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	285				48			
61	58	172	172	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	286							
61	58	174	174	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	287				49			
61	58	349/2	349/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	288							
61	58	172	172	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	289				48			
61	58	345/2	345/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	290							
61	58	173	173	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	291			articStaccatoAbove				
61	58	347/2	347/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	292			articStaccatoAbove				
61	58	174	174	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	293			articStaccatoAbove				
61	58	349/2	349/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	294			articStaccatoAbove				
62	59	175	175	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	295							
62	59	177	177	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	296							
62	59	175	175	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	297			articStaccatoBelow				
62	59	176	176	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	298			articStaccatoBelow				
62	59	177	177	0.0	1/2	1/2	Dynamic	3/4	2	1	0						sf					
63	60	178	178	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	299							
63	60	180	180	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	300							
63	60	179	179	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	301			articStaccatoBelow				
63	60	180	180	0.0	1/2	1/2	Dynamic	3/4	2	1	0						sf					
64	61	181	181	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	302				50			
64	61	182	182	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	303				51			
64	61	183	183	0.0	1/2	1/2	Dynamic	3/4	2	1	0						sf		51			
64	61	183	183	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	304				51			
64	61	367/2	367/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	305				51			
65	62	184	184	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	306							
65	62	186	186	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	307				52			
65	62	373/2	373/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	308							
65	62	184	184	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	309				51			
65	62	369/2	369/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	310							
65	62	185	185	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	311			articStaccatoBelow				
65	62	371/2	371/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	312			articStaccatoBelow				
65	62	186	186	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	313			articStaccatoBelow				
65	62	373/2	373/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	314			articStaccatoBelow				
66	63	187	187	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	315							
66	63	189	189	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	316							
66	63	187	187	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	317			articStaccatoBelow				
66	63	188	188	0.0	1/4	1/4	Dynamic	3/4	2	1	0						sf					
66	63	188	188	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	318			articStaccatoBelow				
67	64	190	190	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	319							
67	64	192	192	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	320							
67	64	191	191	0.0	1/4	1/4	Dynamic	3/4	2	1	0						sf					
67	64	191	191	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	321			articStaccatoBelow				
68	65	193	193	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	322				53			
68	65	194	194	0.0	1/4	1/4	Dynamic	3/4	2	1	0						sf					
68	65	194	194	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	323				54			
68	65	195	195	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	324				54			
68	65	391/2	391/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	325				54			
69	66	196	196	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	326							
69	66	198	198	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	327							
69	66	196	196	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	328				54			
69	66	393/2	393/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	329							
69	66	197	197	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	330			articStaccatoBelow				
69	66	395/2	395/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	331			articStaccatoBelow				
69	66	198	198	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	332			articStaccatoBelow				
69	66	397/2	397/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	333			articStaccatoBelow				
70	67	199	199	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	334							
70	67	201	201	0.0	1/2	1/2	Dynamic	3/4	1	1	0						p					
70	67	201	201	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	335							
70	67	199	199	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	336			articStaccatoBelow				
70	67	200	200	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	337			articStaccatoBelow				
71	68	202	202	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	338							
71	68	204	204	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	339							
71	68	203	203	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	340							
72	69	205	205	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	341	pp						
72	69	206	206	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	342				55			
72	69	413/2	413/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	343				55			
72	69	207	207	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	344				55			
72	69	415/2	415/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	345							
73	70	208	208	0.0	0	0	Dynamic	3/4	1	1	0						pp					
73	70	208	208	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	346							
73	70	210	210	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	347							
74	71	211	211	0.0	0	0	Spanner	3/4	2	1	0											1
74	71	211	211	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	348	<		articStaccatoAbove	56			1
74	71	213	213	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	349			articStaccatoAbove				1
75	72	214	214	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	350			articStaccatoAbove	57			1
75	72	216	216	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	351			articStaccatoAbove				1
76	73	219	219	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	352				58			
76	73	217	217	0.0	0	0	Spanner	3/4	2	1	0											
76	73	217	217	0.0	0	0	Spanner	3/4	2	1	0										1	
76	73	217	217	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	353	>			59		1	
77	74	220	220	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	354				58			
77	74	441/2	441/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	355				58			
77	74	221	221	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	356				58			
77	74	443/2	443/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	357				58			
77	74	222	222	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	358				58			
77	74	445/2	445/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	359							
77	74	220	220	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	360						1	
77	74	221	221	0.0	1/4	1/4	Spanner	3/4	2	1	0											
78	75	223	223	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	361			articStaccatoAbove				
78	75	223	223	0.0	0	0	Spanner	3/4	2	1	0											2
78	75	223	223	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	362	<		articStaccatoAbove	60			2
78	75	225	225	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	363			articStaccatoAbove				2
79	76	226	226	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	364			articStaccatoAbove	61			2
79	76	228	228	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	365			articStaccatoAbove				2
80	77	231	231	0.0	1/2	1/2	Dynamic	3/4	1	1	0						sf					
80	77	231	231	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	366				62			
80	77	229	229	0.0	0	0	Spanner	3/4	2	1	0										2	
80	77	229	229	0.0	0	0	Spanner	3/4	2	1	0										2	
80	77	229	229	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	367	>			63		2	
81	78	232	232	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	368				62			
81	78	465/2	465/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	369				62			
81	78	233	233	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	370				62			
81	78	467/2	467/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	371				62			
81	78	234	234	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	372				62			
81	78	469/2	469/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	373							
81	78	232	232	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	374						2	
81	78	233	233	0.0	1/4	1/4	Spanner	3/4	2	1	0											
82	79	235	235	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	375							
82	79	237	237	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	376							
82	79	235	235	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	377			articStaccatoAbove				
82	79	236	236	0.0	1/4	1/4	Dynamic	3/4	2	1	0						sf					
82	79	236	236	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	378			articStaccatoAbove				
83	80	238	238	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	379							
83	80	240	240	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	380							
83	80	239	239	0.0	1/4	1/4	Dynamic	3/4	2	1	0						sf					
83	80	239	239	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	381			articStaccatoAbove				
84	81	241	241	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	382				64			
84	81	242	242	0.0	1/4	1/4	Dynamic	3/4	2	1	0						sf					
84	81	242	242	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	383				65			
84	81	243	243	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	384				65			
84	81	487/2	487/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	385				65			
85	82	244	244	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	386							
85	82	246	246	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	387				66			
85	82	493/2	493/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	388							
85	82	244	244	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	389				65			
85	82	489/2	489/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	390							
85	82	245	245	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	391			articStaccatoAbove				
85	82	491/2	491/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	392			articStaccatoAbove				
85	82	246	246	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	393			articStaccatoAbove				
85	82	493/2	493/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	394			articStaccatoAbove				
86	83	247	247	0.0	0	0	Spanner	3/4	1	1	0									0		
86	83	247	247	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	395	<				0		
86	83	249	249	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	396					0		
86	83	247	247	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	397			articStaccatoAbove				
86	83	248	248	0.0	1/4	1/4	Dynamic	3/4	2	1	0						sf					
86	83	248	248	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	398			articStaccatoBelow				
87	84	250	250	0.0	0	0	Spanner	3/4	1	1	0											
87	84	250	250	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	399							
87	84	252	252	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	400							
87	84	250	250	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	401							
87	84	251	251	0.0	1/4	1/4	Dynamic	3/4	2	1	0						sf					
87	84	251	251	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	402			articStaccatoBelow				
88	85	253	253	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	403				67			
88	85	254	254	0.0	1/4	1/4	Dynamic	3/4	2	1	0						sf					
88	85	254	254	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	404							
89	86	256	256	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	405							
89	86	256	256	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	406							
90	87	259	259	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	407	pp		articStaccatoBelow	68			
90	87	261	261	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	408			articStaccatoBelow				
90	87	259	259	0.0	0	0	Dynamic	3/4	2	1	0						pp					
90	87	259	259	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	409	pp		articStaccatoBelow	69			
90	87	261	261	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	410			articStaccatoBelow				
91	88	262	262	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	411			articStaccatoBelow	70			
91	88	264	264	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	412			articStaccatoBelow				
91	88	262	262	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	413			articStaccatoBelow	71			
91	88	264	264	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	414			articStaccatoBelow				
92	89	265	265	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	415				72			
92	89	265	265	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	416				73			
93	90	268	268	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	417							
93	90	268	268	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	418							
94	91	271	271	0.0	0	0	Dynamic	3/4	1	1	0						pp					
94	91	271	271	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	419	pp						
94	91	273	273	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	420							
94	91	271	271	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	421	pp						
94	91	273	273	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	422							
95	92	274	274	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	423							
95	92	276	276	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	424							
95	92	274	274	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	425							
95	92	276	276	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	426							
96	93	277	277	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	427	pp						
96	93	277	277	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	428							
97	94	282	282	0.0	1/2	1/2	Dynamic	3/4	2	1	0						pp					
97	94	282	282	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	429							
98	95	283	283	0.0	0	0	Spanner	3/4	2	1	0											3
98	95	283	283	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	430	<		articStaccatoAbove	74			3
98	95	285	285	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	431			articStaccatoAbove				3
99	96	286	286	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	432			articStaccatoAbove	75			3
99	96	288	288	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	433			articStaccatoAbove				3
100	97	291	291	0.0	1/2	1/2	Chord	3/4	1	1	0	acciaccatura	1/8	1	434							
100	97	291	291	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	435				76			
100	97	289	289	0.0	0	0	Spanner	3/4	2	1	0											
100	97	289	289	0.0	0	0	Spanner	3/4	2	1	0										3	
100	97	289	289	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	436	>			77		3	
101	98	292	292	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	437				76			
101	98	585/2	585/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	438				76			
101	98	293	293	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	439				76			
101	98	587/2	587/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	440				76			
101	98	294	294	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	441				76			
101	98	589/2	589/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	442							
101	98	292	292	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	443						3	
101	98	293	293	0.0	1/4	1/4	Spanner	3/4	2	1	0											
102	99	295	295	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	444			articStaccatoAbove				
102	99	295	295	0.0	0	0	Spanner	3/4	2	1	0											4
102	99	295	295	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	445	<		articStaccatoAbove	78			4
102	99	297	297	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	446			articStaccatoAbove				4
103	100	298	298	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	447			articStaccatoAbove	79			4
103	100	300	300	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	448			articStaccatoAbove				4
104	101	303	303	0.0	1/2	1/2	Dynamic	3/4	1	1	0						sf					
104	101	303	303	0.0	1/2	1/2	Chord	3/4	1	1	0	acciaccatura	1/8	1	449							
104	101	303	303	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	450				80			
104	101	301	301	0.0	0	0	Spanner	3/4	2	1	0											
104	101	301	301	0.0	0	0	Spanner	3/4	2	1	0										4	
104	101	301	301	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	451	>			81		4	
105	102	304	304	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	452				80			
105	102	609/2	609/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	453				80			
105	102	305	305	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	454				80			
105	102	611/2	611/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	455				80			
105	102	306	306	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	456				80			
105	102	613/2	613/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	457							
105	102	304	304	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	458						4	
105	102	305	305	0.0	1/4	1/4	Dynamic	3/4	2	1	0						pp					
105	102	305	305	0.0	1/4	1/4	Spanner	3/4	2	1	0											
106	103	307	307	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	459							
106	103	309	309	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	460							
106	103	307	307	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	461			articStaccatoAbove				
106	103	308	308	0.0	1/4	1/4	Dynamic	3/4	2	1	0						sf					
106	103	308	308	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	462			articStaccatoAbove				
107	104	310	310	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	463							
107	104	312	312	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	464							
107	104	311	311	0.0	1/4	1/4	Dynamic	3/4	2	1	0						sf					
107	104	311	311	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	465			articStaccatoAbove				
108	105	313	313	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	466				82			
108	105	314	314	0.0	1/4	1/4	Dynamic	3/4	2	1	0						sf					
108	105	314	314	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	467				83			
108	105	315	315	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	468				83			
108	105	631/2	631/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	469				83			
109	106	316	316	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	470							
109	106	318	318	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	471				84			
109	106	637/2	637/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	472							
109	106	316	316	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	473				83			
109	106	633/2	633/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	474							
109	106	317	317	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	475			articStaccatoAbove				
109	106	635/2	635/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	476			articStaccatoAbove				
109	106	318	318	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	477			articStaccatoAbove				
109	106	637/2	637/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	478			articStaccatoAbove				
110	107	319	319	0.0	0	0	Spanner	3/4	1	1	0									1		
110	107	319	319	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	479	<				1		
110	107	321	321	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	480					1		
110	107	319	319	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	481			articStaccatoAbove				
110	107	320	320	0.0	1/4	1/4	Dynamic	3/4	2	1	0						sf					
110	107	320	320	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	482			articStaccatoBelow				
111	108	322	322	0.0	0	0	Spanner	3/4	1	1	0											
111	108	322	322	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	483							
111	108	324	324	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	484							
111	108	323	323	0.0	1/4	1/4	Dynamic	3/4	2	1	0						sf					
111	108	323	323	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	485			articStaccatoBelow				
112	109	325	325	0.0	0	0	Dynamic	3/4	1	1	0						sf					
112	109	325	325	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	486				85			
112	109	326	326	0.0	1/4	1/4	Dynamic	3/4	2	1	0						sf					
112	109	326	326	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	487							
113	110	328	328	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	488							
113	110	328	328	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	489							
114	111	331	331	0.0	0	0	Dynamic	3/4	1	1	0						pp					
114	111	331	331	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	490	pp		articStaccatoBelow	86			
114	111	333	333	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	491			articStaccatoBelow				
114	111	331	331	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	492	pp		articStaccatoBelow	87			
114	111	333	333	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	493			articStaccatoBelow				
115	112	334	334	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	494			articStaccatoBelow				
115	112	336	336	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	495			articStaccatoBelow				
115	112	334	334	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	496			articStaccatoBelow				
115	112	336	336	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	497			articStaccatoBelow				
116	113	337	337	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	498				88			
116	113	337	337	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	499				89			
117	114	340	340	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	500							
117	114	340	340	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	501							
118	115	343	343	0.0	0	0	Dynamic	3/4	1	1	0						pp					
118	115	343	343	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	502	pp						
118	115	345	345	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	503							
118	115	343	343	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	504	pp						
118	115	345	345	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	505							
119	116	346	346	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	506							
119	116	348	348	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	507							
119	116	346	346	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	508							
119	116	348	348	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	509							
120	117	349	349	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	510							
120	117	349	349	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	511							
122	119	355	355	0.0	0	0	Dynamic	3/4	1	1	0						pp					
122	119	355	355	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	512	pp		articStaccatoBelow	90			
122	119	357	357	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	513			articStaccatoBelow				
122	119	355	355	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	514	pp		articStaccatoAbove	91			
122	119	357	357	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	515			articStaccatoAbove				
123	120	358	358	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	516			articStaccatoBelow	92			
