mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	Ottava:8va
28	28	77	77	1.0		1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	266									22			
28	28	78	78	1.0		1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	267									22			
28	28	79	79	1.0		3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	268												
28	28	76	76	0.5		0	0	Chord	2/2	2	1	1/8	1/8	1	269												
28	28	153/2	153/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	270												
28	28	77	77	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	271												
28	28	155/2	155/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	272												
28	28	78	78	0.5		1/2	1/2	Chord	2/2	2	1	1/8	1/8	1	273												
28	28	157/2	157/2	0.5		5/8	5/8	Chord	2/2	2	1	1/8	1/8	1	274												
28	28	79	79	0.5		3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	275												
28	28	159/2	159/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	276												
29	29	80	80	0.5		0	0	Chord	2/2	1	1	1/8	1/8	1	277												
29	29	161/2	161/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	278												
29	29	81	81	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	279												
29	29	163/2	163/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	280												
29	29	82	82	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	281												
29	29	165/2	165/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	282												
29	29	83	83	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	283												
29	29	167/2	167/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	284												
29	29	80	80	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	285												
29	29	81	81	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	286												
29	29	163/2	163/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	287												
29	29	82	82	0.5		1/2	1/2	Chord	2/2	2	1	1/8	1/8	1	288												
29	29	165/2	165/2	0.5		5/8	5/8	Chord	2/2	2	1	1/8	1/8	1	289												
29	29	83	83	0.5		3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	290												
29	29	167/2	167/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	291												
30	30	84	84	2.0		0	0	Chord	2/2	1	1	1/2	1/2	1	292												
30	30	86	86	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	293												
30	30	173/2	173/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	294												
30	30	87	87	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	295												
30	30	175/2	175/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	296												
30	30	84	84	0.5		0	0	Chord	2/2	2	1	1/8	1/8	1	297												
30	30	169/2	169/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	298												
30	30	85	85	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	299												
30	30	171/2	171/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	300												
30	30	86	86	0.5		1/2	1/2	Chord	2/2	2	1	1/8	1/8	1	301												
30	30	173/2	173/2	0.5		5/8	5/8	Chord	2/2	2	1	1/8	1/8	1	302												
30	30	87	87	0.5		3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	303												
30	30	175/2	175/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	304												
31	31	88	88	1.0		0	0	Chord	2/2	1	1	1/4	1/4	1	305												
31	31	90	90	0.0		1/2	1/2	Spanner	2/2	1	1	0															0
31	31	90	90	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	306												0
31	31	181/2	181/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	307												0
31	31	91	91	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	308												0
31	31	183/2	183/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	309												0
31	31	88	88	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	310									23			
31	31	89	89	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	311									23			
31	31	179/2	179/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	312									23			
31	31	90	90	0.5		1/2	1/2	Chord	2/2	2	1	1/8	1/8	1	313									23			
31	31	181/2	181/2	0.5		5/8	5/8	Chord	2/2	2	1	1/8	1/8	1	314									23			
31	31	91	91	0.5		3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	315									23			
31	31	183/2	183/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	316												
32	32	92	92	1.0		0	0	Chord	2/2	1	1	1/4	1/4	1	317												0
32	32	93	93	0.0		1/4	1/4	Spanner	2/2	1	1	0															
32	32	93	93	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	318									24			
32	32	187/2	187/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	319									24			
32	32	94	94	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	320									24			
32	32	189/2	189/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	321												
32	32	95	95	0.0		3/4	3/4	Spanner	2/2	1	1	0														6	
32	32	95	95	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	322			articStaccatoAbove								6	
32	32	191/2	191/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	323			articStaccatoAbove								6	
32	32	92	92	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	324									25			
32	32	93	93	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	325									25			
32	32	187/2	187/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	326												
32	32	94	94	0.5		1/2	1/2	Chord	2/2	2	1	1/8	1/8	1	327												
32	32	189/2	189/2	0.5		5/8	5/8	Chord	2/2	2	1	1/8	1/8	1	328												
32	32	95	95	0.5		3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	329												
32	32	191/2	191/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	330												
33	33	96	96	0.5		0	0	Chord	2/2	1	1	1/8	1/8	1	331			articStaccatoAbove								6	
33	33	193/2	193/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	332			articStaccatoAbove								6	
33	33	97	97	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	333			articStaccatoAbove								6	
33	33	195/2	195/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	334			articStaccatoAbove								6	
33	33	98	98	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	335			articStaccatoAbove								6	
33	33	197/2	197/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	336			articStaccatoAbove								6	
33	33	99	99	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	337			articStaccatoAbove								6	
33	33	199/2	199/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	338											6	
33	33	96	96	0.5		0	0	Chord	2/2	2	1	1/8	1/8	1	339												
33	33	193/2	193/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	340												
33	33	97	97	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	341												
33	33	195/2	195/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	342												
33	33	98	98	0.5		1/2	1/2	Chord	2/2	2	1	1/8	1/8	1	343												
33	33	197/2	197/2	0.5		5/8	5/8	Chord	2/2	2	1	1/8	1/8	1	344												
33	33	99	99	0.5		3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	345												
33	33	199/2	199/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	346												
34	34	100	100	0.0		0	0	Spanner	2/2	1	1	0															
34	34	100	100	1.0		0	0	Chord	2/2	1	1	1/4	1/4	1	347			articStaccatoAbove									
34	34	102	102	1.0		1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	348			articStaccatoAbove									
34	34	100	100	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	349			articStaccatoBelow									
34	34	102	102	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	350			articStaccatoBelow									
35	35	104	104	0.0		0	0	Dynamic	2/2	1	1	0					sf										
35	35	104	104	3.0		0	0	Chord	2/2	1	1	3/4	1/2	3/2	351									26			
35	35	107	107	1.0		3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	352			articStaccatoAbove									
35	35	104	104	4.0		0	0	Chord	2/2	1	2	1	1	1	353												
35	35	104	104	4.0		0	0	Chord	2/2	2	1	1	1	1	354												
35	35	104	104	3.0		0	0	Chord	2/2	2	2	3/4	1/2	3/2	355									27			
35	35	107	107	1.0		3/4	3/4	Chord	2/2	2	2	1/4	1/4	1	356												
36	36	108	108	0.0		0	0	Dynamic	2/2	1	1	0					sf										
36	36	108	108	4.0		0	0	Chord	2/2	1	1	1	1	1	357												
36	36	108	108	1.0		0	0	Chord	2/2	1	2	1/4	1/4	1	358												
36	36	109	109	0.5		1/4	1/4	Chord	2/2	1	2	1/8	1/8	1	359												
36	36	219/2	219/2	0.5		3/8	3/8	Chord	2/2	1	2	1/8	1/8	1	360												
36	36	110	110	0.5		1/2	1/2	Chord	2/2	1	2	1/8	1/8	1	361												
36	36	221/2	221/2	0.5		5/8	5/8	Chord	2/2	1	2	1/8	1/8	1	362												
36	36	111	111	0.5		3/4	3/4	Chord	2/2	1	2	1/8	1/8	1	363												
36	36	223/2	223/2	0.5		7/8	7/8	Chord	2/2	1	2	1/8	1/8	1	364												
36	36	108	108	4.0		0	0	Chord	2/2	2	1	1	1	1	365												
37	37	112	112	0.0		0	0	Dynamic	2/2	1	1	0					sf										
37	37	112	112	3.0		0	0	Chord	2/2	1	1	3/4	1/2	3/2	366									28			
37	37	115	115	1.0		3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	367			articStaccatoAbove									
37	37	112	112	4.0		0	0	Chord	2/2	1	2	1	1	1	368												
37	37	112	112	4.0		0	0	Chord	2/2	2	1	1	1	1	369												
37	37	112	112	3.0		0	0	Chord	2/2	2	2	3/4	1/2	3/2	370									29			
37	37	115	115	1.0		3/4	3/4	Chord	2/2	2	2	1/4	1/4	1	371												
38	38	116	116	0.0		0	0	Dynamic	2/2	1	1	0					sf										
38	38	116	116	0.0		0	0	Spanner	2/2	1	1	0													5		
38	38	116	116	4.0		0	0	Chord	2/2	1	1	1	1	1	372										5		
38	38	116	116	1.0		0	0	Chord	2/2	1	2	1/4	1/4	1	373										5		
38	38	117	117	0.5		1/4	1/4	Chord	2/2	1	2	1/8	1/8	1	374										5		
38	38	235/2	235/2	0.5		3/8	3/8	Chord	2/2	1	2	1/8	1/8	1	375										5		
38	38	118	118	0.5		1/2	1/2	Chord	2/2	1	2	1/8	1/8	1	376										5		
38	38	237/2	237/2	0.5		5/8	5/8	Chord	2/2	1	2	1/8	1/8	1	377										5		
38	38	119	119	0.5		3/4	3/4	Chord	2/2	1	2	1/8	1/8	1	378										5		
38	38	239/2	239/2	0.5		7/8	7/8	Chord	2/2	1	2	1/8	1/8	1	379										5		
38	38	116	116	4.0		0	0	Chord	2/2	2	1	1	1	1	380												
39	39	120	120	0.0		0	0	Spanner	2/2	1	1	0															
39	39	120	120	1.0		0	0	Chord	2/2	1	1	1/4	1/4	1	381												
39	39	121	121	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	382												
39	39	243/2	243/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	383												
39	39	122	122	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	384												
39	39	245/2	245/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	385												
39	39	123	123	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	386												
39	39	247/2	247/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	387												
39	39	120	120	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	388												
40	40	124	124	1.0		0	0	Chord	2/2	1	1	1/4	1/4	1	389												
40	40	125	125	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	390												
40	40	251/2	251/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	391												
40	40	126	126	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	392												
40	40	253/2	253/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	393												
40	40	127	127	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	394												
40	40	255/2	255/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	395												
40	40	124	124	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	396												
41	41	128	128	1.0		0	0	Chord	2/2	1	1	1/4	1/4	1	397			articStaccatoAbove									
41	41	129	129	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	398									30			
41	41	259/2	259/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	399									30			
41	41	130	130	1.0		1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	400			articStaccatoAbove									
41	41	131	131	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	401									31			
41	41	263/2	263/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	402									31			
41	41	128	128	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	403												
41	41	130	130	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	404												
42	42	132	132	1.0		0	0	Chord	2/2	1	1	1/4	1/4	1	405			articStaccatoAbove									
42	42	133	133	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	406									32			
42	42	267/2	267/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	407									32			
42	42	134	134	1.0		1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	408			articStaccatoAbove									
42	42	135	135	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	409									33			
42	42	271/2	271/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	410									33			
42	42	132	132	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	411												
42	42	134	134	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	412												
43	43	136	136	1.0		0	0	Chord	2/2	1	1	1/4	1/4	1	413			articStaccatoAbove									
43	43	137	137	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	414									34			
43	43	275/2	275/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	415									34			
43	43	138	138	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	416									34			
43	43	277/2	277/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	417									34			
43	43	139	139	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	418									34			
43	43	279/2	279/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	419												
43	43	136	136	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	420												
44	44	140	140	1.0		0	0	Chord	2/2	1	1	1/4	1/4	1	421												
44	44	141	141	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	422									35			
44	44	283/2	283/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	423									35			
44	44	142	142	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	424									35			
44	44	285/2	285/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	425									35			
44	44	143	143	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	426									35			
44	44	287/2	287/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	427												
44	44	140	140	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	428												
45	45	144	144	1.0		0	0	Chord	2/2	1	1	1/4	1/4	1	429			articStaccatoAbove									
45	45	145	145	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	430									36			
45	45	291/2	291/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	431									36			
45	45	146	146	1.0		1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	432			articStaccatoAbove									
45	45	147	147	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	433									37			
45	45	295/2	295/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	434									37			
45	45	144	144	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	435												
45	45	146	146	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	436												
46	46	148	148	1.0		0	0	Chord	2/2	1	1	1/4	1/4	1	437			articStaccatoAbove									
46	46	149	149	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	438												
46	46	299/2	299/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	439												
46	46	150	150	1.0		1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	440									38			
46	46	151	151	1.0		3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	441									38			
46	46	148	148	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	442												
46	46	150	150	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	443									39			
46	46	151	151	0.5		3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	444									39			
46	46	303/2	303/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	445									39			
47	47	152	152	1.0		0	0	Chord	2/2	1	1	1/4	1/4	1	446									38			
47	47	153	153	1.0		1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	447									38			
47	47	154	154	1.0		1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	448												
47	47	155	155	1.0		3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	449									40			
47	47	152	152	2.0		0	0	Chord	2/2	1	2	1/2	1/2	1	450												
47	47	152	152	0.5		0	0	Chord	2/2	2	1	1/8	1/8	1	451									39			
47	47	305/2	305/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	452									39			
47	47	153	153	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	453									39			
47	47	307/2	307/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	454									39			
47	47	154	154	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	455												
47	47	155	155	0.5		3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	456									41			
47	47	311/2	311/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	457									41			
48	48	156	156	1.0		0	0	Chord	2/2	1	1	1/4	1/4	1	458									40			
48	48	157	157	1.0		1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	459									40			
48	48	158	158	1.0		1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	460												
48	48	159	159	1.0		3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	461									42			
48	48	156	156	2.0		0	0	Chord	2/2	1	2	1/2	1/2	1	462												
48	48	158	158	1.0		1/2	1/2	Chord	2/2	1	2	1/4	1/4	1	463												
48	48	159	159	1.0		3/4	3/4	Chord	2/2	1	2	1/4	1/4	1	464												
48	48	156	156	0.5		0	0	Chord	2/2	2	1	1/8	1/8	1	465									41			
48	48	313/2	313/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	466									41			
48	48	157	157	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	467									41			
48	48	315/2	315/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	468									41			
48	48	158	158	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	469												
48	48	159	159	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	470									43			
49	49	160	160	1.0		0	0	Chord	2/2	1	1	1/4	1/4	1	471									42			
49	49	161	161	2.0		1/4	1/4	Chord	2/2	1	1	1/2	1/2	1	472									42			
49	49	163	163	1.0		3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	473												
49	49	160	160	1.0		0	0	Chord	2/2	1	2	1/4	1/4	1	474												
49	49	161	161	1.0		1/4	1/4	Chord	2/2	1	2	1/4	1/4	1	475												
49	49	162	162	1.0		1/2	1/2	Chord	2/2	1	2	1/4	1/4	1	476												
49	49	163	163	1.0		3/4	3/4	Chord	2/2	1	2	1/4	1/4	1	477												
49	49	160	160	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	478									43			
49	49	161	161	1.0		1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	479									43			
49	49	162	162	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	480									43			
49	49	163	163	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	481												
50	50	164	164	4.0		0	0	Chord	2/2	1	1	1	1	1	482												
50	50	164	164	0.5		0	0	Chord	2/2	1	2	1/8	1/8	1	483												
50	50	329/2	329/2	0.5		1/8	1/8	Chord	2/2	1	2	1/8	1/8	1	484												
50	50	165	165	0.5		1/4	1/4	Chord	2/2	1	2	1/8	1/8	1	485												
50	50	331/2	331/2	0.5		3/8	3/8	Chord	2/2	1	2	1/8	1/8	1	486												
50	50	166	166	0.5		1/2	1/2	Chord	2/2	1	2	1/8	1/8	1	487												
50	50	333/2	333/2	0.5		5/8	5/8	Chord	2/2	1	2	1/8	1/8	1	488												
50	50	167	167	0.5		3/4	3/4	Chord	2/2	1	2	1/8	1/8	1	489												
50	50	335/2	335/2	0.5		7/8	7/8	Chord	2/2	1	2	1/8	1/8	1	490												
50	50	164	164	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	491												
50	50	165	165	2.0		1/4	1/4	Chord	2/2	2	1	1/2	1/2	1	492												
50	50	167	167	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	493												
50	50	164	164	4.0		0	0	Chord	2/2	2	2	1	1	1	494												
51	51	168	168	4.0		0	0	Chord	2/2	1	1	1	1	1	495												
51	51	168	168	0.5		0	0	Chord	2/2	1	2	1/8	1/8	1	496												
51	51	337/2	337/2	0.5		1/8	1/8	Chord	2/2	1	2	1/8	1/8	1	497												
51	51	169	169	0.5		1/4	1/4	Chord	2/2	1	2	1/8	1/8	1	498												
51	51	339/2	339/2	0.5		3/8	3/8	Chord	2/2	1	2	1/8	1/8	1	499												
51	51	170	170	0.5		1/2	1/2	Chord	2/2	1	2	1/8	1/8	1	500												
51	51	341/2	341/2	0.5		5/8	5/8	Chord	2/2	1	2	1/8	1/8	1	501												
51	51	171	171	0.5		3/4	3/4	Chord	2/2	1	2	1/8	1/8	1	502												
51	51	343/2	343/2	0.5		7/8	7/8	Chord	2/2	1	2	1/8	1/8	1	503												
51	51	168	168	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	504												
51	51	169	169	2.0		1/4	1/4	Chord	2/2	2	1	1/2	1/2	1	505												
51	51	171	171	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	506												
51	51	169	169	3.0		1/4	1/4	Chord	2/2	2	2	3/4	1/2	3/2	507												
51	51	168	168	4.0		0	0	Chord	2/2	2	3	1	1	1	508												
52	52	172	172	2.0		0	0	Chord	2/2	1	1	1/2	1/2	1	509												
52	52	174	174	1.0		1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	510									44			
52	52	175	175	1.0		3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	511												
52	52	172	172	0.5		0	0	Chord	2/2	1	2	1/8	1/8	1	512												
52	52	345/2	345/2	0.5		1/8	1/8	Chord	2/2	1	2	1/8	1/8	1	513												
52	52	173	173	0.5		1/4	1/4	Chord	2/2	1	2	1/8	1/8	1	514												
52	52	347/2	347/2	0.5		3/8	3/8	Chord	2/2	1	2	1/8	1/8	1	515												
52	52	174	174	0.5		1/2	1/2	Chord	2/2	1	2	1/8	1/8	1	516												
52	52	349/2	349/2	0.5		5/8	5/8	Chord	2/2	1	2	1/8	1/8	1	517												
52	52	175	175	0.5		3/4	3/4	Chord	2/2	1	2	1/8	1/8	1	518												
52	52	351/2	351/2	0.5		7/8	7/8	Chord	2/2	1	2	1/8	1/8	1	519												
52	52	172	172	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	520												
52	52	173	173	1.0		1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	521												
52	52	174	174	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	522												
52	52	175	175	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	523												
52	52	172	172	4.0		0	0	Chord	2/2	2	2	1	1	1	524												
53	53	176	176	1.0		0	0	Chord	2/2	1	1	1/4	1/4	1	525									45			
53	53	177	177	1.0		1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	526									45			
53	53	178	178	1.0		1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	527									45			
53	53	179	179	1.0		3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	528												
53	53	176	176	0.5		0	0	Chord	2/2	1	2	1/8	1/8	1	529												
53	53	353/2	353/2	0.5		1/8	1/8	Chord	2/2	1	2	1/8	1/8	1	530												
53	53	177	177	0.5		1/4	1/4	Chord	2/2	1	2	1/8	1/8	1	531												
53	53	355/2	355/2	0.5		3/8	3/8	Chord	2/2	1	2	1/8	1/8	1	532												
53	53	178	178	0.5		1/2	1/2	Chord	2/2	1	2	1/8	1/8	1	533												
53	53	357/2	357/2	0.5		5/8	5/8	Chord	2/2	1	2	1/8	1/8	1	534												
53	53	179	179	0.5		3/4	3/4	Chord	2/2	1	2	1/8	1/8	1	535												
53	53	359/2	359/2	0.5		7/8	7/8	Chord	2/2	1	2	1/8	1/8	1	536												
53	53	176	176	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	537												
53	53	177	177	1.0		1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	538												
53	53	178	178	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	539												
53	53	179	179	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	540												
53	53	176	176	4.0		0	0	Chord	2/2	2	2	1	1	1	541												
54	54	180	180	4.0		0	0	Chord	2/2	1	1	1	1	1	542												
54	54	180	180	0.5		0	0	Chord	2/2	1	2	1/8	1/8	1	543												
54	54	361/2	361/2	0.5		1/8	1/8	Chord	2/2	1	2	1/8	1/8	1	544												
54	54	181	181	0.5		1/4	1/4	Chord	2/2	1	2	1/8	1/8	1	545												
54	54	363/2	363/2	0.5		3/8	3/8	Chord	2/2	1	2	1/8	1/8	1	546												
54	54	182	182	0.5		1/2	1/2	Chord	2/2	1	2	1/8	1/8	1	547												
54	54	365/2	365/2	0.5		5/8	5/8	Chord	2/2	1	2	1/8	1/8	1	548												
54	54	183	183	0.5		3/4	3/4	Chord	2/2	1	2	1/8	1/8	1	549												
54	54	367/2	367/2	0.5		7/8	7/8	Chord	2/2	1	2	1/8	1/8	1	550												
54	54	181	181	2.0		1/4	1/4	Chord	2/2	2	1	1/2	1/2	1	551												
54	54	183	183	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	552												
54	54	180	180	4.0		0	0	Chord	2/2	2	2	1	1	1	553												
55	55	184	184	4.0		0	0	Chord	2/2	1	1	1	1	1	554												
55	55	184	184	0.5		0	0	Chord	2/2	1	2	1/8	1/8	1	555												
