mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	crescendo_hairpin	crescendo_line
44	44	347/2	347/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	680							
44	44	174	174	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	681							
44	44	349/2	349/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	682							
44	44	175	175	0.0		3/4	3/4	Dynamic	4/4	2	1	0						sf					
44	44	175	175	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	683							
44	44	351/2	351/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	684							
45	45	176	176	0.0		0	0	Dynamic	4/4	1	1	0						p					
45	45	176	176	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	685				30			
45	45	353/2	353/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	686			ornamentTurn	30			
45	45	177	177	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	687				30			
45	45	355/2	355/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	688				30			
45	45	178	178	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	689				30			
45	45	357/2	357/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	690			ornamentTurn	30			
45	45	179	179	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	691				30			
45	45	359/2	359/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	692							
45	45	176	176	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	693							
46	46	180	180	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	694				31			
46	46	361/2	361/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	695			ornamentTurn	31			
46	46	181	181	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	696				31			
46	46	363/2	363/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	697				31			
46	46	182	182	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	698				31			
46	46	365/2	365/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	699				31			
46	46	183	183	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	700				31			
46	46	367/2	367/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	701							
47	47	184	184	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	702				32			
47	47	369/2	369/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	703				32			
47	47	185	185	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	704				32			
47	47	371/2	371/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	705				32			
47	47	186	186	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	706				32			
47	47	373/2	373/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	707				32			
47	47	187	187	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	708				32			
47	47	375/2	375/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	709							
47	47	184	184	0.0		0	0	Dynamic	4/4	2	1	0						other-dynamics					
47	47	184	184	4.0		0	0	Chord	4/4	2	1	1		1	1	710							
48	48	188	188	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	711				33			
48	48	190	190	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	712				33			
48	48	191	191	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	713							
48	48	377/2	377/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	714				34			
48	48	189	189	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	715				34			
48	48	379/2	379/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	716				34			
48	48	190	190	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	717				34			
48	48	381/2	381/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	718				34			
48	48	191	191	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	719				34			
48	48	383/2	383/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	720							
48	48	188	188	4.0		0	0	Chord	4/4	2	2	1		1	1	721							
49	49	192	192	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	722				35			
49	49	385/2	385/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	723				35			
49	49	193	193	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	724				35			
49	49	387/2	387/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	725				35			
49	49	194	194	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	726				35			
49	49	389/2	389/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	727				35			
49	49	195	195	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	728				35			
49	49	391/2	391/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	729							
49	49	192	192	2.0		0	0	Chord	4/4	2	1	1/2		1/2	1	730				36			
49	49	194	194	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	731				36			
49	49	195	195	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	732							
49	49	192	192	4.0		0	0	Chord	4/4	2	2	1		1	1	733							
50	50	196	196	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	734				37			
50	50	198	198	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	735				37			
50	50	199	199	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	736							
50	50	393/2	393/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	737				38			
50	50	197	197	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	738				38			
50	50	395/2	395/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	739				38			
50	50	198	198	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	740				38			
50	50	397/2	397/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	741				38			
50	50	199	199	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	742				38			
50	50	399/2	399/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	743							
50	50	196	196	4.0		0	0	Chord	4/4	2	2	1		1	1	744							
51	51	200	200	0.0		0	0	Spanner	4/4	1	1	0										0	
51	51	200	200	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	745				39		0	
51	51	401/2	401/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	746				39		0	
51	51	201	201	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	747				39		0	
51	51	403/2	403/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	748				39		0	
51	51	202	202	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	749				39		0	
51	51	405/2	405/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	750				39		0	
51	51	203	203	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	751				39		0	
51	51	407/2	407/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	752				39		0	
51	51	200	200	4.0		0	0	Chord	4/4	2	1	1		1	1	753							
52	52	204	204	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	754				39		0	
52	52	409/2	409/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	755				39		0	
52	52	205	205	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	756				39		0	
52	52	411/2	411/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	757				39		0	
52	52	206	206	0.0		1/2	1/2	Spanner	4/4	1	1	0								39			
52	52	206	206	0.0		1/2	1/2	Spanner	4/4	1	1	0								39	0		
52	52	206	206	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	758				39	0		
52	52	413/2	413/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	759				39	0		
52	52	207	207	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	760				39	0		
52	52	415/2	415/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	761				39	0		
52	52	204	204	4.0		0	0	Chord	4/4	2	1	1		1	1	762							
53	53	208	208	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	763				39	0		
53	53	417/2	417/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	764				39	0		
53	53	209	209	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	765				39	0		
53	53	419/2	419/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	766				39	0		
53	53	210	210	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	767				39	0		
53	53	421/2	421/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	768				39	0		
53	53	211	211	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	769				39	0		
53	53	423/2	423/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	770				39	0		
53	53	208	208	4.0		0	0	Chord	4/4	2	1	1		1	1	771							
54	54	212	212	0.0		0	0	Spanner	4/4	1	1	0								39			
54	54	212	212	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	772				39			
54	54	425/2	425/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	773				39			
54	54	213	213	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	774				39			
54	54	427/2	427/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	775				39			
54	54	214	214	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	776				39			
54	54	429/2	429/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	777				39			
54	54	215	215	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	778				39			
54	54	431/2	431/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	779				39			
54	54	212	212	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	780							
55	55	216	216	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	781							
55	55	216	216	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	782				40			
55	55	433/2	433/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	783				40			
55	55	217	217	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	784				40			
55	55	435/2	435/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	785				40			
55	55	218	218	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	786				40			
55	55	437/2	437/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	787				40			
55	55	219	219	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	788				40			
55	55	439/2	439/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	789							
56	56	441/2	441/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	790	p		ornamentShortTrill	41			
56	56	221	221	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	791				41			
56	56	443/2	443/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	792				41			
56	56	222	222	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	793				41			
56	56	445/2	445/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	794				41			
56	56	223	223	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	795				41			
56	56	447/2	447/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	796							
56	56	220	220	2.0		0	0	Chord	4/4	2	1	1/2		1/2	1	797				42			
56	56	222	222	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	798				42			
56	56	223	223	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	799							
56	56	220	220	4.0		0	0	Chord	4/4	2	2	1		1	1	800							
57	57	224	224	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	801				43			
57	57	226	226	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	802				43			
57	57	227	227	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	803							
57	57	224	224	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	804				44			
57	57	449/2	449/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	805				44			
57	57	225	225	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	806				44			
57	57	451/2	451/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	807				44			
57	57	226	226	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	808				44			
57	57	453/2	453/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	809				44			
57	57	227	227	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	810				44			
57	57	455/2	455/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	811							
57	57	224	224	4.0		0	0	Chord	4/4	2	2	1		1	1	812							
58	58	457/2	457/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	813			ornamentShortTrill	45			
58	58	229	229	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	814				45			
58	58	459/2	459/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	815				45			
58	58	230	230	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	816				45			
58	58	461/2	461/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	817				45			
58	58	231	231	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	818				45			
58	58	463/2	463/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	819							
58	58	228	228	2.0		0	0	Chord	4/4	2	1	1/2		1/2	1	820				46			
58	58	230	230	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	821				46			
58	58	231	231	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	822							
58	58	228	228	4.0		0	0	Chord	4/4	2	2	1		1	1	823							
59	59	232	232	0.0		0	0	Spanner	4/4	1	1	0										1	
59	59	232	232	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	824						1	
59	59	465/2	465/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	825			ornamentShortTrill	47		1	
59	59	233	233	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	826				47		1	
59	59	467/2	467/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	827				47		1	
59	59	234	234	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	828				47		1	
59	59	469/2	469/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	829				47		1	
59	59	235	235	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	830				47		1	
59	59	471/2	471/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	831			ornamentTrill	47		1	
59	59	232	232	4.0		0	0	Chord	4/4	2	1	1		1	1	832							
60	60	236	236	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	833				47		1	
60	60	473/2	473/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	834				47		1	
60	60	237	237	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	835				47		1	
60	60	475/2	475/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	836				47		1	
60	60	238	238	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	837				47		1	
60	60	477/2	477/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	838				47		1	
60	60	239	239	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	839				47		1	
60	60	479/2	479/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	840						1	
60	60	236	236	4.0		0	0	Chord	4/4	2	1	1		1	1	841							
61	61	240	240	0.0		0	0	Spanner	4/4	1	1	0											
61	61	240	240	0.25		0	0	Chord	4/4	1	1	1/16		1/16	1	842							
61	61	961/4	961/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	843							
61	61	481/2	481/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	844							
61	61	963/4	963/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	845							
61	61	241	241	0.25		1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	846							
61	61	965/4	965/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	847							
61	61	483/2	483/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	848							
61	61	967/4	967/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	849							
61	61	242	242	0.25		1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	850							
61	61	969/4	969/4	0.25		9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	851							
61	61	485/2	485/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	852							
61	61	971/4	971/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	853							
61	61	243	243	0.25		3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	854							
61	61	973/4	973/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	855							
61	61	487/2	487/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	856							
61	61	975/4	975/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	857							
61	61	240	240	0.0		0	0	Dynamic	4/4	2	1	0						f					
61	61	240	240	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	858							
61	61	241	241	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	859							
61	61	483/2	483/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	860							
61	61	242	242	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	861							
61	61	243	243	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	862							
61	61	487/2	487/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	863							
62	62	244	244	0.25		0	0	Chord	4/4	1	1	1/16		1/16	1	864							
62	62	977/4	977/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	865							
62	62	489/2	489/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	866							
62	62	979/4	979/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	867							
62	62	245	245	0.25		1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	868							
62	62	981/4	981/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	869							
62	62	491/2	491/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	870							
62	62	983/4	983/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	871							
62	62	246	246	0.25		1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	872							
62	62	985/4	985/4	0.25		9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	873							
62	62	493/2	493/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	874							
62	62	987/4	987/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	875							
62	62	247	247	0.25		3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	876							
62	62	989/4	989/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	877							
62	62	495/2	495/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	878							
62	62	991/4	991/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	879							
62	62	244	244	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	880							
62	62	245	245	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	881							
62	62	491/2	491/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	882							
62	62	246	246	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	883							
63	63	248	248	0.25		0	0	Chord	4/4	1	1	1/16		1/16	1	884							
63	63	993/4	993/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	885							
63	63	497/2	497/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	886							
63	63	995/4	995/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	887							
63	63	249	249	0.25		1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	888							
63	63	997/4	997/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	889							
63	63	499/2	499/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	890							
63	63	999/4	999/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	891							
63	63	250	250	0.25		1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	892							
63	63	1001/4	1001/4	0.25		9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	893							
63	63	501/2	501/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	894							
63	63	1003/4	1003/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	895							
63	63	251	251	0.25		3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	896							
63	63	1005/4	1005/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	897							
63	63	503/2	503/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	898							
63	63	1007/4	1007/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	899							
63	63	248	248	0.0		0	0	Dynamic	4/4	2	1	0						f					
63	63	248	248	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	900							
63	63	249	249	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	901							
63	63	499/2	499/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	902							
63	63	250	250	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	903							
63	63	251	251	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	904							
63	63	503/2	503/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	905							
64	64	252	252	0.25		0	0	Chord	4/4	1	1	1/16		1/16	1	906							
64	64	1009/4	1009/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	907							
64	64	505/2	505/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	908							
64	64	1011/4	1011/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	909							
64	64	253	253	0.25		1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	910							
64	64	1013/4	1013/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	911							
64	64	507/2	507/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	912							
64	64	1015/4	1015/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	913							
64	64	254	254	0.25		1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	914							
64	64	1017/4	1017/4	0.25		9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	915							
64	64	509/2	509/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	916							
64	64	1019/4	1019/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	917							
64	64	255	255	0.25		3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	918							
64	64	1021/4	1021/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	919							
64	64	511/2	511/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	920							
64	64	1023/4	1023/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	921							
64	64	252	252	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	922							
64	64	253	253	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	923							
64	64	507/2	507/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	924							
64	64	254	254	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	925							
65	65	256	256	0.0		0	0	Dynamic	4/4	1	1	0						f					
65	65	256	256	0.25		0	0	Chord	4/4	1	1	1/16		1/16	1	926							
65	65	1025/4	1025/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	927							
65	65	513/2	513/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	928							
65	65	1027/4	1027/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	929							
65	65	257	257	0.25		1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	930							
65	65	1029/4	1029/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	931							
65	65	515/2	515/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	932							
65	65	1031/4	1031/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	933							
65	65	258	258	0.25		1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	934							
65	65	1033/4	1033/4	0.25		9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	935							
65	65	517/2	517/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	936							
65	65	1035/4	1035/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	937							
65	65	259	259	0.25		3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	938							
65	65	1037/4	1037/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	939							
65	65	519/2	519/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	940							
65	65	1039/4	1039/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	941							
65	65	256	256	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	942							
65	65	257	257	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	943							
65	65	515/2	515/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	944							
65	65	258	258	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	945							
65	65	259	259	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	946							
65	65	519/2	519/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	947							
66	66	260	260	0.25		0	0	Chord	4/4	1	1	1/16		1/16	1	948							
66	66	1041/4	1041/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	949							
66	66	521/2	521/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	950							
66	66	1043/4	1043/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	951							
66	66	261	261	0.25		1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	952							
66	66	1045/4	1045/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	953							
66	66	523/2	523/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	954							
66	66	1047/4	1047/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	955							
66	66	262	262	0.25		1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	956							
66	66	1049/4	1049/4	0.25		9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	957							
66	66	525/2	525/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	958							
66	66	1051/4	1051/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	959							
