mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	slur	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
66	64	126	130	0.0		0	0	Dynamic	2/4	1	1	0				ff					
66	64	126	130	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	281						
66	64	127	131	0.0		1/4	1/4	Dynamic	2/4	1	1	0				other-dynamics					
66	64	127	131	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	282			24			
66	64	126	130	0.0		0	0	Spanner	2/4	2	1	0								3	3
66	64	126	130	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	283					3	3
67	65	128	132	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	284			24			
67	65	257/2	265/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	285			24			
67	65	129	133	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	286			24			
67	65	259/2	267/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	287			24			
67	65	128	132	0.0		0	0	Dynamic	2/4	2	1	0				other-dynamics				3	3
67	65	128	132	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	288					3	3
67	65	129	133	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	289					3	3
68	66	130	134	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	290			24			
68	66	261/2	269/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	291			24			
68	66	131	135	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	292			24			
68	66	263/2	271/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	293			24			
68	66	131	135	0.0		1/4	1/4	Spanner	2/4	2	1	0									
68	66	131	135	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	294						
69	67	132	136	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	295			24			
69	67	265/2	273/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	296			24			
69	67	133	137	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	297			24			
69	67	267/2	275/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	298			24			
69	67	133	137	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	299						
70	68	134	138	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	300			24			
70	68	269/2	277/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	301			24			
70	68	135	139	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	302			24			
70	68	271/2	279/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	303			24			
70	68	135	139	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	304						
71	69	136	140	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	305			24			
71	69	273/2	281/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	306			24			
71	69	137	141	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	307			24			
71	69	275/2	283/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	308			24			
71	69	137	141	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	309						
72	70	138	142	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	310			24			
72	70	277/2	285/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	311			24			
72	70	139	143	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	312			24			
72	70	279/2	287/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	313			24			
72	70	139	143	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	314						
73	71	140	144	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	315			24			
73	71	281/2	289/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	316			24			
73	71	141	145	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	317			24			
73	71	283/2	291/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	318						
73	71	141	145	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	319						
74	72	142	146	0.0		0	0	Dynamic	2/4	1	1	0				ff					
74	72	142	146	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	320						
74	72	143	147	0.0		1/4	1/4	Dynamic	2/4	1	1	0				sf					
74	72	143	147	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	321			25			
74	72	142	146	0.0		0	0	Spanner	2/4	2	1	0								4	4
74	72	142	146	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	322					4	4
75	73	144	148	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	323			25			
75	73	289/2	297/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	324			25			
75	73	145	149	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	325			25			
75	73	291/2	299/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	326						
75	73	144	148	0.0		0	0	Dynamic	2/4	2	1	0				other-dynamics				4	4
75	73	144	148	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	327					4	4
75	73	145	149	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	328					4	4
76	74	146	150	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	329						
76	74	147	151	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	330						
76	74	147	151	0.0		1/4	1/4	Spanner	2/4	2	1	0									
76	74	147	151	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	331						
77	75	148	152	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	332						
77	75	149	153	0.0		1/4	1/4	Dynamic	2/4	1	1	0				sf					
77	75	149	153	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	333			26			
77	75	148	152	0.0		0	0	Spanner	2/4	2	1	0								5	5
77	75	149	153	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	334					5	5
78	76	150	154	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	335			26			
78	76	301/2	309/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	336			26			
78	76	151	155	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	337			26			
78	76	303/2	311/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	338			26			
78	76	150	154	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	339					5	5
78	76	151	155	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	340					5	5
79	77	152	156	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	341			26			
79	77	305/2	313/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	342			26			
79	77	153	157	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	343			26			
79	77	307/2	315/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	344			26			
79	77	153	157	0.0		1/4	1/4	Spanner	2/4	2	1	0									
79	77	153	157	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	345						
80	78	154	158	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	346			26			
80	78	309/2	317/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	347			26			
80	78	155	159	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	348			26			
80	78	311/2	319/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	349			26			
80	78	155	159	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	350						
81	79	156	160	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	351			26			
81	79	313/2	321/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	352			26			
81	79	157	161	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	353			26			
81	79	315/2	323/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	354			26			
81	79	157	161	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	355						
82	80	158	162	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	356			26			
82	80	317/2	325/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	357			26			
82	80	159	163	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	358			26			
82	80	319/2	327/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	359			26			
82	80	159	163	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	360						
83	81	160	164	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	361			26			
83	81	321/2	329/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	362			26			
83	81	161	165	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	363			26			
83	81	323/2	331/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	364			26			
83	81	161	165	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	365						
84	82	162	166	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	366			26			
84	82	325/2	333/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	367			26			
84	82	163	167	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	368			26			
84	82	327/2	335/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	369						
84	82	163	167	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	370						
85	83	164	168	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	371						
85	83	165	169	0.0		1/4	1/4	Spanner	2/4	1	1	0							0		
85	83	165	169	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	372			27	0		
85	83	164	168	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	373						
86	84	166	170	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	374			27	0		
86	84	333/2	341/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	375			27	0		
86	84	167	171	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	376			27	0		
86	84	335/2	343/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	377			27	0		
86	84	166	170	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	378						
86	84	167	171	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	379						
87	85	168	172	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	380			27	0		
87	85	337/2	345/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	381			27	0		
87	85	169	173	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	382			27	0		
87	85	339/2	347/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	383			27	0		
87	85	169	173	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	384						
88	86	170	174	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	385			27	0		
88	86	341/2	349/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	386			27	0		
88	86	171	175	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	387			27	0		
88	86	343/2	351/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	388			27	0		
88	86	171	175	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	389						
89	87	172	176	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	390			27	0		
89	87	345/2	353/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	391			27	0		
89	87	173	177	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	392			27	0		
89	87	347/2	355/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	393			27	0		
89	87	173	177	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	394						
90	88	174	178	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	395			27	0		
90	88	349/2	357/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	396			27	0		
90	88	175	179	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	397			27	0		
90	88	351/2	359/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	398			27	0		
90	88	175	179	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	399						
91	89	176	180	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	400			27	0		
91	89	353/2	361/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	401			27	0		
91	89	177	181	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	402			27	0		
91	89	355/2	363/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	403			27	0		
91	89	177	181	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	404						
92	90	178	182	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	405			27	0		
92	90	357/2	365/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	406			27	0		
92	90	179	183	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	407			27	0		
92	90	359/2	367/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	408			27	0		
92	90	179	183	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	409						
93	91	180	184	0.0		0	0	Spanner	2/4	1	1	0						27			
93	91	180	184	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	410			27			
93	91	361/2	369/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	411			27			
93	91	181	185	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	412			27			
93	91	363/2	371/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	413						
93	91	181	185	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	414						
94	92	182	186	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	415			28			
94	92	365/2	373/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	416			28			
94	92	183	187	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	417			28			
94	92	367/2	375/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	418						
95	93	184	188	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	419			29			
95	93	369/2	377/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	420			29			
95	93	185	189	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	421			29			
95	93	371/2	379/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	422						
96	94	186	190	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	423			30			
96	94	373/2	381/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	424			30			
96	94	187	191	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	425			30			
96	94	375/2	383/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	426						
97	95	188	192	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	427						
97	95	377/2	385/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	428						
97	95	189	193	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	429						
97	95	379/2	387/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	430						
98	96	190	194	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	431			31			
98	96	191	195	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	432			31			
98	96	190	194	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	433			32			
98	96	191	195	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	434			32			
99	97	192	196	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	435			31			
99	97	193	197	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	436						
99	97	192	196	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	437			32			
99	97	193	197	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	438						
100	98	194	198	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	439		articStaccatoBelow				
100	98	195	199	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	440		articStaccatoBelow				
100	98	194	198	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	441		articStaccatoAbove				
100	98	195	199	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	442		articStaccatoAbove				
101	99	196	200	2.0		0	0	Chord	2/4	1	1	1/2	1/2	1	443						
101	99	196	200	2.0		0	0	Chord	2/4	2	1	1/2	1/2	1	444						
102	100	198	202	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	445			33			
102	100	199	203	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	446						
102	100	198	202	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	447			34			
102	100	199	203	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	448			34			
103	101	200	204	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	449		articStaccatoBelow				
103	101	201	205	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	450		articStaccatoBelow				
103	101	200	204	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	451			34			
103	101	201	205	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	452						
104	102	202	206	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	453		articStaccatoBelow				
104	102	203	207	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	454		articStaccatoBelow				
104	102	202	206	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	455		articStaccatoBelow				
104	102	203	207	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	456		articStaccatoBelow				
105	103	204	208	0.0		0	0	Dynamic	2/4	1	1	0				sf					
105	103	204	208	2.0		0	0	Chord	2/4	1	1	1/2	1/2	1	457						
105	103	204	208	2.0		0	0	Chord	2/4	2	1	1/2	1/2	1	458						
106	104	206	210	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	459			35			
106	104	207	211	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	460			35			
106	104	206	210	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	461			36			
106	104	207	211	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	462			36			
107	105	208	212	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	463			35			
107	105	209	213	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	464						
107	105	208	212	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	465			36			
107	105	209	213	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	466						
108	106	210	214	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	467		articStaccatoBelow				
108	106	211	215	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	468		articStaccatoBelow				
108	106	210	214	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	469		articStaccatoAbove				
108	106	211	215	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	470		articStaccatoAbove				
109	107	212	216	2.0		0	0	Chord	2/4	1	1	1/2	1/2	1	471						
109	107	212	216	2.0		0	0	Chord	2/4	2	1	1/2	1/2	1	472						
110	108	214	218	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	473			37			
110	108	215	219	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	474						
110	108	214	218	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	475			38			
110	108	215	219	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	476			38			
111	109	216	220	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	477		articStaccatoBelow				
111	109	217	221	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	478		articStaccatoBelow				
111	109	216	220	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	479			38			
111	109	217	221	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	480						
112	110	218	222	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	481		articStaccatoBelow				
112	110	219	223	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	482		articStaccatoBelow				
112	110	218	222	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	483		articStaccatoBelow				
112	110	219	223	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	484		articStaccatoBelow				
113	111	220	224	0.0		0	0	Dynamic	2/4	1	1	0				sf					
113	111	220	224	2.0		0	0	Chord	2/4	1	1	1/2	1/2	1	485						
113	111	220	224	2.0		0	0	Chord	2/4	2	1	1/2	1/2	1	486						
114	112	222	226	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	487		articStaccatoAbove				
114	112	223	227	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	488		articStaccatoAbove				
114	112	222	226	1.0		0	0	Chord	2/4	1	2	1/4	1/4	1	489						
114	112	223	227	1.0		1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	490						
114	112	222	226	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	491		articStaccatoBelow				
114	112	223	227	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	492		articStaccatoBelow				
115	113	224	228	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	493			39			
115	113	225	229	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	494						
115	113	224	228	2.0		0	0	Chord	2/4	1	2	1/2	1/2	1	495						
115	113	224	228	2.0		0	0	Chord	2/4	2	1	1/2	1/2	1	496						
116	114	226	230	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	497		articStaccatoAbove				
116	114	227	231	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	498		articStaccatoAbove				
116	114	226	230	1.0		0	0	Chord	2/4	1	2	1/4	1/4	1	499						
116	114	227	231	1.0		1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	500						
116	114	226	230	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	501						
116	114	227	231	0.0		1/4	1/4	Dynamic	2/4	2	1	0				sf					
116	114	227	231	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	502						
117	115	228	232	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	503			40			
117	115	229	233	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	504						
117	115	228	232	1.0		0	0	Chord	2/4	1	2	1/4	1/4	1	505						
117	115	229	233	1.0		1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	506						
117	115	228	232	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	507						
117	115	229	233	0.0		1/4	1/4	Dynamic	2/4	2	1	0				sf					
117	115	229	233	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	508						
118	116	230	234	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	509		articStaccatoAbove				
118	116	231	235	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	510		articStaccatoAbove				
118	116	230	234	1.0		0	0	Chord	2/4	1	2	1/4	1/4	1	511						
118	116	231	235	1.0		1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	512						
118	116	230	234	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	513						
118	116	231	235	0.0		1/4	1/4	Dynamic	2/4	2	1	0				sf					
118	116	231	235	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	514			41			
119	117	232	236	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	515			42			
119	117	233	237	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	516						
119	117	232	236	2.0		0	0	Chord	2/4	1	2	1/2	1/2	1	517						
119	117	232	236	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	518			41			
119	117	233	237	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	519						
120	118	234	238	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	520		articStaccatoAbove				
120	118	235	239	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	521		articStaccatoAbove				
120	118	234	238	1.0		0	0	Chord	2/4	1	2	1/4	1/4	1	522						
120	118	235	239	1.0		1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	523						
120	118	234	238	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	524		articStaccatoBelow				
120	118	235	239	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	525		articStaccatoBelow				
121	119	236	240	0.0		0	0	Dynamic	2/4	1	1	0				sf					
121	119	236	240	2.0		0	0	Chord	2/4	1	1	1/2	1/2	1	526						
121	119	236	240	2.0		0	0	Chord	2/4	1	2	1/2	1/2	1	527						
121	119	236	240	2.0		0	0	Chord	2/4	2	1	1/2	1/2	1	528						
122	120	238	242	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	529						
122	120	239	243	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	530			43			
122	120	239	243	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	531			44			
123	121	240	244	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	532			43			
123	121	481/2	489/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	533			43			
123	121	241	245	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	534						
123	121	240	244	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	535						
124	122	242	246	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	536			45			
124	122	243	247	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	537			45			
124	122	243	247	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	538			46			
125	123	244	248	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	539			45			
125	123	489/2	497/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	540			45			
125	123	245	249	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	541						
125	123	244	248	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	542						
126	124	246	250	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	543						
126	124	247	251	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	544			47			
126	124	247	251	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	545			48			
127	125	248	252	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	546			47			
127	125	249	253	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	547			47			
127	125	248	252	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	548			48			
127	125	249	253	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	549			48			
128	126	250	254	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	550			47			
128	126	251	255	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	551			47			
128	126	250	254	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	552			48			
128	126	251	255	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	553			48			
129	127	252	256	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	554			47			
129	127	253	257	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	555						
129	127	252	256	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	556			48			
129	127	253	257	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	557						
130	128	254	258	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	558						
130	128	255	259	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	559			49			
