mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	crescendo_hairpin	crescendo_line
47	47	93	93	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	515							
47	47	187/2	187/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	516							
48	48	94	94	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	517			ornamentTurn	75			
48	48	95	95	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	518				75			
48	48	383/4	383/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	519							
48	48	94	94	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	520							
48	48	95	95	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	521							
48	48	191/2	191/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	522							
48	48	94	94	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	523				76			
48	48	189/2	189/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	524				76			
48	48	95	95	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	525				76			
48	48	191/2	191/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	526							
48	48	94	94	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	527							
48	48	95	95	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	528							
49	49	96	96	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	529							
49	49	97	97	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	530							
49	49	583/6	583/6	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	531				77			
49	49	292/3	292/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	532							
49	49	195/2	195/2	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	533			articStaccatoAbove	78			
49	49	293/3	293/3	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	534			articStaccatoAbove	78			
49	49	587/6	587/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	535			articStaccatoAbove				
49	49	96	96	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	536				79			
49	49	193/2	193/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	537				79			
49	49	97	97	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	538				79			
49	49	195/2	195/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	539							
49	49	96	96	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	540							
50	50	98	98	0.0	0	0	Spanner	2/4	1	1	0											3
50	50	98	98	0.875	0	0	Chord	2/4	1	1	7/32		1/8	7/4	541							3
50	50	791/8	791/8	0.0	7/32	7/32	Spanner	2/4	1	1	0											
50	50	791/8	791/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	542							
50	50	99	99	0.875	1/4	1/4	Chord	2/4	1	1	7/32		1/8	7/4	543							
50	50	799/8	799/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	544							
50	50	787/8	787/8	0.125	3/32	3/32	Chord	2/4	2	1	1/32		1/32	1	545							
50	50	197/2	197/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	546							
50	50	795/8	795/8	0.125	11/32	11/32	Chord	2/4	2	1	1/32		1/32	1	547							
50	50	199/2	199/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	548							
51	51	100	100	0.875	0	0	Chord	2/4	1	1	7/32		1/8	7/4	549							
51	51	807/8	807/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	550							
51	51	101	101	0.0	1/4	1/4	Dynamic	2/4	1	1	0						sf					
51	51	101	101	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	551				80			
51	51	803/8	803/8	0.125	3/32	3/32	Chord	2/4	2	1	1/32		1/32	1	552							
51	51	201/2	201/2	0.375	1/8	1/8	Chord	2/4	2	1	3/32		1/16	3/2	553							
51	51	807/8	807/8	0.125	7/32	7/32	Chord	2/4	2	1	1/32		1/32	1	554							
51	51	101	101	0.375	1/4	1/4	Chord	2/4	2	1	3/32		1/16	3/2	555							
51	51	811/8	811/8	0.125	11/32	11/32	Chord	2/4	2	1	1/32		1/32	1	556							
51	51	203/2	203/2	0.375	3/8	3/8	Chord	2/4	2	1	3/32		1/16	3/2	557							
51	51	815/8	815/8	0.125	15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	558							
51	51	807/8	807/8	0.125	7/32	7/32	Chord	2/4	2	2	1/32		1/32	1	559							
51	51	101	101	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	560							
52	52	102	102	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	561				80			
52	52	409/4	409/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	562				80			
52	52	205/2	205/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	563				80			
52	52	411/4	411/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	564							
52	52	103	103	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	565				81			
52	52	413/4	413/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	566							
52	52	207/2	207/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	567				82			
52	52	415/4	415/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	568							
52	52	102	102	0.0	0	0	Dynamic	2/4	1	2	0						sf					
52	52	102	102	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	569							
52	52	103	103	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	570							
52	52	207/2	207/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	571							
52	52	102	102	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	572							
52	52	205/2	205/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	573							
52	52	103	103	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	574				83			
52	52	207/2	207/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	575							
53	53	104	104	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	576							
53	53	419/4	419/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	577							
53	53	105	105	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	578			ornamentTrill	84			
53	53	421/4	421/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	579				84			
53	53	843/8	843/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	580				84			
53	53	211/2	211/2	0.125	3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	581				84			
53	53	845/8	845/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	582				84			
53	53	423/4	423/4	0.0625	7/16	7/16	Chord	2/4	1	1	1/64		1/64	1	583				84			
53	53	1693/16	1693/16	0.0625	29/64	29/64	Chord	2/4	1	1	1/64		1/64	1	584				84			
53	53	847/8	847/8	0.0625	15/32	15/32	Chord	2/4	1	1	1/64		1/64	1	585				84			
53	53	1695/16	1695/16	0.0625	31/64	31/64	Chord	2/4	1	1	1/64		1/64	1	586							
53	53	104	104	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	587							
53	53	209/2	209/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	588							
53	53	105	105	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	589							
53	53	104	104	0.75	0	0	Chord	2/4	2	1	3/16		1/8	3/2	590							
53	53	419/4	419/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	591							
53	53	105	105	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	592							
53	53	104	104	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	593							
53	53	105	105	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	594							
54	54	106	106	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	595			ornamentTurn	85			
54	54	107	107	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	596				85			
54	54	431/4	431/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	597							
54	54	106	106	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	598							
54	54	107	107	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	599							
54	54	106	106	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	600							
54	54	425/4	425/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	601							
54	54	213/2	213/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	602							
54	54	427/4	427/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	603							
54	54	107	107	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	604							
54	54	429/4	429/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	605							
54	54	215/2	215/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	606							
54	54	431/4	431/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	607							
54	54	106	106	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	608							
54	54	107	107	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	609							
55	55	108	108	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	610							
55	55	108	108	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	611							
55	55	108	108	0.16666666666666666	0	0	Chord	2/4	2	1	1/24		1/16	2/3	612			articStaccatoBelow	86			
55	55	649/6	649/6	0.16666666666666666	1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	613			articStaccatoBelow	86			
55	55	325/3	325/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	614			articStaccatoBelow				
55	55	217/2	217/2	0.16666666666666666	1/8	1/8	Chord	2/4	2	1	1/24		1/16	2/3	615			articStaccatoAbove	87			
55	55	326/3	326/3	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	616			articStaccatoAbove	87			
55	55	653/6	653/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	617			articStaccatoAbove				
55	55	109	109	0.16666666666666666	1/4	1/4	Chord	2/4	2	1	1/24		1/16	2/3	618			articStaccatoAbove	88			
55	55	655/6	655/6	0.16666666666666666	7/24	7/24	Chord	2/4	2	1	1/24		1/16	2/3	619			articStaccatoAbove	88			
55	55	328/3	328/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	620			articStaccatoAbove				
55	55	219/2	219/2	0.16666666666666666	3/8	3/8	Chord	2/4	2	1	1/24		1/16	2/3	621			articStaccatoAbove	89			
55	55	329/3	329/3	0.16666666666666666	5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	622			articStaccatoAbove	89			
55	55	659/6	659/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	623			articStaccatoAbove				
56	56	110	110	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	624			ornamentTurn	90			
56	56	111	111	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	625				90			
56	56	447/4	447/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	626							
56	56	110	110	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	627							
56	56	111	111	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	628							
56	56	110	110	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	629							
56	56	111	111	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	630							
56	56	110	110	0.25	0	0	Chord	2/4	2	2	1/16		1/16	1	631							
56	56	441/4	441/4	0.25	1/16	1/16	Chord	2/4	2	2	1/16		1/16	1	632							
56	56	221/2	221/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	633							
56	56	443/4	443/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	634							
56	56	111	111	0.25	1/4	1/4	Chord	2/4	2	2	1/16		1/16	1	635							
56	56	445/4	445/4	0.25	5/16	5/16	Chord	2/4	2	2	1/16		1/16	1	636							
56	56	223/2	223/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	637							
56	56	447/4	447/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	638							
57	57	112	112	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	639							
57	57	112	112	0.16666666666666666	0	0	Chord	2/4	2	1	1/24		1/16	2/3	640			articStaccatoBelow	91			
57	57	673/6	673/6	0.16666666666666666	1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	641			articStaccatoBelow	91			
57	57	337/3	337/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	642			articStaccatoBelow	91			
57	57	225/2	225/2	0.16666666666666666	1/8	1/8	Chord	2/4	2	1	1/24		1/16	2/3	643			articStaccatoAbove	91			
57	57	338/3	338/3	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	644			articStaccatoAbove	91			
57	57	677/6	677/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	645			articStaccatoAbove	91			
57	57	113	113	0.16666666666666666	1/4	1/4	Chord	2/4	2	1	1/24		1/16	2/3	646			articStaccatoAbove	91			
57	57	679/6	679/6	0.16666666666666666	7/24	7/24	Chord	2/4	2	1	1/24		1/16	2/3	647			articStaccatoAbove	91			
57	57	340/3	340/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	648			articStaccatoAbove	91			
57	57	227/2	227/2	0.16666666666666666	3/8	3/8	Chord	2/4	2	1	1/24		1/16	2/3	649				91			
57	57	341/3	341/3	0.16666666666666666	5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	650			articStaccatoAbove	91			
57	57	683/6	683/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	651			articStaccatoAbove				
58	58	114	114	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	652							
58	58	114	114	0.875	0	0	Chord	2/4	1	1	7/32		1/8	7/4	653							
58	58	919/8	919/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	654							
58	58	115	115	0.0	1/4	1/4	Chord	2/4	1	1	0	acciaccatura	1/8	1	655							
58	58	115	115	0.875	1/4	1/4	Chord	2/4	1	1	7/32		1/8	7/4	656							
58	58	927/8	927/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	657							
58	58	114	114	0.16666666666666666	0	0	Chord	2/4	2	1	1/24		1/16	2/3	658			articStaccatoAbove	92			
58	58	685/6	685/6	0.16666666666666666	1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	659			articStaccatoAbove	92			
58	58	343/3	343/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	660			articStaccatoAbove	92			
58	58	229/2	229/2	0.16666666666666666	1/8	1/8	Chord	2/4	2	1	1/24		1/16	2/3	661			articStaccatoAbove	92			
58	58	344/3	344/3	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	662			articStaccatoAbove	92			
58	58	689/6	689/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	663			articStaccatoAbove				
58	58	691/6	691/6	0.16666666666666666	7/24	7/24	Chord	2/4	2	1	1/24		1/16	2/3	664			articStaccatoAbove	93			
58	58	346/3	346/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	665			articStaccatoAbove	93			
58	58	231/2	231/2	0.16666666666666666	3/8	3/8	Chord	2/4	2	1	1/24		1/16	2/3	666			articStaccatoAbove	93			
58	58	347/3	347/3	0.16666666666666666	5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	667			articStaccatoAbove	93			
58	58	695/6	695/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	668			articStaccatoAbove				
59	59	116	116	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	669							
59	59	116	116	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	670	f			94			
59	59	117	117	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	671				94			
59	59	235/2	235/2	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	672				94			
59	59	353/3	353/3	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	673				94			
59	59	707/6	707/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	674							
59	59	697/6	697/6	0.16666666666666666	1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	675				95			
59	59	349/3	349/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	676				95			
59	59	233/2	233/2	0.16666666666666666	1/8	1/8	Chord	2/4	2	1	1/24		1/16	2/3	677				95			
59	59	350/3	350/3	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	678				95			
59	59	701/6	701/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	679				95			
59	59	117	117	0.16666666666666666	1/4	1/4	Chord	2/4	2	1	1/24		1/16	2/3	680				95			
59	59	703/6	703/6	0.16666666666666666	7/24	7/24	Chord	2/4	2	1	1/24		1/16	2/3	681				95			
59	59	352/3	352/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	682				95			
59	59	235/2	235/2	0.16666666666666666	3/8	3/8	Chord	2/4	2	1	1/24		1/16	2/3	683				95			
59	59	353/3	353/3	0.16666666666666666	5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	684				95			
59	59	707/6	707/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	685							
59	59	697/6	697/6	0.3333333333333333	1/24	1/24	Chord	2/4	2	2	1/12		1/8	2/3	686							
59	59	233/2	233/2	1.5	1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	687							
60	60	118	118	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	688				96			
60	60	237/2	237/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	689				96			
60	60	119	119	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	690				96			
60	60	239/2	239/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	691							
60	60	118	118	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	692	p						
60	60	119	119	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	693							
60	60	709/6	709/6	0.16666666666666666	1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	694				97			
60	60	355/3	355/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	695							
60	60	356/3	356/3	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	696				98			
60	60	713/6	713/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	697							
60	60	715/6	715/6	0.16666666666666666	7/24	7/24	Chord	2/4	2	1	1/24		1/16	2/3	698				99			
60	60	358/3	358/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	699							
60	60	359/3	359/3	0.16666666666666666	5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	700				100			
60	60	719/6	719/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	701							
60	60	118	118	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	702							
60	60	119	119	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	703							
61	61	120	120	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	704				101			
61	61	121	121	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	705							
61	61	120	120	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	706				102			
61	61	241/2	241/2	0.125	1/8	1/8	Chord	2/4	1	2	1/32		1/32	1	707				102			
61	61	965/8	965/8	0.0625	5/32	5/32	Chord	2/4	1	2	1/64		1/64	1	708				102			
61	61	1931/16	1931/16	0.0625	11/64	11/64	Chord	2/4	1	2	1/64		1/64	1	709				102			
61	61	483/4	483/4	0.0625	3/16	3/16	Chord	2/4	1	2	1/64		1/64	1	710				102			
61	61	1933/16	1933/16	0.0625	13/64	13/64	Chord	2/4	1	2	1/64		1/64	1	711				102			
61	61	967/8	967/8	0.0625	7/32	7/32	Chord	2/4	1	2	1/64		1/64	1	712				102			
61	61	1935/16	1935/16	0.0625	15/64	15/64	Chord	2/4	1	2	1/64		1/64	1	713							
61	61	121	121	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	714							
61	61	120	120	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	715				103			
61	61	121	121	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	716							
61	61	120	120	1.5	0	0	Chord	2/4	2	2	3/8		1/4	3/2	717							
62	62	122	122	0.0	0	0	Dynamic	2/4	1	1	0						ff					
62	62	122	122	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	718							
62	62	122	122	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	719							
62	62	123	123	0.0	1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	720							
62	62	123	123	0.0	1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	721							
62	62	123	123	0.0	1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	722							
62	62	123	123	0.0	1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	723							
62	62	123	123	0.0	1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	724							
62	62	123	123	0.0	1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	725							
62	62	123	123	0.0	1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	726							
62	62	123	123	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	727			articStaccatoBelow				
62	62	991/8	991/8	0.0	15/32	15/32	Dynamic	2/4	1	1	0						p					
62	62	991/8	991/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	728							
62	62	122	122	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	729							
62	62	991/8	991/8	0.125	15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	730							
63	63	124	124	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	731				104			
63	63	125	125	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	732							
63	63	124	124	1.5	0	0	Chord	2/4	2	1	3/8		1/4	3/2	733							
64	64	126	126	0.0	0	0	Dynamic	2/4	1	1	0						ff					
64	64	126	126	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	734							
64	64	126	126	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	735							
64	64	127	127	0.0	1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	736							
64	64	127	127	0.0	1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	737							
64	64	127	127	0.0	1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	738							
64	64	127	127	0.0	1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	739							
64	64	127	127	0.0	1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	740							
64	64	127	127	0.0	1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	741							
64	64	127	127	0.0	1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	742							
64	64	127	127	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	743			articStaccatoBelow				
64	64	1023/8	1023/8	0.0	15/32	15/32	Dynamic	2/4	1	1	0						p					
64	64	1023/8	1023/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	744							
64	64	126	126	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	745							
64	64	1023/8	1023/8	0.125	15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	746							
65	65	128	128	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	747				105			
65	65	129	129	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	748							
65	65	128	128	1.5	0	0	Chord	2/4	2	1	3/8		1/4	3/2	749							
66	66	1055/8	1055/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	750							
66	66	130	130	0.0	0	0	Dynamic	2/4	2	1	0						ff					
66	66	130	130	0.0	0	0	Chord	2/4	2	1	0	acciaccatura	1/8	1	751							
66	66	130	130	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	752							
66	66	131	131	0.0	1/4	1/4	Chord	2/4	2	1	0	grace16	1/16	1	753							
66	66	131	131	0.0	1/4	1/4	Chord	2/4	2	1	0	grace16	1/16	1	754							
66	66	131	131	0.0	1/4	1/4	Chord	2/4	2	1	0	grace16	1/16	1	755							
66	66	131	131	0.0	1/4	1/4	Chord	2/4	2	1	0	grace16	1/16	1	756							
66	66	131	131	0.0	1/4	1/4	Chord	2/4	2	1	0	grace16	1/16	1	757							
66	66	131	131	0.0	1/4	1/4	Chord	2/4	2	1	0	grace16	1/16	1	758							
66	66	131	131	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	759			articStaccatoBelow				
66	66	1055/8	1055/8	0.125	15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	760							
66	66	1055/8	1055/8	0.125	15/32	15/32	Chord	2/4	2	2	1/32		1/32	1	761							
67	67	132	132	0.0	0	0	Dynamic	2/4	1	1	0						fp					
67	67	132	132	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	762				106			
67	67	133	133	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	763							
67	67	1071/8	1071/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	764							
67	67	132	132	1.5	0	0	Chord	2/4	2	1	3/8		1/4	3/2	765							
67	67	1071/8	1071/8	0.125	15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	766							
67	67	132	132	1.5	0	0	Chord	2/4	2	2	3/8		1/4	3/2	767							
67	67	1071/8	1071/8	0.125	15/32	15/32	Chord	2/4	2	2	1/32		1/32	1	768							
68	68	134	134	0.0	0	0	Dynamic	2/4	1	1	0						fp					
68	68	134	134	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	769				107			
68	68	135	135	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	770							
68	68	1087/8	1087/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	771							
68	68	134	134	1.5	0	0	Chord	2/4	2	1	3/8		1/4	3/2	772							
68	68	1087/8	1087/8	0.125	15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	773							
68	68	134	134	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	774				108			
68	68	135	135	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	775							
68	68	1087/8	1087/8	0.125	15/32	15/32	Chord	2/4	2	2	1/32		1/32	1	776							
69	69	136	136	0.0	0	0	Dynamic	2/4	1	1	0						sfp					
69	69	136	136	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	777				109			
69	69	137	137	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	778							
