mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	crescendo_hairpin	decrescendo_hairpin	crescendo_line
49	46	137	137	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	271				27			
49	46	138	138	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	272							
49	46	136	136	0.0	0	0	Dynamic	3/4	1	2	0						sf					
49	46	136	136	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	273							
49	46	137	137	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	274							
49	46	138	138	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	275							
49	46	136	136	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	276							
49	46	273/2	273/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	277							
49	46	137	137	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	278							
49	46	275/2	275/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	279							
49	46	138	138	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	280							
49	46	277/2	277/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	281							
50	47	139	139	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	282				28			
50	47	139	139	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	283							
50	47	140	140	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	284							
50	47	141	141	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	285							
50	47	139	139	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	286							
50	47	279/2	279/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	287							
50	47	140	140	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	288							
50	47	281/2	281/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	289							
50	47	141	141	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	290							
50	47	283/2	283/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	291							
51	48	142	142	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	292				29			
51	48	143	143	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	293				29			
51	48	144	144	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	294							
51	48	142	142	0.0	0	0	Dynamic	3/4	1	2	0						sf					
51	48	142	142	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	295							
51	48	143	143	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	296							
51	48	144	144	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	297							
51	48	142	142	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	298							
51	48	285/2	285/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	299							
51	48	143	143	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	300							
51	48	287/2	287/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	301							
51	48	144	144	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	302							
51	48	289/2	289/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	303							
52	49	145	145	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	304				30			
52	49	145	145	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	305							
52	49	146	146	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	306							
52	49	147	147	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	307							
52	49	145	145	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	308							
52	49	291/2	291/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	309							
52	49	146	146	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	310							
52	49	293/2	293/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	311							
52	49	147	147	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	312							
52	49	295/2	295/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	313							
53	50	148	148	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	314				30			
53	50	149	149	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	315				30			
53	50	150	150	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	316				30			
53	50	148	148	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	317							
53	50	297/2	297/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	318							
53	50	149	149	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	319							
53	50	299/2	299/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	320							
53	50	150	150	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	321							
53	50	301/2	301/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	322							
54	51	151	151	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	323				30			
54	51	152	152	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	324				30			
54	51	153	153	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	325							
54	51	151	151	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	326							
54	51	303/2	303/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	327							
54	51	152	152	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	328							
54	51	305/2	305/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	329							
54	51	153	153	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	330							
54	51	307/2	307/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	331							
55	52	154	154	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	332							
55	52	154	154	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	333							
55	52	155	155	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	334							
56	52	156	156	0.0	0	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	335							
56	52	156	156	0.0	0	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	336							
56	52	156	156	1.0	0	1/2	Chord	3/4	1	1	1/4		1/4	1	337			ornamentTrill				
57	53	157	157	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	338				31			
57	53	158	158	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	339				31			
57	53	159	159	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	340							
57	53	157	157	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	341							
57	53	315/2	315/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	342							
57	53	158	158	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	343							
57	53	317/2	317/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	344							
57	53	159	159	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	345							
57	53	319/2	319/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	346							
58	54	160	160	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	347				32			
58	54	161	161	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	348				32			
58	54	162	162	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	349							
58	54	160	160	0.0	0	0	Dynamic	3/4	1	2	0						sf					
58	54	160	160	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	350							
58	54	161	161	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	351							
58	54	162	162	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	352							
58	54	160	160	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	353							
58	54	321/2	321/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	354							
58	54	161	161	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	355							
58	54	323/2	323/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	356							
58	54	162	162	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	357							
58	54	325/2	325/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	358							
59	55	163	163	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	359				33			
59	55	163	163	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	360							
59	55	164	164	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	361							
59	55	165	165	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	362							
59	55	163	163	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	363							
59	55	327/2	327/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	364							
59	55	164	164	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	365							
59	55	329/2	329/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	366							
59	55	165	165	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	367							
59	55	331/2	331/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	368							
60	56	166	166	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	369				34			
60	56	167	167	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	370				34			
60	56	168	168	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	371							
60	56	166	166	0.0	0	0	Dynamic	3/4	1	2	0						sf					
60	56	166	166	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	372							
60	56	167	167	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	373							
60	56	168	168	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	374							
60	56	166	166	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	375							
60	56	333/2	333/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	376							
60	56	167	167	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	377							
60	56	335/2	335/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	378							
60	56	168	168	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	379							
60	56	337/2	337/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	380							
61	57	169	169	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	381				35			
61	57	169	169	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	382							
61	57	170	170	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	383							
61	57	171	171	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	384							
61	57	169	169	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	385							
61	57	339/2	339/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	386							
61	57	170	170	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	387							
61	57	341/2	341/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	388							
61	57	171	171	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	389							
61	57	343/2	343/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	390							
62	58	172	172	0.0	0	0	Spanner	3/4	1	1	0								35	1		
62	58	172	172	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	391				35	1		
62	58	173	173	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	392				35	1		
62	58	174	174	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	393				35	1		
62	58	345/2	345/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	394					1		
62	58	347/2	347/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	395					1		
62	58	349/2	349/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	396					1		
62	58	172	172	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	397							
62	58	173	173	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	398							
62	58	174	174	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	399							
63	59	175	175	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	400				35	1		
63	59	176	176	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	401				35	1		
63	59	177	177	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	402				35	1		
63	59	351/2	351/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	403					1		
63	59	353/2	353/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	404					1		
63	59	355/2	355/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	405					1		
63	59	175	175	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	406							
63	59	176	176	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	407							
63	59	177	177	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	408							
64	60	178	178	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	409				35	1		
64	60	179	179	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	410				35	1		
64	60	180	180	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	411					1		
64	60	178	178	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	412							
64	60	357/2	357/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	413							
64	60	179	179	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	414							
64	60	359/2	359/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	415							
64	60	180	180	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	416							
64	60	361/2	361/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	417							
65	61	181	181	0.0	0	0	Dynamic	3/4	1	1	0						fp					
65	61	181	181	0.0	0	0	Spanner	3/4	1	1	0											
65	61	181	181	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	418				36			
65	61	182	182	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	419				36			
65	61	183	183	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	420							
65	61	181	181	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	421							
65	61	363/2	363/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	422							
65	61	182	182	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	423							
65	61	365/2	365/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	424							
65	61	183	183	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	425							
65	61	367/2	367/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	426							
66	62	184	184	0.0	0	0	Dynamic	3/4	1	1	0						sf					
66	62	184	184	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	427				37			
66	62	185	185	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	428				37			
66	62	186	186	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	429							
66	62	184	184	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	430							
66	62	184	184	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	431							
66	62	369/2	369/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	432							
66	62	185	185	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	433							
66	62	371/2	371/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	434							
66	62	186	186	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	435							
66	62	373/2	373/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	436							
66	62	184	184	0.0	0	0	Dynamic	3/4	2	2	0						sf					
66	62	184	184	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	437							
67	63	187	187	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	438				38			
67	63	188	188	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	439				38			
67	63	189	189	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	440							
67	63	187	187	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	441							
67	63	375/2	375/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	442							
67	63	188	188	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	443							
67	63	377/2	377/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	444							
67	63	189	189	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	445							
67	63	379/2	379/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	446							
67	63	187	187	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	447							
68	64	190	190	0.0	0	0	Dynamic	3/4	1	1	0						sf					
68	64	190	190	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	448				39			
68	64	191	191	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	449				39			
68	64	192	192	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	450							
68	64	190	190	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	451							
68	64	191	191	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	452							
68	64	192	192	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	453							
68	64	190	190	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	454							
68	64	381/2	381/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	455							
68	64	191	191	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	456							
68	64	383/2	383/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	457							
68	64	192	192	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	458							
68	64	385/2	385/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	459							
68	64	190	190	0.0	0	0	Dynamic	3/4	2	2	0						sf					
68	64	190	190	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	460							
69	65	193	193	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	461				40			
69	65	194	194	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	462				40			
69	65	195	195	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	463							
69	65	193	193	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	464							
69	65	387/2	387/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	465							
69	65	194	194	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	466							
69	65	389/2	389/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	467							
69	65	195	195	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	468							
69	65	391/2	391/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	469							
69	65	193	193	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	470							
70	66	196	196	0.0	0	0	Dynamic	3/4	1	1	0						sf					
70	66	196	196	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	471	ff			41			
70	66	197	197	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	472				41			
70	66	198	198	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	473							
70	66	196	196	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	474							
70	66	393/2	393/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	475							
70	66	197	197	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	476							
70	66	395/2	395/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	477							
70	66	198	198	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	478							
70	66	397/2	397/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	479							
70	66	196	196	0.0	0	0	Dynamic	3/4	2	2	0						sf					
70	66	196	196	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	480							
71	67	199	199	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	481			articStaccatoAbove				
71	67	200	200	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	482			articStaccatoAbove				
71	67	201	201	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	483			articStaccatoAbove				
71	67	199	199	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	484							
71	67	399/2	399/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	485							
71	67	200	200	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	486							
71	67	401/2	401/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	487							
71	67	201	201	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	488							
71	67	403/2	403/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	489							
72	68	202	202	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	490			articStaccatoAbove				
72	68	202	202	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	491							
72	68	203	203	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	492							
