mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	crescendo_line	diminuendo_line	crescendo_hairpin
23	23	66	66	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	147								
23	23	66	66	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	148								
24	24	69	69	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	149								
24	24	71	71	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	150								
24	24	69	69	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	151								
24	24	69	69	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	152								
25	25	72	72	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	153								
25	25	72	72	1.5	0	0	Chord	3/4	1	2	3/8	1/4	3/2	154				26				
25	25	147/2	147/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	155				26				
25	25	74	74	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	156								
25	25	72	72	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	157				27				
25	25	147/2	147/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	158				27				
25	25	74	74	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	159								
25	25	72	72	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	160								
26	26	75	75	0.0	0	0	Dynamic	3/4	1	1	0					sf						
26	26	75	75	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	161								
26	26	75	75	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	162								
26	26	75	75	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	163								
27	27	78	78	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	164								
27	27	78	78	1.5	0	0	Chord	3/4	1	2	3/8	1/4	3/2	165				28				
27	27	159/2	159/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	166				28				
27	27	80	80	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	167								
27	27	78	78	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	168				29				
27	27	159/2	159/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	169				29				
27	27	80	80	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	170								
27	27	78	78	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	171								
28	28	81	81	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	172								
28	28	81	81	0.0	0	0	Dynamic	3/4	1	2	0					sf						
28	28	81	81	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	173								
28	28	81	81	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	174								
29	29	84	84	0.0	0	0	Dynamic	3/4	1	1	0					p						
29	29	84	84	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	175	p							
29	29	84	84	1.5	0	0	Chord	3/4	1	2	3/8	1/4	3/2	176				30				
29	29	171/2	171/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	177				30				
29	29	86	86	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	178								
29	29	84	84	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	179				31				
29	29	171/2	171/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	180				31				
29	29	86	86	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	181								
29	29	84	84	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	182								
30	30	87	87	0.0	0	0	Spanner	3/4	1	1	0											0
30	30	87	87	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	183	<		articStaccatoBelow	32				0
30	30	89	89	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	184			articStaccatoBelow					0
30	30	87	87	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	185								
31	31	90	90	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	186	>			33				0
31	31	92	92	0.0	1/2	1/2	Spanner	3/4	1	1	0							33				
31	31	92	92	0.0	1/2	1/2	Spanner	3/4	1	1	0							33	0			
31	31	92	92	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	187				33	0			
31	31	90	90	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	188								
32	32	93	93	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	189					0			
32	32	95	95	0.0	1/2	1/2	Dynamic	3/4	1	1	0					p						
32	32	95	95	0.0	1/2	1/2	Spanner	3/4	1	1	0											
32	32	95	95	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	190	p							
32	32	93	93	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	191								
33	33	96	96	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	192				34				
33	33	195/2	195/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	193				34				
33	33	98	98	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	194								
33	33	96	96	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	195	<							
33	33	96	96	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	196				35				
33	33	96	96	1.5	0	0	Chord	3/4	2	2	3/8	1/4	3/2	197								
33	33	195/2	195/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8	1/8	1	198								
33	33	98	98	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	199								
34	34	99	99	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	200				36				
34	34	201/2	201/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	201				36				
34	34	101	101	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	202								
34	34	99	99	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	203								
34	34	99	99	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	204				37				
34	34	201/2	201/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	205				37				
34	34	101	101	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	206								
34	34	99	99	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	207								
35	35	102	102	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	208				38				
35	35	102	102	0.0	0	0	Dynamic	3/4	1	2	0					sf						
35	35	102	102	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	209								
35	35	102	102	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	210				39				
35	35	102	102	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	211								
36	36	105	105	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	212				38				
36	36	106	106	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	213				38				
36	36	213/2	213/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	214				38				
36	36	107	107	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	215				38				
