mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	crescendo_line	crescendo_hairpin	diminuendo_line	decrescendo_hairpin	Trill:trill
31	30	119/2	119/2	1.0		1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	252									
32	31	121/2	121/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	253									
32	31	121/2	121/2	0.5		0	0	Chord	2/4	1	2	1/8		1/8	1	254				35					
32	31	61	61	0.5		1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	255									
32	31	62	62	0.0		3/8	3/8	Dynamic	2/4	1	2	0						sf							
32	31	62	62	0.5		3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	256			articStaccatoBelow						
32	31	121/2	121/2	0.16666666666666666		0	0	Chord	2/4	2	1	1/24		1/16	2/3	257									
32	31	182/3	182/3	0.16666666666666666		1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	258									
32	31	365/6	365/6	0.16666666666666666		1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	259									
32	31	61	61	0.16666666666666666		1/8	1/8	Chord	2/4	2	1	1/24		1/16	2/3	260									
32	31	367/6	367/6	0.16666666666666666		1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	261									
32	31	184/3	184/3	0.16666666666666666		5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	262									
32	31	123/2	123/2	0.16666666666666666		1/4	1/4	Chord	2/4	2	1	1/24		1/16	2/3	263									
32	31	185/3	185/3	0.16666666666666666		7/24	7/24	Chord	2/4	2	1	1/24		1/16	2/3	264									
32	31	371/6	371/6	0.16666666666666666		1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	265									
32	31	62	62	0.16666666666666666		3/8	3/8	Chord	2/4	2	1	1/24		1/16	2/3	266									
32	31	373/6	373/6	0.16666666666666666		5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	267									
32	31	187/3	187/3	0.16666666666666666		11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	268									
32	31	121/2	121/2	1.0		0	0	Chord	2/4	2	2	1/4		1/4	1	269									
32	31	123/2	123/2	1.0		1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	270									
33	32	64	64	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	271			articStaccatoAbove						
33	32	125/2	125/2	0.25		0	0	Chord	2/4	1	2	1/16		1/16	1	272				36					
33	32	251/4	251/4	0.25		1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	273				36					
33	32	63	63	0.25		1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	274				36					
33	32	253/4	253/4	0.25		3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	275									
33	32	64	64	0.0		3/8	3/8	Dynamic	2/4	1	2	0						sf							
33	32	64	64	0.5		3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	276									
33	32	125/2	125/2	0.16666666666666666		0	0	Chord	2/4	2	1	1/24		1/16	2/3	277									
33	32	188/3	188/3	0.16666666666666666		1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	278									
33	32	377/6	377/6	0.16666666666666666		1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	279									
33	32	63	63	0.16666666666666666		1/8	1/8	Chord	2/4	2	1	1/24		1/16	2/3	280									
33	32	379/6	379/6	0.16666666666666666		1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	281									
33	32	190/3	190/3	0.16666666666666666		5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	282									
33	32	127/2	127/2	0.16666666666666666		1/4	1/4	Chord	2/4	2	1	1/24		1/16	2/3	283									
33	32	191/3	191/3	0.16666666666666666		7/24	7/24	Chord	2/4	2	1	1/24		1/16	2/3	284									
33	32	383/6	383/6	0.16666666666666666		1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	285									
33	32	64	64	0.16666666666666666		3/8	3/8	Chord	2/4	2	1	1/24		1/16	2/3	286									
33	32	385/6	385/6	0.16666666666666666		5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	287									
33	32	193/3	193/3	0.16666666666666666		11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	288									
33	32	125/2	125/2	1.0		0	0	Chord	2/4	2	2	1/4		1/4	1	289									
33	32	127/2	127/2	1.0		1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	290									
34	33	129/2	129/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	291									
34	33	129/2	129/2	0.25		0	0	Chord	2/4	1	2	1/16		1/16	1	292				37					
34	33	259/4	259/4	0.25		1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	293				37					
34	33	65	65	0.25		1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	294				37					
34	33	261/4	261/4	0.25		3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	295									
34	33	66	66	0.0		3/8	3/8	Dynamic	2/4	1	2	0						sf							
34	33	66	66	0.5		3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	296			articStaccatoBelow						
34	33	129/2	129/2	0.16666666666666666		0	0	Chord	2/4	2	1	1/24		1/16	2/3	297									
34	33	194/3	194/3	0.16666666666666666		1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	298									
34	33	389/6	389/6	0.16666666666666666		1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	299									
34	33	65	65	0.16666666666666666		1/8	1/8	Chord	2/4	2	1	1/24		1/16	2/3	300									
34	33	391/6	391/6	0.16666666666666666		1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	301									
34	33	196/3	196/3	0.16666666666666666		5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	302									
34	33	131/2	131/2	0.16666666666666666		1/4	1/4	Chord	2/4	2	1	1/24		1/16	2/3	303									
34	33	197/3	197/3	0.16666666666666666		7/24	7/24	Chord	2/4	2	1	1/24		1/16	2/3	304									
34	33	395/6	395/6	0.16666666666666666		1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	305									
34	33	66	66	0.16666666666666666		3/8	3/8	Chord	2/4	2	1	1/24		1/16	2/3	306									
34	33	397/6	397/6	0.16666666666666666		5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	307									
34	33	199/3	199/3	0.16666666666666666		11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	308									
34	33	129/2	129/2	1.0		0	0	Chord	2/4	2	2	1/4		1/4	1	309									
34	33	131/2	131/2	1.0		1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	310									
35	34	133/2	133/2	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	311				38					
35	34	267/4	267/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	312				38					
35	34	67	67	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	313				38					
35	34	269/4	269/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	314									
35	34	68	68	0.0		3/8	3/8	Dynamic	2/4	1	1	0						sf							
35	34	68	68	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	315			articStaccatoAbove						
35	34	133/2	133/2	0.16666666666666666		0	0	Chord	2/4	2	1	1/24		1/16	2/3	316									
35	34	200/3	200/3	0.16666666666666666		1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	317									
35	34	401/6	401/6	0.16666666666666666		1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	318									
35	34	67	67	0.16666666666666666		1/8	1/8	Chord	2/4	2	1	1/24		1/16	2/3	319									
35	34	403/6	403/6	0.16666666666666666		1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	320									
35	34	202/3	202/3	0.16666666666666666		5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	321									
35	34	135/2	135/2	0.16666666666666666		1/4	1/4	Chord	2/4	2	1	1/24		1/16	2/3	322									
35	34	203/3	203/3	0.16666666666666666		7/24	7/24	Chord	2/4	2	1	1/24		1/16	2/3	323									
35	34	407/6	407/6	0.16666666666666666		1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	324									
35	34	68	68	0.16666666666666666		3/8	3/8	Chord	2/4	2	1	1/24		1/16	2/3	325									
35	34	409/6	409/6	0.16666666666666666		5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	326									
35	34	205/3	205/3	0.16666666666666666		11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	327									
35	34	133/2	133/2	1.0		0	0	Chord	2/4	2	2	1/4		1/4	1	328									
35	34	135/2	135/2	1.0		1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	329									
36	35	137/2	137/2	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	330				39					
36	35	275/4	275/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	331				39					
36	35	69	69	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	332				39					
36	35	277/4	277/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	333									
36	35	70	70	0.0		3/8	3/8	Dynamic	2/4	1	1	0						sf							
36	35	70	70	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	334			articStaccatoAbove						
36	35	137/2	137/2	0.16666666666666666		0	0	Chord	2/4	2	1	1/24		1/16	2/3	335									
36	35	206/3	206/3	0.16666666666666666		1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	336									
36	35	413/6	413/6	0.16666666666666666		1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	337									
36	35	69	69	0.16666666666666666		1/8	1/8	Chord	2/4	2	1	1/24		1/16	2/3	338									
36	35	415/6	415/6	0.16666666666666666		1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	339									
36	35	208/3	208/3	0.16666666666666666		5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	340									
36	35	139/2	139/2	0.16666666666666666		1/4	1/4	Chord	2/4	2	1	1/24		1/16	2/3	341									
36	35	209/3	209/3	0.16666666666666666		7/24	7/24	Chord	2/4	2	1	1/24		1/16	2/3	342									
36	35	419/6	419/6	0.16666666666666666		1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	343									
36	35	70	70	0.16666666666666666		3/8	3/8	Chord	2/4	2	1	1/24		1/16	2/3	344									
36	35	421/6	421/6	0.16666666666666666		5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	345									
36	35	211/3	211/3	0.16666666666666666		11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	346									
36	35	137/2	137/2	1.0		0	0	Chord	2/4	2	2	1/4		1/4	1	347									
36	35	139/2	139/2	1.0		1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	348									
37	36	141/2	141/2	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	349				40					
37	36	283/4	283/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	350				40					
37	36	71	71	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	351				40					
37	36	285/4	285/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	352				40					
37	36	143/2	143/2	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	353				40					
37	36	287/4	287/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	354				40					
37	36	72	72	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	355				40					
37	36	289/4	289/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	356				40					
37	36	141/2	141/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	357									
38	37	145/2	145/2	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	358				40					
38	37	291/4	291/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	359				40					
38	37	73	73	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	360				40					
38	37	293/4	293/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	361				40					
38	37	147/2	147/2	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	362				40					
38	37	295/4	295/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	363				40					
38	37	74	74	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	364				40					
38	37	297/4	297/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	365									
39	38	149/2	149/2	0.0		0	0	Spanner	2/4	1	1	0												3	
39	38	149/2	149/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	366				41				3	
39	38	75	75	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	367								3	
39	38	151/2	151/2	0.0		1/4	1/4	Spanner	2/4	1	1	0													
39	38	151/2	151/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	368			articStaccatoAbove						
39	38	76	76	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	369			ornamentTurn						
39	38	149/2	149/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	370									
39	38	151/2	151/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	371									
39	38	76	76	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	372									
39	38	149/2	149/2	0.5		0	0	Chord	2/4	2	2	1/8		1/8	1	373				42					
39	38	75	75	0.5		1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	374									
39	38	151/2	151/2	0.5		1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	375			articStaccatoBelow						
39	38	76	76	0.5		3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	376			articStaccatoBelow						
40	39	153/2	153/2	0.0		0	0	Spanner	2/4	1	1	0												4	
40	39	153/2	153/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	377				43				4	
40	39	77	77	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	378								4	
40	39	155/2	155/2	0.0		1/4	1/4	Spanner	2/4	1	1	0													
40	39	155/2	155/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	379			articStaccatoAbove						
40	39	78	78	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	380			ornamentTurn						
40	39	153/2	153/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	381									
40	39	155/2	155/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	382									
40	39	78	78	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	383									
40	39	153/2	153/2	0.5		0	0	Chord	2/4	2	2	1/8		1/8	1	384				44					
40	39	77	77	0.5		1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	385									
40	39	155/2	155/2	0.5		1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	386			articStaccatoBelow						
40	39	78	78	0.5		3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	387			articStaccatoBelow						
41	40	157/2	157/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	388			articStaccatoAbove						
41	40	159/2	159/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	389			articStaccatoAbove						
41	40	157/2	157/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	390			articStaccatoAbove						
41	40	159/2	159/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	391			articStaccatoAbove						
42	41	161/2	161/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	392			articStaccatoAbove						
42	41	657/8	657/8	0.125		13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	393				45					
42	41	329/4	329/4	0.125		7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	394				45					
42	41	659/8	659/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	395				45					
42	41	161/2	161/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	396			articStaccatoAbove						
42	41	82	82	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	397				46					
43	42	165/2	165/2	0.0		0	0	Dynamic	2/4	1	1	0						ff		45					
43	42	661/8	661/8	0.125		1/32	1/32	Chord	2/4	1	1	1/32		1/32	1	398				45					
43	42	331/4	331/4	0.125		1/16	1/16	Chord	2/4	1	1	1/32		1/32	1	399				45					
43	42	663/8	663/8	0.125		3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	400				45					
43	42	665/8	665/8	0.125		5/32	5/32	Chord	2/4	1	1	1/32		1/32	1	401				45					
43	42	333/4	333/4	0.125		3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	402				45					
43	42	667/8	667/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	403				45					
43	42	669/8	669/8	0.125		9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	404				45					
43	42	335/4	335/4	0.125		5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	405				45					
43	42	671/8	671/8	0.125		11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	406				45					
43	42	673/8	673/8	0.125		13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	407				45					
43	42	337/4	337/4	0.125		7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	408				45					
43	42	675/8	675/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	409									
43	42	165/2	165/2	0.0		0	0	Dynamic	2/4	2	1	0						sf		46					
43	42	165/2	165/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	410				46					
43	42	83	83	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	411									
43	42	167/2	167/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	412			articStaccatoBelow						
43	42	84	84	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	413			articStaccatoBelow						
44	43	677/8	677/8	0.125		1/32	1/32	Chord	2/4	1	1	1/32		1/32	1	414				47					
44	43	339/4	339/4	0.125		1/16	1/16	Chord	2/4	1	1	1/32		1/32	1	415				47					
44	43	679/8	679/8	0.125		3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	416				47					
44	43	681/8	681/8	0.125		5/32	5/32	Chord	2/4	1	1	1/32		1/32	1	417				47					
44	43	341/4	341/4	0.125		3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	418				47					
44	43	683/8	683/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	419				47					
44	43	685/8	685/8	0.125		9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	420				47					
44	43	343/4	343/4	0.125		5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	421				47					
44	43	687/8	687/8	0.125		11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	422				47					
44	43	689/8	689/8	0.125		13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	423				47					
44	43	345/4	345/4	0.125		7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	424				47					
44	43	691/8	691/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	425									
44	43	169/2	169/2	0.0		0	0	Dynamic	2/4	2	1	0						sf							
44	43	169/2	169/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	426				48					
44	43	85	85	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	427									
44	43	171/2	171/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	428			articStaccatoBelow						
44	43	86	86	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	429			articStaccatoBelow						
45	44	173/2	173/2	0.0		0	0	Dynamic	2/4	1	1	0						f							
45	44	173/2	173/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	430			articStaccatoAbove						
45	44	175/2	175/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	431			articStaccatoBelow						
45	44	173/2	173/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	432			articStaccatoAbove						
45	44	175/2	175/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	433			articStaccatoAbove						
46	45	177/2	177/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	434			articStaccatoBelow						
46	45	177/2	177/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	435			articStaccatoAbove						
47	46	181/2	181/2	0.0		0	0	Dynamic	2/4	1	1	0						pp							
47	46	181/2	181/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	436			articStaccatoBelow						
47	46	181/2	181/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	437			articStaccatoAbove						
48	47	371/4	371/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	438									
48	47	373/4	373/4	0.0		3/16	3/16	Spanner	2/4	1	1	0									0				
48	47	373/4	373/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	439					0				
48	47	187/2	187/2	0.0		1/4	1/4	Spanner	2/4	1	1	0													
48	47	375/4	375/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	440									
48	47	377/4	377/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	441									
48	47	185/2	185/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	442			articStaccatoBelow						
48	47	93	93	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	443			articStaccatoBelow						
48	47	187/2	187/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	444			articStaccatoBelow						
48	47	94	94	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	445			articStaccatoBelow						
49	48	379/4	379/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	446									
49	48	381/4	381/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	447									
49	48	383/4	383/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	448									
49	48	385/4	385/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	449									
49	48	189/2	189/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	450			articStaccatoBelow						
49	48	95	95	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	451			articStaccatoBelow						
49	48	191/2	191/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	452			articStaccatoBelow						
49	48	96	96	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	453			articStaccatoBelow						
50	49	387/4	387/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	454									
50	49	389/4	389/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	455									
50	49	391/4	391/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	456									
50	49	393/4	393/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	457									
50	49	193/2	193/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	458			articStaccatoBelow						
50	49	97	97	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	459			articStaccatoBelow						
50	49	195/2	195/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	460			articStaccatoBelow						
50	49	98	98	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	461			articStaccatoBelow						
51	50	395/4	395/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	462									
51	50	397/4	397/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	463									
51	50	399/4	399/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	464									
51	50	401/4	401/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	465									
51	50	197/2	197/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	466			articStaccatoBelow						
51	50	99	99	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	467			articStaccatoBelow						
51	50	199/2	199/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	468			articStaccatoBelow						
51	50	100	100	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	469			articStaccatoBelow						
52	51	201/2	201/2	0.0		0	0	Dynamic	2/4	1	1	0						f							
52	51	101	101	0.16666666666666666		1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	470				49					
52	51	607/6	607/6	0.16666666666666666		1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	471				49					
52	51	304/3	304/3	0.16666666666666666		5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	472									
52	51	203/2	203/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	473			articStaccatoAbove						
52	51	102	102	0.16666666666666666		3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	474				50					
52	51	613/6	613/6	0.16666666666666666		5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	475				50					
52	51	307/3	307/3	0.16666666666666666		11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	476									
52	51	201/2	201/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	477									
52	51	203/2	203/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	478									
53	52	205/2	205/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	479			articStaccatoAbove						
53	52	103	103	0.16666666666666666		1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	480				51					
53	52	619/6	619/6	0.16666666666666666		1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	481				51					
53	52	310/3	310/3	0.16666666666666666		5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	482									
53	52	207/2	207/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	483			articStaccatoAbove						
53	52	104	104	0.16666666666666666		3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	484				52					
53	52	625/6	625/6	0.16666666666666666		5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	485				52					
53	52	313/3	313/3	0.16666666666666666		11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	486									
54	53	209/2	209/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	487			articStaccatoAbove						
54	53	105	105	0.0		1/8	1/8	Dynamic	2/4	1	1	0						sf							
54	53	105	105	1.0		1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	488				53					
54	53	106	106	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	489				53					
54	53	425/4	425/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	490									
54	53	105	105	1.0		1/8	1/8	Chord	2/4	2	1	1/4		1/4	1	491				54					
54	53	106	106	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	492				54					
54	53	425/4	425/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	493									
55	54	213/2	213/2	0.0		0	0	Dynamic	2/4	1	1	0						f							
55	54	213/2	213/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	494				55					
55	54	215/2	215/2	0.16666666666666666		1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	495				55					
55	54	323/3	323/3	0.16666666666666666		7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	496				55					
55	54	647/6	647/6	0.16666666666666666		1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	497				55					
55	54	108	108	0.16666666666666666		3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	498				55					
55	54	649/6	649/6	0.16666666666666666		5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	499				55					
55	54	325/3	325/3	0.16666666666666666		11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	500									
55	54	213/2	213/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	501									
