mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	diminuendo_line	crescendo_line
47	46	68	68	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	254			articStaccatoAbove			
47	46	69	69	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	255				27		
47	46	277/4	277/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	256				27		
47	46	68	68	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	257			articStaccatoAbove			
47	46	68	68	0.5	0	0	Chord	3/8	2	2	1/8		1/8	1	258						
48	47	139/2	139/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	259			articStaccatoAbove			
48	47	70	70	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	260				28		
48	47	281/4	281/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	261				28		
48	47	141/2	141/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	262			articStaccatoAbove			
49	48	71	71	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	263				29		
49	48	285/4	285/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	264				29		
49	48	143/2	143/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	265			articStaccatoAbove			
49	48	72	72	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	266			articStaccatoAbove			
50	49	145/2	145/2	0.0	0	0	Dynamic	3/8	1	1	0						sf				
50	49	145/2	145/2	0.0	0	0	Chord	3/8	1	1	0	acciaccatura	1/8	1	267						
50	49	145/2	145/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	268				30		
50	49	147/2	147/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	269				30		
50	49	295/4	295/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	270				30		
50	49	145/2	145/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	271				31		
50	49	147/2	147/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	272				31		
50	49	295/4	295/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	273				31		
50	49	145/2	145/2	1.5	0	0	Chord	3/8	2	2	3/8		1/4	3/2	274						
51	50	74	74	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	275						
51	50	75	75	0.0	1/4	1/4	Dynamic	3/8	1	1	0						p				
51	50	75	75	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	276	p			32		
51	50	451/6	451/6	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	277				32		
51	50	226/3	226/3	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	278				32		
51	50	74	74	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	279						
51	50	74	74	0.5	0	0	Chord	3/8	2	2	1/8		1/8	1	280						
52	51	151/2	151/2	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	281				32		
52	51	227/3	227/3	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	282				32		
52	51	455/6	455/6	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	283				32		
52	51	76	76	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	284			articStaccatoBelow			
52	51	153/2	153/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	285			articStaccatoAbove			
53	52	155/2	155/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	286			articStaccatoAbove			
53	52	78	78	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	287				33		
53	52	469/6	469/6	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	288				33		
53	52	235/3	235/3	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	289				33		
53	52	77	77	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	290			articStaccatoBelow			
54	53	157/2	157/2	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	291				33		
54	53	236/3	236/3	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	292				33		
54	53	473/6	473/6	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	293				33		
54	53	79	79	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	294			articStaccatoBelow			
54	53	159/2	159/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	295			articStaccatoAbove			
55	54	161/2	161/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	296			articStaccatoAbove			
55	54	81	81	0.0	1/4	1/4	Spanner	3/8	1	1	0										1
55	54	81	81	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	297	<			34		1
55	54	487/6	487/6	0.0	7/24	7/24	Spanner	3/8	1	1	0								34		
55	54	487/6	487/6	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	298				34		
55	54	244/3	244/3	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	299				34		
55	54	80	80	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	300			articStaccatoBelow			
56	55	163/2	163/2	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	301				34		
56	55	245/3	245/3	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	302				34		
56	55	491/6	491/6	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	303				34		
56	55	82	82	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	304				34		
56	55	493/6	493/6	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	305				34		
56	55	247/3	247/3	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	306				34		
56	55	165/2	165/2	0.125	1/4	1/4	Chord	3/8	1	1	1/32		1/32	1	307				34		
56	55	661/8	661/8	0.125	9/32	9/32	Chord	3/8	1	1	1/32		1/32	1	308				34		
56	55	331/4	331/4	0.125	5/16	5/16	Chord	3/8	1	1	1/32		1/32	1	309				34		
56	55	663/8	663/8	0.125	11/32	11/32	Chord	3/8	1	1	1/32		1/32	1	310				34		
57	56	83	83	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	311			articStaccatoAbove			
57	56	167/2	167/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	312			articStaccatoAbove			
57	56	84	84	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	313			articStaccatoAbove			
57	56	84	84	0.125	1/4	1/4	Chord	3/8	2	1	1/32		1/32	1	314				35		
57	56	673/8	673/8	0.125	9/32	9/32	Chord	3/8	2	1	1/32		1/32	1	315				35		
57	56	337/4	337/4	0.125	5/16	5/16	Chord	3/8	2	1	1/32		1/32	1	316				35		
57	56	675/8	675/8	0.125	11/32	11/32	Chord	3/8	2	1	1/32		1/32	1	317				35		
58	57	169/2	169/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	318			articStaccatoAbove			
58	57	85	85	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	319			articStaccatoAbove			
58	57	171/2	171/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	320			articStaccatoAbove			
58	57	169/2	169/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	321				35		
58	57	254/3	254/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	322				35		
58	57	509/6	509/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	323				35		
58	57	85	85	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	324				35		
58	57	511/6	511/6	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	325				35		
58	57	256/3	256/3	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	326				35		
58	57	171/2	171/2	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	327				35		
58	57	257/3	257/3	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	328				35		
58	57	515/6	515/6	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	329				35		
59	58	86	86	0.0	0	0	Dynamic	3/8	1	1	0						sf				
59	58	86	86	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	330						
59	58	87	87	0.0	1/4	1/4	Dynamic	3/8	1	1	0						p				
59	58	87	87	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	331	p			36		
59	58	349/4	349/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	332				36		
59	58	86	86	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	333						
60	59	175/2	175/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	334			articStaccatoAbove			
60	59	88	88	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	335				37		
60	59	353/4	353/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	336				37		
60	59	177/2	177/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	337			articStaccatoAbove			
61	60	89	89	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	338				38		
61	60	357/4	357/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	339				38		
61	60	179/2	179/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	340			articStaccatoAbove			
61	60	90	90	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	341			articStaccatoAbove			
62	61	181/2	181/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	342				39		
62	61	183/2	183/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	343				39		
62	61	367/4	367/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	344				39		
62	61	181/2	181/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	345				40		
62	61	183/2	183/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	346				40		
62	61	367/4	367/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	347				40		
62	61	181/2	181/2	1.5	0	0	Chord	3/8	2	2	3/8		1/4	3/2	348						
63	62	92	92	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	349			articStaccatoAbove			
63	62	93	93	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	350				41		
63	62	373/4	373/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	351				41		
63	62	93	93	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	352						
63	62	92	92	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	353			articStaccatoAbove			
63	62	93	93	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	354						
63	62	92	92	0.5	0	0	Chord	3/8	2	2	1/8		1/8	1	355						
64	63	187/2	187/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	356						
64	63	189/2	189/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	357				42		
64	63	379/4	379/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	358				42		
64	63	187/2	187/2	0.5	0	0	Chord	3/8	1	2	1/8		1/8	1	359						
64	63	189/2	189/2	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	360						
64	63	187/2	187/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	361						
64	63	189/2	189/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	362						
65	64	95	95	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	363						
65	64	95	95	0.5	0	0	Chord	3/8	1	2	1/8		1/8	1	364						
65	64	95	95	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	365						
65	64	96	96	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	366				43		
65	64	577/6	577/6	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	367				43		
65	64	289/3	289/3	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	368				43		
66	65	195/2	195/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	369			articStaccatoBelow			
66	65	193/2	193/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	370				43		
66	65	290/3	290/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	371				43		
66	65	581/6	581/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	372				43		
66	65	97	97	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	373			articStaccatoBelow			
67	66	98	98	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	374			articStaccatoAbove			
67	66	197/2	197/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	375			articStaccatoAbove			
67	66	99	99	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	376				44		
67	66	595/6	595/6	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	377				44		
67	66	298/3	298/3	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	378				44		
68	67	201/2	201/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	379			articStaccatoBelow			
68	67	199/2	199/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	380				44		
68	67	299/3	299/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	381				44		
68	67	599/6	599/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	382				44		
68	67	100	100	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	383			articStaccatoBelow			
69	68	101	101	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	384			articStaccatoAbove			
69	68	203/2	203/2	0.0	1/8	1/8	Dynamic	3/8	2	1	0						sf				
69	68	203/2	203/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	385			articStaccatoAbove			
69	68	102	102	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	386				45		
69	68	613/6	613/6	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	387				45		
69	68	307/3	307/3	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	388				45		
70	69	103	103	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	389				46		
70	69	619/6	619/6	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	390				46		
70	69	310/3	310/3	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	391				46		
70	69	207/2	207/2	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	392				46		
70	69	311/3	311/3	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	393				46		
70	69	623/6	623/6	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	394				46		
70	69	205/2	205/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	395				45		
70	69	308/3	308/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	396				45		
70	69	617/6	617/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	397				45		
70	69	103	103	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	398			articStaccatoBelow			
71	70	104	104	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	399			articStaccatoBelow			
71	70	105	105	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	400				47		
71	70	631/6	631/6	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	401				47		
71	70	316/3	316/3	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	402				47		
71	70	104	104	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	403				48		
71	70	625/6	625/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	404				48		
71	70	313/3	313/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	405				48		
71	70	209/2	209/2	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	406				48		
71	70	314/3	314/3	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	407				48		
71	70	629/6	629/6	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	408				48		
71	70	105	105	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	409			articStaccatoAbove			
72	71	211/2	211/2	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	410				47		
72	71	317/3	317/3	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	411				47		
72	71	635/6	635/6	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	412						
72	71	106	106	1.0	1/8	1/8	Chord	3/8	1	1	1/4		1/4	1	413				49		
73	72	107	107	0.0	0	0	Spanner	3/8	1	1	0								49	0	
73	72	107	107	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	414	>			49	0	
74	73	217/2	217/2	0.0	0	0	Dynamic	3/8	1	1	0						p				
74	73	217/2	217/2	0.0	0	0	Spanner	3/8	1	1	0										
74	73	217/2	217/2	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	415	p					
74	73	217/2	217/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	416				50		
74	73	435/4	435/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	417				50		
74	73	109	109	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	418				50		
74	73	437/4	437/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	419				50		
74	73	219/2	219/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	420				50		
74	73	439/4	439/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	421						
75	74	110	110	0.0	0	0	Dynamic	3/8	1	1	0						other-dynamics				
75	74	110	110	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	422				51		
75	74	111	111	0.125	1/4	1/4	Chord	3/8	1	1	1/32		1/32	1	423				51		
75	74	889/8	889/8	0.125	9/32	9/32	Chord	3/8	1	1	1/32		1/32	1	424				51		
75	74	445/4	445/4	0.125	5/16	5/16	Chord	3/8	1	1	1/32		1/32	1	425				51		
75	74	891/8	891/8	0.125	11/32	11/32	Chord	3/8	1	1	1/32		1/32	1	426						
75	74	110	110	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	427				52		
75	74	441/4	441/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	428				52		
75	74	221/2	221/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	429				52		
75	74	443/4	443/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	430				52		
75	74	111	111	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	431				52		
75	74	445/4	445/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	432						
76	75	223/2	223/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	433				53		
76	75	112	112	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	434						
76	75	225/2	225/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	435			articStaccatoAbove			
76	75	223/2	223/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	436				54		
76	75	447/4	447/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	437				54		
76	75	112	112	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	438				54		
76	75	449/4	449/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	439				54		
76	75	225/2	225/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	440				54		
76	75	451/4	451/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	441						
77	76	113	113	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	442				55		
77	76	114	114	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	443						
77	76	113	113	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	444				56		
77	76	453/4	453/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	445				56		
77	76	227/2	227/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	446				56		
77	76	455/4	455/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	447				56		
77	76	114	114	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	448				56		
77	76	457/4	457/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	449						
78	77	229/2	229/2	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	450						
78	77	229/2	229/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	451				57		
78	77	459/4	459/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	452				57		
78	77	115	115	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	453				57		
78	77	461/4	461/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	454				57		
78	77	231/2	231/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	455						
78	77	463/4	463/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	456						
78	77	229/2	229/2	1.0	0	0	Chord	3/8	2	2	1/4		1/4	1	457						
78	77	231/2	231/2	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	458						
79	78	116	116	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	459						
79	78	233/2	233/2	0.0	1/8	1/8	Chord	3/8	1	1	0	acciaccatura	1/8	1	460						
79	78	233/2	233/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	461				58		
79	78	467/4	467/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	462				58		
79	78	117	117	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	463				58		
79	78	469/4	469/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	464						
79	78	116	116	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	465						
79	78	465/4	465/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	466						
79	78	233/2	233/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	467						
79	78	467/4	467/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	468						
79	78	117	117	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	469						
79	78	469/4	469/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	470						
79	78	116	116	1.0	0	0	Chord	3/8	2	2	1/4		1/4	1	471						
79	78	117	117	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	472						
80	79	235/2	235/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	473				59		
80	79	118	118	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	474						
80	79	237/2	237/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	475			articStaccatoAbove			
80	79	235/2	235/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	476				60		
80	79	471/4	471/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	477				60		
80	79	118	118	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	478				60		
80	79	473/4	473/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	479				60		
80	79	237/2	237/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	480						
80	79	475/4	475/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	481						
80	79	235/2	235/2	1.0	0	0	Chord	3/8	2	2	1/4		1/4	1	482						
80	79	237/2	237/2	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	483						
81	80	119	119	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	484						
81	80	119	119	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	485				61		
81	80	477/4	477/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	486				61		
81	80	239/2	239/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	487				61		
81	80	479/4	479/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	488				61		
81	80	120	120	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	489				61		
81	80	481/4	481/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	490						
82	81	241/2	241/2	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	491						
82	81	241/2	241/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	492				62		
82	81	483/4	483/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	493				62		
82	81	121	121	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	494				62		
82	81	485/4	485/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	495				62		
82	81	243/2	243/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	496				62		
82	81	487/4	487/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	497						
83	82	122	122	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	498				63		
83	82	123	123	0.125	1/4	1/4	Chord	3/8	1	1	1/32		1/32	1	499				63		
83	82	985/8	985/8	0.125	9/32	9/32	Chord	3/8	1	1	1/32		1/32	1	500				63		
83	82	493/4	493/4	0.125	5/16	5/16	Chord	3/8	1	1	1/32		1/32	1	501				63		
83	82	987/8	987/8	0.125	11/32	11/32	Chord	3/8	1	1	1/32		1/32	1	502						
83	82	122	122	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	503				64		
83	82	489/4	489/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	504				64		
83	82	245/2	245/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	505				64		
83	82	491/4	491/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	506				64		
83	82	123	123	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	507				64		
83	82	493/4	493/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	508						
84	83	247/2	247/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	509				65		
84	83	124	124	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	510						
84	83	249/2	249/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	511						
84	83	247/2	247/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	512				66		
84	83	495/4	495/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	513				66		
84	83	124	124	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	514				66		
84	83	497/4	497/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	515				66		
