mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	Trill:trill	Ottava:8va	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
78	77	460	460	0.0	3/8	3/8	Spanner	12/8	2	1	0													149	
78	77	460	460	0.0	3/8	3/8	Spanner	12/8	2	1	0													149	
78	77	460	460	3.0	3/8	3/8	Chord	12/8	2	1	3/4		1/2	3/2	1153									149	
78	77	463	463	0.0	9/8	9/8	Spanner	12/8	2	1	0														
78	77	463	463	0.0	9/8	9/8	Spanner	12/8	2	1	0													150	
78	77	463	463	1.5	9/8	9/8	Chord	12/8	2	1	3/8		1/4	3/2	1154									150	
79	78	929/2	929/2	0.0	0	0	Dynamic	12/8	1	1	0					p									
79	78	929/2	929/2	0.0	0	0	Spanner	12/8	1	1	0														
79	78	929/2	929/2	3.0	0	0	Chord	12/8	1	1	3/4		1/2	3/2	1155										
79	78	935/2	935/2	1.0	3/4	3/4	Chord	12/8	1	1	1/4		1/4	1	1156										
79	78	929/2	929/2	0.0	0	0	Spanner	12/8	2	1	0														
79	78	929/2	929/2	0.0	0	0	Spanner	12/8	2	1	0													151	
79	78	929/2	929/2	3.0	0	0	Chord	12/8	2	1	3/4		1/2	3/2	1157									151	
79	78	935/2	935/2	0.0	3/4	3/4	Spanner	12/8	2	1	0														
79	78	935/2	935/2	0.0	3/4	3/4	Spanner	12/8	2	1	0													152	
79	78	935/2	935/2	1.0	3/4	3/4	Chord	12/8	2	1	1/4		1/4	1	1158									152	
79	78	469	469	0.0	9/8	9/8	Dynamic	12/8	2	1	0					f									
79	78	469	469	0.0	9/8	9/8	Spanner	12/8	2	1	0														
79	78	469	469	0.0	9/8	9/8	Spanner	12/8	2	1	0													153	
79	78	469	469	1.0	9/8	9/8	Chord	12/8	2	1	1/4		1/4	1	1159									153	
79	78	470	470	0.25	11/8	11/8	Chord	12/8	2	1	1/16		1/16	1	1160									153	
79	78	1881/4	1881/4	0.25	23/16	23/16	Chord	12/8	2	1	1/16		1/16	1	1161									153	
80	79	941/2	941/2	0.25	0	0	Chord	12/8	1	1	1/16		1/16	1	1162										
80	79	1883/4	1883/4	0.25	1/16	1/16	Chord	12/8	1	1	1/16		1/16	1	1163										
80	79	471	471	0.25	1/8	1/8	Chord	12/8	1	1	1/16		1/16	1	1164										
80	79	1885/4	1885/4	0.25	3/16	3/16	Chord	12/8	1	1	1/16		1/16	1	1165										
80	79	943/2	943/2	0.25	1/4	1/4	Chord	12/8	1	1	1/16		1/16	1	1166										
80	79	1887/4	1887/4	0.25	5/16	5/16	Chord	12/8	1	1	1/16		1/16	1	1167										
80	79	472	472	0.25	3/8	3/8	Chord	12/8	1	1	1/16		1/16	1	1168										
80	79	1889/4	1889/4	0.25	7/16	7/16	Chord	12/8	1	1	1/16		1/16	1	1169										
80	79	945/2	945/2	0.25	1/2	1/2	Chord	12/8	1	1	1/16		1/16	1	1170										
80	79	1891/4	1891/4	0.25	9/16	9/16	Chord	12/8	1	1	1/16		1/16	1	1171										
80	79	473	473	0.25	5/8	5/8	Chord	12/8	1	1	1/16		1/16	1	1172										
80	79	1893/4	1893/4	0.25	11/16	11/16	Chord	12/8	1	1	1/16		1/16	1	1173										
80	79	947/2	947/2	0.25	3/4	3/4	Chord	12/8	1	1	1/16		1/16	1	1174										
80	79	1895/4	1895/4	0.25	13/16	13/16	Chord	12/8	1	1	1/16		1/16	1	1175										
80	79	474	474	0.25	7/8	7/8	Chord	12/8	1	1	1/16		1/16	1	1176										
80	79	1897/4	1897/4	0.25	15/16	15/16	Chord	12/8	1	1	1/16		1/16	1	1177										
80	79	949/2	949/2	0.25	1	1	Chord	12/8	1	1	1/16		1/16	1	1178										
80	79	1899/4	1899/4	0.25	17/16	17/16	Chord	12/8	1	1	1/16		1/16	1	1179										
80	79	475	475	0.25	9/8	9/8	Chord	12/8	1	1	1/16		1/16	1	1180										
80	79	1901/4	1901/4	0.25	19/16	19/16	Chord	12/8	1	1	1/16		1/16	1	1181										
80	79	951/2	951/2	0.25	5/4	5/4	Chord	12/8	1	1	1/16		1/16	1	1182										
80	79	1903/4	1903/4	0.25	21/16	21/16	Chord	12/8	1	1	1/16		1/16	1	1183										
80	79	476	476	0.25	11/8	11/8	Chord	12/8	1	1	1/16		1/16	1	1184										
80	79	1905/4	1905/4	0.25	23/16	23/16	Chord	12/8	1	1	1/16		1/16	1	1185										
80	79	941/2	941/2	0.0	0	0	Spanner	12/8	2	1	0														
80	79	941/2	941/2	0.0	0	0	Spanner	12/8	2	1	0													154	
80	79	941/2	941/2	3.0	0	0	Chord	12/8	2	1	3/4		1/2	3/2	1186									154	
80	79	947/2	947/2	1.5	3/4	3/4	Chord	12/8	2	1	3/8		1/4	3/2	1187									154	
80	79	475	475	0.0	9/8	9/8	Spanner	12/8	2	1	0														
80	79	475	475	0.0	9/8	9/8	Spanner	12/8	2	1	0													155	
80	79	475	475	1.0	9/8	9/8	Chord	12/8	2	1	1/4		1/4	1	1188									155	
80	79	476	476	0.25	11/8	11/8	Chord	12/8	2	1	1/16		1/16	1	1189									155	
80	79	1905/4	1905/4	0.25	23/16	23/16	Chord	12/8	2	1	1/16		1/16	1	1190									155	
81	80	953/2	953/2	0.25	0	0	Chord	12/8	1	1	1/16		1/16	1	1191										
81	80	1907/4	1907/4	0.25	1/16	1/16	Chord	12/8	1	1	1/16		1/16	1	1192										
81	80	477	477	0.25	1/8	1/8	Chord	12/8	1	1	1/16		1/16	1	1193										
81	80	1909/4	1909/4	0.25	3/16	3/16	Chord	12/8	1	1	1/16		1/16	1	1194										
81	80	955/2	955/2	0.25	1/4	1/4	Chord	12/8	1	1	1/16		1/16	1	1195										
81	80	1911/4	1911/4	0.25	5/16	5/16	Chord	12/8	1	1	1/16		1/16	1	1196										
81	80	478	478	0.25	3/8	3/8	Chord	12/8	1	1	1/16		1/16	1	1197										
81	80	1913/4	1913/4	0.25	7/16	7/16	Chord	12/8	1	1	1/16		1/16	1	1198										
81	80	957/2	957/2	0.25	1/2	1/2	Chord	12/8	1	1	1/16		1/16	1	1199										
81	80	1915/4	1915/4	0.25	9/16	9/16	Chord	12/8	1	1	1/16		1/16	1	1200										
81	80	479	479	0.25	5/8	5/8	Chord	12/8	1	1	1/16		1/16	1	1201										
81	80	1917/4	1917/4	0.25	11/16	11/16	Chord	12/8	1	1	1/16		1/16	1	1202										
81	80	959/2	959/2	0.25	3/4	3/4	Chord	12/8	1	1	1/16		1/16	1	1203										
81	80	1919/4	1919/4	0.25	13/16	13/16	Chord	12/8	1	1	1/16		1/16	1	1204										
81	80	480	480	0.25	7/8	7/8	Chord	12/8	1	1	1/16		1/16	1	1205										
81	80	1921/4	1921/4	0.25	15/16	15/16	Chord	12/8	1	1	1/16		1/16	1	1206										
81	80	961/2	961/2	0.25	1	1	Chord	12/8	1	1	1/16		1/16	1	1207										
81	80	1923/4	1923/4	0.25	17/16	17/16	Chord	12/8	1	1	1/16		1/16	1	1208										
81	80	481	481	0.25	9/8	9/8	Chord	12/8	1	1	1/16		1/16	1	1209										
81	80	1925/4	1925/4	0.25	19/16	19/16	Chord	12/8	1	1	1/16		1/16	1	1210										
81	80	963/2	963/2	0.25	5/4	5/4	Chord	12/8	1	1	1/16		1/16	1	1211										
81	80	1927/4	1927/4	0.25	21/16	21/16	Chord	12/8	1	1	1/16		1/16	1	1212										
81	80	482	482	0.25	11/8	11/8	Chord	12/8	1	1	1/16		1/16	1	1213										
81	80	1929/4	1929/4	0.25	23/16	23/16	Chord	12/8	1	1	1/16		1/16	1	1214										
81	80	953/2	953/2	0.0	0	0	Spanner	12/8	2	1	0														
81	80	953/2	953/2	0.0	0	0	Spanner	12/8	2	1	0													156	
81	80	953/2	953/2	1.5	0	0	Chord	12/8	2	1	3/8		1/4	3/2	1215									156	
81	80	478	478	0.0	3/8	3/8	Spanner	12/8	2	1	0														
81	80	478	478	0.0	3/8	3/8	Spanner	12/8	2	1	0													157	
81	80	478	478	1.0	3/8	3/8	Chord	12/8	2	1	1/4		1/4	1	1216									157	
81	80	479	479	0.25	5/8	5/8	Chord	12/8	2	1	1/16		1/16	1	1217									157	
81	80	1917/4	1917/4	0.25	11/16	11/16	Chord	12/8	2	1	1/16		1/16	1	1218									157	
81	80	959/2	959/2	0.0	3/4	3/4	Spanner	12/8	2	1	0														
81	80	959/2	959/2	0.0	3/4	3/4	Spanner	12/8	2	1	0													158	
81	80	959/2	959/2	1.5	3/4	3/4	Chord	12/8	2	1	3/8		1/4	3/2	1219									158	
81	80	481	481	0.0	9/8	9/8	Spanner	12/8	2	1	0														
81	80	481	481	0.0	9/8	9/8	Spanner	12/8	2	1	0													159	
81	80	481	481	1.5	9/8	9/8	Chord	12/8	2	1	3/8		1/4	3/2	1220									159	
82	81	487	487	1.0	9/8	9/8	Chord	12/8	1	1	1/4		1/4	1	1221										
82	81	488	488	0.25	11/8	11/8	Chord	12/8	1	1	1/16		1/16	1	1222										
82	81	1953/4	1953/4	0.25	23/16	23/16	Chord	12/8	1	1	1/16		1/16	1	1223										
82	81	965/2	965/2	0.0	0	0	Spanner	12/8	2	1	0														
82	81	965/2	965/2	0.0	0	0	Spanner	12/8	2	1	0													160	
82	81	965/2	965/2	0.3	0	0	Chord	12/8	2	1	3/40		1/16	6/5	1224									160	
82	81	2414/5	2414/5	0.3	3/40	3/40	Chord	12/8	2	1	3/40		1/16	6/5	1225									160	
82	81	4831/10	4831/10	0.3	3/20	3/20	Chord	12/8	2	1	3/40		1/16	6/5	1226									160	
82	81	2417/5	2417/5	0.3	9/40	9/40	Chord	12/8	2	1	3/40		1/16	6/5	1227									160	
82	81	4837/10	4837/10	0.3	3/10	3/10	Chord	12/8	2	1	3/40		1/16	6/5	1228									160	
82	81	484	484	0.0	3/8	3/8	Spanner	12/8	2	1	0														
82	81	484	484	0.0	3/8	3/8	Spanner	12/8	2	1	0													161	
82	81	484	484	0.3	3/8	3/8	Chord	12/8	2	1	3/40		1/16	6/5	1229									161	
82	81	4843/10	4843/10	0.3	9/20	9/20	Chord	12/8	2	1	3/40		1/16	6/5	1230									161	
82	81	2423/5	2423/5	0.3	21/40	21/40	Chord	12/8	2	1	3/40		1/16	6/5	1231									161	
82	81	4849/10	4849/10	0.3	3/5	3/5	Chord	12/8	2	1	3/40		1/16	6/5	1232									161	
82	81	2426/5	2426/5	0.3	27/40	27/40	Chord	12/8	2	1	3/40		1/16	6/5	1233									161	
82	81	971/2	971/2	0.0	3/4	3/4	Spanner	12/8	2	1	0														
82	81	971/2	971/2	0.0	3/4	3/4	Spanner	12/8	2	1	0													162	
82	81	971/2	971/2	0.3	3/4	3/4	Chord	12/8	2	1	3/40		1/16	6/5	1234									162	
82	81	2429/5	2429/5	0.3	33/40	33/40	Chord	12/8	2	1	3/40		1/16	6/5	1235									162	
82	81	4861/10	4861/10	0.3	9/10	9/10	Chord	12/8	2	1	3/40		1/16	6/5	1236									162	
82	81	2432/5	2432/5	0.3	39/40	39/40	Chord	12/8	2	1	3/40		1/16	6/5	1237									162	
82	81	4867/10	4867/10	0.3	21/20	21/20	Chord	12/8	2	1	3/40		1/16	6/5	1238									162	
82	81	487	487	0.0	9/8	9/8	Spanner	12/8	2	1	0														
82	81	487	487	0.0	9/8	9/8	Spanner	12/8	2	1	0													163	
82	81	487	487	0.3	9/8	9/8	Chord	12/8	2	1	3/40		1/16	6/5	1239									163	
82	81	4873/10	4873/10	0.3	6/5	6/5	Chord	12/8	2	1	3/40		1/16	6/5	1240									163	
82	81	2438/5	2438/5	0.3	51/40	51/40	Chord	12/8	2	1	3/40		1/16	6/5	1241									163	
82	81	4879/10	4879/10	0.3	27/20	27/20	Chord	12/8	2	1	3/40		1/16	6/5	1242									163	
82	81	2441/5	2441/5	0.3	57/40	57/40	Chord	12/8	2	1	3/40		1/16	6/5	1243									163	
83	82	977/2	977/2	1.5	0	0	Chord	12/8	1	1	3/8		1/4	3/2	1244										
83	82	490	490	1.0	3/8	3/8	Chord	12/8	1	1	1/4		1/4	1	1245										
83	82	491	491	0.25	5/8	5/8	Chord	12/8	1	1	1/16		1/16	1	1246										
83	82	1965/4	1965/4	0.25	11/16	11/16	Chord	12/8	1	1	1/16		1/16	1	1247										
83	82	983/2	983/2	1.5	3/4	3/4	Chord	12/8	1	1	3/8		1/4	3/2	1248										
83	82	493	493	1.5	9/8	9/8	Chord	12/8	1	1	3/8		1/4	3/2	1249										
83	82	977/2	977/2	0.0	0	0	Spanner	12/8	2	1	0														
83	82	977/2	977/2	0.0	0	0	Spanner	12/8	2	1	0													164	
83	82	977/2	977/2	0.3	0	0	Chord	12/8	2	1	3/40		1/16	6/5	1250									164	
83	82	2444/5	2444/5	0.3	3/40	3/40	Chord	12/8	2	1	3/40		1/16	6/5	1251									164	
83	82	4891/10	4891/10	0.3	3/20	3/20	Chord	12/8	2	1	3/40		1/16	6/5	1252									164	
83	82	2447/5	2447/5	0.3	9/40	9/40	Chord	12/8	2	1	3/40		1/16	6/5	1253									164	
83	82	4897/10	4897/10	0.3	3/10	3/10	Chord	12/8	2	1	3/40		1/16	6/5	1254									164	
83	82	490	490	0.0	3/8	3/8	Spanner	12/8	2	1	0														
83	82	490	490	0.0	3/8	3/8	Spanner	12/8	2	1	0													165	
83	82	490	490	0.3	3/8	3/8	Chord	12/8	2	1	3/40		1/16	6/5	1255									165	
83	82	4903/10	4903/10	0.3	9/20	9/20	Chord	12/8	2	1	3/40		1/16	6/5	1256									165	
83	82	2453/5	2453/5	0.3	21/40	21/40	Chord	12/8	2	1	3/40		1/16	6/5	1257									165	
83	82	4909/10	4909/10	0.3	3/5	3/5	Chord	12/8	2	1	3/40		1/16	6/5	1258									165	
83	82	2456/5	2456/5	0.3	27/40	27/40	Chord	12/8	2	1	3/40		1/16	6/5	1259									165	
83	82	983/2	983/2	0.0	3/4	3/4	Spanner	12/8	2	1	0														
83	82	983/2	983/2	0.0	3/4	3/4	Spanner	12/8	2	1	0													166	
83	82	983/2	983/2	0.25	3/4	3/4	Chord	12/8	2	1	1/16		1/16	1	1260				51					166	
83	82	1967/4	1967/4	0.25	13/16	13/16	Chord	12/8	2	1	1/16		1/16	1	1261				51					166	
83	82	492	492	0.25	7/8	7/8	Chord	12/8	2	1	1/16		1/16	1	1262				51					166	
83	82	1969/4	1969/4	0.25	15/16	15/16	Chord	12/8	2	1	1/16		1/16	1	1263				51					166	
83	82	985/2	985/2	0.25	1	1	Chord	12/8	2	1	1/16		1/16	1	1264				51					166	
83	82	1971/4	1971/4	0.25	17/16	17/16	Chord	12/8	2	1	1/16		1/16	1	1265									166	
83	82	493	493	0.0	9/8	9/8	Spanner	12/8	2	1	0														
83	82	493	493	0.0	9/8	9/8	Spanner	12/8	2	1	0													167	
83	82	493	493	0.25	9/8	9/8	Chord	12/8	2	1	1/16		1/16	1	1266				52					167	
83	82	1973/4	1973/4	0.25	19/16	19/16	Chord	12/8	2	1	1/16		1/16	1	1267				52					167	
83	82	987/2	987/2	0.25	5/4	5/4	Chord	12/8	2	1	1/16		1/16	1	1268				52					167	
83	82	1975/4	1975/4	0.25	21/16	21/16	Chord	12/8	2	1	1/16		1/16	1	1269				52					167	
83	82	494	494	0.25	11/8	11/8	Chord	12/8	2	1	1/16		1/16	1	1270				52					167	
83	82	1977/4	1977/4	0.25	23/16	23/16	Chord	12/8	2	1	1/16		1/16	1	1271									167	
84	83	989/2	989/2	0.3	0	0	Chord	12/8	1	1	3/40		1/16	6/5	1272										
84	83	2474/5	2474/5	0.3	3/40	3/40	Chord	12/8	1	1	3/40		1/16	6/5	1273										
84	83	4951/10	4951/10	0.3	3/20	3/20	Chord	12/8	1	1	3/40		1/16	6/5	1274										
84	83	2477/5	2477/5	0.3	9/40	9/40	Chord	12/8	1	1	3/40		1/16	6/5	1275										
84	83	4957/10	4957/10	0.3	3/10	3/10	Chord	12/8	1	1	3/40		1/16	6/5	1276										
84	83	496	496	0.3	3/8	3/8	Chord	12/8	1	1	3/40		1/16	6/5	1277										
84	83	4963/10	4963/10	0.3	9/20	9/20	Chord	12/8	1	1	3/40		1/16	6/5	1278										
84	83	2483/5	2483/5	0.3	21/40	21/40	Chord	12/8	1	1	3/40		1/16	6/5	1279										
84	83	4969/10	4969/10	0.3	3/5	3/5	Chord	12/8	1	1	3/40		1/16	6/5	1280										
84	83	2486/5	2486/5	0.3	27/40	27/40	Chord	12/8	1	1	3/40		1/16	6/5	1281										
84	83	995/2	995/2	0.3	3/4	3/4	Chord	12/8	1	1	3/40		1/16	6/5	1282										
84	83	2489/5	2489/5	0.3	33/40	33/40	Chord	12/8	1	1	3/40		1/16	6/5	1283										
84	83	4981/10	4981/10	0.3	9/10	9/10	Chord	12/8	1	1	3/40		1/16	6/5	1284										
84	83	2492/5	2492/5	0.3	39/40	39/40	Chord	12/8	1	1	3/40		1/16	6/5	1285										
84	83	4987/10	4987/10	0.3	21/20	21/20	Chord	12/8	1	1	3/40		1/16	6/5	1286										
84	83	499	499	0.3	9/8	9/8	Chord	12/8	1	1	3/40		1/16	6/5	1287										
84	83	4993/10	4993/10	0.3	6/5	6/5	Chord	12/8	1	1	3/40		1/16	6/5	1288										
84	83	2498/5	2498/5	0.3	51/40	51/40	Chord	12/8	1	1	3/40		1/16	6/5	1289										
84	83	4999/10	4999/10	0.3	27/20	27/20	Chord	12/8	1	1	3/40		1/16	6/5	1290										
84	83	2501/5	2501/5	0.3	57/40	57/40	Chord	12/8	1	1	3/40		1/16	6/5	1291										
84	83	989/2	989/2	0.0	0	0	Spanner	12/8	2	1	0														
84	83	989/2	989/2	0.0	0	0	Spanner	12/8	2	1	0													168	
84	83	989/2	989/2	3.0	0	0	Chord	12/8	2	1	3/4		1/2	3/2	1292									168	
84	83	995/2	995/2	1.5	3/4	3/4	Chord	12/8	2	1	3/8		1/4	3/2	1293									168	
84	83	499	499	0.0	9/8	9/8	Spanner	12/8	2	1	0														
84	83	499	499	0.0	9/8	9/8	Spanner	12/8	2	1	0													169	
84	83	499	499	1.0	9/8	9/8	Chord	12/8	2	1	1/4		1/4	1	1294									169	
84	83	500	500	0.25	11/8	11/8	Chord	12/8	2	1	1/16		1/16	1	1295									169	
84	83	2001/4	2001/4	0.25	23/16	23/16	Chord	12/8	2	1	1/16		1/16	1	1296									169	
85	84	1001/2	1001/2	0.3	0	0	Chord	12/8	1	1	3/40		1/16	6/5	1297										
85	84	2504/5	2504/5	0.3	3/40	3/40	Chord	12/8	1	1	3/40		1/16	6/5	1298										
85	84	5011/10	5011/10	0.3	3/20	3/20	Chord	12/8	1	1	3/40		1/16	6/5	1299										
85	84	2507/5	2507/5	0.3	9/40	9/40	Chord	12/8	1	1	3/40		1/16	6/5	1300										
85	84	5017/10	5017/10	0.3	3/10	3/10	Chord	12/8	1	1	3/40		1/16	6/5	1301										
85	84	502	502	0.3	3/8	3/8	Chord	12/8	1	1	3/40		1/16	6/5	1302										
85	84	5023/10	5023/10	0.3	9/20	9/20	Chord	12/8	1	1	3/40		1/16	6/5	1303										
85	84	2513/5	2513/5	0.3	21/40	21/40	Chord	12/8	1	1	3/40		1/16	6/5	1304										
85	84	5029/10	5029/10	0.3	3/5	3/5	Chord	12/8	1	1	3/40		1/16	6/5	1305										
85	84	2516/5	2516/5	0.3	27/40	27/40	Chord	12/8	1	1	3/40		1/16	6/5	1306										
85	84	1007/2	1007/2	0.3	3/4	3/4	Chord	12/8	1	1	3/40		1/16	6/5	1307										
85	84	2519/5	2519/5	0.3	33/40	33/40	Chord	12/8	1	1	3/40		1/16	6/5	1308										
85	84	5041/10	5041/10	0.3	9/10	9/10	Chord	12/8	1	1	3/40		1/16	6/5	1309										
85	84	2522/5	2522/5	0.3	39/40	39/40	Chord	12/8	1	1	3/40		1/16	6/5	1310										
85	84	5047/10	5047/10	0.3	21/20	21/20	Chord	12/8	1	1	3/40		1/16	6/5	1311										
85	84	505	505	0.3	9/8	9/8	Chord	12/8	1	1	3/40		1/16	6/5	1312										
85	84	5053/10	5053/10	0.3	6/5	6/5	Chord	12/8	1	1	3/40		1/16	6/5	1313										
85	84	2528/5	2528/5	0.3	51/40	51/40	Chord	12/8	1	1	3/40		1/16	6/5	1314										
85	84	5059/10	5059/10	0.3	27/20	27/20	Chord	12/8	1	1	3/40		1/16	6/5	1315										
85	84	2531/5	2531/5	0.3	57/40	57/40	Chord	12/8	1	1	3/40		1/16	6/5	1316										
85	84	1001/2	1001/2	0.0	0	0	Spanner	12/8	2	1	0														
85	84	1001/2	1001/2	0.0	0	0	Spanner	12/8	2	1	0													170	
85	84	1001/2	1001/2	1.5	0	0	Chord	12/8	2	1	3/8		1/4	3/2	1317									170	
85	84	502	502	0.0	3/8	3/8	Spanner	12/8	2	1	0														
85	84	502	502	0.0	3/8	3/8	Spanner	12/8	2	1	0													171	
85	84	502	502	1.0	3/8	3/8	Chord	12/8	2	1	1/4		1/4	1	1318									171	
85	84	503	503	0.25	5/8	5/8	Chord	12/8	2	1	1/16		1/16	1	1319									171	
85	84	2013/4	2013/4	0.25	11/16	11/16	Chord	12/8	2	1	1/16		1/16	1	1320									171	
85	84	1007/2	1007/2	0.0	3/4	3/4	Spanner	12/8	2	1	0														
85	84	1007/2	1007/2	0.0	3/4	3/4	Spanner	12/8	2	1	0													172	
85	84	1007/2	1007/2	1.5	3/4	3/4	Chord	12/8	2	1	3/8		1/4	3/2	1321									172	
85	84	505	505	0.0	9/8	9/8	Spanner	12/8	2	1	0														
85	84	505	505	0.0	9/8	9/8	Spanner	12/8	2	1	0													173	
85	84	505	505	1.5	9/8	9/8	Chord	12/8	2	1	3/8		1/4	3/2	1322									173	
86	85	511	511	1.0	9/8	9/8	Chord	12/8	1	1	1/4		1/4	1	1323										
86	85	512	512	0.25	11/8	11/8	Chord	12/8	1	1	1/16		1/16	1	1324										
86	85	2049/4	2049/4	0.25	23/16	23/16	Chord	12/8	1	1	1/16		1/16	1	1325										
86	85	1013/2	1013/2	0.0	0	0	Spanner	12/8	2	1	0														
86	85	1013/2	1013/2	0.0	0	0	Spanner	12/8	2	1	0													174	
86	85	1013/2	1013/2	0.3	0	0	Chord	12/8	2	1	3/40		1/16	6/5	1326									174	
86	85	2534/5	2534/5	0.3	3/40	3/40	Chord	12/8	2	1	3/40		1/16	6/5	1327									174	
86	85	5071/10	5071/10	0.3	3/20	3/20	Chord	12/8	2	1	3/40		1/16	6/5	1328									174	
86	85	2537/5	2537/5	0.3	9/40	9/40	Chord	12/8	2	1	3/40		1/16	6/5	1329									174	
86	85	5077/10	5077/10	0.3	3/10	3/10	Chord	12/8	2	1	3/40		1/16	6/5	1330									174	
86	85	508	508	0.0	3/8	3/8	Spanner	12/8	2	1	0														
86	85	508	508	0.0	3/8	3/8	Spanner	12/8	2	1	0													175	
86	85	508	508	0.3	3/8	3/8	Chord	12/8	2	1	3/40		1/16	6/5	1331									175	
86	85	5083/10	5083/10	0.3	9/20	9/20	Chord	12/8	2	1	3/40		1/16	6/5	1332									175	
86	85	2543/5	2543/5	0.3	21/40	21/40	Chord	12/8	2	1	3/40		1/16	6/5	1333									175	
86	85	5089/10	5089/10	0.3	3/5	3/5	Chord	12/8	2	1	3/40		1/16	6/5	1334									175	
86	85	2546/5	2546/5	0.3	27/40	27/40	Chord	12/8	2	1	3/40		1/16	6/5	1335									175	
86	85	1019/2	1019/2	0.0	3/4	3/4	Spanner	12/8	2	1	0														
86	85	1019/2	1019/2	0.0	3/4	3/4	Spanner	12/8	2	1	0													176	
86	85	1019/2	1019/2	0.3	3/4	3/4	Chord	12/8	2	1	3/40		1/16	6/5	1336									176	
86	85	2549/5	2549/5	0.3	33/40	33/40	Chord	12/8	2	1	3/40		1/16	6/5	1337									176	
86	85	5101/10	5101/10	0.3	9/10	9/10	Chord	12/8	2	1	3/40		1/16	6/5	1338									176	
86	85	2552/5	2552/5	0.3	39/40	39/40	Chord	12/8	2	1	3/40		1/16	6/5	1339									176	
86	85	5107/10	5107/10	0.3	21/20	21/20	Chord	12/8	2	1	3/40		1/16	6/5	1340									176	
86	85	511	511	0.0	9/8	9/8	Spanner	12/8	2	1	0														
86	85	511	511	0.0	9/8	9/8	Spanner	12/8	2	1	0													177	
86	85	511	511	0.3	9/8	9/8	Chord	12/8	2	1	3/40		1/16	6/5	1341									177	
86	85	5113/10	5113/10	0.3	6/5	6/5	Chord	12/8	2	1	3/40		1/16	6/5	1342									177	
86	85	2558/5	2558/5	0.3	51/40	51/40	Chord	12/8	2	1	3/40		1/16	6/5	1343									177	
86	85	5119/10	5119/10	0.3	27/20	27/20	Chord	12/8	2	1	3/40		1/16	6/5	1344									177	
86	85	2561/5	2561/5	0.3	57/40	57/40	Chord	12/8	2	1	3/40		1/16	6/5	1345									177	
87	86	1025/2	1025/2	1.5	0	0	Chord	12/8	1	1	3/8		1/4	3/2	1346										
87	86	514	514	1.0	3/8	3/8	Chord	12/8	1	1	1/4		1/4	1	1347										
87	86	515	515	0.25	5/8	5/8	Chord	12/8	1	1	1/16		1/16	1	1348										
87	86	2061/4	2061/4	0.25	11/16	11/16	Chord	12/8	1	1	1/16		1/16	1	1349										
87	86	1031/2	1031/2	1.5	3/4	3/4	Chord	12/8	1	1	3/8		1/4	3/2	1350										
87	86	517	517	1.5	9/8	9/8	Chord	12/8	1	1	3/8		1/4	3/2	1351										
87	86	1025/2	1025/2	0.0	0	0	Spanner	12/8	2	1	0														
87	86	1025/2	1025/2	0.0	0	0	Spanner	12/8	2	1	0													178	
87	86	1025/2	1025/2	0.3	0	0	Chord	12/8	2	1	3/40		1/16	6/5	1352									178	
87	86	2564/5	2564/5	0.3	3/40	3/40	Chord	12/8	2	1	3/40		1/16	6/5	1353									178	
87	86	5131/10	5131/10	0.3	3/20	3/20	Chord	12/8	2	1	3/40		1/16	6/5	1354									178	
87	86	2567/5	2567/5	0.3	9/40	9/40	Chord	12/8	2	1	3/40		1/16	6/5	1355									178	
87	86	5137/10	5137/10	0.3	3/10	3/10	Chord	12/8	2	1	3/40		1/16	6/5	1356									178	
87	86	514	514	0.0	3/8	3/8	Spanner	12/8	2	1	0														
87	86	514	514	0.0	3/8	3/8	Spanner	12/8	2	1	0													179	
87	86	514	514	0.3	3/8	3/8	Chord	12/8	2	1	3/40		1/16	6/5	1357									179	
87	86	5143/10	5143/10	0.3	9/20	9/20	Chord	12/8	2	1	3/40		1/16	6/5	1358									179	
87	86	2573/5	2573/5	0.3	21/40	21/40	Chord	12/8	2	1	3/40		1/16	6/5	1359									179	
87	86	5149/10	5149/10	0.3	3/5	3/5	Chord	12/8	2	1	3/40		1/16	6/5	1360									179	
87	86	2576/5	2576/5	0.3	27/40	27/40	Chord	12/8	2	1	3/40		1/16	6/5	1361									179	
87	86	1031/2	1031/2	0.0	3/4	3/4	Spanner	12/8	2	1	0														
87	86	1031/2	1031/2	0.0	3/4	3/4	Spanner	12/8	2	1	0													180	
87	86	1031/2	1031/2	0.25	3/4	3/4	Chord	12/8	2	1	1/16		1/16	1	1362									180	
87	86	2063/4	2063/4	0.25	13/16	13/16	Chord	12/8	2	1	1/16		1/16	1	1363									180	
87	86	516	516	0.25	7/8	7/8	Chord	12/8	2	1	1/16		1/16	1	1364									180	
87	86	2065/4	2065/4	0.25	15/16	15/16	Chord	12/8	2	1	1/16		1/16	1	1365									180	
87	86	1033/2	1033/2	0.25	1	1	Chord	12/8	2	1	1/16		1/16	1	1366									180	
87	86	2067/4	2067/4	0.25	17/16	17/16	Chord	12/8	2	1	1/16		1/16	1	1367									180	
87	86	517	517	0.0	9/8	9/8	Spanner	12/8	2	1	0														
