mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	Trill:trill	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin
47	43	143	143	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	650										
47	43	287/2	287/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	651										
47	43	144	144	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	652										
47	43	289/2	289/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	653										
47	43	145	145	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	654										
48	44	291/2	291/2	0.0	0	0	Spanner	6/8	1	1	0									0					10
48	44	291/2	291/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	655					0					10
48	44	293/2	293/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	656					0					10
48	44	587/4	587/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	657					0					10
48	44	147	147	0.0	3/8	3/8	Spanner	6/8	1	1	0									0					
48	44	147	147	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	658					0					
48	44	295/2	295/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	659					0					
48	44	148	148	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	660					0					
48	44	291/2	291/2	0.5	0	0	Chord	6/8	1	2	1/8		1/8	1	661										
48	44	146	146	0.5	1/8	1/8	Chord	6/8	1	2	1/8		1/8	1	662										
48	44	293/2	293/2	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	663										
48	44	147	147	0.0	3/8	3/8	Dynamic	6/8	1	2	0						f								
48	44	147	147	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	664										
48	44	291/2	291/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	665										
48	44	146	146	1.0	1/8	1/8	Chord	6/8	2	1	1/4		1/4	1	666										
48	44	147	147	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	667										
49	45	297/2	297/2	0.0	0	0	Spanner	6/8	1	1	0														
49	45	297/2	297/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	668										
49	45	149	149	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	669										
49	45	299/2	299/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	670										
49	45	150	150	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	671										
49	45	297/2	297/2	0.5	0	0	Chord	6/8	1	2	1/8		1/8	1	672										
49	45	149	149	0.5	1/8	1/8	Chord	6/8	1	2	1/8		1/8	1	673										
49	45	299/2	299/2	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	674										
49	45	150	150	0.5	3/8	3/8	Chord	6/8	1	2	1/8		1/8	1	675										
49	45	301/2	301/2	0.5	1/2	1/2	Chord	6/8	1	2	1/8		1/8	1	676										
49	45	151	151	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	677										
49	45	297/2	297/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	678										
49	45	150	150	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	679										
50	46	303/2	303/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	680										
50	46	153	153	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	681										
50	46	303/2	303/2	0.5	0	0	Chord	6/8	1	2	1/8		1/8	1	682										
50	46	152	152	0.5	1/8	1/8	Chord	6/8	1	2	1/8		1/8	1	683										
50	46	305/2	305/2	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	684										
50	46	153	153	0.5	3/8	3/8	Chord	6/8	1	2	1/8		1/8	1	685										
50	46	307/2	307/2	0.5	1/2	1/2	Chord	6/8	1	2	1/8		1/8	1	686										
50	46	154	154	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	687										
50	46	303/2	303/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	688										
50	46	153	153	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	689										
51	47	309/2	309/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	690										
51	47	155	155	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	691										
51	47	311/2	311/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	692										
51	47	156	156	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	693										
51	47	313/2	313/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	694										
51	47	157	157	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	695										
51	47	309/2	309/2	0.5	0	0	Chord	6/8	1	2	1/8		1/8	1	696										
51	47	155	155	1.0	1/8	1/8	Chord	6/8	1	2	1/4		1/4	1	697										
51	47	156	156	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	698										
51	47	309/2	309/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	699										
51	47	156	156	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	700										
51	47	157	157	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	701										
52	48	315/2	315/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	702										
52	48	158	158	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	703										
52	48	317/2	317/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	704										
52	48	159	159	0.0	3/8	3/8	Spanner	6/8	1	1	0													9	
52	48	159	159	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	705									9	
52	48	319/2	319/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	706									9	
52	48	160	160	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	707									9	
52	48	315/2	315/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	708									9	
52	48	159	159	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	709									9	
52	48	315/2	315/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	710										
52	48	159	159	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	711										
53	49	321/2	321/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	712									9	
53	49	161	161	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	713									9	
53	49	323/2	323/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	714									9	
53	49	162	162	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	715									9	
53	49	325/2	325/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	716									9	
53	49	163	163	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	717									9	
53	49	321/2	321/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	718									9	
53	49	162	162	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	719									9	
53	49	321/2	321/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	720										
53	49	162	162	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	721										
53	49	163	163	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	722										
54	50	327/2	327/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	723									9	
54	50	164	164	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	724									9	
54	50	329/2	329/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	725									9	
54	50	165	165	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	726									9	
54	50	331/2	331/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	727									9	
54	50	166	166	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	728									9	
54	50	327/2	327/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	729									9	
54	50	165	165	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	730									9	
54	50	327/2	327/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	731										
54	50	165	165	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	732										
54	50	331/2	331/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	733										
54	50	166	166	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	734										
55	51	333/2	333/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	735									9	
55	51	167	167	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	736									9	
55	51	335/2	335/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	737									9	
55	51	168	168	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	738									9	
55	51	337/2	337/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	739									9	
55	51	169	169	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	740									9	
55	51	333/2	333/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	741									9	
55	51	168	168	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	742									9	
55	51	169	169	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	743									9	
55	51	333/2	333/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	744										
55	51	167	167	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	745										
55	51	335/2	335/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	746										
55	51	168	168	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	747										
55	51	337/2	337/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	748										
55	51	169	169	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	749										
56	52	339/2	339/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	750									9	
56	52	170	170	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	751									9	
56	52	341/2	341/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	752									9	
56	52	171	171	0.0	3/8	3/8	Spanner	6/8	1	1	0														
56	52	171	171	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	753										
56	52	343/2	343/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	754										
56	52	172	172	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	755										
56	52	339/2	339/2	0.5	0	0	Chord	6/8	1	2	1/8		1/8	1	756										
56	52	171	171	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	757										
56	52	339/2	339/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	758										
56	52	170	170	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	759										
56	52	341/2	341/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	760										
56	52	171	171	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	761										
56	52	343/2	343/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	762										
56	52	172	172	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	763										
57	53	345/2	345/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	764										
57	53	173	173	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	765										
57	53	347/2	347/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	766										
57	53	174	174	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	767										
57	53	349/2	349/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	768										
57	53	175	175	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	769										
57	53	345/2	345/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	770										
57	53	174	174	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	771										
57	53	345/2	345/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	772										
57	53	173	173	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	773										
57	53	347/2	347/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	774										
57	53	174	174	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	775										
57	53	349/2	349/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	776										
57	53	175	175	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	777										
58	54	351/2	351/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	778										
58	54	176	176	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	779										
58	54	353/2	353/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	780										
58	54	177	177	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	781										
58	54	355/2	355/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	782										
58	54	178	178	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	783										
58	54	351/2	351/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	784										
58	54	177	177	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	785										
58	54	351/2	351/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	786										
58	54	176	176	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	787										
58	54	353/2	353/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	788										
58	54	177	177	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	789										
58	54	355/2	355/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	790										
58	54	178	178	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	791										
59	55	357/2	357/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	792										
59	55	359/2	359/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	793										
59	55	180	180	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	794										
59	55	361/2	361/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	795										
59	55	181	181	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	796										
59	55	357/2	357/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	797										
59	55	180	180	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	798										
59	55	181	181	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	799										
59	55	357/2	357/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	800										
59	55	179	179	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	801										
59	55	359/2	359/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	802										
59	55	180	180	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	803										
59	55	361/2	361/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	804										
59	55	181	181	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	805										
60	56	363/2	363/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	806										
60	56	183	183	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	807										
60	56	363/2	363/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	808										
60	56	183	183	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	809										
60	56	184	184	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	810										
60	56	363/2	363/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	811				36						
60	56	182	182	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	812				36						
60	56	365/2	365/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	813				36						
60	56	183	183	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	814				36						
60	56	367/2	367/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	815				36						
60	56	184	184	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	816										
61	57	369/2	369/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	817										
61	57	186	186	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	818										
61	57	369/2	369/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	819										
61	57	186	186	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	820										
61	57	187	187	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	821										
61	57	369/2	369/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	822				37						
61	57	185	185	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	823				37						
61	57	371/2	371/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	824				37						
61	57	186	186	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	825				37						
61	57	373/2	373/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	826				37						
61	57	187	187	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	827										
62	58	375/2	375/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	828				38						
62	58	188	188	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	829				38						
62	58	377/2	377/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	830				38						
62	58	189	189	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	831				38						
62	58	379/2	379/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	832				38						
62	58	190	190	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	833				38						
62	58	375/2	375/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	834										
62	58	189	189	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	835										
62	58	190	190	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	836										
62	58	375/2	375/2	1.0	0	0	Chord	6/8	2	2	1/4		1/4	1	837										
62	58	377/2	377/2	0.5	1/4	1/4	Chord	6/8	2	2	1/8		1/8	1	838										
62	58	189	189	1.0	3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	839										
62	58	190	190	0.5	5/8	5/8	Chord	6/8	2	2	1/8		1/8	1	840										
63	59	381/2	381/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	841				38						
63	59	191	191	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	842				38						
63	59	383/2	383/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	843				38						
63	59	192	192	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	844				38						
63	59	385/2	385/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	845				38						
63	59	193	193	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	846										
63	59	381/2	381/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	847										
63	59	192	192	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	848										
63	59	193	193	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	849										
63	59	381/2	381/2	1.0	0	0	Chord	6/8	2	2	1/4		1/4	1	850										
63	59	383/2	383/2	0.5	1/4	1/4	Chord	6/8	2	2	1/8		1/8	1	851										
63	59	192	192	1.0	3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	852										
63	59	193	193	0.5	5/8	5/8	Chord	6/8	2	2	1/8		1/8	1	853										
64	60	387/2	387/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	854										
64	60	194	194	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	855										
64	60	389/2	389/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	856										
64	60	195	195	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	857										
64	60	391/2	391/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	858										
64	60	196	196	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	859										
64	60	387/2	387/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	860										
64	60	195	195	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	861										
64	60	387/2	387/2	1.0	0	0	Chord	6/8	2	2	1/4		1/4	1	862										
64	60	389/2	389/2	0.5	1/4	1/4	Chord	6/8	2	2	1/8		1/8	1	863										
64	60	195	195	1.0	3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	864										
64	60	196	196	0.5	5/8	5/8	Chord	6/8	2	2	1/8		1/8	1	865										
65	61	393/2	393/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	866										
65	61	197	197	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	867										
65	61	395/2	395/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	868										
65	61	198	198	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	869										
65	61	395/2	395/2	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	870										
65	61	198	198	0.5	3/8	3/8	Chord	6/8	1	2	1/8		1/8	1	871										
65	61	397/2	397/2	0.5	1/2	1/2	Chord	6/8	1	2	1/8		1/8	1	872										
65	61	199	199	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	873										
65	61	393/2	393/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	874										
65	61	393/2	393/2	0.5	0	0	Chord	6/8	2	2	1/8		1/8	1	875										
65	61	197	197	0.5	1/8	1/8	Chord	6/8	2	2	1/8		1/8	1	876										
65	61	395/2	395/2	0.5	1/4	1/4	Chord	6/8	2	2	1/8		1/8	1	877										
65	61	198	198	0.5	3/8	3/8	Chord	6/8	2	2	1/8		1/8	1	878										
65	61	397/2	397/2	0.5	1/2	1/2	Chord	6/8	2	2	1/8		1/8	1	879										
65	61	199	199	0.5	5/8	5/8	Chord	6/8	2	2	1/8		1/8	1	880										
66	62	399/2	399/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	881										
66	62	201	201	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	882										
66	62	399/2	399/2	0.5	0	0	Chord	6/8	1	2	1/8		1/8	1	883										
66	62	200	200	0.5	1/8	1/8	Chord	6/8	1	2	1/8		1/8	1	884										
66	62	401/2	401/2	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	885										
66	62	201	201	0.5	3/8	3/8	Chord	6/8	1	2	1/8		1/8	1	886										
66	62	403/2	403/2	0.5	1/2	1/2	Chord	6/8	1	2	1/8		1/8	1	887										
66	62	202	202	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	888										
66	62	399/2	399/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	889										
66	62	200	200	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	890										
66	62	401/2	401/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	891										
66	62	201	201	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	892										
66	62	403/2	403/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	893										
66	62	202	202	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	894										
67	63	405/2	405/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	895										
67	63	204	204	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	896										
67	63	405/2	405/2	0.5	0	0	Chord	6/8	1	2	1/8		1/8	1	897										
67	63	203	203	0.5	1/8	1/8	Chord	6/8	1	2	1/8		1/8	1	898										
67	63	407/2	407/2	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	899										
67	63	204	204	0.5	3/8	3/8	Chord	6/8	1	2	1/8		1/8	1	900										
67	63	409/2	409/2	0.5	1/2	1/2	Chord	6/8	1	2	1/8		1/8	1	901										
67	63	205	205	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	902										
67	63	405/2	405/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	903										
67	63	203	203	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	904										
67	63	407/2	407/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	905										
67	63	204	204	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	906										
67	63	409/2	409/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	907										
67	63	205	205	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	908										
68	64	411/2	411/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	909										
68	64	207	207	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	910										
68	64	208	208	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	911										
68	64	411/2	411/2	0.5	0	0	Chord	6/8	1	2	1/8		1/8	1	912										
68	64	206	206	1.0	1/8	1/8	Chord	6/8	1	2	1/4		1/4	1	913										
68	64	207	207	0.5	3/8	3/8	Chord	6/8	1	2	1/8		1/8	1	914										
68	64	415/2	415/2	0.5	1/2	1/2	Chord	6/8	1	2	1/8		1/8	1	915										
68	64	208	208	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	916										
68	64	411/2	411/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	917										
68	64	206	206	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	918										
68	64	413/2	413/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	919										
68	64	207	207	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	920										
68	64	415/2	415/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	921										
68	64	208	208	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	922										
69	65	417/2	417/2	0.0	0	0	Spanner	6/8	1	1	0														11
69	65	417/2	417/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	923										11
69	65	210	210	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	924										11
69	65	417/2	417/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	925										11
69	65	210	210	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	926										11
69	65	417/2	417/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	927										
69	65	209	209	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	928										
69	65	419/2	419/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	929										
69	65	210	210	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	930										
69	65	421/2	421/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	931										
69	65	211	211	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	932										
70	66	423/2	423/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	933										11
70	66	213	213	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	934										11
70	66	214	214	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	935										11
70	66	423/2	423/2	0.5	0	0	Chord	6/8	1	2	1/8		1/8	1	936										11
70	66	212	212	0.5	1/8	1/8	Chord	6/8	1	2	1/8		1/8	1	937										11
70	66	425/2	425/2	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	938										11
70	66	213	213	0.5	3/8	3/8	Chord	6/8	1	2	1/8		1/8	1	939										11
