mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line	crescendo_hairpin	decrescendo_hairpin
56	56	165	165	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	274												
56	56	331/2	331/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	275												
56	56	166	166	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	276												
56	56	333/2	333/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	277												
56	56	167	167	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	278												
56	56	335/2	335/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	279												
57	57	168	168	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	280									38			
57	57	339/2	339/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	281									38			
57	57	170	170	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	282												
57	57	168	168	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	283												
57	57	337/2	337/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	284												
57	57	169	169	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	285												
57	57	339/2	339/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	286												
57	57	170	170	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	287												
57	57	341/2	341/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	288												
58	58	171	171	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	289									39			
58	58	171	171	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	290												
58	58	343/2	343/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	291												
58	58	172	172	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	292												
58	58	345/2	345/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	293												
58	58	173	173	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	294												
58	58	347/2	347/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	295												
59	59	174	174	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	296			articStaccatoAbove									
59	59	174	174	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	297												
59	59	349/2	349/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	298												
59	59	175	175	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	299												
59	59	351/2	351/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	300												
59	59	176	176	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	301												
59	59	353/2	353/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	302												
60	60	177	177	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	303												
60	60	177	177	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	304												
60	60	355/2	355/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	305												
60	60	178	178	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	306												
60	60	357/2	357/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	307												
60	60	179	179	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	308												
60	60	359/2	359/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	309												
61	61	180	180	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	310			ornamentTurn									
61	61	363/2	363/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	311			articStaccatoAbove									
61	61	182	182	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	312			articStaccatoAbove									
61	61	180	180	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	313												
61	61	361/2	361/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	314												
61	61	181	181	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	315												
61	61	363/2	363/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	316												
61	61	182	182	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	317												
61	61	365/2	365/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	318												
62	62	183	183	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	319									40			
62	62	183	183	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	320												
62	62	367/2	367/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	321												
62	62	184	184	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	322												
62	62	369/2	369/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	323												
62	62	185	185	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	324												
62	62	371/2	371/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	325												
63	63	186	186	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	326			articStaccatoAbove									
63	63	186	186	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	327												
63	63	373/2	373/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	328												
63	63	187	187	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	329												
63	63	375/2	375/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	330												
63	63	188	188	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	331												
63	63	377/2	377/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	332												
64	64	189	189	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	333			articStaccatoAbove									
64	64	379/2	379/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	334			articStaccatoAbove									
64	64	190	190	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	335			articStaccatoAbove									
64	64	381/2	381/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	336			articStaccatoAbove									
64	64	191	191	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	337			articStaccatoAbove									
64	64	383/2	383/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	338			articStaccatoAbove									
64	64	189	189	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	339												
64	64	379/2	379/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	340												
64	64	190	190	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	341												
64	64	381/2	381/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	342												
64	64	191	191	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	343												
64	64	383/2	383/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	344												
65	65	192	192	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	345			articStaccatoAbove									
65	65	385/2	385/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	346			articStaccatoAbove									
65	65	193	193	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	347			articStaccatoAbove									
65	65	387/2	387/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	348			articStaccatoAbove									
65	65	194	194	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	349			articStaccatoAbove									
65	65	389/2	389/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	350			articStaccatoAbove									
65	65	192	192	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	351												
65	65	385/2	385/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	352												
65	65	193	193	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	353												
65	65	387/2	387/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	354												
65	65	194	194	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	355												
65	65	389/2	389/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	356												
66	66	195	195	0.0	0	0	Dynamic	3/4	1	1	0						sf										
66	66	195	195	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	357									41			
66	66	195	195	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	358												
66	66	391/2	391/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	359												
66	66	196	196	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	360												
66	66	393/2	393/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	361												
66	66	197	197	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	362												
66	66	395/2	395/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	363												
67	67	198	198	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	364			articStaccatoAbove									
67	67	198	198	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	365												
67	67	397/2	397/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	366												
67	67	199	199	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	367												
67	67	399/2	399/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	368												
67	67	200	200	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	369												
67	67	401/2	401/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	370												
68	68	201	201	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	371			articStaccatoBelow									
68	68	403/2	403/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	372			articStaccatoBelow									
68	68	202	202	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	373			articStaccatoBelow									
68	68	405/2	405/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	374			articStaccatoBelow									
68	68	203	203	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	375			articStaccatoBelow									
68	68	407/2	407/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	376			articStaccatoBelow									
68	68	201	201	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	377												
68	68	403/2	403/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	378												
68	68	202	202	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	379												
68	68	405/2	405/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	380												
68	68	203	203	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	381												
68	68	407/2	407/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	382												
69	69	204	204	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	383			articStaccatoAbove									
69	69	409/2	409/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	384			articStaccatoAbove									
69	69	205	205	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	385			articStaccatoAbove									
69	69	411/2	411/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	386			articStaccatoAbove									
69	69	206	206	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	387			articStaccatoAbove									
69	69	413/2	413/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	388			articStaccatoAbove									
69	69	204	204	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	389												
69	69	409/2	409/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	390												
69	69	205	205	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	391												
69	69	411/2	411/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	392												
69	69	206	206	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	393												
69	69	413/2	413/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	394												
70	70	207	207	0.0	0	0	Spanner	3/4	1	1	0														0		
70	70	207	207	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	395										0		
70	70	415/2	415/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	396												
70	70	208	208	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	397												
70	70	417/2	417/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	398												
70	70	209	209	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	399												
70	70	419/2	419/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	400												
71	71	210	210	0.0	0	0	Spanner	3/4	1	1	0																
71	71	210	210	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	401												
71	71	212	212	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	402												
71	71	210	210	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	403												
71	71	421/2	421/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	404												
71	71	211	211	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	405												
71	71	423/2	423/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	406												
71	71	212	212	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	407												
71	71	425/2	425/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	408												
72	72	213	213	0.0	0	0	Dynamic	3/4	1	1	0						sf										
72	72	213	213	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	409												
72	72	213	213	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	410												
72	72	427/2	427/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	411												
72	72	214	214	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	412												
72	72	429/2	429/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	413												
72	72	215	215	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	414												
72	72	431/2	431/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	415												
73	73	216	216	0.0	0	0	Dynamic	3/4	1	1	0						sf										
73	73	216	216	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	416												
73	73	216	216	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	417												
73	73	433/2	433/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	418												
73	73	217	217	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	419												
73	73	435/2	435/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	420												
73	73	218	218	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	421												
73	73	437/2	437/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	422												
74	74	219	219	0.0	0	0	Dynamic	3/4	1	1	0						sf										
74	74	219	219	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	423												
74	74	219	219	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	424												
74	74	439/2	439/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	425												
74	74	220	220	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	426												
74	74	441/2	441/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	427												
74	74	221	221	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	428												
74	74	443/2	443/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	429												
75	75	222	222	0.0	0	0	Chord	3/4	1	1	0	grace16after	1/16	1	430												
75	75	222	222	0.0	0	0	Chord	3/4	1	1	0	grace16after	1/16	1	431												
75	75	222	222	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	432			ornamentTrill									
75	75	222	222	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	433												
75	75	445/2	445/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	434												
75	75	223	223	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	435												
75	75	447/2	447/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	436												
75	75	224	224	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	437												
75	75	449/2	449/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	438												
76	76	225	225	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	439												
76	76	451/2	451/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	440												
76	76	226	226	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	441												
76	76	453/2	453/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	442												
76	76	227	227	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	443												
76	76	455/2	455/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	444												
76	76	225	225	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	445												
77	77	228	228	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	446												
77	77	457/2	457/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	447												
77	77	229	229	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	448												
77	77	459/2	459/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	449												
77	77	230	230	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	450												
77	77	461/2	461/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	451												
78	78	231	231	0.0	0	0	Dynamic	3/4	1	1	0						f										
78	78	231	231	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	452			articStaccatoAbove									
78	78	233	233	0.0	1/2	1/2	Dynamic	3/4	1	1	0						sf										
78	78	233	233	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	453									42			
78	78	231	231	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	454												
78	78	463/2	463/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	455												
78	78	232	232	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	456												
78	78	465/2	465/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	457												
78	78	233	233	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	458												
78	78	467/2	467/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	459												
79	79	234	234	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	460									42			
79	79	236	236	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	461									42			
79	79	234	234	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	462												
79	79	469/2	469/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	463												
79	79	235	235	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	464												
79	79	471/2	471/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	465												
79	79	236	236	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	466												
79	79	473/2	473/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	467												
80	80	237	237	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	468												
80	80	239	239	0.0	1/2	1/2	Dynamic	3/4	1	1	0						sf										
80	80	239	239	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	469									43			
80	80	237	237	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	470												
80	80	475/2	475/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	471												
80	80	238	238	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	472												
80	80	477/2	477/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	473												
80	80	239	239	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	474												
80	80	479/2	479/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	475												
81	81	240	240	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	476												
81	81	242	242	0.0	1/2	1/2	Dynamic	3/4	1	1	0						sf										
81	81	242	242	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	477									44			
81	81	240	240	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	478												
81	81	481/2	481/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	479												
81	81	241	241	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	480												
81	81	483/2	483/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	481												
81	81	242	242	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	482												
81	81	485/2	485/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	483												
82	82	243	243	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	484									44			
82	82	487/2	487/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	485									44			
82	82	244	244	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	486									44			
82	82	489/2	489/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	487									44			
82	82	245	245	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	488									44			
82	82	491/2	491/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	489									44			
82	82	243	243	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	490									45			
82	82	487/2	487/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	491									45			
82	82	244	244	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	492									45			
82	82	489/2	489/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	493									45			
82	82	245	245	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	494									45			
82	82	491/2	491/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	495									45			
83	83	246	246	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	496									44			
83	83	493/2	493/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	497									44			
83	83	247	247	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	498									44			
83	83	495/2	495/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	499									44			
83	83	248	248	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	500									44			
83	83	497/2	497/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	501												
83	83	246	246	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	502									45			
83	83	493/2	493/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	503									45			
83	83	247	247	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	504									45			
83	83	495/2	495/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	505									45			
83	83	248	248	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	506									45			
83	83	497/2	497/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	507												
84	84	249	249	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	508									46			
84	84	499/2	499/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	509									46			
84	84	250	250	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	510									46			
84	84	501/2	501/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	511									46			
84	84	251	251	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	512									46			
84	84	503/2	503/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	513									46			
84	84	249	249	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	514									47			
84	84	499/2	499/2	0.0	1/8	1/8	Dynamic	3/4	2	1	0						ff							47			
84	84	499/2	499/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	515									47			
84	84	250	250	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	516									47			
84	84	501/2	501/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	517									47			
84	84	251	251	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	518									47			
84	84	503/2	503/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	519									47			
85	85	252	252	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	520									46			
85	85	505/2	505/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	521									46			
85	85	253	253	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	522									46			
85	85	507/2	507/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	523									46			
85	85	254	254	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	524									46			
85	85	509/2	509/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	525												
85	85	252	252	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	526									47			
85	85	505/2	505/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	527									47			
85	85	253	253	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	528									47			
85	85	507/2	507/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	529									47			
85	85	254	254	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	530									47			
85	85	509/2	509/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	531												
86	86	255	255	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	532												
86	86	1027/4	1027/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	533									48			
86	86	257	257	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	534									48			
86	86	1031/4	1031/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	535												
86	86	255	255	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	536												
86	86	256	256	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	537			articStaccatoAbove									
87	87	258	258	0.0	0	0	Dynamic	3/4	1	1	0						sf										
87	87	258	258	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	538			articStaccatoAbove									
87	87	1039/4	1039/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	539									49			
87	87	260	260	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	540									49			
87	87	1043/4	1043/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	541												
87	87	259	259	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	542			articStaccatoAbove									
88	88	261	261	0.0	0	0	Dynamic	3/4	1	1	0						sf										
88	88	261	261	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	543			articStaccatoAbove									
88	88	1051/4	1051/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	544									50			
88	88	263	263	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	545									50			
88	88	1055/4	1055/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	546												
88	88	262	262	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	547			articStaccatoAbove									
89	89	264	264	0.0	0	0	Dynamic	3/4	1	1	0						sf										
89	89	264	264	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	548			articStaccatoAbove									
89	89	1063/4	1063/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	549									51			
89	89	266	266	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	550									51			
89	89	1067/4	1067/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	551												
