mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	crescendo_line	diminuendo_line	crescendo_hairpin
29	29	171/2	171/2	1.0	3/8	3/8	Chord	3/4	1	1	1/4		1/4	1	256	>							
29	29	173/2	173/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	257								
29	29	339/4	339/4	0.125	3/16	3/16	Chord	3/4	2	1	1/32		1/32	1	258				55				
29	29	679/8	679/8	0.125	7/32	7/32	Chord	3/4	2	1	1/32		1/32	1	259								
29	29	85	85	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	260			articStaccatoBelow					
29	29	343/4	343/4	0.125	7/16	7/16	Chord	3/4	2	1	1/32		1/32	1	261				56				
29	29	687/8	687/8	0.125	15/32	15/32	Chord	3/4	2	1	1/32		1/32	1	262								
29	29	86	86	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	263			articStaccatoBelow					
29	29	347/4	347/4	0.125	11/16	11/16	Chord	3/4	2	1	1/32		1/32	1	264				57				
29	29	695/8	695/8	0.125	23/32	23/32	Chord	3/4	2	1	1/32		1/32	1	265								
30	30	87	87	0.0	0	0	Spanner	3/4	1	1	0										3		
30	30	87	87	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	266	<					3		
30	30	175/2	175/2	0.0	1/8	1/8	Spanner	3/4	1	1	0												
30	30	357/4	357/4	0.125	9/16	9/16	Chord	3/4	1	1	1/32		1/32	1	267			articStaccatoBelow					
30	30	715/8	715/8	0.125	19/32	19/32	Chord	3/4	1	1	1/32		1/32	1	268			articStaccatoBelow					
30	30	179/2	179/2	0.125	5/8	5/8	Chord	3/4	1	1	1/32		1/32	1	269	<		articStaccatoBelow					
30	30	717/8	717/8	0.125	21/32	21/32	Chord	3/4	1	1	1/32		1/32	1	270			articStaccatoBelow					
30	30	359/4	359/4	0.125	11/16	11/16	Chord	3/4	1	1	1/32		1/32	1	271			articStaccatoBelow					
30	30	719/8	719/8	0.125	23/32	23/32	Chord	3/4	1	1	1/32		1/32	1	272			articStaccatoBelow					
30	30	177/2	177/2	1.0	3/8	3/8	Chord	3/4	2	1	1/4		1/4	1	273								
30	30	179/2	179/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	274								
30	30	87	87	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	275			articStaccatoAbove					
30	30	175/2	175/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	276				58				
30	30	88	88	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	277				58				
30	30	177/2	177/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	278				58				
30	30	89	89	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	279				58				
30	30	179/2	179/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	280								
31	31	90	90	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	281				59				
31	31	91	91	0.875	1/4	1/4	Chord	3/4	1	1	7/32		1/8	7/4	282				59				
31	31	735/8	735/8	0.125	15/32	15/32	Chord	3/4	1	1	1/32		1/32	1	283				59				
31	31	92	92	0.875	1/2	1/2	Chord	3/4	1	1	7/32		1/8	7/4	284				59				
31	31	743/8	743/8	0.125	23/32	23/32	Chord	3/4	1	1	1/32		1/32	1	285								
31	31	90	90	0.0	0	0	Dynamic	3/4	1	2	0						p						
31	31	91	91	0.0	1/4	1/4	Dynamic	3/4	1	2	0						other-dynamics						
31	31	91	91	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	286								
31	31	92	92	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	287								
31	31	90	90	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	288								
31	31	181/2	181/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	289				60				
31	31	91	91	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	290				60				
31	31	183/2	183/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	291				60				
31	31	92	92	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	292				60				
31	31	185/2	185/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	293								
32	32	93	93	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	294				61				
32	32	94	94	0.875	1/4	1/4	Chord	3/4	1	1	7/32		1/8	7/4	295				61				
32	32	759/8	759/8	0.125	15/32	15/32	Chord	3/4	1	1	1/32		1/32	1	296				61				
32	32	95	95	0.875	1/2	1/2	Chord	3/4	1	1	7/32		1/8	7/4	297				61				
32	32	767/8	767/8	0.125	23/32	23/32	Chord	3/4	1	1	1/32		1/32	1	298								
32	32	94	94	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	299								
32	32	95	95	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	300				62				
32	32	191/2	191/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	301								
32	32	93	93	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	302				63				
32	32	187/2	187/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	303				63				
32	32	94	94	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	304				63				
32	32	189/2	189/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	305				63				
32	32	95	95	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	306				63				
32	32	191/2	191/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	307								
33	33	96	96	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	308				64				
33	33	98	98	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	309				64				
33	33	393/4	393/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	310				64				
33	33	197/2	197/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	311				64				
33	33	395/4	395/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	312								
33	33	193/2	193/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	313				65				
33	33	97	97	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	314								
33	33	98	98	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	315								
33	33	96	96	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	316								
33	33	193/2	193/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	317				66				
33	33	97	97	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	318				66				
33	33	195/2	195/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	319				66				
33	33	98	98	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	320				66				
33	33	197/2	197/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	321								
34	34	99	99	0.875	0	0	Chord	3/4	1	1	7/32		1/8	7/4	322				67				
34	34	799/8	799/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	323								
34	34	100	100	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	324								
34	34	809/8	809/8	0.0	17/32	17/32	Spanner	3/4	1	1	0										4		
34	34	809/8	809/8	0.125	17/32	17/32	Chord	3/4	1	1	1/32		1/32	1	325			articStaccatoBelow			4		
34	34	405/4	405/4	0.0	9/16	9/16	Spanner	3/4	1	1	0												
34	34	405/4	405/4	0.125	9/16	9/16	Chord	3/4	1	1	1/32		1/32	1	326			articStaccatoBelow					
34	34	811/8	811/8	0.125	19/32	19/32	Chord	3/4	1	1	1/32		1/32	1	327			articStaccatoBelow					
34	34	203/2	203/2	0.125	5/8	5/8	Chord	3/4	1	1	1/32		1/32	1	328			articStaccatoBelow					
34	34	813/8	813/8	0.125	21/32	21/32	Chord	3/4	1	1	1/32		1/32	1	329			articStaccatoBelow					
34	34	407/4	407/4	0.125	11/16	11/16	Chord	3/4	1	1	1/32		1/32	1	330			articStaccatoBelow					
34	34	815/8	815/8	0.125	23/32	23/32	Chord	3/4	1	1	1/32		1/32	1	331			articStaccatoBelow					
34	34	99	99	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	332								
34	34	100	100	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	333								
34	34	99	99	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	334				68				
34	34	199/2	199/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	335				68				
34	34	100	100	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	336								
34	34	201/2	201/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	337				69				
34	34	101	101	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	338				69				
34	34	203/2	203/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	339								
34	34	99	99	1.5	0	0	Chord	3/4	2	2	3/8		1/4	3/2	340								
35	35	102	102	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	341				70				
35	35	103	103	0.875	1/4	1/4	Chord	3/4	1	1	7/32		1/8	7/4	342				70				
35	35	831/8	831/8	0.125	15/32	15/32	Chord	3/4	1	1	1/32		1/32	1	343				70				
35	35	104	104	0.875	1/2	1/2	Chord	3/4	1	1	7/32		1/8	7/4	344				70				
35	35	839/8	839/8	0.125	23/32	23/32	Chord	3/4	1	1	1/32		1/32	1	345								
35	35	102	102	0.0	0	0	Dynamic	3/4	1	2	0						p						
35	35	411/4	411/4	0.25	3/16	3/16	Chord	3/4	1	2	1/16		1/16	1	346								
35	35	103	103	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	347								
35	35	102	102	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	348								
35	35	205/2	205/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	349				71				
35	35	103	103	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	350				71				
35	35	207/2	207/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	351				71				
35	35	104	104	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	352				71				
35	35	209/2	209/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	353								
36	36	105	105	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	354				72				
36	36	106	106	0.875	1/4	1/4	Chord	3/4	1	1	7/32		1/8	7/4	355				72				
36	36	855/8	855/8	0.125	15/32	15/32	Chord	3/4	1	1	1/32		1/32	1	356								
36	36	107	107	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	357				73				
36	36	429/4	429/4	0.5	9/16	9/16	Chord	3/4	1	1	1/8		1/8	1	358				73				
36	36	431/4	431/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	359								
36	36	423/4	423/4	0.25	3/16	3/16	Chord	3/4	1	2	1/16		1/16	1	360								
36	36	106	106	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	361								
36	36	107	107	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	362				74				
36	36	215/2	215/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	363								
36	36	105	105	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	364				75				
36	36	211/2	211/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	365				75				
36	36	106	106	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	366				75				
36	36	213/2	213/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	367				75				
36	36	107	107	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	368				75				
36	36	215/2	215/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	369								
37	37	108	108	0.0	0	0	Spanner	3/4	1	1	0										5		
37	37	108	108	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	370				76		5		
37	37	217/2	217/2	0.0	1/8	1/8	Spanner	3/4	1	1	0								76				
37	37	110	110	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	371								
37	37	108	108	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	372	<			77				
37	37	217/2	217/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	373				77				
37	37	109	109	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	374				77				
37	37	219/2	219/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	375				77				
37	37	110	110	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	376				77				
37	37	221/2	221/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	377								
37	37	108	108	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	378								
37	37	110	110	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	379								
38	38	111	111	0.0	0	0	Dynamic	3/4	1	1	0						p						
38	38	111	111	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	380								
38	38	227/2	227/2	0.0	5/8	5/8	Dynamic	3/4	1	2	0						pp						
38	38	227/2	227/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	381	p							
38	38	111	111	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	382			articStaccatoBelow					
38	38	447/4	447/4	0.08333333333333333	3/16	3/16	Chord	3/4	2	1	1/48		1/32	2/3	383				78				
38	38	671/6	671/6	0.08333333333333333	5/24	5/24	Chord	3/4	2	1	1/48		1/32	2/3	384				78				
38	38	1343/12	1343/12	0.08333333333333333	11/48	11/48	Chord	3/4	2	1	1/48		1/32	2/3	385								
38	38	112	112	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	386			articStaccatoBelow					
38	38	451/4	451/4	0.08333333333333333	7/16	7/16	Chord	3/4	2	1	1/48		1/32	2/3	387				79				
38	38	677/6	677/6	0.08333333333333333	11/24	11/24	Chord	3/4	2	1	1/48		1/32	2/3	388				79				
38	38	1355/12	1355/12	0.08333333333333333	23/48	23/48	Chord	3/4	2	1	1/48		1/32	2/3	389								
38	38	113	113	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	390			articStaccatoBelow					
39	39	114	114	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	391				80				
39	39	115	115	0.0	1/4	1/4	Spanner	3/4	1	1	0										6		
39	39	115	115	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	392						6		
39	39	233/2	233/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	393						6		
39	39	115	115	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	394	<					6		
39	39	459/4	459/4	0.08333333333333333	3/16	3/16	Chord	3/4	2	1	1/48		1/32	2/3	395				81				
39	39	689/6	689/6	0.08333333333333333	5/24	5/24	Chord	3/4	2	1	1/48		1/32	2/3	396				81				
39	39	1379/12	1379/12	0.08333333333333333	11/48	11/48	Chord	3/4	2	1	1/48		1/32	2/3	397								
39	39	115	115	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	398			articStaccatoBelow					
39	39	463/4	463/4	0.08333333333333333	7/16	7/16	Chord	3/4	2	1	1/48		1/32	2/3	399				82				
39	39	695/6	695/6	0.08333333333333333	11/24	11/24	Chord	3/4	2	1	1/48		1/32	2/3	400				82				
39	39	1391/12	1391/12	0.08333333333333333	23/48	23/48	Chord	3/4	2	1	1/48		1/32	2/3	401								
39	39	116	116	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	402			articStaccatoBelow					
40	40	117	117	0.0	0	0	Spanner	3/4	1	1	0												
40	40	117	117	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	403				83				
40	40	118	118	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	404								
40	40	239/2	239/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	405								
40	40	118	118	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	406								
40	40	471/4	471/4	0.08333333333333333	3/16	3/16	Chord	3/4	2	1	1/48		1/32	2/3	407				84				
40	40	707/6	707/6	0.08333333333333333	5/24	5/24	Chord	3/4	2	1	1/48		1/32	2/3	408				84				
40	40	1415/12	1415/12	0.08333333333333333	11/48	11/48	Chord	3/4	2	1	1/48		1/32	2/3	409								
40	40	118	118	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	410			articStaccatoBelow					
40	40	475/4	475/4	0.08333333333333333	7/16	7/16	Chord	3/4	2	1	1/48		1/32	2/3	411				85				
40	40	713/6	713/6	0.08333333333333333	11/24	11/24	Chord	3/4	2	1	1/48		1/32	2/3	412				85				
40	40	1427/12	1427/12	0.08333333333333333	23/48	23/48	Chord	3/4	2	1	1/48		1/32	2/3	413								
40	40	119	119	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	414			articStaccatoBelow					
41	41	120	120	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	415				86				
41	41	121	121	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	416								
41	41	245/2	245/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	417								
41	41	121	121	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	418								
41	41	483/4	483/4	0.08333333333333333	3/16	3/16	Chord	3/4	2	1	1/48		1/32	2/3	419				87				
41	41	725/6	725/6	0.08333333333333333	5/24	5/24	Chord	3/4	2	1	1/48		1/32	2/3	420				87				
41	41	1451/12	1451/12	0.08333333333333333	11/48	11/48	Chord	3/4	2	1	1/48		1/32	2/3	421								
41	41	121	121	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	422			articStaccatoBelow					
41	41	487/4	487/4	0.08333333333333333	7/16	7/16	Chord	3/4	2	1	1/48		1/32	2/3	423				88				
41	41	731/6	731/6	0.08333333333333333	11/24	11/24	Chord	3/4	2	1	1/48		1/32	2/3	424				88				
41	41	1463/12	1463/12	0.08333333333333333	23/48	23/48	Chord	3/4	2	1	1/48		1/32	2/3	425								
41	41	122	122	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	426			articStaccatoBelow					
42	42	123	123	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	427				89				
42	42	247/2	247/2	0.0	1/8	1/8	Dynamic	3/4	1	1	0						sf		89				
42	42	247/2	247/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	428				89				
42	42	124	124	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	429								
42	42	497/4	497/4	0.125	5/16	5/16	Chord	3/4	1	1	1/32		1/32	1	430								
42	42	995/8	995/8	0.125	11/32	11/32	Chord	3/4	1	1	1/32		1/32	1	431								
42	42	249/2	249/2	0.0	3/8	3/8	Spanner	3/4	1	1	0											1	
42	42	249/2	249/2	0.125	3/8	3/8	Chord	3/4	1	1	1/32		1/32	1	432							1	
42	42	997/8	997/8	0.0	13/32	13/32	Spanner	3/4	1	1	0												
42	42	997/8	997/8	0.125	13/32	13/32	Chord	3/4	1	1	1/32		1/32	1	433								
42	42	499/4	499/4	0.125	7/16	7/16	Chord	3/4	1	1	1/32		1/32	1	434								
42	42	999/8	999/8	0.125	15/32	15/32	Chord	3/4	1	1	1/32		1/32	1	435								
42	42	125	125	0.125	1/2	1/2	Chord	3/4	1	1	1/32		1/32	1	436								
42	42	1001/8	1001/8	0.125	17/32	17/32	Chord	3/4	1	1	1/32		1/32	1	437								
42	42	501/4	501/4	0.125	9/16	9/16	Chord	3/4	1	1	1/32		1/32	1	438								
42	42	1003/8	1003/8	0.125	19/32	19/32	Chord	3/4	1	1	1/32		1/32	1	439								
42	42	251/2	251/2	0.125	5/8	5/8	Chord	3/4	1	1	1/32		1/32	1	440								
42	42	1005/8	1005/8	0.125	21/32	21/32	Chord	3/4	1	1	1/32		1/32	1	441								
42	42	503/4	503/4	0.125	11/16	11/16	Chord	3/4	1	1	1/32		1/32	1	442								
42	42	1007/8	1007/8	0.125	23/32	23/32	Chord	3/4	1	1	1/32		1/32	1	443								
42	42	495/4	495/4	0.08333333333333333	3/16	3/16	Chord	3/4	2	1	1/48		1/32	2/3	444				90				
42	42	743/6	743/6	0.08333333333333333	5/24	5/24	Chord	3/4	2	1	1/48		1/32	2/3	445				90				
42	42	1487/12	1487/12	0.08333333333333333	11/48	11/48	Chord	3/4	2	1	1/48		1/32	2/3	446								
42	42	124	124	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	447			articStaccatoAbove					
43	43	126	126	0.0	0	0	Dynamic	3/4	1	1	0						p						
43	43	126	126	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	448								
43	43	126	126	0.875	0	0	Chord	3/4	1	2	7/32		1/8	7/4	449	p			91				
43	43	1015/8	1015/8	0.125	7/32	7/32	Chord	3/4	1	2	1/32		1/32	1	450				91				
43	43	127	127	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	451								
43	43	128	128	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	452								
43	43	126	126	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	453								
44	44	129	129	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	454				92				
44	44	259/2	259/2	0.375	1/8	1/8	Chord	3/4	1	1	3/32		1/16	3/2	455			ornamentTurn	92				
44	44	1039/8	1039/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	456								
44	44	130	130	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	457								
44	44	131	131	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	458								
44	44	129	129	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	459								
44	44	131	131	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	460								
45	45	132	132	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	461								
45	45	132	132	0.875	0	0	Chord	3/4	1	2	7/32		1/8	7/4	462				93				
45	45	1063/8	1063/8	0.125	7/32	7/32	Chord	3/4	1	2	1/32		1/32	1	463				93				
45	45	133	133	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	464								
45	45	134	134	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	465								
45	45	132	132	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	466								
46	46	135	135	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	467				94				
46	46	271/2	271/2	0.375	1/8	1/8	Chord	3/4	1	1	3/32		1/16	3/2	468			ornamentTurn	94				
46	46	1087/8	1087/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	469								
46	46	136	136	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	470								
46	46	137	137	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	471								
46	46	135	135	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	472								
46	46	137	137	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	473								
46	46	135	135	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	474				95				
46	46	136	136	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	475								
47	47	138	138	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	476								
47	47	138	138	0.875	0	0	Chord	3/4	2	1	7/32		1/8	7/4	477				96				
47	47	1111/8	1111/8	0.125	7/32	7/32	Chord	3/4	2	1	1/32		1/32	1	478				96				
47	47	139	139	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	479								
47	47	140	140	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	480								
47	47	138	138	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	481								
48	48	141	141	0.0	0	0	Spanner	3/4	1	1	0										7		
48	48	141	141	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	482	<			97		7		
48	48	283/2	283/2	0.0	1/8	1/8	Spanner	3/4	1	1	0								97				
48	48	283/2	283/2	0.375	1/8	1/8	Chord	3/4	1	1	3/32		1/16	3/2	483			ornamentTurn	97				
48	48	1135/8	1135/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	484								
48	48	142	142	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	485								
48	48	143	143	0.0	1/2	1/2	Dynamic	3/4	1	1	0						sf						
48	48	143	143	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	486								
48	48	143	143	0.0	1/2	1/2	Dynamic	3/4	1	2	0						sf						
48	48	143	143	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	487								
48	48	141	141	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	488								
48	48	143	143	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	489								
48	48	141	141	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	490				98				
48	48	142	142	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	491								
49	49	144	144	0.0	0	0	Spanner	3/4	1	1	0										8		
49	49	144	144	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	492				99		8		
49	49	145	145	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	493						8		
49	49	291/2	291/2	0.0	3/8	3/8	Spanner	3/4	1	1	0												
49	49	291/2	291/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	494								
49	49	146	146	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	495			articStaccatoAbove	100				
49	49	293/2	293/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	496			articStaccatoAbove					
49	49	144	144	0.0	0	0	Dynamic	3/4	1	2	0						p						
49	49	144	144	1.5	0	0	Chord	3/4	1	2	3/8		1/4	3/2	497	p							
49	49	291/2	291/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	498								
49	49	146	146	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	499								
49	49	293/2	293/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	500								
49	49	144	144	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	501				101				
49	49	289/2	289/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	502				101				
49	49	145	145	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	503								
49	49	291/2	291/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	504								
49	49	146	146	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	505								
49	49	293/2	293/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	506								
49	49	144	144	1.5	0	0	Chord	3/4	2	2	3/8		1/4	3/2	507								
49	49	291/2	291/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	508								
49	49	146	146	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	509			articStaccatoBelow	102				
49	49	293/2	293/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	510			articStaccatoBelow					
50	50	147	147	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	511								
50	50	295/2	295/2	0.0	1/8	1/8	Chord	3/4	1	1	0	grace32	1/32	1	512								
50	50	295/2	295/2	0.0	1/8	1/8	Chord	3/4	1	1	0	grace32	1/32	1	513								
50	50	295/2	295/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	514								
50	50	591/4	591/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	515								
50	50	148	148	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	516								
