mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill	Ottava:8va	decrescendo_hairpin	crescendo_hairpin
30	30	89	89	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	530											1		
30	30	357/4	357/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	531									38		1		
30	30	179/2	179/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	532											1		
30	30	359/4	359/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	533									39		1		
30	30	87	87	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	534													
30	30	349/4	349/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	535													
30	30	175/2	175/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	536													
30	30	351/4	351/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	537													
30	30	88	88	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	538													
30	30	353/4	353/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	539													
30	30	177/2	177/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	540													
30	30	355/4	355/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	541													
30	30	89	89	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	542													
30	30	357/4	357/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	543													
30	30	179/2	179/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	544													
30	30	359/4	359/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	545													
31	31	90	90	0.0	0	0	Dynamic	3/4	1	1	0						sf									1		
31	31	90	90	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	546											1		
31	31	91	91	0.0	1/4	1/4	Spanner	3/4	1	1	0																	
31	31	367/4	367/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	547													
31	31	92	92	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	548													
31	31	371/4	371/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	549													
31	31	90	90	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	550													
31	31	367/4	367/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	551													
31	31	92	92	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	552													
31	31	371/4	371/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	553													
32	32	93	93	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	554									40				
32	32	94	94	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	555									40				
32	32	95	95	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	556													
32	32	381/4	381/4	0.0	9/16	9/16	Spanner	3/4	1	1	0																	6
32	32	381/4	381/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	557									41				6
32	32	191/2	191/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	558									41				6
32	32	383/4	383/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	559									41				6
32	32	93	93	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	560									42				
32	32	94	94	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	561									42				
32	32	95	95	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	562													
32	32	381/4	381/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	563									43				
32	32	191/2	191/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	564									43				
32	32	383/4	383/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	565									43				
33	33	96	96	0.125	0	0	Chord	3/4	1	1	1/32		1/32	1	566									41				6
33	33	769/8	769/8	0.125	1/32	1/32	Chord	3/4	1	1	1/32		1/32	1	567									41				6
33	33	385/4	385/4	0.125	1/16	1/16	Chord	3/4	1	1	1/32		1/32	1	568									41				6
33	33	771/8	771/8	0.125	3/32	3/32	Chord	3/4	1	1	1/32		1/32	1	569									41				6
33	33	193/2	193/2	0.125	1/8	1/8	Chord	3/4	1	1	1/32		1/32	1	570									41				6
33	33	773/8	773/8	0.125	5/32	5/32	Chord	3/4	1	1	1/32		1/32	1	571									41				6
33	33	387/4	387/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32		1/32	1	572									41				6
33	33	775/8	775/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	573									41				6
33	33	97	97	0.125	1/4	1/4	Chord	3/4	1	1	1/32		1/32	1	574									41				6
33	33	777/8	777/8	0.125	9/32	9/32	Chord	3/4	1	1	1/32		1/32	1	575									41				6
33	33	389/4	389/4	0.125	5/16	5/16	Chord	3/4	1	1	1/32		1/32	1	576									41				6
33	33	779/8	779/8	0.125	11/32	11/32	Chord	3/4	1	1	1/32		1/32	1	577									41				6
33	33	195/2	195/2	0.0	3/8	3/8	Spanner	3/4	1	1	0													41				
33	33	195/2	195/2	0.0	3/8	3/8	Spanner	3/4	1	1	0													41			3	
33	33	195/2	195/2	0.125	3/8	3/8	Chord	3/4	1	1	1/32		1/32	1	578									41			3	
33	33	781/8	781/8	0.125	13/32	13/32	Chord	3/4	1	1	1/32		1/32	1	579									41			3	
33	33	391/4	391/4	0.125	7/16	7/16	Chord	3/4	1	1	1/32		1/32	1	580									41			3	
33	33	783/8	783/8	0.125	15/32	15/32	Chord	3/4	1	1	1/32		1/32	1	581												3	
33	33	98	98	0.0	1/2	1/2	Spanner	3/4	1	1	0																	
33	33	98	98	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	582													
33	33	395/4	395/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	583													
33	33	96	96	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	584													
33	33	391/4	391/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	585													
33	33	98	98	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	586													
33	33	395/4	395/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	587													
34	34	99	99	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	588									44				
34	34	199/2	199/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	589									44				
34	34	399/4	399/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	590									44				
34	34	100	100	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	591									44				
34	34	401/4	401/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	592									44				
34	34	201/2	201/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	593									44				
34	34	403/4	403/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	594									44				
34	34	101	101	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	595													
34	34	99	99	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	596													
34	34	101	101	0.25	1/2	1/2	Chord	3/4	1	2	1/16		1/16	1	597													
34	34	405/4	405/4	0.25	9/16	9/16	Chord	3/4	1	2	1/16		1/16	1	598													
34	34	203/2	203/2	0.25	5/8	5/8	Chord	3/4	1	2	1/16		1/16	1	599													
34	34	407/4	407/4	0.25	11/16	11/16	Chord	3/4	1	2	1/16		1/16	1	600													
34	34	99	99	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	601									45				
34	34	199/2	199/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	602									45				
34	34	399/4	399/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	603									45				
34	34	100	100	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	604									45				
34	34	401/4	401/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	605									45				
34	34	201/2	201/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	606									45				
34	34	403/4	403/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	607									45				
34	34	101	101	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	608													
34	34	99	99	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	609													
34	34	100	100	0.25	1/4	1/4	Chord	3/4	2	2	1/16		1/16	1	610													
34	34	101	101	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	611													
35	35	102	102	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	612									46				
35	35	409/4	409/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	613									46				
35	35	205/2	205/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	614									46				
35	35	411/4	411/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	615									46				
35	35	103	103	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	616									46				
35	35	413/4	413/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	617									46				
35	35	207/2	207/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	618									46				
35	35	415/4	415/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	619									46				
35	35	104	104	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	620									47				
35	35	417/4	417/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	621									47				
35	35	209/2	209/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	622									47				
35	35	419/4	419/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	623									47				
35	35	104	104	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	624													
35	35	102	102	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	625													
35	35	409/4	409/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	626									48				
35	35	205/2	205/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	627									48				
35	35	411/4	411/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	628									48				
35	35	103	103	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	629									48				
35	35	413/4	413/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	630									48				
35	35	207/2	207/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	631									48				
35	35	415/4	415/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	632									48				
35	35	104	104	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	633													
35	35	102	102	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	634													
35	35	103	103	0.25	1/4	1/4	Chord	3/4	2	2	1/16		1/16	1	635													
36	36	105	105	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	636									47				
36	36	421/4	421/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	637									47				
36	36	211/2	211/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	638									47				
36	36	423/4	423/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	639									47				
36	36	106	106	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	640									47				
36	36	425/4	425/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	641									47				
36	36	213/2	213/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	642									47				
36	36	427/4	427/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	643									47				
36	36	107	107	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	644									47				
36	36	429/4	429/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	645									47				
36	36	215/2	215/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	646									47				
36	36	431/4	431/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	647									47				
36	36	105	105	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	648													
36	36	106	106	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	649													
36	36	105	105	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	650													
37	37	108	108	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	651									47				
37	37	433/4	433/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	652									47				
37	37	217/2	217/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	653									47				
37	37	435/4	435/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	654									47				
37	37	109	109	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	655									47				
37	37	437/4	437/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	656									47				
37	37	219/2	219/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	657									47				
37	37	439/4	439/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	658									47				
37	37	110	110	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	659									47				
37	37	441/4	441/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	660									47				
37	37	221/2	221/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	661									47				
37	37	443/4	443/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	662													
37	37	108	108	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	663													
37	37	109	109	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	664													
37	37	110	110	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	665													
38	38	111	111	0.0	0	0	Spanner	3/4	1	1	0																4	
38	38	111	111	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	666												4	
38	38	111	111	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	667									49			4	
38	38	113	113	1.0	1/2	1/2	Chord	3/4	1	3	1/4		1/4	1	668												4	
38	38	111	111	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	669													
38	38	112	112	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	670									50				
38	38	113	113	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	671													
38	38	112	112	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	672													
39	39	114	114	0.0	0	0	Spanner	3/4	1	1	0																	
39	39	114	114	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	673													
39	39	114	114	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	674									51				
39	39	116	116	0.0	1/2	1/2	Spanner	3/4	1	3	0																	7
39	39	116	116	1.0	1/2	1/2	Chord	3/4	1	3	1/4		1/4	1	675													7
39	39	114	114	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	676									52				
39	39	115	115	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	677													
39	39	114	114	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	678													
40	40	117	117	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	679									53				7
40	40	237/2	237/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	680													7
40	40	119	119	0.75	1/2	1/2	Chord	3/4	1	2	3/16		1/8	3/2	681													7
40	40	479/4	479/4	0.25	11/16	11/16	Chord	3/4	1	2	1/16		1/16	1	682													7
40	40	117	117	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	683													
40	40	469/4	469/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	684													
40	40	235/2	235/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	685													
40	40	471/4	471/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	686													
40	40	118	118	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	687													
40	40	473/4	473/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	688													
40	40	237/2	237/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	689													
40	40	475/4	475/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	690													
40	40	119	119	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	691													
40	40	477/4	477/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	692													
40	40	239/2	239/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	693													
40	40	479/4	479/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	694													
41	41	120	120	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	695													7
41	41	121	121	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	696													7
41	41	120	120	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	697													
41	41	481/4	481/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	698													
41	41	241/2	241/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	699													
41	41	483/4	483/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	700													
41	41	121	121	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	701													
41	41	485/4	485/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	702													
41	41	243/2	243/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	703													
41	41	487/4	487/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	704													
41	41	122	122	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	705													
41	41	489/4	489/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	706													
41	41	245/2	245/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	707													
41	41	491/4	491/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	708													
42	42	123	123	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	709									54				7
42	42	249/2	249/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	710													7
42	42	125	125	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	711													7
42	42	503/4	503/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	712													7
42	42	123	123	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	713													
42	42	493/4	493/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	714													
42	42	247/2	247/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	715													
42	42	495/4	495/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	716													
42	42	124	124	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	717													
42	42	497/4	497/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	718													
42	42	249/2	249/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	719													
42	42	499/4	499/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	720													
42	42	125	125	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	721													
42	42	501/4	501/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	722													
42	42	251/2	251/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	723													
42	42	503/4	503/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	724													
43	43	126	126	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	725													7
43	43	127	127	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	726													7
43	43	126	126	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	727													
43	43	505/4	505/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	728													
43	43	253/2	253/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	729													
43	43	507/4	507/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	730													
43	43	127	127	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	731													
43	43	509/4	509/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	732													
43	43	255/2	255/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	733													
43	43	511/4	511/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	734													
43	43	128	128	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	735													
43	43	513/4	513/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	736													
43	43	257/2	257/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	737													
43	43	515/4	515/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	738													
44	44	129	129	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	739									55				
44	44	261/2	261/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	740													
44	44	131	131	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	741													
44	44	527/4	527/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	742													
44	44	129	129	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	743													
44	44	131	131	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	744													
44	44	129	129	0.0	0	0	Spanner	3/4	1	3	0																	
44	44	129	129	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	745													
44	44	517/4	517/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	746									56				
44	44	259/2	259/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	747									56				
44	44	519/4	519/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	748									56				
44	44	130	130	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	749									56				
44	44	521/4	521/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	750									56				
44	44	261/2	261/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	751									56				
44	44	523/4	523/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	752									56				
44	44	131	131	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	753									56				
44	44	525/4	525/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	754									56				
44	44	263/2	263/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	755									56				
44	44	527/4	527/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	756													
45	45	132	132	0.0	0	0	Spanner	3/4	1	1	0																	8
45	45	132	132	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	757													8
45	45	133	133	0.0	1/4	1/4	Spanner	3/4	1	1	0																	
45	45	133	133	0.0	1/4	1/4	Spanner	3/4	1	1	0																5	
45	45	133	133	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	758												5	
45	45	132	132	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	759													
45	45	529/4	529/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	760									57				
45	45	265/2	265/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	761									57				
45	45	531/4	531/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	762									57				
45	45	133	133	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	763									57				
45	45	533/4	533/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	764									57				
45	45	267/2	267/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	765									57				
45	45	535/4	535/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	766									57				
45	45	134	134	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	767									57				
45	45	537/4	537/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	768									57				
45	45	269/2	269/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	769									57				
45	45	539/4	539/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	770													
46	46	135	135	0.0	0	0	Spanner	3/4	1	1	0																	
46	46	135	135	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	771									58				
46	46	273/2	273/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	772													
46	46	137	137	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	773													
46	46	551/4	551/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	774													
46	46	135	135	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	775													
46	46	137	137	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	776													
46	46	135	135	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	777													
46	46	541/4	541/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	778									59				
46	46	271/2	271/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	779									59				
46	46	543/4	543/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	780									59				
46	46	136	136	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	781									59				
46	46	545/4	545/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	782									59				
46	46	273/2	273/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	783									59				
46	46	547/4	547/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	784									59				
46	46	137	137	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	785									59				
46	46	549/4	549/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	786									59				
46	46	275/2	275/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	787									59				
46	46	551/4	551/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	788													
47	47	138	138	0.0	0	0	Spanner	3/4	1	1	0																	9
47	47	138	138	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	789													9
47	47	139	139	0.0	1/4	1/4	Spanner	3/4	1	1	0																	
47	47	139	139	0.0	1/4	1/4	Spanner	3/4	1	1	0																6	
47	47	139	139	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	790												6	
47	47	138	138	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	791												6	
47	47	139	139	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	792									60			6	
47	47	140	140	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	793									60			6	
47	47	281/2	281/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	794												6	
47	47	138	138	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	795													
47	47	553/4	553/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	796									61				
47	47	277/2	277/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	797									61				
47	47	555/4	555/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	798									61				
47	47	139	139	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	799									61				
47	47	557/4	557/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	800									61				
47	47	279/2	279/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	801									61				
47	47	559/4	559/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	802									61				
47	47	140	140	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	803									61				
47	47	561/4	561/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	804									61				
