mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill	Trill:prallprall	crescendo_hairpin	decrescendo_hairpin	diminuendo_line	crescendo_line	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8va
84	83	663/2	663/2	0.5		3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	897									67			3						7
84	83	332	332	0.5		7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	898									67			3						7
84	83	657/2	657/2	4.0		0	0	Chord	2/2	2	1	1			1	1	899																		
85	84	665/2	665/2	0.0		0	0	Spanner	2/2	1	1	0														67			3						
85	84	665/2	665/2	0.5		0	0	Chord	2/2	1	1	1/8			1/8	1	900									67			3						
85	84	333	333	0.5		1/8	1/8	Chord	2/2	1	1	1/8			1/8	1	901									67			3						
85	84	667/2	667/2	0.5		1/4	1/4	Chord	2/2	1	1	1/8			1/8	1	902									67			3						
85	84	334	334	0.0		3/8	3/8	Dynamic	2/2	1	1	0						mf																	
85	84	334	334	0.0		3/8	3/8	Spanner	2/2	1	1	0																							
85	84	334	334	0.5		3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	903																		
85	84	669/2	669/2	0.0		1/2	1/2	Spanner	2/2	1	1	0																		9					
85	84	669/2	669/2	1.0		1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	904													9					
85	84	671/2	671/2	0.0		3/4	3/4	Dynamic	2/2	1	1	0						p																	
85	84	671/2	671/2	0.0		3/4	3/4	Spanner	2/2	1	1	0																		10					
85	84	671/2	671/2	0.0		3/4	3/4	Spanner	2/2	1	1	0																		10					
85	84	671/2	671/2	0.5		3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	905									68				10					
85	84	336	336	0.5		7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	906													10					
85	84	669/2	669/2	0.5		1/2	1/2	Chord	2/2	1	2	1/8			1/8	1	907									69				10					
85	84	335	335	0.5		5/8	5/8	Chord	2/2	1	2	1/8			1/8	1	908													10					
85	84	671/2	671/2	1.0		3/4	3/4	Chord	2/2	1	2	1/4			1/4	1	909													10					
85	84	665/2	665/2	2.0		0	0	Chord	2/2	2	1	1/2			1/2	1	910																		
85	84	669/2	669/2	1.0		1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	911																		
85	84	671/2	671/2	1.0		3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	912																		
86	85	673/2	673/2	0.0		0	0	Spanner	2/2	1	1	0																							
86	85	673/2	673/2	0.5		0	0	Chord	2/2	1	1	1/8			1/8	1	913									70									
86	85	337	337	0.5		1/8	1/8	Chord	2/2	1	1	1/8			1/8	1	914									70									
86	85	675/2	675/2	0.5		1/4	1/4	Chord	2/2	1	1	1/8			1/8	1	915									70									
86	85	338	338	0.5		3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	916									70									
86	85	677/2	677/2	2.0		1/2	1/2	Chord	2/2	1	1	1/2			1/2	1	917									70									
86	85	673/2	673/2	0.0		0	0	Dynamic	2/2	1	2	0						p																	
86	85	337	337	0.5		1/8	1/8	Chord	2/2	1	2	1/8			1/8	1	918																		
86	85	675/2	675/2	0.5		1/4	1/4	Chord	2/2	1	2	1/8			1/8	1	919																		
86	85	338	338	0.5		3/8	3/8	Chord	2/2	1	2	1/8			1/8	1	920																		
86	85	677/2	677/2	0.5		1/2	1/2	Chord	2/2	1	2	1/8			1/8	1	921									71									
86	85	339	339	0.5		5/8	5/8	Chord	2/2	1	2	1/8			1/8	1	922									71									
86	85	679/2	679/2	0.5		3/4	3/4	Chord	2/2	1	2	1/8			1/8	1	923									71									
86	85	340	340	0.5		7/8	7/8	Chord	2/2	1	2	1/8			1/8	1	924									71									
86	85	673/2	673/2	2.0		0	0	Chord	2/2	2	1	1/2			1/2	1	925									72									
86	85	677/2	677/2	2.0		1/2	1/2	Chord	2/2	2	1	1/2			1/2	1	926									72									
87	86	681/2	681/2	2.0		0	0	Chord	2/2	1	1	1/2			1/2	1	927									70									
87	86	685/2	685/2	1.0		1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	928																		
87	86	687/2	687/2	1.0		3/4	3/4	Chord	2/2	1	1	1/4			1/4	1	929																		
87	86	681/2	681/2	0.5		0	0	Chord	2/2	1	2	1/8			1/8	1	930									71									
87	86	341	341	0.5		1/8	1/8	Chord	2/2	1	2	1/8			1/8	1	931									71									
87	86	683/2	683/2	0.5		1/4	1/4	Chord	2/2	1	2	1/8			1/8	1	932									71									
87	86	342	342	0.5		3/8	3/8	Chord	2/2	1	2	1/8			1/8	1	933									71									
87	86	685/2	685/2	0.5		1/2	1/2	Chord	2/2	1	2	1/8			1/8	1	934									71									
87	86	343	343	0.5		5/8	5/8	Chord	2/2	1	2	1/8			1/8	1	935									71									
87	86	687/2	687/2	0.5		3/4	3/4	Chord	2/2	1	2	1/8			1/8	1	936									71									
87	86	344	344	0.5		7/8	7/8	Chord	2/2	1	2	1/8			1/8	1	937																		
87	86	681/2	681/2	2.0		0	0	Chord	2/2	2	1	1/2			1/2	1	938									72									
87	86	685/2	685/2	1.0		1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	939									72									
87	86	687/2	687/2	1.0		3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	940																		
88	87	689/2	689/2	0.5		0	0	Chord	2/2	1	1	1/8			1/8	1	941									73									
88	87	345	345	0.0		1/8	1/8	Spanner	2/2	1	1	0														73						8			
88	87	345	345	0.5		1/8	1/8	Chord	2/2	1	1	1/8			1/8	1	942									73						8			
88	87	691/2	691/2	0.5		1/4	1/4	Chord	2/2	1	1	1/8			1/8	1	943									73						8			
88	87	346	346	0.5		3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	944									73						8			
88	87	693/2	693/2	2.0		1/2	1/2	Chord	2/2	1	1	1/2			1/2	1	945									73						8			
88	87	345	345	0.5		1/8	1/8	Chord	2/2	1	2	1/8			1/8	1	946															8			
88	87	691/2	691/2	0.5		1/4	1/4	Chord	2/2	1	2	1/8			1/8	1	947															8			
88	87	346	346	0.5		3/8	3/8	Chord	2/2	1	2	1/8			1/8	1	948															8			
88	87	693/2	693/2	0.5		1/2	1/2	Chord	2/2	1	2	1/8			1/8	1	949									74						8			
88	87	347	347	0.5		5/8	5/8	Chord	2/2	1	2	1/8			1/8	1	950									74						8			
88	87	695/2	695/2	0.5		3/4	3/4	Chord	2/2	1	2	1/8			1/8	1	951									74						8			
88	87	348	348	0.5		7/8	7/8	Chord	2/2	1	2	1/8			1/8	1	952									74						8			
88	87	689/2	689/2	2.0		0	0	Chord	2/2	2	1	1/2			1/2	1	953									75									
88	87	693/2	693/2	2.0		1/2	1/2	Chord	2/2	2	1	1/2			1/2	1	954									75									
89	88	697/2	697/2	2.0		0	0	Chord	2/2	1	1	1/2			1/2	1	955									73						8			
89	88	701/2	701/2	1.0		1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	956									73						8			
89	88	703/2	703/2	1.0		3/4	3/4	Chord	2/2	1	1	1/4			1/4	1	957															8			
89	88	697/2	697/2	0.5		0	0	Chord	2/2	1	2	1/8			1/8	1	958									74						8			
89	88	349	349	0.5		1/8	1/8	Chord	2/2	1	2	1/8			1/8	1	959									74						8			
89	88	699/2	699/2	0.5		1/4	1/4	Chord	2/2	1	2	1/8			1/8	1	960									74						8			
89	88	350	350	0.5		3/8	3/8	Chord	2/2	1	2	1/8			1/8	1	961									74						8			
89	88	701/2	701/2	0.5		1/2	1/2	Chord	2/2	1	2	1/8			1/8	1	962									74						8			
89	88	351	351	0.5		5/8	5/8	Chord	2/2	1	2	1/8			1/8	1	963									74						8			
89	88	703/2	703/2	0.5		3/4	3/4	Chord	2/2	1	2	1/8			1/8	1	964									74						8			
89	88	352	352	0.5		7/8	7/8	Chord	2/2	1	2	1/8			1/8	1	965															8			
89	88	697/2	697/2	2.0		0	0	Chord	2/2	2	1	1/2			1/2	1	966									75									
89	88	701/2	701/2	1.0		1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	967									75									
89	88	703/2	703/2	1.0		3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	968																		
90	89	705/2	705/2	0.0		0	0	Spanner	2/2	1	1	0																				8			8
90	89	705/2	705/2	0.5		0	0	Chord	2/2	1	1	1/8			1/8	1	969									76						8			8
90	89	353	353	0.5		1/8	1/8	Chord	2/2	1	1	1/8			1/8	1	970									76						8			8
90	89	707/2	707/2	0.5		1/4	1/4	Chord	2/2	1	1	1/8			1/8	1	971									76						8			8
90	89	354	354	0.5		3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	972									76						8			8
90	89	709/2	709/2	2.0		1/2	1/2	Chord	2/2	1	1	1/2			1/2	1	973									76						8			8
90	89	353	353	0.5		1/8	1/8	Chord	2/2	1	2	1/8			1/8	1	974															8			8
90	89	707/2	707/2	0.5		1/4	1/4	Chord	2/2	1	2	1/8			1/8	1	975															8			8
90	89	354	354	0.5		3/8	3/8	Chord	2/2	1	2	1/8			1/8	1	976															8			8
90	89	709/2	709/2	0.5		1/2	1/2	Chord	2/2	1	2	1/8			1/8	1	977															8			8
90	89	355	355	0.5		5/8	5/8	Chord	2/2	1	2	1/8			1/8	1	978															8			8
90	89	711/2	711/2	0.5		3/4	3/4	Chord	2/2	1	2	1/8			1/8	1	979															8			8
90	89	356	356	0.5		7/8	7/8	Chord	2/2	1	2	1/8			1/8	1	980															8			8
90	89	705/2	705/2	2.0		0	0	Chord	2/2	2	1	1/2			1/2	1	981									77									
90	89	709/2	709/2	2.0		1/2	1/2	Chord	2/2	2	1	1/2			1/2	1	982									77									
91	90	713/2	713/2	2.0		0	0	Chord	2/2	1	1	1/2			1/2	1	983									76						8			8
91	90	717/2	717/2	2.0		1/2	1/2	Chord	2/2	1	1	1/2			1/2	1	984															8			8
91	90	713/2	713/2	0.5		0	0	Chord	2/2	1	2	1/8			1/8	1	985															8			8
91	90	357	357	0.5		1/8	1/8	Chord	2/2	1	2	1/8			1/8	1	986															8			8
91	90	715/2	715/2	0.5		1/4	1/4	Chord	2/2	1	2	1/8			1/8	1	987															8			8
91	90	358	358	0.5		3/8	3/8	Chord	2/2	1	2	1/8			1/8	1	988															8			8
91	90	717/2	717/2	0.5		1/2	1/2	Chord	2/2	1	2	1/8			1/8	1	989															8			8
91	90	359	359	0.5		5/8	5/8	Chord	2/2	1	2	1/8			1/8	1	990															8			8
91	90	719/2	719/2	0.5		3/4	3/4	Chord	2/2	1	2	1/8			1/8	1	991															8			8
91	90	360	360	0.5		7/8	7/8	Chord	2/2	1	2	1/8			1/8	1	992															8			8
91	90	713/2	713/2	2.0		0	0	Chord	2/2	2	1	1/2			1/2	1	993									77									
91	90	717/2	717/2	2.0		1/2	1/2	Chord	2/2	2	1	1/2			1/2	1	994																		
92	91	721/2	721/2	0.0		0	0	Dynamic	2/2	1	1	0						f																	8
92	91	721/2	721/2	0.0		0	0	Spanner	2/2	1	1	0																							8
92	91	721/2	721/2	1.0		0	0	Chord	2/2	1	1	1/4			1/4	1	995																		8
92	91	723/2	723/2	0.0		1/4	1/4	Dynamic	2/2	1	1	0						sf																	
92	91	723/2	723/2	0.0		1/4	1/4	Spanner	2/2	1	1	0																							
92	91	723/2	723/2	0.0		1/4	1/4	Spanner	2/2	1	1	0																					7	7	
92	91	723/2	723/2	1.0		1/4	1/4	Chord	2/2	1	1	1/4			1/4	1	996		articStaccatissimoAbove														7	7	
92	91	725/2	725/2	0.0		1/2	1/2	Dynamic	2/2	1	1	0						f															7	7	
92	91	725/2	725/2	1.0		1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	997																7	7	
92	91	727/2	727/2	0.0		3/4	3/4	Spanner	2/2	1	1	0																							
92	91	727/2	727/2	0.5		3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	998																		
92	91	364	364	0.5		7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	999																		
92	91	721/2	721/2	1.0		0	0	Chord	2/2	1	2	1/4			1/4	1	1000																		
92	91	721/2	721/2	1.0		0	0	Chord	2/2	2	1	1/4			1/4	1	1001																		
92	91	723/2	723/2	0.0		1/4	1/4	Dynamic	2/2	2	1	0						sf																	
92	91	723/2	723/2	1.0		1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	1002		articStaccatissimoBelow																
93	92	729/2	729/2	1.0		0	0	Chord	2/2	1	1	1/4			1/4	1	1003		articStaccatissimoAbove																
93	92	731/2	731/2	1.0		1/4	1/4	Chord	2/2	1	1	1/4			1/4	1	1004		articStaccatissimoAbove																
93	92	731/2	731/2	0.0		1/4	1/4	Dynamic	2/2	2	1	0						sf																	
93	92	731/2	731/2	1.0		1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	1005		articStaccatissimoAbove																
93	92	733/2	733/2	0.0		1/2	1/2	Dynamic	2/2	2	1	0						f																	
93	92	733/2	733/2	1.0		1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	1006																		
93	92	735/2	735/2	0.5		3/4	3/4	Chord	2/2	2	1	1/8			1/8	1	1007																		
93	92	368	368	0.5		7/8	7/8	Chord	2/2	2	1	1/8			1/8	1	1008																		
94	93	739/2	739/2	0.0		1/4	1/4	Dynamic	2/2	1	1	0						sf																	
94	93	739/2	739/2	1.0		1/4	1/4	Chord	2/2	1	1	1/4			1/4	1	1009		articStaccatissimoAbove																
94	93	741/2	741/2	0.0		1/2	1/2	Dynamic	2/2	1	1	0						f																	
94	93	741/2	741/2	1.0		1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	1010																		
94	93	743/2	743/2	0.5		3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	1011																		
94	93	372	372	0.5		7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	1012																		
94	93	737/2	737/2	1.0		0	0	Chord	2/2	2	1	1/4			1/4	1	1013		articStaccatissimoAbove																
94	93	739/2	739/2	0.0		1/4	1/4	Dynamic	2/2	2	1	0						sf																	
94	93	739/2	739/2	0.0		1/4	1/4	Spanner	2/2	2	1	0																					8	8	
94	93	739/2	739/2	1.0		1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	1014		articStaccatissimoBelow														8	8	
94	93	741/2	741/2	0.0		1/2	1/2	Spanner	2/2	2	1	0																							
95	94	745/2	745/2	1.0		0	0	Chord	2/2	1	1	1/4			1/4	1	1015		articStaccatissimoAbove																
95	94	747/2	747/2	1.0		1/4	1/4	Chord	2/2	1	1	1/4			1/4	1	1016		articStaccatissimoAbove																
95	94	751/2	751/2	1.0		3/4	3/4	Chord	2/2	1	1	1/4			1/4	1	1017		articStaccatissimoAbove																
95	94	747/2	747/2	0.0		1/4	1/4	Dynamic	2/2	2	1	0						sf																	
95	94	747/2	747/2	1.0		1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	1018		articStaccatissimoBelow																
95	94	751/2	751/2	0.0		3/4	3/4	Dynamic	2/2	2	1	0						sf																	
95	94	751/2	751/2	1.0		3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	1019		articStaccatissimoBelow																
96	95	755/2	755/2	1.0		1/4	1/4	Chord	2/2	1	1	1/4			1/4	1	1020		articStaccatissimoAbove																
96	95	759/2	759/2	1.0		3/4	3/4	Chord	2/2	1	1	1/4			1/4	1	1021		articStaccatissimoAbove																
96	95	755/2	755/2	0.0		1/4	1/4	Dynamic	2/2	2	1	0						sf																	
96	95	755/2	755/2	1.0		1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	1022		articStaccatissimoBelow																
96	95	759/2	759/2	0.0		3/4	3/4	Dynamic	2/2	2	1	0						sf																	
96	95	759/2	759/2	1.0		3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	1023		articStaccatissimoBelow																
97	96	761/2	761/2	0.0		0	0	Dynamic	2/2	1	1	0						f																	
97	96	761/2	761/2	2.0		0	0	Chord	2/2	1	1	1/2			1/2	1	1024									78									
97	96	765/2	765/2	2.0		1/2	1/2	Chord	2/2	1	1	1/2			1/2	1	1025																		
97	96	761/2	761/2	0.5		0	0	Chord	2/2	2	1	1/8			1/8	1	1026																		
97	96	381	381	0.0		1/8	1/8	Dynamic	2/2	2	1	0						p																	
97	96	381	381	0.5		1/8	1/8	Chord	2/2	2	1	1/8			1/8	1	1027																		
97	96	763/2	763/2	0.5		1/4	1/4	Chord	2/2	2	1	1/8			1/8	1	1028																		
97	96	382	382	0.5		3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	1029																		
97	96	765/2	765/2	0.5		1/2	1/2	Chord	2/2	2	1	1/8			1/8	1	1030																		
97	96	383	383	0.5		5/8	5/8	Chord	2/2	2	1	1/8			1/8	1	1031																		
97	96	767/2	767/2	0.5		3/4	3/4	Chord	2/2	2	1	1/8			1/8	1	1032																		
97	96	384	384	0.5		7/8	7/8	Chord	2/2	2	1	1/8			1/8	1	1033																		
98	97	769/2	769/2	1.0		0	0	Chord	2/2	1	1	1/4			1/4	1	1034									79									
98	97	771/2	771/2	0.0		1/4	1/4	Dynamic	2/2	1	1	0						p																	
98	97	771/2	771/2	1.0		1/4	1/4	Chord	2/2	1	1	1/4			1/4	1	1035																		
98	97	773/2	773/2	0.0		1/2	1/2	Spanner	2/2	1	1	0																				9			
98	97	773/2	773/2	0.5		1/2	1/2	Chord	2/2	1	1	1/8			1/8	1	1036															9			
98	97	387	387	0.5		5/8	5/8	Chord	2/2	1	1	1/8			1/8	1	1037															9			
98	97	775/2	775/2	0.5		3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	1038															9			
98	97	388	388	0.5		7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	1039															9			
98	97	769/2	769/2	0.5		0	0	Chord	2/2	2	1	1/8			1/8	1	1040																		
98	97	385	385	0.5		1/8	1/8	Chord	2/2	2	1	1/8			1/8	1	1041																		
98	97	771/2	771/2	0.5		1/4	1/4	Chord	2/2	2	1	1/8			1/8	1	1042																		
98	97	386	386	0.5		3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	1043																		
98	97	775/2	775/2	0.5		3/4	3/4	Chord	2/2	2	1	1/8			1/8	1	1044																		
98	97	388	388	0.5		7/8	7/8	Chord	2/2	2	1	1/8			1/8	1	1045																		
99	98	777/2	777/2	0.5		0	0	Chord	2/2	1	1	1/8			1/8	1	1046															9			
99	98	389	389	0.5		1/8	1/8	Chord	2/2	1	1	1/8			1/8	1	1047															9			
99	98	779/2	779/2	0.5		1/4	1/4	Chord	2/2	1	1	1/8			1/8	1	1048															9			
99	98	390	390	0.5		3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	1049															9			
99	98	781/2	781/2	0.0		1/2	1/2	Spanner	2/2	1	1	0																				9			9
99	98	781/2	781/2	0.5		1/2	1/2	Chord	2/2	1	1	1/8			1/8	1	1050															9			9
99	98	391	391	0.5		5/8	5/8	Chord	2/2	1	1	1/8			1/8	1	1051															9			9
99	98	783/2	783/2	0.5		3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	1052															9			9
99	98	392	392	0.5		7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	1053															9			9
99	98	777/2	777/2	0.5		0	0	Chord	2/2	2	1	1/8			1/8	1	1054																		
99	98	389	389	0.5		1/8	1/8	Chord	2/2	2	1	1/8			1/8	1	1055																		
99	98	779/2	779/2	0.5		1/4	1/4	Chord	2/2	2	1	1/8			1/8	1	1056																		
99	98	390	390	0.5		3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	1057																		
99	98	781/2	781/2	0.5		1/2	1/2	Chord	2/2	2	1	1/8			1/8	1	1058																		
99	98	391	391	0.5		5/8	5/8	Chord	2/2	2	1	1/8			1/8	1	1059																		
99	98	783/2	783/2	0.5		3/4	3/4	Chord	2/2	2	1	1/8			1/8	1	1060																		
99	98	392	392	0.5		7/8	7/8	Chord	2/2	2	1	1/8			1/8	1	1061																		
100	99	785/2	785/2	0.5		0	0	Chord	2/2	1	1	1/8			1/8	1	1062															9			9
100	99	393	393	0.5		1/8	1/8	Chord	2/2	1	1	1/8			1/8	1	1063															9			9
100	99	787/2	787/2	0.5		1/4	1/4	Chord	2/2	1	1	1/8			1/8	1	1064															9			9
100	99	394	394	0.5		3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	1065															9			9
100	99	789/2	789/2	1.0		1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	1066															9			9
100	99	791/2	791/2	0.0		3/4	3/4	Dynamic	2/2	1	1	0						mf																	
100	99	791/2	791/2	0.0		3/4	3/4	Dynamic	2/2	1	1	0						mf																	
100	99	791/2	791/2	0.0		3/4	3/4	Spanner	2/2	1	1	0																							
100	99	791/2	791/2	0.0		3/4	3/4	Spanner	2/2	1	1	0																							
100	99	791/2	791/2	1.0		3/4	3/4	Chord	2/2	1	1	1/4			1/4	1	1067																		
100	99	785/2	785/2	0.5		0	0	Chord	2/2	2	1	1/8			1/8	1	1068																		
100	99	393	393	0.5		1/8	1/8	Chord	2/2	2	1	1/8			1/8	1	1069																		
100	99	787/2	787/2	0.5		1/4	1/4	Chord	2/2	2	1	1/8			1/8	1	1070																		
100	99	394	394	0.5		3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	1071																		
100	99	789/2	789/2	1.0		1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	1072																		
100	99	791/2	791/2	0.3333333333333333		3/4	3/4	Chord	2/2	2	1	1/12			1/8	2/3	1073									80									
100	99	2375/6	2375/6	0.3333333333333333		5/6	5/6	Chord	2/2	2	1	1/12			1/8	2/3	1074									80									
100	99	2377/6	2377/6	0.3333333333333333		11/12	11/12	Chord	2/2	2	1	1/12			1/8	2/3	1075																		
101	100	793/2	793/2	0.0		0	0	Dynamic	2/2	1	1	0						p																	
101	100	793/2	793/2	0.0		0	0	SystemText	2/2	1	1	0								"<i><font size=""12""/>dolce ed espressivo</i>"															
101	100	793/2	793/2	0.0		0	0	SystemText	2/2	1	1	0								"<i><font size=""12""/>-           -            -            -            -            -</i>"															
101	100	793/2	793/2	0.0		0	0	SystemText	2/2	1	1	0								"<i><font size=""12""/>cantabile</i>"															
101	100	793/2	793/2	4.0		0	0	Chord	2/2	1	1	1			1	1	1076									81									
101	100	793/2	793/2	0.6666666666666666		0	0	Chord	2/2	2	1	1/6			1/4	2/3	1077																		
101	100	2383/6	2383/6	0.6666666666666666		1/6	1/6	Chord	2/2	2	1	1/6			1/4	2/3	1078																		
101	100	2387/6	2387/6	0.6666666666666666		1/3	1/3	Chord	2/2	2	1	1/6			1/4	2/3	1079																		
101	100	797/2	797/2	0.6666666666666666		1/2	1/2	Chord	2/2	2	1	1/6			1/4	2/3	1080																		
101	100	2395/6	2395/6	0.6666666666666666		2/3	2/3	Chord	2/2	2	1	1/6			1/4	2/3	1081																		
101	100	2399/6	2399/6	0.6666666666666666		5/6	5/6	Chord	2/2	2	1	1/6			1/4	2/3	1082																		
102	101	801/2	801/2	2.0		0	0	Chord	2/2	1	1	1/2			1/2	1	1083									81									
102	101	805/2	805/2	2.0		1/2	1/2	Chord	2/2	1	1	1/2			1/2	1	1084																		
102	101	801/2	801/2	2.0		0	0	Chord	2/2	1	2	1/2			1/2	1	1085																		
102	101	805/2	805/2	2.0		1/2	1/2	Chord	2/2	1	2	1/2			1/2	1	1086																		
102	101	801/2	801/2	0.6666666666666666		0	0	Chord	2/2	2	1	1/6			1/4	2/3	1087																		
102	101	2407/6	2407/6	0.6666666666666666		1/6	1/6	Chord	2/2	2	1	1/6			1/4	2/3	1088																		
102	101	2411/6	2411/6	0.6666666666666666		1/3	1/3	Chord	2/2	2	1	1/6			1/4	2/3	1089																		
102	101	805/2	805/2	0.6666666666666666		1/2	1/2	Chord	2/2	2	1	1/6			1/4	2/3	1090																		
102	101	2419/6	2419/6	0.6666666666666666		2/3	2/3	Chord	2/2	2	1	1/6			1/4	2/3	1091																		
102	101	2423/6	2423/6	0.6666666666666666		5/6	5/6	Chord	2/2	2	1	1/6			1/4	2/3	1092																		
103	102	809/2	809/2	4.0		0	0	Chord	2/2	1	1	1			1	1	1093									82									
103	102	809/2	809/2	2.0		0	0	Chord	2/2	1	2	1/2			1/2	1	1094																		
103	102	813/2	813/2	2.0		1/2	1/2	Chord	2/2	1	2	1/2			1/2	1	1095																		
103	102	809/2	809/2	0.6666666666666666		0	0	Chord	2/2	2	1	1/6			1/4	2/3	1096																		
103	102	2431/6	2431/6	0.6666666666666666		1/6	1/6	Chord	2/2	2	1	1/6			1/4	2/3	1097																		
103	102	2435/6	2435/6	0.6666666666666666		1/3	1/3	Chord	2/2	2	1	1/6			1/4	2/3	1098																		
103	102	813/2	813/2	0.6666666666666666		1/2	1/2	Chord	2/2	2	1	1/6			1/4	2/3	1099																		
103	102	2443/6	2443/6	0.6666666666666666		2/3	2/3	Chord	2/2	2	1	1/6			1/4	2/3	1100																		
103	102	2447/6	2447/6	0.6666666666666666		5/6	5/6	Chord	2/2	2	1	1/6			1/4	2/3	1101																		
104	103	817/2	817/2	2.0		0	0	Chord	2/2	1	1	1/2			1/2	1	1102									82									
104	103	821/2	821/2	2.0		1/2	1/2	Chord	2/2	1	1	1/2			1/2	1	1103																		
104	103	817/2	817/2	2.0		0	0	Chord	2/2	1	2	1/2			1/2	1	1104																		
104	103	821/2	821/2	2.0		1/2	1/2	Chord	2/2	1	2	1/2			1/2	1	1105																		
104	103	817/2	817/2	0.6666666666666666		0	0	Chord	2/2	2	1	1/6			1/4	2/3	1106																		
104	103	2455/6	2455/6	0.6666666666666666		1/6	1/6	Chord	2/2	2	1	1/6			1/4	2/3	1107																		
104	103	2459/6	2459/6	0.6666666666666666		1/3	1/3	Chord	2/2	2	1	1/6			1/4	2/3	1108																		
104	103	821/2	821/2	0.6666666666666666		1/2	1/2	Chord	2/2	2	1	1/6			1/4	2/3	1109																		
104	103	2467/6	2467/6	0.6666666666666666		2/3	2/3	Chord	2/2	2	1	1/6			1/4	2/3	1110																		
104	103	2471/6	2471/6	0.6666666666666666		5/6	5/6	Chord	2/2	2	1	1/6			1/4	2/3	1111																		
105	104	825/2	825/2	2.0		0	0	Chord	2/2	1	1	1/2			1/2	1	1112									83									
105	104	829/2	829/2	2.0		1/2	1/2	Chord	2/2	1	1	1/2			1/2	1	1113									83									
105	104	825/2	825/2	4.0		0	0	Chord	2/2	1	2	1			1	1	1114																		
105	104	825/2	825/2	0.6666666666666666		0	0	Chord	2/2	2	1	1/6			1/4	2/3	1115																		
105	104	2479/6	2479/6	0.6666666666666666		1/6	1/6	Chord	2/2	2	1	1/6			1/4	2/3	1116																		
105	104	2483/6	2483/6	0.6666666666666666		1/3	1/3	Chord	2/2	2	1	1/6			1/4	2/3	1117																		
105	104	829/2	829/2	0.6666666666666666		1/2	1/2	Chord	2/2	2	1	1/6			1/4	2/3	1118																		
105	104	2491/6	2491/6	0.6666666666666666		2/3	2/3	Chord	2/2	2	1	1/6			1/4	2/3	1119																		
105	104	2495/6	2495/6	0.6666666666666666		5/6	5/6	Chord	2/2	2	1	1/6			1/4	2/3	1120																		
106	105	833/2	833/2	2.0		0	0	Chord	2/2	1	1	1/2			1/2	1	1121									83									
106	105	837/2	837/2	1.5		1/2	1/2	Chord	2/2	1	1	3/8			1/4	3/2	1122									83									
106	105	420	420	0.5		7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	1123																		
106	105	833/2	833/2	2.0		0	0	Chord	2/2	1	2	1/2			1/2	1	1124																		
106	105	839/2	839/2	1.0		3/4	3/4	Chord	2/2	1	2	1/4			1/4	1	1125																		
106	105	833/2	833/2	0.6666666666666666		0	0	Chord	2/2	2	1	1/6			1/4	2/3	1126																		
