mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	slur	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin	decrescendo_hairpin
15	14	104/3	104/3	0.08333333333333333	2/3	2/3	Chord	3/4	1	1	1/48		1/32	2/3	251							5	
15	14	139/4	139/4	0.08333333333333333	11/16	11/16	Chord	3/4	1	1	1/48		1/32	2/3	252							5	
15	14	209/6	209/6	0.08333333333333333	17/24	17/24	Chord	3/4	1	1	1/48		1/32	2/3	253							5	
15	14	419/12	419/12	0.08333333333333333	35/48	35/48	Chord	3/4	1	1	1/48		1/32	2/3	254							5	
15	14	32	32	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	255								
15	14	129/4	129/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	256								
15	14	131/4	131/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	257								
15	14	133/4	133/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	258								
15	14	67/2	67/2	0.08333333333333333	3/8	3/8	Chord	3/4	2	1	1/48		1/32	2/3	259								
15	14	403/12	403/12	0.08333333333333333	19/48	19/48	Chord	3/4	2	1	1/48		1/32	2/3	260								
15	14	101/3	101/3	0.08333333333333333	5/12	5/12	Chord	3/4	2	1	1/48		1/32	2/3	261								
15	14	135/4	135/4	0.08333333333333333	7/16	7/16	Chord	3/4	2	1	1/48		1/32	2/3	262								
15	14	203/6	203/6	0.08333333333333333	11/24	11/24	Chord	3/4	2	1	1/48		1/32	2/3	263								
15	14	407/12	407/12	0.08333333333333333	23/48	23/48	Chord	3/4	2	1	1/48		1/32	2/3	264								
15	14	34	34	0.08333333333333333	1/2	1/2	Chord	3/4	2	1	1/48		1/32	2/3	265								
15	14	409/12	409/12	0.08333333333333333	25/48	25/48	Chord	3/4	2	1	1/48		1/32	2/3	266								
15	14	205/6	205/6	0.08333333333333333	13/24	13/24	Chord	3/4	2	1	1/48		1/32	2/3	267								
15	14	137/4	137/4	0.08333333333333333	9/16	9/16	Chord	3/4	2	1	1/48		1/32	2/3	268								
15	14	103/3	103/3	0.08333333333333333	7/12	7/12	Chord	3/4	2	1	1/48		1/32	2/3	269								
15	14	413/12	413/12	0.08333333333333333	29/48	29/48	Chord	3/4	2	1	1/48		1/32	2/3	270								
15	14	69/2	69/2	0.08333333333333333	5/8	5/8	Chord	3/4	2	1	1/48		1/32	2/3	271								
15	14	415/12	415/12	0.08333333333333333	31/48	31/48	Chord	3/4	2	1	1/48		1/32	2/3	272								
15	14	104/3	104/3	0.08333333333333333	2/3	2/3	Chord	3/4	2	1	1/48		1/32	2/3	273								
15	14	139/4	139/4	0.08333333333333333	11/16	11/16	Chord	3/4	2	1	1/48		1/32	2/3	274								
15	14	209/6	209/6	0.08333333333333333	17/24	17/24	Chord	3/4	2	1	1/48		1/32	2/3	275								
15	14	419/12	419/12	0.08333333333333333	35/48	35/48	Chord	3/4	2	1	1/48		1/32	2/3	276								
16	15	35	35	0.08333333333333333	0	0	Chord	3/4	1	1	1/48		1/32	2/3	277							5	
16	15	421/12	421/12	0.08333333333333333	1/48	1/48	Chord	3/4	1	1	1/48		1/32	2/3	278							5	
16	15	211/6	211/6	0.08333333333333333	1/24	1/24	Chord	3/4	1	1	1/48		1/32	2/3	279							5	
16	15	141/4	141/4	0.08333333333333333	1/16	1/16	Chord	3/4	1	1	1/48		1/32	2/3	280							5	
16	15	106/3	106/3	0.08333333333333333	1/12	1/12	Chord	3/4	1	1	1/48		1/32	2/3	281							5	
16	15	425/12	425/12	0.08333333333333333	5/48	5/48	Chord	3/4	1	1	1/48		1/32	2/3	282							5	
16	15	71/2	71/2	0.08333333333333333	1/8	1/8	Chord	3/4	1	1	1/48		1/32	2/3	283							5	
16	15	427/12	427/12	0.08333333333333333	7/48	7/48	Chord	3/4	1	1	1/48		1/32	2/3	284							5	
16	15	107/3	107/3	0.08333333333333333	1/6	1/6	Chord	3/4	1	1	1/48		1/32	2/3	285							5	
16	15	143/4	143/4	0.08333333333333333	3/16	3/16	Chord	3/4	1	1	1/48		1/32	2/3	286							5	
16	15	215/6	215/6	0.08333333333333333	5/24	5/24	Chord	3/4	1	1	1/48		1/32	2/3	287							5	
16	15	431/12	431/12	0.08333333333333333	11/48	11/48	Chord	3/4	1	1	1/48		1/32	2/3	288							5	
16	15	36	36	0.08333333333333333	1/4	1/4	Chord	3/4	1	1	1/48		1/32	2/3	289							5	
16	15	433/12	433/12	0.08333333333333333	13/48	13/48	Chord	3/4	1	1	1/48		1/32	2/3	290							5	
16	15	217/6	217/6	0.08333333333333333	7/24	7/24	Chord	3/4	1	1	1/48		1/32	2/3	291							5	
16	15	145/4	145/4	0.08333333333333333	5/16	5/16	Chord	3/4	1	1	1/48		1/32	2/3	292							5	
16	15	109/3	109/3	0.08333333333333333	1/3	1/3	Chord	3/4	1	1	1/48		1/32	2/3	293							5	
16	15	437/12	437/12	0.08333333333333333	17/48	17/48	Chord	3/4	1	1	1/48		1/32	2/3	294							5	
16	15	73/2	73/2	0.0	3/8	3/8	Spanner	3/4	1	1	0												
16	15	75/2	75/2	0.08333333333333333	5/8	5/8	Chord	3/4	1	1	1/48		1/32	2/3	295								
16	15	451/12	451/12	0.08333333333333333	31/48	31/48	Chord	3/4	1	1	1/48		1/32	2/3	296								
16	15	113/3	113/3	0.08333333333333333	2/3	2/3	Chord	3/4	1	1	1/48		1/32	2/3	297								
16	15	151/4	151/4	0.08333333333333333	11/16	11/16	Chord	3/4	1	1	1/48		1/32	2/3	298								
16	15	227/6	227/6	0.08333333333333333	17/24	17/24	Chord	3/4	1	1	1/48		1/32	2/3	299								
16	15	455/12	455/12	0.08333333333333333	35/48	35/48	Chord	3/4	1	1	1/48		1/32	2/3	300								
16	15	38	38	0.25	3/4	3/4	Chord	3/4	1	1	1/16		1/16	1	301								
16	15	153/4	153/4	0.25	13/16	13/16	Chord	3/4	1	1	1/16		1/16	1	302								
16	15	77/2	77/2	0.25	7/8	7/8	Chord	3/4	1	1	1/16		1/16	1	303								
16	15	155/4	155/4	0.25	15/16	15/16	Chord	3/4	1	1	1/16		1/16	1	304								
16	15	39	39	0.25	1	1	Chord	3/4	1	1	1/16		1/16	1	305								
16	15	157/4	157/4	0.25	17/16	17/16	Chord	3/4	1	1	1/16		1/16	1	306								
16	15	79/2	79/2	0.25	9/8	9/8	Chord	3/4	1	1	1/16		1/16	1	307								
16	15	159/4	159/4	0.25	19/16	19/16	Chord	3/4	1	1	1/16		1/16	1	308								
16	15	35	35	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	309								
16	15	141/4	141/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	310		articStaccatoAbove						
16	15	71/2	71/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	311		articStaccatoAbove						
16	15	143/4	143/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	312		articStaccatoAbove						
16	15	36	36	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	313								
16	15	73/2	73/2	0.08333333333333333	3/8	3/8	Chord	3/4	2	1	1/48		1/32	2/3	314								
16	15	439/12	439/12	0.08333333333333333	19/48	19/48	Chord	3/4	2	1	1/48		1/32	2/3	315								
16	15	110/3	110/3	0.08333333333333333	5/12	5/12	Chord	3/4	2	1	1/48		1/32	2/3	316								
16	15	147/4	147/4	0.08333333333333333	7/16	7/16	Chord	3/4	2	1	1/48		1/32	2/3	317								
16	15	221/6	221/6	0.0	11/24	11/24	Spanner	3/4	2	1	0												1
16	15	221/6	221/6	0.08333333333333333	11/24	11/24	Chord	3/4	2	1	1/48		1/32	2/3	318								1
16	15	443/12	443/12	0.08333333333333333	23/48	23/48	Chord	3/4	2	1	1/48		1/32	2/3	319								1
16	15	37	37	0.08333333333333333	1/2	1/2	Chord	3/4	2	1	1/48		1/32	2/3	320								1
16	15	445/12	445/12	0.08333333333333333	25/48	25/48	Chord	3/4	2	1	1/48		1/32	2/3	321								1
16	15	223/6	223/6	0.08333333333333333	13/24	13/24	Chord	3/4	2	1	1/48		1/32	2/3	322								1
16	15	149/4	149/4	0.08333333333333333	9/16	9/16	Chord	3/4	2	1	1/48		1/32	2/3	323								1
16	15	112/3	112/3	0.08333333333333333	7/12	7/12	Chord	3/4	2	1	1/48		1/32	2/3	324								1
16	15	449/12	449/12	0.08333333333333333	29/48	29/48	Chord	3/4	2	1	1/48		1/32	2/3	325								1
16	15	73/2	73/2	0.0	3/8	3/8	Dynamic	3/4	2	2	0					sf							1
16	15	73/2	73/2	0.25	3/8	3/8	Chord	3/4	2	2	1/16		1/16	1	326								1
17	15	40	40	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	327								
17	15	81/2	81/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	328			57					
17	15	163/4	163/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	329								
17	15	40	40	0.0	0	0	Spanner	2/4	2	1	0												
17	15	40	40	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	330			58					
17	15	161/4	161/4	0.75	1/16	1/16	Chord	2/4	2	1	3/16		1/8	3/2	331								
17	15	40	40	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	332								
18	16	83/2	83/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	333			59					
18	16	167/4	167/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	334								
18	16	85/2	85/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	335			60					
18	16	171/4	171/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	336								
18	16	41	41	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	337								
18	16	42	42	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	338								
18	16	41	41	0.25	0	0	Chord	2/4	2	2	1/16		1/16	1	339			61					
18	16	165/4	165/4	0.75	1/16	1/16	Chord	2/4	2	2	3/16		1/8	3/2	340								
18	16	42	42	0.25	1/4	1/4	Chord	2/4	2	2	1/16		1/16	1	341			62					
18	16	169/4	169/4	0.75	5/16	5/16	Chord	2/4	2	2	3/16		1/8	3/2	342								
19	17	87/2	87/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	343			63					
19	17	175/4	175/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	344								
19	17	89/2	89/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	345			64					
19	17	179/4	179/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	346								
19	17	43	43	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	347								
19	17	44	44	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	348								
19	17	43	43	0.25	0	0	Chord	2/4	2	2	1/16		1/16	1	349			65					
19	17	173/4	173/4	0.75	1/16	1/16	Chord	2/4	2	2	3/16		1/8	3/2	350								
19	17	44	44	0.25	1/4	1/4	Chord	2/4	2	2	1/16		1/16	1	351			66					
19	17	177/4	177/4	0.75	5/16	5/16	Chord	2/4	2	2	3/16		1/8	3/2	352								
20	18	91/2	91/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	353			67					
20	18	183/4	183/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	354								
20	18	93/2	93/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	355			68					
20	18	187/4	187/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	356								
20	18	45	45	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	357			69					
20	18	181/4	181/4	0.75	1/16	1/16	Chord	2/4	2	1	3/16		1/8	3/2	358								
20	18	46	46	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	359			70					
20	18	185/4	185/4	0.75	5/16	5/16	Chord	2/4	2	1	3/16		1/8	3/2	360								
20	18	45	45	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	361								
20	18	46	46	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	362								
21	19	95/2	95/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	363			71					
21	19	191/4	191/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	364								
21	19	97/2	97/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	365			72					
21	19	195/4	195/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	366								
21	19	47	47	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	367			73					
21	19	189/4	189/4	0.75	1/16	1/16	Chord	2/4	2	1	3/16		1/8	3/2	368								
21	19	48	48	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	369			74					
21	19	193/4	193/4	0.75	5/16	5/16	Chord	2/4	2	1	3/16		1/8	3/2	370								
21	19	47	47	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	371								
21	19	48	48	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	372								
22	20	99/2	99/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	373			75					
22	20	199/4	199/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	374								
22	20	101/2	101/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	375			76					
22	20	203/4	203/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	376								
22	20	49	49	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	377			77					
22	20	197/4	197/4	0.75	1/16	1/16	Chord	2/4	2	1	3/16		1/8	3/2	378								
22	20	50	50	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	379			78					
22	20	201/4	201/4	0.75	5/16	5/16	Chord	2/4	2	1	3/16		1/8	3/2	380								
22	20	49	49	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	381								
22	20	50	50	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	382								
23	21	103/2	103/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	383			79					
23	21	207/4	207/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	384								
23	21	52	52	0.0	1/4	1/4	Spanner	2/4	1	1	0											6	
23	21	52	52	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	385			80				6	
23	21	52	52	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	386			81				6	
23	21	209/4	209/4	0.75	5/16	5/16	Chord	2/4	1	2	3/16		1/8	3/2	387							6	
23	21	51	51	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	388								
23	21	105/2	105/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	389			82					
23	21	211/4	211/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	390								
23	21	51	51	0.25	0	0	Chord	2/4	2	2	1/16		1/16	1	391			83					
23	21	205/4	205/4	0.75	1/16	1/16	Chord	2/4	2	2	3/16		1/8	3/2	392								
24	22	53	53	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	393			80				6	
24	22	54	54	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	394			80				6	
24	22	53	53	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	395			84				6	
24	22	213/4	213/4	0.75	1/16	1/16	Chord	2/4	1	2	3/16		1/8	3/2	396							6	
24	22	54	54	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	397			85				6	
24	22	217/4	217/4	0.75	5/16	5/16	Chord	2/4	1	2	3/16		1/8	3/2	398							6	
24	22	107/2	107/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	399			86					
24	22	215/4	215/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	400								
24	22	109/2	109/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	401			87					
24	22	219/4	219/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	402								
25	23	55	55	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	403			80				6	
25	23	56	56	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	404			80				6	
25	23	55	55	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	405			88				6	
25	23	221/4	221/4	0.75	1/16	1/16	Chord	2/4	1	2	3/16		1/8	3/2	406							6	
25	23	56	56	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	407			89				6	
25	23	225/4	225/4	0.75	5/16	5/16	Chord	2/4	1	2	3/16		1/8	3/2	408							6	
25	23	111/2	111/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	409			90					
25	23	223/4	223/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	410								
25	23	113/2	113/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	411			91					
25	23	227/4	227/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	412								
26	24	57	57	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	413			80				6	
26	24	58	58	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	414			80				6	
26	24	57	57	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	415			92				6	
26	24	229/4	229/4	0.75	1/16	1/16	Chord	2/4	1	2	3/16		1/8	3/2	416							6	
26	24	58	58	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	417			93				6	
26	24	233/4	233/4	0.75	5/16	5/16	Chord	2/4	1	2	3/16		1/8	3/2	418							6	
26	24	115/2	115/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	419			94					
26	24	231/4	231/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	420								
26	24	117/2	117/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	421			95					
26	24	235/4	235/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	422								
27	25	59	59	0.0	0	0	Spanner	2/4	1	1	0							80					
27	25	59	59	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	423			80					
27	25	60	60	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	424			80					
27	25	59	59	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	425			96					
27	25	237/4	237/4	0.75	1/16	1/16	Chord	2/4	1	2	3/16		1/8	3/2	426								
27	25	60	60	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	427			97					
27	25	241/4	241/4	0.75	5/16	5/16	Chord	2/4	1	2	3/16		1/8	3/2	428								
27	25	119/2	119/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	429			98					
27	25	239/4	239/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	430								
27	25	121/2	121/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	431			99					
27	25	243/4	243/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	432								
28	26	61	61	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	433			80					
28	26	62	62	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	434			80					
28	26	61	61	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	435			100					
28	26	245/4	245/4	0.75	1/16	1/16	Chord	2/4	1	2	3/16		1/8	3/2	436								
28	26	62	62	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	437			101					
28	26	249/4	249/4	0.75	5/16	5/16	Chord	2/4	1	2	3/16		1/8	3/2	438								
28	26	123/2	123/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	439			102					
28	26	247/4	247/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	440								
28	26	125/2	125/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	441			103					
28	26	251/4	251/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	442								
29	27	63	63	0.0	0	0	Spanner	2/4	1	1	0							80				7	
29	27	63	63	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	443			80				7	
29	27	64	64	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	444			80				7	
29	27	63	63	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	445			104				7	
29	27	253/4	253/4	0.75	1/16	1/16	Chord	2/4	1	2	3/16		1/8	3/2	446							7	
29	27	64	64	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	447			105				7	
29	27	257/4	257/4	0.75	5/16	5/16	Chord	2/4	1	2	3/16		1/8	3/2	448							7	
29	27	127/2	127/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	449			106					
29	27	255/4	255/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	450								
29	27	129/2	129/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	451			107					
29	27	259/4	259/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	452								
30	28	65	65	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	453			80				7	
30	28	66	66	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	454			80				7	
30	28	65	65	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	455			108				7	
30	28	261/4	261/4	0.75	1/16	1/16	Chord	2/4	1	2	3/16		1/8	3/2	456							7	
30	28	66	66	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	457			109				7	
30	28	265/4	265/4	0.75	5/16	5/16	Chord	2/4	1	2	3/16		1/8	3/2	458							7	
30	28	131/2	131/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	459			110					
30	28	263/4	263/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	460								
30	28	133/2	133/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	461			111					
30	28	267/4	267/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	462								
31	29	67	67	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	463			80				7	
31	29	68	68	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	464			80				7	
31	29	67	67	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	465			112				7	
31	29	269/4	269/4	0.75	1/16	1/16	Chord	2/4	1	2	3/16		1/8	3/2	466							7	
31	29	68	68	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	467			113				7	
31	29	273/4	273/4	0.75	5/16	5/16	Chord	2/4	1	2	3/16		1/8	3/2	468							7	
31	29	135/2	135/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	469			114					
31	29	271/4	271/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	470								
31	29	137/2	137/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	471			115					
31	29	275/4	275/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	472								
32	30	69	69	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	473			80				7	
32	30	70	70	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	474			80				7	
32	30	69	69	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	475			116				7	
32	30	277/4	277/4	0.75	1/16	1/16	Chord	2/4	1	2	3/16		1/8	3/2	476							7	
32	30	70	70	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	477			117				7	
32	30	281/4	281/4	0.75	5/16	5/16	Chord	2/4	1	2	3/16		1/8	3/2	478							7	
32	30	139/2	139/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	479			118					
32	30	279/4	279/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	480								
32	30	141/2	141/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	481			119					
32	30	283/4	283/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	482								
33	31	71	71	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	483			80				7	
33	31	72	72	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	484			80				7	
33	31	71	71	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	485			120				7	
33	31	285/4	285/4	0.75	1/16	1/16	Chord	2/4	1	2	3/16		1/8	3/2	486							7	
33	31	72	72	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	487			121				7	
33	31	289/4	289/4	0.75	5/16	5/16	Chord	2/4	1	2	3/16		1/8	3/2	488							7	
33	31	143/2	143/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	489			122					
33	31	287/4	287/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	490								
33	31	145/2	145/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	491			123					
33	31	291/4	291/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	492								
34	32	73	73	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	493			80				7	
34	32	74	74	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	494			80				7	
34	32	73	73	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	495			124				7	
34	32	293/4	293/4	0.75	1/16	1/16	Chord	2/4	1	2	3/16		1/8	3/2	496							7	
34	32	74	74	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	497			125				7	
34	32	297/4	297/4	0.75	5/16	5/16	Chord	2/4	1	2	3/16		1/8	3/2	498							7	
34	32	147/2	147/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	499			126					
34	32	295/4	295/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	500								
34	32	149/2	149/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	501			127					
34	32	299/4	299/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	502								
35	33	75	75	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	503			80				7	
35	33	76	76	0.0	1/4	1/4	Spanner	2/4	1	1	0							80					
35	33	76	76	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	504			80					
35	33	75	75	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	505			128					
35	33	301/4	301/4	0.75	1/16	1/16	Chord	2/4	1	2	3/16		1/8	3/2	506								
35	33	76	76	0.0	1/4	1/4	Dynamic	2/4	1	2	0					sfp							
35	33	76	76	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	507			129					
35	33	305/4	305/4	0.75	5/16	5/16	Chord	2/4	1	2	3/16		1/8	3/2	508								
35	33	151/2	151/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	509			130					
35	33	303/4	303/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	510								
35	33	153/2	153/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	511			131					
35	33	307/4	307/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	512								
36	34	77	77	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	513			80					
36	34	78	78	0.0	1/4	1/4	Dynamic	2/4	1	1	0					sfp		80					
36	34	78	78	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	514			80					
36	34	77	77	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	515			132					
36	34	309/4	309/4	0.75	1/16	1/16	Chord	2/4	1	2	3/16		1/8	3/2	516								
36	34	78	78	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	517			133					
