mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	crescendo_hairpin
43	40	124	124	0.5		5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	257					
43	40	123	123	0.0		3/8	3/8	Dynamic	3/4	2	1	0					p			
44	41	249/2	249/2	3.0		0	0	Chord	3/4	1	1	3/4	1/2	3/2	258					
44	41	249/2	249/2	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	259			articStaccatoBelow		
44	41	251/2	251/2	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	260			articStaccatoBelow		
44	41	253/2	253/2	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	261			articStaccatoBelow		
45	42	255/2	255/2	3.0		0	0	Chord	3/4	1	1	3/4	1/2	3/2	262					
45	42	255/2	255/2	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	263			articStaccatoBelow		
45	42	257/2	257/2	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	264			articStaccatoBelow		
45	42	259/2	259/2	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	265			articStaccatoBelow		
45	42	129	129	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	266				49	
45	42	259/2	259/2	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	267				49	
45	42	130	130	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	268					
46	43	261/2	261/2	3.0		0	0	Chord	3/4	1	1	3/4	1/2	3/2	269					
46	43	261/2	261/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	270			articStaccatoAbove		
46	43	263/2	263/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	271			articStaccatoAbove		
46	43	265/2	265/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	272			articStaccatoAbove		
47	44	267/2	267/2	3.0		0	0	Chord	3/4	1	1	3/4	1/2	3/2	273					
47	44	267/2	267/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	274			articStaccatoAbove		
47	44	269/2	269/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	275			articStaccatoAbove		
47	44	271/2	271/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	276			articStaccatoAbove		
48	45	273/2	273/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	277			articStaccatoAbove		
48	45	275/2	275/2	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	278					
48	45	277/2	277/2	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	279			articStaccatoAbove		
48	45	273/2	273/2	2.0		0	0	Chord	3/4	1	2	1/2	1/2	1	280					
48	45	277/2	277/2	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	281					
48	45	273/2	273/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	282					
48	45	277/2	277/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	283			articStaccatoBelow		
49	46	279/2	279/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	284			articStaccatoAbove		
49	46	279/2	279/2	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	285					
49	46	279/2	279/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	286					
49	46	141	141	0.0		3/8	3/8	Dynamic	3/4	2	1	0					p			
49	46	141	141	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	287				50	
49	46	283/2	283/2	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	288				50	
49	46	142	142	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	289					
50	47	144	144	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	290				51	
50	47	289/2	289/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	291				51	
50	47	145	145	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	292					
50	47	285/2	285/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	293			articStaccatoAbove		
50	47	287/2	287/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	294			articStaccatoAbove		
50	47	289/2	289/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	295			articStaccatoAbove		
51	48	291/2	291/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	296			articStaccatoAbove		
51	48	147	147	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	297				52	
51	48	295/2	295/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	298				52	
51	48	148	148	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	299					
51	48	291/2	291/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	300			articStaccatoBelow		
51	48	293/2	293/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	301			articStaccatoBelow		
51	48	295/2	295/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	302			articStaccatoBelow		
52	49	297/2	297/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	303			articStaccatoAbove		
52	49	150	150	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	304				53	
52	49	301/2	301/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	305				53	
52	49	151	151	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	306					
52	49	297/2	297/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	307			articStaccatoBelow		
52	49	299/2	299/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	308			articStaccatoBelow		
52	49	301/2	301/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	309			articStaccatoBelow		
53	50	303/2	303/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	310			articStaccatoAbove		
53	50	153	153	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	311				54	
53	50	307/2	307/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	312				54	
53	50	154	154	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	313					
53	50	303/2	303/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	314			articStaccatoBelow		
53	50	305/2	305/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	315			articStaccatoBelow		
53	50	307/2	307/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	316			articStaccatoBelow		
54	51	309/2	309/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	317			articStaccatoAbove		
54	51	156	156	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	318				55	
54	51	313/2	313/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	319				55	
54	51	157	157	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	320					
54	51	309/2	309/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	321			articStaccatoAbove		
54	51	311/2	311/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	322			articStaccatoAbove		
54	51	313/2	313/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	323			articStaccatoAbove		
55	52	315/2	315/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	324			articStaccatoAbove		
55	52	159	159	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	325				56	
55	52	319/2	319/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	326				56	
55	52	160	160	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	327					
55	52	315/2	315/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	328			articStaccatoAbove		
55	52	317/2	317/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	329			articStaccatoAbove		
55	52	319/2	319/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	330			articStaccatoAbove		
56	53	321/2	321/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	331					
56	53	323/2	323/2	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	332					
56	53	325/2	325/2	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	333					
56	53	321/2	321/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	334					
56	53	323/2	323/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	335					
56	53	325/2	325/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	336					
57	54	327/2	327/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	337					
57	54	165	165	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	338				57	
57	54	331/2	331/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	339				57	
57	54	166	166	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	340					
57	54	327/2	327/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	341					
57	54	165	165	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	342				58	
57	54	331/2	331/2	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	343				58	
57	54	166	166	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	344					
58	55	333/2	333/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	345				59	
58	55	335/2	335/2	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	346					
58	55	337/2	337/2	0.0		1/2	1/2	Dynamic	3/4	1	1	0					sf			
58	55	337/2	337/2	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	347			articStaccatoAbove		
58	55	333/2	333/2	0.0		0	0	Dynamic	3/4	2	1	0					sf			
58	55	333/2	333/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	348				60	
58	55	335/2	335/2	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	349					
58	55	337/2	337/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	350			articStaccatoBelow		
59	56	339/2	339/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	351				61	
59	56	341/2	341/2	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	352					
59	56	171	171	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	353				62	
59	56	343/2	343/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	354				62	
59	56	172	172	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	355					
59	56	339/2	339/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	356				63	
59	56	341/2	341/2	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	357					
59	56	171	171	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	358				64	
59	56	343/2	343/2	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	359				64	
59	56	172	172	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	360					
60	57	345/2	345/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	361				65	
60	57	347/2	347/2	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	362					
60	57	349/2	349/2	0.0		1/2	1/2	Dynamic	3/4	1	1	0					sf			
60	57	349/2	349/2	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	363			articStaccatoAbove		
60	57	345/2	345/2	0.0		0	0	Dynamic	3/4	2	1	0					sf			
60	57	345/2	345/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	364				66	
60	57	347/2	347/2	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	365					
60	57	349/2	349/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	366			articStaccatoBelow		
61	58	351/2	351/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	367				67	
61	58	353/2	353/2	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	368					
61	58	177	177	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	369				68	
61	58	355/2	355/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	370				68	
61	58	178	178	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	371					
61	58	351/2	351/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	372				69	
61	58	353/2	353/2	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	373					
61	58	177	177	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	374				70	
61	58	355/2	355/2	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	375				70	
61	58	178	178	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	376					
62	59	357/2	357/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	377				71	
62	59	359/2	359/2	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	378					
62	59	361/2	361/2	0.0		1/2	1/2	Dynamic	3/4	1	1	0					sf			
62	59	361/2	361/2	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	379			articStaccatoAbove		
62	59	357/2	357/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	380				72	
62	59	359/2	359/2	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	381					
62	59	361/2	361/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	382			articStaccatoBelow		
63	60	363/2	363/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	383				73	
63	60	365/2	365/2	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	384					
63	60	367/2	367/2	0.0		1/2	1/2	Dynamic	3/4	1	1	0					sf			
63	60	367/2	367/2	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	385			articStaccatoAbove		
63	60	363/2	363/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	386				74	
63	60	365/2	365/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	387					
63	60	367/2	367/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	388			articStaccatoBelow		
64	61	369/2	369/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	389				75	
64	61	371/2	371/2	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	390					
64	61	373/2	373/2	0.0		1/2	1/2	Dynamic	3/4	1	1	0					sf			
64	61	373/2	373/2	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	391			articStaccatoAbove		
64	61	369/2	369/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	392				76	
64	61	371/2	371/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	393					
64	61	373/2	373/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	394			articStaccatoBelow		
65	62	375/2	375/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	395				77	
65	62	377/2	377/2	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	396					
65	62	379/2	379/2	0.0		1/2	1/2	Dynamic	3/4	1	1	0					ff			
65	62	379/2	379/2	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	397			articStaccatoAbove		
65	62	375/2	375/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	398				78	
65	62	377/2	377/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	399					
65	62	379/2	379/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	400			articStaccatoAbove		
66	63		381/2	1.0	1	0	0	Chord	3/4	1	1	1/4	1/4	1	401					
66	63		381/2	1.0	1	0	0	Chord	3/4	2	1	1/4	1/4	1	402					
67	63	381/2	192	1.0	2	0	0	Chord	3/4	1	1	1/4	1/4	1	403					
67	63	381/2	192	1.0	2	0	0	Chord	3/4	2	1	1/4	1/4	1	404					
68	64	389/2	196	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	405					
68	64	1169/6	589/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	406					
68	64	1171/6	590/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	407					
68	64	391/2	197	0.3333333333333333		1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	408					
68	64	1175/6	592/3	0.3333333333333333		7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	409					
68	64	1177/6	593/3	0.3333333333333333		2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	410					
68	64	387/2	195	0.3333333333333333		0	0	Chord	3/4	2	1	1/12	1/8	2/3	411					
68	64	1163/6	586/3	0.3333333333333333		1/12	1/12	Chord	3/4	2	1	1/12	1/8	2/3	412					
68	64	1165/6	587/3	0.3333333333333333		1/6	1/6	Chord	3/4	2	1	1/12	1/8	2/3	413					
68	64	387/2	195	3.0		0	0	Chord	3/4	2	2	3/4	1/2	3/2	414					
69	65	393/2	198	0.3333333333333333		0	0	Chord	3/4	1	1	1/12	1/8	2/3	415					
69	65	1181/6	595/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	416					
69	65	1183/6	596/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	417					
69	65	395/2	199	0.3333333333333333		1/4	1/4	Chord	3/4	2	1	1/12	1/8	2/3	418					
69	65	1187/6	598/3	0.3333333333333333		1/3	1/3	Chord	3/4	2	1	1/12	1/8	2/3	419					
69	65	1189/6	599/3	0.3333333333333333		5/12	5/12	Chord	3/4	2	1	1/12	1/8	2/3	420					
69	65	397/2	200	0.3333333333333333		1/2	1/2	Chord	3/4	2	1	1/12	1/8	2/3	421					
69	65	1193/6	601/3	0.3333333333333333		7/12	7/12	Chord	3/4	2	1	1/12	1/8	2/3	422					
69	65	1195/6	602/3	0.3333333333333333		2/3	2/3	Chord	3/4	2	1	1/12	1/8	2/3	423					
69	65	393/2	198	3.0		0	0	Chord	3/4	2	2	3/4	1/2	3/2	424					
70	66	401/2	202	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	425					
70	66	1205/6	607/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	426					
70	66	1207/6	608/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	427					
70	66	403/2	203	0.3333333333333333		1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	428					
70	66	1211/6	610/3	0.3333333333333333		7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	429					
70	66	1213/6	611/3	0.3333333333333333		2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	430					
70	66	399/2	201	0.3333333333333333		0	0	Chord	3/4	2	1	1/12	1/8	2/3	431					
70	66	1199/6	604/3	0.3333333333333333		1/12	1/12	Chord	3/4	2	1	1/12	1/8	2/3	432					
70	66	1201/6	605/3	0.3333333333333333		1/6	1/6	Chord	3/4	2	1	1/12	1/8	2/3	433					
70	66	399/2	201	3.0		0	0	Chord	3/4	2	2	3/4	1/2	3/2	434					
71	67	405/2	204	0.3333333333333333		0	0	Chord	3/4	1	1	1/12	1/8	2/3	435					
71	67	1217/6	613/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	436					
71	67	1219/6	614/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	437					
71	67	407/2	205	0.3333333333333333		1/4	1/4	Chord	3/4	2	1	1/12	1/8	2/3	438					
71	67	1223/6	616/3	0.3333333333333333		1/3	1/3	Chord	3/4	2	1	1/12	1/8	2/3	439					
71	67	1225/6	617/3	0.3333333333333333		5/12	5/12	Chord	3/4	2	1	1/12	1/8	2/3	440					
71	67	409/2	206	0.3333333333333333		1/2	1/2	Chord	3/4	2	1	1/12	1/8	2/3	441					
71	67	1229/6	619/3	0.3333333333333333		7/12	7/12	Chord	3/4	2	1	1/12	1/8	2/3	442					
71	67	1231/6	620/3	0.3333333333333333		2/3	2/3	Chord	3/4	2	1	1/12	1/8	2/3	443					
71	67	405/2	204	3.0		0	0	Chord	3/4	2	2	3/4	1/2	3/2	444					
72	68	413/2	208	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	445					
72	68	1241/6	625/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	446					
72	68	1243/6	626/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	447					
72	68	415/2	209	0.3333333333333333		1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	448					
72	68	1247/6	628/3	0.3333333333333333		7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	449					
72	68	1249/6	629/3	0.3333333333333333		2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	450					
72	68	411/2	207	0.3333333333333333		0	0	Chord	3/4	2	1	1/12	1/8	2/3	451					
72	68	1235/6	622/3	0.3333333333333333		1/12	1/12	Chord	3/4	2	1	1/12	1/8	2/3	452					
72	68	1237/6	623/3	0.3333333333333333		1/6	1/6	Chord	3/4	2	1	1/12	1/8	2/3	453					
72	68	411/2	207	3.0		0	0	Chord	3/4	2	2	3/4	1/2	3/2	454					
73	69	417/2	210	0.3333333333333333		0	0	Chord	3/4	1	1	1/12	1/8	2/3	455					
73	69	1253/6	631/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	456					
73	69	1255/6	632/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	457					
73	69	419/2	211	0.3333333333333333		1/4	1/4	Chord	3/4	2	1	1/12	1/8	2/3	458					
73	69	1259/6	634/3	0.3333333333333333		1/3	1/3	Chord	3/4	2	1	1/12	1/8	2/3	459					
73	69	1261/6	635/3	0.3333333333333333		5/12	5/12	Chord	3/4	2	1	1/12	1/8	2/3	460					
73	69	421/2	212	0.3333333333333333		1/2	1/2	Chord	3/4	2	1	1/12	1/8	2/3	461					
73	69	1265/6	637/3	0.3333333333333333		7/12	7/12	Chord	3/4	2	1	1/12	1/8	2/3	462					
73	69	1267/6	638/3	0.3333333333333333		2/3	2/3	Chord	3/4	2	1	1/12	1/8	2/3	463					
73	69	417/2	210	3.0		0	0	Chord	3/4	2	2	3/4	1/2	3/2	464					
74	70	423/2	213	0.3333333333333333		0	0	Chord	3/4	2	1	1/12	1/8	2/3	465					
74	70	1271/6	640/3	0.3333333333333333		1/12	1/12	Chord	3/4	2	1	1/12	1/8	2/3	466					
74	70	1273/6	641/3	0.3333333333333333		1/6	1/6	Chord	3/4	2	1	1/12	1/8	2/3	467					
74	70	425/2	214	0.3333333333333333		1/4	1/4	Chord	3/4	2	1	1/12	1/8	2/3	468					
74	70	1277/6	643/3	0.3333333333333333		1/3	1/3	Chord	3/4	2	1	1/12	1/8	2/3	469					
74	70	1279/6	644/3	0.3333333333333333		5/12	5/12	Chord	3/4	2	1	1/12	1/8	2/3	470					
74	70	427/2	215	0.3333333333333333		1/2	1/2	Chord	3/4	2	1	1/12	1/8	2/3	471					
74	70	1283/6	646/3	0.3333333333333333		7/12	7/12	Chord	3/4	2	1	1/12	1/8	2/3	472					
74	70	1285/6	647/3	0.3333333333333333		2/3	2/3	Chord	3/4	2	1	1/12	1/8	2/3	473					
74	70	423/2	213	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	474					
74	70	425/2	214	1.0		1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	475					
74	70	427/2	215	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	476					
75	71		216	1.0	1	0	0	Chord	3/4	1	1	1/4	1/4	1	477					
75	71		216	1.0	1	0	0	Chord	3/4	2	1	1/4	1/4	1	478					
75	71		218	1.0	1	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	479					
75	71		216	1.0	1	0	0	Chord	3/4	2	2	1/4	1/4	1	480					
75	71		217	1.0	1	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	481					
76	71	429/2	219	1.0	2	0	0	Chord	3/4	1	1	1/4	1/4	1	482					
76	71	429/2	219	1.0	2	0	0	Chord	3/4	2	1	1/4	1/4	1	483					
76	71	433/2	221	1.0	2	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	484					
76	71	429/2	219	1.0	2	0	0	Chord	3/4	2	2	1/4	1/4	1	485					
76	71	431/2	220	1.0	2	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	486					
77	72	435/2	222	0.0		0	0	Spanner	3/4	1	1	0								0
77	72	435/2	222	0.3333333333333333		0	0	Chord	3/4	1	1	1/12	1/8	2/3	487					0
77	72	1307/6	667/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	488					0
77	72	1309/6	668/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	489					0
77	72	437/2	223	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	490					0
77	72	1313/6	670/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	491					0
77	72	1315/6	671/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	492					0
77	72	439/2	224	0.0		1/2	1/2	Spanner	3/4	1	1	0								
77	72	439/2	224	0.3333333333333333		1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	493			articStaccatoAbove		
77	72	1319/6	673/3	0.3333333333333333		7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	494					
77	72	1321/6	674/3	0.3333333333333333		2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	495					
77	72	435/2	222	0.0		0	0	Dynamic	3/4	2	1	0					sf			
77	72	435/2	222	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	496					
78	73	441/2	225	0.0		0	0	Dynamic	3/4	1	1	0					sf			
78	73	441/2	225	0.3333333333333333		0	0	Chord	3/4	1	1	1/12	1/8	2/3	497			articStaccatoAbove		
78	73	1325/6	676/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	498					
78	73	1327/6	677/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	499					
78	73	443/2	226	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	500					
78	73	1331/6	679/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	501					
78	73	1333/6	680/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	502					
78	73	445/2	227	0.3333333333333333		1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	503					
78	73	1337/6	682/3	0.3333333333333333		7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	504					
78	73	1339/6	683/3	0.3333333333333333		2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	505					
78	73	441/2	225	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	506					
79	74	447/2	228	0.3333333333333333		0	0	Chord	3/4	1	1	1/12	1/8	2/3	507					
79	74	1343/6	685/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	508					
79	74	1345/6	686/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	509					
79	74	449/2	229	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	510					
79	74	1349/6	688/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	511					
