mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	diminuendo_line	crescendo_line	crescendo_hairpin
101	100	150	150	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	908				86				
101	100	601/4	601/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	909				86				
101	100	301/2	301/2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	910				86				
101	100	597/4	597/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	911								
101	100	299/2	299/2	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	912								
101	100	599/4	599/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	913								
101	100	150	150	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	914								
101	100	601/4	601/4	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	915								
101	100	597/4	597/4	1.5	0	0	Chord	3/8	2	2	3/8	1/4	3/2	916								
101	100	299/2	299/2	0.75	1/16	1/16	Chord	3/8	2	3	3/16	1/8	3/2	917								
101	100	599/4	599/4	0.5	1/8	1/8	Chord	3/8	2	4	1/8	1/8	1	918								
102	101	603/4	603/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	919			articStaccatoBelow					
102	101	303/2	303/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	920				87				
102	101	607/4	607/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	921				87				
102	101	152	152	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	922				87				
102	101	603/4	603/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	923								
102	101	151	151	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	924								
102	101	605/4	605/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	925								
102	101	303/2	303/2	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	926								
102	101	607/4	607/4	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	927								
102	101	603/4	603/4	1.5	0	0	Chord	3/8	2	2	3/8	1/4	3/2	928								
102	101	151	151	0.75	1/16	1/16	Chord	3/8	2	3	3/16	1/8	3/2	929								
102	101	605/4	605/4	0.5	1/8	1/8	Chord	3/8	2	4	1/8	1/8	1	930								
103	102	609/4	609/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	931			articStaccatoAbove					
103	102	153	153	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	932				88				
103	102	613/4	613/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	933				88				
103	102	307/2	307/2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	934				88				
103	102	609/4	609/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	935				89				
103	102	305/2	305/2	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	936				89				
103	102	611/4	611/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	937				89				
103	102	153	153	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	938				89				
103	102	613/4	613/4	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	939				89				
103	102	307/2	307/2	0.25	5/16	5/16	Chord	3/8	2	1	1/16	1/16	1	940								
104	103	615/4	615/4	0.0	0	0	Dynamic	3/8	1	1	0					p						
104	103	615/4	615/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	941	p		articStaccatoAbove					
104	103	309/2	309/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	942				90				
104	103	619/4	619/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	943				90				
104	103	155	155	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	944				90				
104	103	615/4	615/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	945				91				
104	103	154	154	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	946				91				
104	103	617/4	617/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	947								
104	103	615/4	615/4	1.5	0	0	Chord	3/8	2	2	3/8	1/4	3/2	948								
105	104	621/4	621/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	949			articStaccatoAbove					
105	104	156	156	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	950				92				
105	104	625/4	625/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	951				92				
105	104	313/2	313/2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	952				92				
105	104	621/4	621/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	953				93				
105	104	311/2	311/2	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	954				93				
105	104	623/4	623/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	955								
105	104	621/4	621/4	1.5	0	0	Chord	3/8	2	2	3/8	1/4	3/2	956								
106	105	627/4	627/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	957			articStaccatoAbove					
106	105	315/2	315/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	958				94				
106	105	631/4	631/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	959				94				
106	105	158	158	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	960				94				
106	105	627/4	627/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	961				95				
106	105	157	157	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	962				95				
106	105	629/4	629/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	963								
106	105	627/4	627/4	1.5	0	0	Chord	3/8	2	2	3/8	1/4	3/2	964								
107	106	633/4	633/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	965			articStaccatoAbove					
107	106	159	159	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	966				96				
107	106	637/4	637/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	967				96				
107	106	319/2	319/2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	968				96				
107	106	633/4	633/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	969				97				
107	106	317/2	317/2	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	970				97				
107	106	635/4	635/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	971								
107	106	633/4	633/4	1.5	0	0	Chord	3/8	2	2	3/8	1/4	3/2	972								
108	107	639/4	639/4	0.0	0	0	Dynamic	3/8	1	1	0					f						
108	107	639/4	639/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	973	f		articStaccatoAbove					
108	107	321/2	321/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	974				98				
108	107	643/4	643/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	975				98				
108	107	161	161	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	976				98				
108	107	639/4	639/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	977								
108	107	160	160	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	978								
108	107	641/4	641/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	979								
108	107	321/2	321/2	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	980								
108	107	643/4	643/4	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	981								
108	107	639/4	639/4	1.5	0	0	Chord	3/8	2	2	3/8	1/4	3/2	982								
108	107	160	160	0.75	1/16	1/16	Chord	3/8	2	3	3/16	1/8	3/2	983								
108	107	641/4	641/4	0.5	1/8	1/8	Chord	3/8	2	4	1/8	1/8	1	984								
109	108	645/4	645/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	985			articStaccatoAbove					
109	108	162	162	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	986				99				
109	108	649/4	649/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	987				99				
109	108	325/2	325/2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	988				99				
109	108	645/4	645/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	989								
109	108	323/2	323/2	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	990								
109	108	647/4	647/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	991								
109	108	162	162	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	992								
109	108	649/4	649/4	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	993								
109	108	645/4	645/4	1.5	0	0	Chord	3/8	2	2	3/8	1/4	3/2	994								
109	108	323/2	323/2	0.75	1/16	1/16	Chord	3/8	2	3	3/16	1/8	3/2	995								
109	108	647/4	647/4	0.5	1/8	1/8	Chord	3/8	2	4	1/8	1/8	1	996								
110	109	651/4	651/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	997			articStaccatoAbove					
110	109	327/2	327/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	998				100				
110	109	655/4	655/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	999				100				
110	109	164	164	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1000				100				
110	109	651/4	651/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	1001								
110	109	163	163	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	1002								
110	109	653/4	653/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	1003								
110	109	327/2	327/2	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	1004								
110	109	655/4	655/4	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	1005								
110	109	651/4	651/4	1.5	0	0	Chord	3/8	2	2	3/8	1/4	3/2	1006								
110	109	163	163	0.75	1/16	1/16	Chord	3/8	2	3	3/16	1/8	3/2	1007								
110	109	653/4	653/4	0.5	1/8	1/8	Chord	3/8	2	4	1/8	1/8	1	1008								
111	110	657/4	657/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	1009	>		articStaccatoAbove					
111	110	657/4	657/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	1010								
111	110	329/2	329/2	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	1011				101				
111	110	659/4	659/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	1012				101				
111	110	165	165	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	1013				101				
111	110	661/4	661/4	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	1014				101				
111	110	331/2	331/2	0.25	5/16	5/16	Chord	3/8	2	1	1/16	1/16	1	1015								
112	111	166	166	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	1016	p			102				
112	111	665/4	665/4	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	1017				102				
112	111	333/2	333/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1018				102				
112	111	667/4	667/4	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	1019			articStaccatoBelow					
112	111	663/4	663/4	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	1020			articStaccatoBelow					
112	111	333/2	333/2	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	1021				103				
112	111	667/4	667/4	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	1022				103				
112	111	167	167	0.25	5/16	5/16	Chord	3/8	2	1	1/16	1/16	1	1023				103				
113	112	335/2	335/2	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	1024				104				
113	112	671/4	671/4	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	1025				104				
113	112	168	168	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1026				104				
113	112	673/4	673/4	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	1027			articStaccatoBelow					
113	112	669/4	669/4	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	1028			articStaccatoAbove					
113	112	168	168	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	1029				105				
113	112	673/4	673/4	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	1030				105				
113	112	337/2	337/2	0.25	5/16	5/16	Chord	3/8	2	1	1/16	1/16	1	1031				105				
114	113	169	169	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	1032				106				
114	113	677/4	677/4	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	1033				106				
114	113	339/2	339/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1034				106				
114	113	679/4	679/4	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	1035			articStaccatoAbove					
114	113	675/4	675/4	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	1036			articStaccatoAbove					
114	113	339/2	339/2	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	1037				107				
114	113	679/4	679/4	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	1038				107				
114	113	170	170	0.25	5/16	5/16	Chord	3/8	2	1	1/16	1/16	1	1039				107				
115	114	341/2	341/2	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	1040				108				
115	114	683/4	683/4	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	1041				108				
115	114	171	171	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1042								
115	114	681/4	681/4	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	1043			articStaccatoAbove					
115	114	171	171	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	1044				109				
115	114	685/4	685/4	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	1045				109				
115	114	343/2	343/2	0.25	5/16	5/16	Chord	3/8	2	1	1/16	1/16	1	1046				109				
116	115	172	172	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	1047				110				
116	115	689/4	689/4	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	1048				110				
116	115	345/2	345/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1049				110				
116	115	691/4	691/4	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	1050			articStaccatoAbove					
116	115	687/4	687/4	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	1051			articStaccatoBelow					
116	115	345/2	345/2	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	1052				111				
116	115	691/4	691/4	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	1053				111				
116	115	173	173	0.25	5/16	5/16	Chord	3/8	2	1	1/16	1/16	1	1054				111				
117	116	347/2	347/2	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	1055				112				
117	116	695/4	695/4	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	1056				112				
117	116	174	174	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1057				112				
117	116	697/4	697/4	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	1058			articStaccatoAbove					
117	116	693/4	693/4	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	1059			articStaccatoBelow					
117	116	174	174	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	1060				113				
117	116	697/4	697/4	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	1061				113				
117	116	349/2	349/2	0.25	5/16	5/16	Chord	3/8	2	1	1/16	1/16	1	1062				113				
118	117	175	175	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	1063				114				
118	117	701/4	701/4	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	1064				114				
118	117	351/2	351/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1065				114				
118	117	703/4	703/4	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	1066			articStaccatoAbove					
118	117	699/4	699/4	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	1067			articStaccatoAbove					
118	117	351/2	351/2	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	1068				115				
118	117	703/4	703/4	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	1069				115				
118	117	176	176	0.25	5/16	5/16	Chord	3/8	2	1	1/16	1/16	1	1070								
119	118	177	177	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1071				116				
119	118	709/4	709/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1072				116				
119	118	355/2	355/2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1073				116				
119	118	705/4	705/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	1074				117				
119	118	353/2	353/2	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	1075				117				
119	118	707/4	707/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	1076								
120	119	711/4	711/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	1077			articStaccatoAbove					
120	119	357/2	357/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1078				118				
120	119	715/4	715/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1079				118				
120	119	179	179	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1080				118				
120	119	178	178	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	1081				119				
120	119	713/4	713/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	1082				119				
120	119	357/2	357/2	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	1083				119				
120	119	715/4	715/4	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	1084			articStaccatoBelow					
121	120	717/4	717/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	1085			articStaccatoAbove					
121	120	180	180	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1086				120				
121	120	721/4	721/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1087				120				
121	120	361/2	361/2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1088				120				
121	120	359/2	359/2	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	1089				121				
121	120	719/4	719/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	1090				121				
121	120	180	180	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	1091				121				
121	120	721/4	721/4	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	1092			articStaccatoBelow					
122	121	723/4	723/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	1093			articStaccatoBelow					
122	121	363/2	363/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1094				122				
122	121	727/4	727/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1095				122				
122	121	182	182	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1096				122				
122	121	181	181	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	1097				123				
122	121	725/4	725/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	1098				123				
122	121	363/2	363/2	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	1099				123				
122	121	727/4	727/4	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	1100			articStaccatoAbove					
123	122	729/4	729/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	1101			articStaccatoBelow					
123	122	183	183	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1102	f			124				
123	122	733/4	733/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1103				124				
123	122	367/2	367/2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1104				124				
123	122	365/2	365/2	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	1105								
123	122	731/4	731/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	1106								
123	122	183	183	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	1107								
123	122	733/4	733/4	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	1108								
123	122	367/2	367/2	0.25	5/16	5/16	Chord	3/8	2	1	1/16	1/16	1	1109								
124	123	735/4	735/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	1110			articStaccatoAbove					
124	123	369/2	369/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1111				125				
124	123	739/4	739/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1112				125				
124	123	185	185	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1113				125				
124	123	735/4	735/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	1114								
124	123	184	184	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	1115				126				
124	123	737/4	737/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	1116				126				
124	123	369/2	369/2	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	1117								
125	124	741/4	741/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	1118			articStaccatoAbove					
125	124	186	186	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1119				127				
125	124	745/4	745/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1120				127				
125	124	373/2	373/2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1121				127				
125	124	371/2	371/2	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	1122				128				
125	124	743/4	743/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	1123				128				
125	124	186	186	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	1124								
126	125	747/4	747/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	1125			articStaccatoBelow					
126	125	375/2	375/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1126				129				
126	125	751/4	751/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1127				129				
126	125	188	188	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1128								
126	125	187	187	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	1129				130				
126	125	749/4	749/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	1130				130				
126	125	375/2	375/2	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	1131								
127	126	753/4	753/4	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	1132				131				
127	126	377/2	377/2	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	1133				131				
127	126	755/4	755/4	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	1134								
127	126	189	189	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	1135				132				
127	126	757/4	757/4	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	1136				132				
127	126	379/2	379/2	0.25	5/16	5/16	Chord	3/8	2	1	1/16	1/16	1	1137				132				
128	127	190	190	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	1138				133				
128	127	761/4	761/4	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	1139				133				
128	127	381/2	381/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1140				133				
128	127	763/4	763/4	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	1141			articStaccatoBelow					
128	127	759/4	759/4	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	1142			articStaccatoBelow					
128	127	381/2	381/2	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	1143				134				
128	127	763/4	763/4	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	1144				134				
128	127	191	191	0.25	5/16	5/16	Chord	3/8	2	1	1/16	1/16	1	1145				134				
129	128	383/2	383/2	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	1146				135				
129	128	767/4	767/4	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	1147				135				
129	128	192	192	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1148				135				
129	128	769/4	769/4	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	1149			articStaccatoBelow					
129	128	765/4	765/4	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	1150			articStaccatoBelow					
129	128	192	192	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	1151				136				
129	128	769/4	769/4	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	1152				136				
129	128	385/2	385/2	0.25	5/16	5/16	Chord	3/8	2	1	1/16	1/16	1	1153				136				
130	129	193	193	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	1154				137				
130	129	773/4	773/4	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	1155				137				
130	129	387/2	387/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1156				137				
130	129	775/4	775/4	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	1157			articStaccatoAbove					
130	129	771/4	771/4	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	1158			articStaccatoAbove					
130	129	387/2	387/2	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	1159				138				
130	129	775/4	775/4	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	1160				138				
130	129	194	194	0.25	5/16	5/16	Chord	3/8	2	1	1/16	1/16	1	1161				138				
131	130	389/2	389/2	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	1162				139				
131	130	779/4	779/4	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	1163				139				
131	130	195	195	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1164								
131	130	777/4	777/4	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	1165			articStaccatoAbove					
131	130	195	195	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	1166				140				
131	130	781/4	781/4	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	1167				140				
131	130	391/2	391/2	0.25	5/16	5/16	Chord	3/8	2	1	1/16	1/16	1	1168				140				
132	131	196	196	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	1169				141				
132	131	785/4	785/4	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	1170				141				
132	131	393/2	393/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1171				141				
132	131	787/4	787/4	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	1172			articStaccatoAbove					
132	131	783/4	783/4	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	1173			articStaccatoBelow					
132	131	393/2	393/2	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	1174				142				
132	131	787/4	787/4	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	1175				142				
132	131	197	197	0.25	5/16	5/16	Chord	3/8	2	1	1/16	1/16	1	1176				142				
133	132	395/2	395/2	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	1177				143				
133	132	791/4	791/4	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	1178				143				
