mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	crescendo_line
94	93	737/4	737/4	0.0	0	0	Spanner	2/4	1	1	0															2
94	93	737/4	737/4	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	720									31			2
94	93	369/2	369/2	0.0	1/16	1/16	Spanner	2/4	1	1	0												31			
94	93	741/4	741/4	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	721									31			
94	93	371/2	371/2	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	722									31			
94	93	743/4	743/4	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	723									31			
94	93	186	186	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	724												
94	93	369/2	369/2	0.25	1/16	1/16	Chord	2/4	1	2	1/16	1/16	1	725									32			
94	93	739/4	739/4	0.25	1/8	1/8	Chord	2/4	1	2	1/16	1/16	1	726									32			
94	93	185	185	0.25	3/16	3/16	Chord	2/4	1	2	1/16	1/16	1	727												
94	93	741/4	741/4	1.0	1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	728									33			
94	93	737/4	737/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	729												
94	93	739/4	739/4	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	730												
94	93	741/4	741/4	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	731												
94	93	743/4	743/4	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	732												
95	94	745/4	745/4	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	733									34			
95	94	749/4	749/4	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	734									34			
95	94	375/2	375/2	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	735									34			
95	94	751/4	751/4	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	736									34			
95	94	188	188	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	737												
95	94	745/4	745/4	0.25	0	0	Chord	2/4	1	2	1/16	1/16	1	738									33			
95	94	373/2	373/2	0.25	1/16	1/16	Chord	2/4	1	2	1/16	1/16	1	739									33			
95	94	747/4	747/4	0.25	1/8	1/8	Chord	2/4	1	2	1/16	1/16	1	740									33			
95	94	187	187	0.25	3/16	3/16	Chord	2/4	1	2	1/16	1/16	1	741												
95	94	749/4	749/4	1.0	1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	742									35			
95	94	745/4	745/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	743												
95	94	747/4	747/4	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	744												
95	94	749/4	749/4	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	745												
95	94	751/4	751/4	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	746												
96	95	753/4	753/4	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	747									36			
96	95	757/4	757/4	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	748									36			
96	95	379/2	379/2	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	749									36			
96	95	759/4	759/4	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	750									36			
96	95	190	190	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	751									36			
96	95	753/4	753/4	0.25	0	0	Chord	2/4	1	2	1/16	1/16	1	752									35			
96	95	377/2	377/2	0.25	1/16	1/16	Chord	2/4	1	2	1/16	1/16	1	753									35			
96	95	755/4	755/4	0.25	1/8	1/8	Chord	2/4	1	2	1/16	1/16	1	754									35			
96	95	189	189	0.25	3/16	3/16	Chord	2/4	1	2	1/16	1/16	1	755												
96	95	757/4	757/4	1.0	1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	756												
96	95	753/4	753/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	757												
96	95	755/4	755/4	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	758												
96	95	757/4	757/4	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	759												
96	95	759/4	759/4	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	760												
97	96	761/4	761/4	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	761												
97	96	381/2	381/2	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	762												
97	96	763/4	763/4	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	763												
97	96	191	191	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	764												
97	96	765/4	765/4	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	765												
97	96	383/2	383/2	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	766												
97	96	767/4	767/4	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	767												
97	96	192	192	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	768												
97	96	761/4	761/4	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	769	f											
97	96	765/4	765/4	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	770												
97	96	761/4	761/4	0.0	0	0	Dynamic	2/4	2	1	0					f										
97	96	761/4	761/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	771												
97	96	763/4	763/4	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	772												
97	96	765/4	765/4	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	773												
97	96	767/4	767/4	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	774												
98	97	769/4	769/4	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	775												
98	97	385/2	385/2	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	776												
98	97	771/4	771/4	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	777												
98	97	193	193	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	778												
98	97	773/4	773/4	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	779												
98	97	387/2	387/2	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	780												
98	97	775/4	775/4	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	781												
98	97	194	194	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	782												
98	97	769/4	769/4	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	783												
98	97	773/4	773/4	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	784												
98	97	769/4	769/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	785												
98	97	771/4	771/4	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	786												
98	97	773/4	773/4	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	787												
98	97	775/4	775/4	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	788												
99	98	777/4	777/4	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	789												
99	98	783/4	783/4	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	790												
99	98	777/4	777/4	0.0	0	0	Dynamic	2/4	1	2	0					p										
99	98	779/4	779/4	0.5	1/8	1/8	Chord	2/4	1	2	1/8	1/8	1	791												
99	98	781/4	781/4	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	792												
99	98	783/4	783/4	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	793												
99	98	779/4	779/4	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	794												
99	98	781/4	781/4	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	795												
99	98	783/4	783/4	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	796												
99	98	777/4	777/4	1.0	0	0	Chord	2/4	2	2	1/4	1/4	1	797												
100	99	785/4	785/4	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	798												
100	99	791/4	791/4	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	799												
100	99	785/4	785/4	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	800												
100	99	787/4	787/4	0.5	1/8	1/8	Chord	2/4	1	2	1/8	1/8	1	801												
100	99	789/4	789/4	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	802												
100	99	791/4	791/4	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	803												
100	99	785/4	785/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	804												
100	99	787/4	787/4	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	805												
100	99	789/4	789/4	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	806												
100	99	791/4	791/4	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	807												
100	99	785/4	785/4	2.0	0	0	Chord	2/4	2	2	1/2	1/2	1	808												
101	100	793/4	793/4	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	809												
101	100	799/4	799/4	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	810												
101	100	795/4	795/4	0.5	1/8	1/8	Chord	2/4	1	2	1/8	1/8	1	811												
101	100	797/4	797/4	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	812												
101	100	799/4	799/4	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	813	[											
101	100	795/4	795/4	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	814												
101	100	797/4	797/4	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	815												
101	100	799/4	799/4	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	816												
101	100	793/4	793/4	1.0	0	0	Chord	2/4	2	2	1/4	1/4	1	817												
102	101	801/4	801/4	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	818												
102	101	807/4	807/4	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	819												
102	101	801/4	801/4	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	820	>											
102	101	803/4	803/4	0.5	1/8	1/8	Chord	2/4	1	2	1/8	1/8	1	821												
102	101	805/4	805/4	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	822												
102	101	807/4	807/4	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	823	]											
102	101	801/4	801/4	0.0	0	0	Dynamic	2/4	2	1	0					pp										
102	101	801/4	801/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	824												
102	101	803/4	803/4	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	825												
102	101	805/4	805/4	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	826												
102	101	807/4	807/4	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	827												
102	101	801/4	801/4	2.0	0	0	Chord	2/4	2	2	1/2	1/2	1	828												
103	102	809/4	809/4	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	829												
103	102	815/4	815/4	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	830												
103	102	811/4	811/4	0.5	1/8	1/8	Chord	2/4	1	2	1/8	1/8	1	831												
103	102	813/4	813/4	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	832												
103	102	815/4	815/4	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	833												
103	102	811/4	811/4	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	834												
103	102	813/4	813/4	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	835												
103	102	815/4	815/4	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	836												
103	102	809/4	809/4	1.0	0	0	Chord	2/4	2	2	1/4	1/4	1	837												
104	103	817/4	817/4	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	838												
104	103	823/4	823/4	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	839												
104	103	817/4	817/4	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	840												
104	103	819/4	819/4	0.5	1/8	1/8	Chord	2/4	1	2	1/8	1/8	1	841												
104	103	821/4	821/4	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	842												
104	103	823/4	823/4	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	843												
104	103	817/4	817/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	844												
104	103	819/4	819/4	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	845												
104	103	821/4	821/4	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	846												
104	103	823/4	823/4	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	847												
104	103	817/4	817/4	2.0	0	0	Chord	2/4	2	2	1/2	1/2	1	848												
105	104	825/4	825/4	0.0	0	0	Spanner	2/4	1	1	0															3
105	104	825/4	825/4	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	849												3
105	104	827/4	827/4	0.0	1/8	1/8	Spanner	2/4	1	1	0															
105	104	827/4	827/4	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	850												
105	104	829/4	829/4	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	851												
105	104	831/4	831/4	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	852												
105	104	825/4	825/4	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	853												
105	104	827/4	827/4	0.5	1/8	1/8	Chord	2/4	1	2	1/8	1/8	1	854												
105	104	829/4	829/4	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	855												
105	104	831/4	831/4	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	856												
105	104	825/4	825/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	857												
105	104	827/4	827/4	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	858												
105	104	829/4	829/4	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	859												
105	104	831/4	831/4	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	860												
105	104	825/4	825/4	1.0	0	0	Chord	2/4	2	2	1/4	1/4	1	861												
105	104	829/4	829/4	1.0	1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	862												
106	105	833/4	833/4	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	863												
106	105	835/4	835/4	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	864												
106	105	837/4	837/4	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	865												
106	105	839/4	839/4	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	866												
106	105	833/4	833/4	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	867												
106	105	835/4	835/4	0.5	1/8	1/8	Chord	2/4	1	2	1/8	1/8	1	868												
106	105	837/4	837/4	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	869												
106	105	839/4	839/4	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	870												
106	105	833/4	833/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	871												
106	105	835/4	835/4	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	872												
106	105	837/4	837/4	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	873												
106	105	839/4	839/4	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	874												
106	105	833/4	833/4	1.0	0	0	Chord	2/4	2	2	1/4	1/4	1	875												
106	105	837/4	837/4	1.0	1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	876												
107	106	841/4	841/4	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	877												
107	106	843/4	843/4	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	878												
107	106	845/4	845/4	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	879												
107	106	847/4	847/4	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	880												
107	106	841/4	841/4	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	881												
107	106	843/4	843/4	0.5	1/8	1/8	Chord	2/4	1	2	1/8	1/8	1	882												
107	106	845/4	845/4	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	883												
107	106	847/4	847/4	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	884												
107	106	841/4	841/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	885												
107	106	843/4	843/4	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	886												
107	106	845/4	845/4	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	887												
107	106	847/4	847/4	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	888												
107	106	841/4	841/4	1.0	0	0	Chord	2/4	2	2	1/4	1/4	1	889												
107	106	845/4	845/4	1.0	1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	890												
108	107	849/4	849/4	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	891												
108	107	851/4	851/4	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	892												
108	107	853/4	853/4	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	893												
108	107	855/4	855/4	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	894												
108	107	849/4	849/4	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	895												
108	107	851/4	851/4	0.5	1/8	1/8	Chord	2/4	1	2	1/8	1/8	1	896												
108	107	853/4	853/4	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	897												
108	107	855/4	855/4	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	898												
108	107	849/4	849/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	899												
108	107	851/4	851/4	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	900												
108	107	853/4	853/4	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	901												
108	107	855/4	855/4	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	902												
108	107	849/4	849/4	1.0	0	0	Chord	2/4	2	2	1/4	1/4	1	903												
108	107	853/4	853/4	1.0	1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	904												
109	108	857/4	857/4	0.0	0	0	Dynamic	2/4	1	1	0					p										
109	108	857/4	857/4	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	905	p											
109	108	216	216	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	906												
109	108	857/4	857/4	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	907												
110	109	865/4	865/4	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	908												
110	109	218	218	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	909												
110	109	865/4	865/4	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	910												
111	110	873/4	873/4	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	911												
111	110	873/4	873/4	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	912												
112	111	881/4	881/4	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	913												
112	111	885/4	885/4	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	914												
112	111	222	222	0.0	7/16	7/16	Dynamic	2/4	1	1	0					f										
112	111	222	222	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	915	f											
112	111	881/4	881/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	916												
112	111	885/4	885/4	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	917												
113	112	889/4	889/4	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	918												
113	112	895/4	895/4	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	919												
113	112	224	224	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	920												
113	112	889/4	889/4	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	921												
114	113	897/4	897/4	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	922												
114	113	449/2	449/2	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	923												
114	113	899/4	899/4	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	924												
114	113	225	225	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	925												
114	113	901/4	901/4	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	926												
114	113	451/2	451/2	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	927												
114	113	903/4	903/4	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	928												
114	113	226	226	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	929												
115	114	905/4	905/4	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	930												
115	114	228	228	0.0	7/16	7/16	Dynamic	2/4	1	1	0					p										
115	114	228	228	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	931	p											
116	115	913/4	913/4	0.75	0	0	Chord	2/4	1	1	3/16	1/8	3/2	932												
116	115	229	229	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	933												
116	115	917/4	917/4	0.75	1/4	1/4	Chord	2/4	1	1	3/16	1/8	3/2	934			articStaccatoBelow									
116	115	230	230	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	935												
116	115	913/4	913/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	936			articStaccatoAbove									
116	115	917/4	917/4	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	937			articStaccatoAbove									
117	116	921/4	921/4	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	938												
117	116	232	232	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	939												
117	116	921/4	921/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	940			articStaccatoAbove									
118	117	929/4	929/4	0.75	0	0	Chord	2/4	1	1	3/16	1/8	3/2	941												
118	117	233	233	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	942												
118	117	933/4	933/4	0.75	1/4	1/4	Chord	2/4	1	1	3/16	1/8	3/2	943												
118	117	234	234	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	944												
118	117	929/4	929/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	945			articStaccatoAbove									
118	117	933/4	933/4	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	946			articStaccatoAbove									
119	118	937/4	937/4	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	947												
119	118	236	236	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	948	f											
119	118	937/4	937/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	949			articStaccatoAbove									
119	118	941/4	941/4	0.0	1/4	1/4	Dynamic	2/4	2	1	0					f										
120	119	945/4	945/4	0.75	0	0	Chord	2/4	1	1	3/16	1/8	3/2	950												
120	119	237	237	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	951												
120	119	949/4	949/4	0.75	1/4	1/4	Chord	2/4	1	1	3/16	1/8	3/2	952												
120	119	238	238	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	953												
120	119	945/4	945/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	954			articStaccatoAbove									
120	119	949/4	949/4	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	955			articStaccatoAbove									
121	120	953/4	953/4	0.75	0	0	Chord	2/4	1	1	3/16	1/8	3/2	956												
121	120	239	239	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	957												
121	120	957/4	957/4	0.75	1/4	1/4	Chord	2/4	1	1	3/16	1/8	3/2	958												
121	120	240	240	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	959												
121	120	953/4	953/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	960			articStaccatoBelow									
121	120	957/4	957/4	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	961			articStaccatoAbove									
122	121	961/4	961/4	0.75	0	0	Chord	2/4	1	1	3/16	1/8	3/2	962												
122	121	241	241	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	963												
122	121	965/4	965/4	0.75	1/4	1/4	Chord	2/4	1	1	3/16	1/8	3/2	964												
122	121	242	242	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	965												
122	121	961/4	961/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	966			articStaccatoBelow									
122	121	965/4	965/4	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	967			articStaccatoAbove									
123	122	969/4	969/4	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	968												
123	122	244	244	0.0	7/16	7/16	Dynamic	2/4	1	1	0					p										
123	122	244	244	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	969	p											
123	122	969/4	969/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	970			articStaccatoBelow									
124	123	977/4	977/4	0.75	0	0	Chord	2/4	1	1	3/16	1/8	3/2	971												
124	123	245	245	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	972												
124	123	981/4	981/4	0.75	1/4	1/4	Chord	2/4	1	1	3/16	1/8	3/2	973												
124	123	246	246	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	974												
124	123	977/4	977/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	975			articStaccatoBelow									
124	123	981/4	981/4	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	976			articStaccatoBelow									
125	124	985/4	985/4	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	977												
125	124	248	248	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	978												
125	124	985/4	985/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	979			articStaccatoBelow									
126	125	993/4	993/4	0.75	0	0	Chord	2/4	1	1	3/16	1/8	3/2	980												
126	125	249	249	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	981												
126	125	997/4	997/4	0.75	1/4	1/4	Chord	2/4	1	1	3/16	1/8	3/2	982												
126	125	250	250	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	983												
126	125	993/4	993/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	984			articStaccatoBelow									
126	125	997/4	997/4	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	985			articStaccatoBelow									
127	126	1001/4	1001/4	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	986												
127	126	252	252	0.0	7/16	7/16	Dynamic	2/4	1	1	0					f										
127	126	252	252	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	987	f											
127	126	1001/4	1001/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	988			articStaccatoBelow									
128	127	1009/4	1009/4	0.75	0	0	Chord	2/4	1	1	3/16	1/8	3/2	989												
128	127	253	253	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	990												
128	127	1013/4	1013/4	0.75	1/4	1/4	Chord	2/4	1	1	3/16	1/8	3/2	991												
128	127	254	254	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	992												
128	127	1009/4	1009/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	993			articStaccatoAbove									
128	127	1013/4	1013/4	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	994			articStaccatoBelow									
