mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8va
69	69	273/2	273/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	684					7				
69	69	547/4	547/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	685					7				
69	69	137	137	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	686					7				
69	69	549/4	549/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	687					7				
69	69	275/2	275/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	688					7				
69	69	551/4	551/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	689					7				
69	69	136	136	0.0		0	0	Spanner	2/4	2	1	0												
69	69	136	136	0.0		0	0	Spanner	2/4	2	1	0										55		
69	69	136	136	0.25		0	0	Chord	2/4	2	1	1/16	1/16	1	690							55		
69	69	545/4	545/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	691							55		
69	69	273/2	273/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	692							55		
69	69	547/4	547/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	693							55		
69	69	137	137	0.25		1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	694							55		
69	69	549/4	549/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	695							55		
69	69	275/2	275/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	696							55		
69	69	551/4	551/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	697							55		
70	70	138	138	0.0		0	0	Spanner	2/4	1	1	0												
70	70	553/4	553/4	0.0		1/16	1/16	Spanner	2/4	1	1	0									7			
70	70	553/4	553/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	698						7			
70	70	277/2	277/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	699						7			
70	70	555/4	555/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	700						7			
70	70	139	139	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	701						7			
70	70	557/4	557/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	702						7			
70	70	279/2	279/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	703						7			
70	70	559/4	559/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	704						7			
70	70	138	138	0.0		0	0	Spanner	2/4	2	1	0												
70	70	138	138	0.0		0	0	Spanner	2/4	2	1	0										56		
70	70	138	138	0.25		0	0	Chord	2/4	2	1	1/16	1/16	1	705							56		
70	70	553/4	553/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	706							56		
70	70	277/2	277/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	707							56		
70	70	555/4	555/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	708							56		
70	70	139	139	0.25		1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	709							56		
70	70	557/4	557/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	710							56		
70	70	279/2	279/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	711							56		
70	70	559/4	559/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	712							56		
71	71	140	140	0.0		0	0	Spanner	2/4	1	1	0												
71	71	140	140	0.0		0	0	Spanner	2/4	1	1	0								8				
71	71	140	140	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	713					8				
71	71	561/4	561/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	714					8				
71	71	281/2	281/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	715					8				
71	71	563/4	563/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	716					8				
71	71	141	141	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	717					8				
71	71	565/4	565/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	718					8				
71	71	283/2	283/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	719					8				
71	71	567/4	567/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	720					8				
71	71	140	140	0.0		0	0	Spanner	2/4	2	1	0												
71	71	140	140	0.0		0	0	Spanner	2/4	2	1	0										57		
71	71	140	140	0.25		0	0	Chord	2/4	2	1	1/16	1/16	1	721							57		
71	71	561/4	561/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	722							57		
71	71	281/2	281/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	723							57		
71	71	563/4	563/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	724							57		
71	71	141	141	0.25		1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	725							57		
71	71	565/4	565/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	726							57		
71	71	283/2	283/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	727							57		
71	71	567/4	567/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	728							57		
72	72	142	142	0.0		0	0	Spanner	2/4	1	1	0												
72	72	569/4	569/4	0.0		1/16	1/16	Spanner	2/4	1	1	0									8			
72	72	569/4	569/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	729						8			
72	72	285/2	285/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	730						8			
72	72	571/4	571/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	731						8			
72	72	143	143	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	732						8			
72	72	573/4	573/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	733						8			
72	72	287/2	287/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	734						8			
72	72	575/4	575/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	735						8			
72	72	142	142	0.0		0	0	Spanner	2/4	2	1	0												
72	72	142	142	0.0		0	0	Spanner	2/4	2	1	0										58		
72	72	142	142	0.25		0	0	Chord	2/4	2	1	1/16	1/16	1	736							58		
72	72	569/4	569/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	737							58		
72	72	285/2	285/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	738							58		
72	72	571/4	571/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	739							58		
72	72	143	143	0.25		1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	740							58		
72	72	573/4	573/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	741							58		
72	72	287/2	287/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	742							58		
72	72	575/4	575/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	743							58		
73	73	144	144	0.0		0	0	Spanner	2/4	1	1	0								9				
73	73	144	144	0.0		0	0	Spanner	2/4	1	1	0								9				
73	73	144	144	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	744					9				
73	73	577/4	577/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	745					9				
73	73	289/2	289/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	746					9				
73	73	579/4	579/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	747					9				
73	73	145	145	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	748					9				
73	73	581/4	581/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	749					9				
73	73	291/2	291/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	750					9				
73	73	583/4	583/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	751					9				
73	73	144	144	0.0		0	0	Spanner	2/4	2	1	0										59		
73	73	144	144	0.0		0	0	Spanner	2/4	2	1	0										59		
73	73	144	144	0.25		0	0	Chord	2/4	2	1	1/16	1/16	1	752							59		
73	73	577/4	577/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	753							59		
73	73	289/2	289/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	754							59		
73	73	579/4	579/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	755							59		
73	73	145	145	0.25		1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	756							59		
73	73	581/4	581/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	757							59		
73	73	291/2	291/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	758							59		
73	73	583/4	583/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	759							59		
74	74	146	146	0.0		0	0	Spanner	2/4	1	1	0												
74	74	585/4	585/4	0.0		1/16	1/16	Spanner	2/4	1	1	0									9			
74	74	585/4	585/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	760						9			
74	74	293/2	293/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	761						9			
74	74	587/4	587/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	762						9			
74	74	147	147	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	763						9			
74	74	589/4	589/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	764						9			
74	74	295/2	295/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	765						9			
74	74	591/4	591/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	766						9			
74	74	146	146	0.0		0	0	Spanner	2/4	2	1	0												
74	74	146	146	0.0		0	0	Spanner	2/4	2	1	0										60		
74	74	146	146	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	767							60		
74	74	293/2	293/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	768							60		
74	74	587/4	587/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	769							60		
74	74	147	147	0.25		1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	770							60		
74	74	589/4	589/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	771							60		
74	74	295/2	295/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	772							60		
74	74	591/4	591/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	773							60		
75	75	148	148	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	774						9			
75	75	593/4	593/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	775						9			
75	75	297/2	297/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	776						9			
75	75	595/4	595/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	777						9			
75	75	149	149	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	778						9			
75	75	597/4	597/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	779						9			
75	75	299/2	299/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	780						9			
75	75	599/4	599/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	781						9			
75	75	148	148	0.0		0	0	Spanner	2/4	2	1	0												
75	75	148	148	0.0		0	0	Spanner	2/4	2	1	0										61		
75	75	148	148	0.25		0	0	Chord	2/4	2	1	1/16	1/16	1	782							61		
75	75	593/4	593/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	783							61		
75	75	297/2	297/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	784							61		
75	75	595/4	595/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	785							61		
75	75	149	149	0.25		1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	786							61		
75	75	597/4	597/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	787							61		
75	75	299/2	299/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	788							61		
75	75	599/4	599/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	789							61		
76	76	150	150	0.0		0	0	Spanner	2/4	1	1	0												
76	76	601/4	601/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	790				4					
76	76	301/2	301/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	791				4					
76	76	603/4	603/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	792				4					
76	76	151	151	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	793				4					
76	76	605/4	605/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	794				4					
76	76	303/2	303/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	795				4					
76	76	607/4	607/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	796									
76	76	150	150	0.0		0	0	Dynamic	2/4	2	1	0				sfp								
76	76	150	150	0.0		0	0	Spanner	2/4	2	1	0												
76	76	150	150	0.0		0	0	Spanner	2/4	2	1	0										62		
76	76	150	150	1.5		0	0	Chord	2/4	2	1	3/8	1/4	3/2	797				5			62		
76	76	303/2	303/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	798				5			62		
77	77	609/4	609/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	799									
77	77	305/2	305/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	800									
77	77	611/4	611/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	801									
77	77	613/4	613/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	802									
77	77	307/2	307/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	803									
77	77	615/4	615/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	804									
77	77	152	152	0.0		0	0	Spanner	2/4	2	1	0							5					
77	77	152	152	0.0		0	0	Spanner	2/4	2	1	0							5			63		
77	77	152	152	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	805				5			63		
77	77	153	153	0.0		1/4	1/4	Spanner	2/4	2	1	0												
77	77	153	153	0.0		1/4	1/4	Spanner	2/4	2	1	0										64		
77	77	153	153	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	806							64		
78	78	617/4	617/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	807									
78	78	309/2	309/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	808									
78	78	619/4	619/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	809									
78	78	155	155	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	810									
78	78	621/4	621/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	811									
78	78	311/2	311/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	812									
78	78	623/4	623/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	813									
78	78	154	154	0.0		0	0	Dynamic	2/4	2	1	0				sfp								
78	78	154	154	0.0		0	0	Spanner	2/4	2	1	0												
78	78	154	154	0.0		0	0	Spanner	2/4	2	1	0										65		
78	78	154	154	1.5		0	0	Chord	2/4	2	1	3/8	1/4	3/2	814				6			65		
78	78	311/2	311/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	815				6			65		
79	79	625/4	625/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	816									
79	79	313/2	313/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	817									
79	79	627/4	627/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	818									
79	79	629/4	629/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	819									
79	79	315/2	315/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	820									
79	79	631/4	631/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	821									
79	79	156	156	0.0		0	0	Spanner	2/4	2	1	0							6					
79	79	156	156	0.0		0	0	Spanner	2/4	2	1	0							6			66		
79	79	156	156	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	822				6			66		
79	79	157	157	0.0		1/4	1/4	Spanner	2/4	2	1	0												
79	79	157	157	0.0		1/4	1/4	Spanner	2/4	2	1	0										67		
79	79	157	157	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	823							67		
80	80	633/4	633/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	824									
80	80	317/2	317/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	825									
80	80	635/4	635/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	826									
80	80	159	159	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	827									
80	80	637/4	637/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	828									
80	80	319/2	319/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	829									
80	80	639/4	639/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	830									
80	80	158	158	0.0		0	0	Dynamic	2/4	2	1	0				sfp								
80	80	158	158	0.0		0	0	Spanner	2/4	2	1	0												
80	80	158	158	0.0		0	0	Spanner	2/4	2	1	0										68		
80	80	158	158	1.5		0	0	Chord	2/4	2	1	3/8	1/4	3/2	831				7			68		
80	80	319/2	319/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	832				7			68		
81	81	160	160	0.0		0	0	Spanner	2/4	1	1	0									10			
81	81	641/4	641/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	833						10			
81	81	321/2	321/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	834						10			
81	81	643/4	643/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	835						10			
81	81	645/4	645/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	836						10			
81	81	323/2	323/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	837						10			
81	81	647/4	647/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	838						10			
81	81	160	160	0.0		0	0	Spanner	2/4	2	1	0							7					
81	81	160	160	0.0		0	0	Spanner	2/4	2	1	0							7			69		
81	81	160	160	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	839				7			69		
81	81	161	161	0.0		1/4	1/4	Spanner	2/4	2	1	0							7					
81	81	161	161	0.0		1/4	1/4	Spanner	2/4	2	1	0							7			70		
81	81	161	161	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	840				7			70		
82	82	649/4	649/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	841						10			
82	82	325/2	325/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	842						10			
82	82	651/4	651/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	843						10			
82	82	653/4	653/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	844						10			
82	82	327/2	327/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	845						10			
82	82	655/4	655/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	846						10			
82	82	162	162	0.0		0	0	Spanner	2/4	2	1	0							7					
82	82	162	162	0.0		0	0	Spanner	2/4	2	1	0							7			71		
82	82	162	162	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	847				7			71		
82	82	163	163	0.0		1/4	1/4	Spanner	2/4	2	1	0							7					
82	82	163	163	0.0		1/4	1/4	Spanner	2/4	2	1	0							7			72		
82	82	163	163	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	848				7			72		
83	83	657/4	657/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	849						10			
83	83	329/2	329/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	850						10			
83	83	659/4	659/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	851						10			
83	83	661/4	661/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	852						10			
83	83	331/2	331/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	853						10			
83	83	663/4	663/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	854						10			
83	83	164	164	0.0		0	0	Spanner	2/4	2	1	0							7					
83	83	164	164	0.0		0	0	Spanner	2/4	2	1	0							7			73		
83	83	164	164	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	855				7			73		
83	83	165	165	0.0		1/4	1/4	Spanner	2/4	2	1	0												
83	83	165	165	0.0		1/4	1/4	Spanner	2/4	2	1	0										74		
83	83	165	165	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	856							74		
84	84	166	166	0.0		0	0	Spanner	2/4	1	1	0												
84	84	166	166	0.0		0	0	Spanner	2/4	1	1	0								10				
84	84	665/4	665/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	857					10				
84	84	333/2	333/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	858					10				
84	84	667/4	667/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	859					10				
84	84	669/4	669/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	860					10				
84	84	335/2	335/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	861					10				
84	84	671/4	671/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	862					10				
84	84	166	166	0.0		0	0	Spanner	2/4	2	1	0												
84	84	166	166	0.0		0	0	Spanner	2/4	2	1	0										75		
84	84	166	166	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	863				8			75		
84	84	167	167	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	864							75		
84	84	166	166	2.0		0	0	Chord	2/4	2	2	1/2	1/2	1	865							75		
85	85	673/4	673/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	866					10				
85	85	337/2	337/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	867					10				
85	85	675/4	675/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	868					10				
85	85	677/4	677/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	869					10				
85	85	339/2	339/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	870					10				
85	85	679/4	679/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	871					10				
85	85	168	168	0.0		0	0	Spanner	2/4	2	1	0												
85	85	168	168	0.0		0	0	Spanner	2/4	2	1	0										76		
85	85	168	168	2.0		0	0	Chord	2/4	2	1	1/2	1/2	1	872							76		
85	85	168	168	1.0		0	0	Chord	2/4	2	2	1/4	1/4	1	873				9			76		
85	85	169	169	1.0		1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	874							76		
86	86	170	170	0.0		0	0	Spanner	2/4	1	1	0												
86	86	681/4	681/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	875									
86	86	341/2	341/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	876									
86	86	683/4	683/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	877									
86	86	171	171	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	878									
86	86	685/4	685/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	879									
86	86	343/2	343/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	880									
86	86	687/4	687/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	881									
86	86	170	170	0.0		0	0	Dynamic	2/4	2	1	0				sfp								
86	86	170	170	0.0		0	0	Spanner	2/4	2	1	0												
86	86	170	170	0.0		0	0	Spanner	2/4	2	1	0										77		
86	86	170	170	1.5		0	0	Chord	2/4	2	1	3/8	1/4	3/2	882				10			77		
86	86	343/2	343/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	883				10			77		
87	87	689/4	689/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	884									
87	87	345/2	345/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	885									
87	87	691/4	691/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	886									
87	87	173	173	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	887									
87	87	693/4	693/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	888									
87	87	347/2	347/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	889									
87	87	695/4	695/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	890									
87	87	172	172	0.0		0	0	Spanner	2/4	2	1	0							10					
87	87	172	172	0.0		0	0	Spanner	2/4	2	1	0							10			78		
87	87	172	172	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	891				10			78		
87	87	173	173	0.0		1/4	1/4	Spanner	2/4	2	1	0												
87	87	173	173	0.0		1/4	1/4	Spanner	2/4	2	1	0										79		
87	87	173	173	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	892							79		
88	88	697/4	697/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	893									
88	88	349/2	349/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	894									
88	88	699/4	699/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	895									
88	88	175	175	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	896									
88	88	701/4	701/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	897									
88	88	351/2	351/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	898									
88	88	703/4	703/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	899									
88	88	174	174	0.0		0	0	Dynamic	2/4	2	1	0				sfp								
88	88	174	174	0.0		0	0	Spanner	2/4	2	1	0												
88	88	174	174	0.0		0	0	Spanner	2/4	2	1	0										80		
88	88	174	174	1.5		0	0	Chord	2/4	2	1	3/8	1/4	3/2	900				11			80		
88	88	351/2	351/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	901				11			80		
89	89	705/4	705/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	902									
89	89	353/2	353/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	903									
89	89	707/4	707/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	904									
89	89	177	177	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	905									
89	89	709/4	709/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	906									
89	89	355/2	355/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	907									
89	89	711/4	711/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	908									
89	89	176	176	0.0		0	0	Spanner	2/4	2	1	0							11					
89	89	176	176	0.0		0	0	Spanner	2/4	2	1	0							11			81		
89	89	176	176	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	909				11			81		
89	89	177	177	0.0		1/4	1/4	Spanner	2/4	2	1	0												
89	89	177	177	0.0		1/4	1/4	Spanner	2/4	2	1	0										82		
89	89	177	177	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	910							82		
