mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin	crescendo_line	diminuendo_line	HairPin:3_decresc.
12	11	41	45	0.5		1/4	1/4	Chord	2/2	1	2	1/8	1/8	1	174														
12	11	83/2	91/2	0.5		3/8	3/8	Chord	2/2	1	2	1/8	1/8	1	175														
12	11	42	46	0.5		1/2	1/2	Chord	2/2	1	2	1/8	1/8	1	176														
12	11	85/2	93/2	0.5		5/8	5/8	Chord	2/2	1	2	1/8	1/8	1	177														
12	11	43	47	0.5		3/4	3/4	Chord	2/2	1	2	1/8	1/8	1	178														
12	11	87/2	95/2	0.5		7/8	7/8	Chord	2/2	1	2	1/8	1/8	1	179														
12	11	40	44	0.0		0	0	Spanner	2/2	2	1	0																	
12	11	40	44	0.0		0	0	Spanner	2/2	2	1	0											32						
12	11	40	44	0.5		0	0	Chord	2/2	2	1	1/8	1/8	1	180								32						
12	11	81/2	89/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	181								32						
12	11	41	45	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	182								32						
12	11	83/2	91/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	183								32						
12	11	42	46	0.5		1/2	1/2	Chord	2/2	2	1	1/8	1/8	1	184								32						
12	11	85/2	93/2	0.5		5/8	5/8	Chord	2/2	2	1	1/8	1/8	1	185								32						
12	11	43	47	0.5		3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	186								32						
12	11	87/2	95/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	187								32						
13	12		48	0.0	1	0	0	Tempo	2/2	1	1	0							"

𝅘𝅥
=66
"	66.0	0.0	22							
13	12		48	0.5	1	0	0	Chord	2/2	1	1	1/8	1/8	1	188							22							
13	12		97/2	0.5	1	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	189							22							
13	12		49	0.0	1	1/4	1/4	Tempo	2/2	1	1	0							"

𝅘𝅥
=65
"	65.0	0.0	22							
13	12		49	0.5	1	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	190							22							
13	12		99/2	0.5	1	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	191							22							
13	12		50	0.0	1	1/2	1/2	Tempo	2/2	1	1	0							"

𝅘𝅥
=64
"	64.0	0.0	22							
13	12		50	1.0	1	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	192							22							
13	12		51	0.0	1	3/4	3/4	Tempo	2/2	1	1	0							"

𝅘𝅥
=62
"	62.0	0.0	22							
13	12		51	0.5	1	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	193							22							
13	12		103/2	0.0	1	7/8	7/8	Tempo	2/2	1	1	0							"

𝅘𝅥
=58
"	58.0	0.0								
13	12		103/2	0.5	1	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	194														
13	12		48	0.5	1	0	0	Chord	2/2	1	2	1/8	1/8	1	195														
13	12		97/2	0.5	1	1/8	1/8	Chord	2/2	1	2	1/8	1/8	1	196														
13	12		49	0.5	1	1/4	1/4	Chord	2/2	1	2	1/8	1/8	1	197														
13	12		99/2	0.5	1	3/8	3/8	Chord	2/2	1	2	1/8	1/8	1	198														
13	12		50	0.5	1	1/2	1/2	Chord	2/2	1	2	1/8	1/8	1	199														
13	12		101/2	0.5	1	5/8	5/8	Chord	2/2	1	2	1/8	1/8	1	200														
13	12		51	0.5	1	3/4	3/4	Chord	2/2	1	2	1/8	1/8	1	201														
13	12		103/2	0.5	1	7/8	7/8	Chord	2/2	1	2	1/8	1/8	1	202														
13	12		48	0.0	1	0	0	Spanner	2/2	2	1	0																	
13	12		48	0.0	1	0	0	Spanner	2/2	2	1	0											33						
13	12		48	0.5	1	0	0	Chord	2/2	2	1	1/8	1/8	1	203								33						
13	12		97/2	0.0	1	1/8	1/8	Spanner	2/2	2	1	0																	
13	12		97/2	0.0	1	1/8	1/8	Spanner	2/2	2	1	0											34						
13	12		97/2	0.5	1	1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	204								34						
13	12		49	0.0	1	1/4	1/4	Spanner	2/2	2	1	0																	
13	12		49	0.0	1	1/4	1/4	Spanner	2/2	2	1	0											35						
13	12		49	0.5	1	1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	205								35						
13	12		99/2	0.0	1	3/8	3/8	Spanner	2/2	2	1	0																	
13	12		99/2	0.0	1	3/8	3/8	Spanner	2/2	2	1	0											36						
13	12		99/2	0.5	1	3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	206								36						
13	12		50	0.5	1	1/2	1/2	Chord	2/2	2	1	1/8	1/8	1	207								36						
13	12		101/2	0.0	1	5/8	5/8	Spanner	2/2	2	1	0																	
13	12		101/2	0.0	1	5/8	5/8	Spanner	2/2	2	1	0											37						
13	12		101/2	0.5	1	5/8	5/8	Chord	2/2	2	1	1/8	1/8	1	208								37						
13	12		51	0.0	1	3/4	3/4	Spanner	2/2	2	1	0																	
13	12		51	0.0	1	3/4	3/4	Spanner	2/2	2	1	0											38						
13	12		51	0.5	1	3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	209								38						
13	12		103/2	0.0	1	7/8	7/8	Spanner	2/2	2	1	0																	
13	12		103/2	0.0	1	7/8	7/8	Spanner	2/2	2	1	0											39						
13	12		103/2	0.5	1	7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	210								39						
14	12	44	52	0.0	2	0	0	Tempo	2/2	1	1	0							"

𝅘𝅥
=66
"	66.0	0.0								
14	12	44	52	0.5	2	0	0	Chord	2/2	1	1	1/8	1/8	1	211							23							
14	12	89/2	105/2	0.5	2	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	212							23							
14	12	45	53	0.0	2	1/4	1/4	Tempo	2/2	1	1	0							"

𝅘𝅥
=65
"	65.0	0.0	23							
14	12	45	53	0.5	2	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	213							23							
14	12	91/2	107/2	0.5	2	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	214							23							
14	12	46	54	0.0	2	1/2	1/2	Tempo	2/2	1	1	0							"

𝅘𝅥
=64
"	64.0	0.0	23							
14	12	46	54	1.0	2	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	215							23							
14	12	47	55	0.0	2	3/4	3/4	Tempo	2/2	1	1	0							"

𝅘𝅥
=60
"	60.0	0.0								
14	12	47	55	0.5	2	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	216														
14	12	95/2	111/2	0.0	2	7/8	7/8	Tempo	2/2	1	1	0							"

𝅘𝅥
=54
"	54.0	0.0								
14	12	95/2	111/2	0.0	2	7/8	7/8	Dynamic	2/2	1	1	0				pp													
14	12	95/2	111/2	0.5	2	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	217														
14	12	44	52	0.5	2	0	0	Chord	2/2	1	2	1/8	1/8	1	218														
14	12	89/2	105/2	0.5	2	1/8	1/8	Chord	2/2	1	2	1/8	1/8	1	219														
14	12	45	53	0.5	2	1/4	1/4	Chord	2/2	1	2	1/8	1/8	1	220														
14	12	91/2	107/2	0.5	2	3/8	3/8	Chord	2/2	1	2	1/8	1/8	1	221														
14	12	46	54	0.5	2	1/2	1/2	Chord	2/2	1	2	1/8	1/8	1	222														
14	12	93/2	109/2	0.5	2	5/8	5/8	Chord	2/2	1	2	1/8	1/8	1	223														
14	12	47	55	0.5	2	3/4	3/4	Chord	2/2	1	2	1/8	1/8	1	224														
14	12	44	52	0.0	2	0	0	Spanner	2/2	2	1	0											40						
14	12	44	52	0.0	2	0	0	Spanner	2/2	2	1	0											40						
14	12	44	52	0.5	2	0	0	Chord	2/2	2	1	1/8	1/8	1	225								40						
14	12	89/2	105/2	0.0	2	1/8	1/8	Spanner	2/2	2	1	0																	
14	12	89/2	105/2	0.0	2	1/8	1/8	Spanner	2/2	2	1	0											41						
14	12	89/2	105/2	0.5	2	1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	226								41						
14	12	45	53	0.0	2	1/4	1/4	Spanner	2/2	2	1	0																	
14	12	45	53	0.0	2	1/4	1/4	Spanner	2/2	2	1	0											42						
14	12	45	53	0.5	2	1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	227								42						
14	12	91/2	107/2	0.0	2	3/8	3/8	Spanner	2/2	2	1	0																	
14	12	91/2	107/2	0.0	2	3/8	3/8	Spanner	2/2	2	1	0											43						
14	12	91/2	107/2	0.5	2	3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	228								43						
14	12	46	54	0.0	2	1/2	1/2	Spanner	2/2	2	1	0																	
14	12	46	54	0.0	2	1/2	1/2	Spanner	2/2	2	1	0											44						
14	12	46	54	0.5	2	1/2	1/2	Chord	2/2	2	1	1/8	1/8	1	229								44						
14	12	93/2	109/2	0.0	2	5/8	5/8	Spanner	2/2	2	1	0																	
14	12	93/2	109/2	0.0	2	5/8	5/8	Spanner	2/2	2	1	0											45						
14	12	93/2	109/2	0.5	2	5/8	5/8	Chord	2/2	2	1	1/8	1/8	1	230								45						
14	12	47	55	0.0	2	3/4	3/4	Spanner	2/2	2	1	0																	
14	12	47	55	0.0	2	3/4	3/4	Spanner	2/2	2	1	0											46						
14	12	47	55	0.5	2	3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	231								46						
14	12	95/2	111/2	0.0	2	7/8	7/8	Spanner	2/2	2	1	0																	
14	12	95/2	111/2	0.0	2	7/8	7/8	Spanner	2/2	2	1	0											47						
15	13	48	56	0.0		0	0	Tempo	2/2	1	1	0							"

𝅘𝅥
=68
"	68.0	0.0								
15	13	48	56	1.0		0	0	Chord	2/2	1	1	1/4	1/4	1	232		articStaccatoBelow					24							
15	13	49	57	1.0		1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	233		articStaccatoBelow												
15	13	50	58	0.0		1/2	1/2	Spanner	2/2	1	1	0															1		
15	13	50	58	1.5		1/2	1/2	Chord	2/2	1	1	3/8	1/4	3/2	234												1		
15	13	103/2	119/2	0.0		7/8	7/8	Tempo	2/2	1	1	0							"

𝅘𝅥
=64
"	64.0	0.0						1		
15	13	103/2	119/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	235		articStaccatoAbove					25					1		
15	13	48	56	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	236		articStaccatoAbove					26	47						
15	13	49	57	1.0		1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	237		articStaccatoAbove						47						
15	13	50	58	1.5		1/2	1/2	Chord	2/2	2	1	3/8	1/4	3/2	238								47						
15	13	103/2	119/2	0.0		7/8	7/8	Spanner	2/2	2	1	0																	
15	13	103/2	119/2	0.0		7/8	7/8	Spanner	2/2	2	1	0											48						
15	13	103/2	119/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	239		articStaccatoAbove					27	48						
16	14	52	60	0.0		0	0	Tempo	2/2	1	1	0							"

𝅘𝅥
=67
"	67.0	0.0	25					1		
16	14	52	60	0.5		0	0	Chord	2/2	1	1	1/8	1/8	1	240		articStaccatoAbove					25					1		
16	14	105/2	121/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	241		articStaccatoAbove					25					1		
16	14	53	61	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	242		articStaccatoAbove					25					1		
16	14	107/2	123/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	243		articStaccatoAbove										1		
16	14	54	62	0.0		1/2	1/2	Dynamic	2/2	1	1	0				sf													
16	14	54	62	0.0		1/2	1/2	Tempo	2/2	1	1	0							"

𝅘𝅥
=66
"	66.0	0.0								
16	14	54	62	0.0		1/2	1/2	Spanner	2/2	1	1	0																	
16	14	54	62	2.0		1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	244														
16	14	111/2	127/2	0.0		7/8	7/8	Tempo	2/2	1	1	0							"

𝅘𝅥
=64
"	64.0	0.0								
16	14	52	60	0.0		0	0	Spanner	2/2	2	1	0										27							
16	14	52	60	0.0		0	0	Spanner	2/2	2	1	0										27	49						
16	14	52	60	0.5		0	0	Chord	2/2	2	1	1/8	1/8	1	245		articStaccatoAbove					27	49						
16	14	105/2	121/2	0.0		1/8	1/8	Spanner	2/2	2	1	0										27							
16	14	105/2	121/2	0.0		1/8	1/8	Spanner	2/2	2	1	0										27	50						
16	14	105/2	121/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	246		articStaccatoAbove					27	50						
16	14	53	61	0.0		1/4	1/4	Spanner	2/2	2	1	0										27							
16	14	53	61	0.0		1/4	1/4	Spanner	2/2	2	1	0										27	51						
16	14	53	61	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	247		articStaccatoAbove					27	51						
16	14	107/2	123/2	0.0		3/8	3/8	Spanner	2/2	2	1	0																	
16	14	107/2	123/2	0.0		3/8	3/8	Spanner	2/2	2	1	0											52						
16	14	107/2	123/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	248		articStaccatoAbove						52						
16	14	54	62	0.0		1/2	1/2	Spanner	2/2	2	1	0																	
16	14	54	62	0.0		1/2	1/2	Spanner	2/2	2	1	0											53						
16	14	54	62	1.5		1/2	1/2	Chord	2/2	2	1	3/8	1/4	3/2	249								53						
16	14	111/2	127/2	0.0		7/8	7/8	Spanner	2/2	2	1	0																	
16	14	111/2	127/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	250							28							
17	15	56	64	0.0		0	0	Tempo	2/2	1	1	0							"

𝅘𝅥
=68
"	68.0	0.0								
17	15	56	64	0.5		0	0	Chord	2/2	1	1	1/8	1/8	1	251														
17	15	113/2	129/2	0.25		1/8	1/8	Chord	2/2	1	1	1/16	1/16	1	252							29							
17	15	227/4	259/4	0.25		3/16	3/16	Chord	2/2	1	1	1/16	1/16	1	253							29							
17	15	57	65	0.25		1/4	1/4	Chord	2/2	1	1	1/16	1/16	1	254							29							
17	15	229/4	261/4	0.25		5/16	5/16	Chord	2/2	1	1	1/16	1/16	1	255							29							
17	15	115/2	131/2	0.25		3/8	3/8	Chord	2/2	1	1	1/16	1/16	1	256							29							
17	15	231/4	263/4	0.25		7/16	7/16	Chord	2/2	1	1	1/16	1/16	1	257														
17	15	58	66	0.0		1/2	1/2	Dynamic	2/2	1	1	0				sf													
17	15	58	66	0.0		1/2	1/2	Tempo	2/2	1	1	0							"

𝅘𝅥
=67
"	67.0	0.0								
17	15	58	66	0.0		1/2	1/2	Spanner	2/2	1	1	0																2	2
17	15	58	66	2.0		1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	258							30						2	2
17	15	117/2	133/2	0.25		5/8	5/8	Chord	2/2	1	2	1/16	1/16	1	259							31						2	2
17	15	235/4	267/4	0.25		11/16	11/16	Chord	2/2	1	2	1/16	1/16	1	260							31						2	2
17	15	59	67	0.25		3/4	3/4	Chord	2/2	1	2	1/16	1/16	1	261							31						2	2
17	15	237/4	269/4	0.25		13/16	13/16	Chord	2/2	1	2	1/16	1/16	1	262							31						2	2
17	15	119/2	135/2	0.25		7/8	7/8	Chord	2/2	1	2	1/16	1/16	1	263							31						2	2
17	15	239/4	271/4	0.25		15/16	15/16	Chord	2/2	1	2	1/16	1/16	1	264							31						2	2
17	15	56	64	0.5		0	0	Chord	2/2	2	1	1/8	1/8	1	265							28							
17	15	113/2	129/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	266							28							
17	15	57	65	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	267							28							
17	15	115/2	131/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	268														
17	15	58	66	0.0		1/2	1/2	Dynamic	2/2	2	1	0				sf													
17	15	58	66	2.0		1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	269														
18	16	60	68	0.0		0	0	Dynamic	2/2	1	1	0				p						30							
18	16	60	68	0.0		0	0	Tempo	2/2	1	1	0							"

𝅘𝅥
=66
"	66.0	0.0	30							
18	16	60	68	0.0		0	0	Spanner	2/2	1	1	0										30							
18	16	60	68	0.5		0	0	Chord	2/2	1	1	1/8	1/8	1	270							30							
18	16	121/2	137/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	271							30							
18	16	61	69	0.0		1/4	1/4	Tempo	2/2	1	1	0							"

𝅘𝅥
=65
"	65.0	0.0	30							
18	16	61	69	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	272							30							
18	16	123/2	139/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	273														
18	16	62	70	0.0		1/2	1/2	Tempo	2/2	1	1	0							"

𝅘𝅥
=64
"	64.0	0.0								
18	16	62	70	1.0		1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	274														
18	16	127/2	143/2	0.0		7/8	7/8	Dynamic	2/2	1	1	0				pp													
18	16	127/2	143/2	0.0		7/8	7/8	Tempo	2/2	1	1	0							"

𝅘𝅥
=54
"	54.0	0.0								
18	16	127/2	143/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	275														
18	16	60	68	1.0		0	0	Chord	2/2	1	2	1/4	1/4	1	276														
18	16	61	69	1.0		1/4	1/4	Chord	2/2	1	2	1/4	1/4	1	277														
18	16	62	70	1.0		1/2	1/2	Chord	2/2	1	2	1/4	1/4	1	278														
18	16	60	68	0.25		0	0	Chord	2/2	2	1	1/16	1/16	1	279							32							
18	16	241/4	273/4	0.25		1/16	1/16	Chord	2/2	2	1	1/16	1/16	1	280							32							
18	16	121/2	137/2	0.25		1/8	1/8	Chord	2/2	2	1	1/16	1/16	1	281							32							
18	16	243/4	275/4	0.25		3/16	3/16	Chord	2/2	2	1	1/16	1/16	1	282							32							
18	16	61	69	0.25		1/4	1/4	Chord	2/2	2	1	1/16	1/16	1	283							32							
18	16	245/4	277/4	0.25		5/16	5/16	Chord	2/2	2	1	1/16	1/16	1	284							32							
18	16	123/2	139/2	0.25		3/8	3/8	Chord	2/2	2	1	1/16	1/16	1	285							32							
18	16	247/4	279/4	0.25		7/16	7/16	Chord	2/2	2	1	1/16	1/16	1	286														
18	16	62	70	0.0		1/2	1/2	Spanner	2/2	2	1	0											54						
18	16	62	70	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	287								54						
18	16	63	71	0.0		3/4	3/4	Spanner	2/2	2	1	0																	
18	16	63	71	0.5		3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	288														
18	16	127/2	143/2	0.0		7/8	7/8	Spanner	2/2	2	1	0											55						
18	16	60	68	1.0		0	0	Chord	2/2	2	2	1/4	1/4	1	289								55						
18	16	61	69	1.0		1/4	1/4	Chord	2/2	2	2	1/4	1/4	1	290								55						
18	16	62	70	1.0		1/2	1/2	Chord	2/2	2	2	1/4	1/4	1	291								55						
19	17	64	72	0.0		0	0	Tempo	2/2	1	1	0							"

𝅘𝅥
=68
"	68.0	0.0								
19	17	64	72	1.0		0	0	Chord	2/2	1	1	1/4	1/4	1	292		articStaccatoBelow					33							
19	17	65	73	1.0		1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	293		articStaccatoBelow												
19	17	66	74	1.5		1/2	1/2	Chord	2/2	1	1	3/8	1/4	3/2	294														
19	17	135/2	151/2	0.0		7/8	7/8	Tempo	2/2	1	1	0							"

𝅘𝅥
=64
"	64.0	0.0								
19	17	135/2	151/2	0.0		7/8	7/8	Spanner	2/2	1	1	0															2		
19	17	135/2	151/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	295		ornamentTrill					34					2		
19	17	135/2	151/2	0.07142857142857142		7/8	7/8	Chord	2/2	1	2	1/56	1/16	2/7	296												2		
19	17	473/7	529/7	0.07142857142857142		25/28	25/28	Chord	2/2	1	2	1/56	1/16	2/7	297												2		
19	17	947/14	1059/14	0.07142857142857142		51/56	51/56	Chord	2/2	1	2	1/56	1/16	2/7	298												2		
19	17	474/7	530/7	0.07142857142857142		13/14	13/14	Chord	2/2	1	2	1/56	1/16	2/7	299												2		
19	17	949/14	1061/14	0.07142857142857142		53/56	53/56	Chord	2/2	1	2	1/56	1/16	2/7	300												2		
19	17	475/7	531/7	0.07142857142857142		27/28	27/28	Chord	2/2	1	2	1/56	1/16	2/7	301												2		
19	17	951/14	1063/14	0.07142857142857142		55/56	55/56	Chord	2/2	1	2	1/56	1/16	2/7	302												2		
19	17	64	72	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	303		articStaccatoAbove					35	55						
19	17	65	73	1.0		1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	304		articStaccatoAbove						55						
19	17	66	74	1.5		1/2	1/2	Chord	2/2	2	1	3/8	1/4	3/2	305								55						
19	17	135/2	151/2	0.0		7/8	7/8	Spanner	2/2	2	1	0																	
19	17	135/2	151/2	0.0		7/8	7/8	Spanner	2/2	2	1	0											56						
19	17	135/2	151/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	306								56						
20	18	68	76	0.0		0	0	Tempo	2/2	1	1	0							"

𝅘𝅥
=67
"	67.0	0.0						2		
20	18	68	76	0.5		0	0	Chord	2/2	1	1	1/8	1/8	1	307		articStaccatoAbove										2		
20	18	137/2	153/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	308		ornamentTrill					36					2		
20	18	69	77	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	309		articStaccatoAbove										2		
20	18	139/2	155/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	310		ornamentTrill					37					2		
20	18	70	78	0.0		1/2	1/2	Dynamic	2/2	1	1	0				sf													
20	18	70	78	0.0		1/2	1/2	Tempo	2/2	1	1	0							"

𝅘𝅥
=66
"	66.0	0.0								
20	18	70	78	0.0		1/2	1/2	Spanner	2/2	1	1	0																	
20	18	70	78	2.0		1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	311														
20	18	143/2	159/2	0.0		7/8	7/8	Tempo	2/2	1	1	0							"

𝅘𝅥
=64
"	64.0	0.0								
20	18	137/2	153/2	0.07142857142857142		1/8	1/8	Chord	2/2	1	2	1/56	1/16	2/7	312														
20	18	480/7	536/7	0.07142857142857142		1/7	1/7	Chord	2/2	1	2	1/56	1/16	2/7	313														
20	18	961/14	1073/14	0.07142857142857142		9/56	9/56	Chord	2/2	1	2	1/56	1/16	2/7	314														
20	18	481/7	537/7	0.07142857142857142		5/28	5/28	Chord	2/2	1	2	1/56	1/16	2/7	315														
20	18	963/14	1075/14	0.07142857142857142		11/56	11/56	Chord	2/2	1	2	1/56	1/16	2/7	316														
20	18	482/7	538/7	0.07142857142857142		3/14	3/14	Chord	2/2	1	2	1/56	1/16	2/7	317														
20	18	965/14	1077/14	0.07142857142857142		13/56	13/56	Chord	2/2	1	2	1/56	1/16	2/7	318														
20	18	139/2	155/2	0.07142857142857142		3/8	3/8	Chord	2/2	1	2	1/56	1/16	2/7	319														
20	18	487/7	543/7	0.07142857142857142		11/28	11/28	Chord	2/2	1	2	1/56	1/16	2/7	320														
20	18	975/14	1087/14	0.07142857142857142		23/56	23/56	Chord	2/2	1	2	1/56	1/16	2/7	321														
20	18	488/7	544/7	0.07142857142857142		3/7	3/7	Chord	2/2	1	2	1/56	1/16	2/7	322														
20	18	977/14	1089/14	0.07142857142857142		25/56	25/56	Chord	2/2	1	2	1/56	1/16	2/7	323														
20	18	489/7	545/7	0.07142857142857142		13/28	13/28	Chord	2/2	1	2	1/56	1/16	2/7	324														
20	18	979/14	1091/14	0.07142857142857142		27/56	27/56	Chord	2/2	1	2	1/56	1/16	2/7	325														
20	18	68	76	0.0		0	0	Spanner	2/2	2	1	0																	
20	18	68	76	0.0		0	0	Spanner	2/2	2	1	0											57						
20	18	68	76	0.5		0	0	Chord	2/2	2	1	1/8	1/8	1	326		articStaccatoAbove					38	57						
20	18	137/2	153/2	0.0		1/8	1/8	Spanner	2/2	2	1	0										38							
20	18	137/2	153/2	0.0		1/8	1/8	Spanner	2/2	2	1	0										38	58						
20	18	137/2	153/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	327		articStaccatoAbove					38	58						
20	18	69	77	0.0		1/4	1/4	Spanner	2/2	2	1	0										38							
20	18	69	77	0.0		1/4	1/4	Spanner	2/2	2	1	0										38	59						
20	18	69	77	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	328		articStaccatoAbove					38	59						
20	18	139/2	155/2	0.0		3/8	3/8	Spanner	2/2	2	1	0											60						
20	18	139/2	155/2	0.0		3/8	3/8	Spanner	2/2	2	1	0											60						
20	18	139/2	155/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	329		articStaccatoAbove						60						
20	18	70	78	0.0		1/2	1/2	Spanner	2/2	2	1	0																	
20	18	70	78	0.0		1/2	1/2	Spanner	2/2	2	1	0											61						
20	18	70	78	1.5		1/2	1/2	Chord	2/2	2	1	3/8	1/4	3/2	330								61						
20	18	143/2	159/2	0.0		7/8	7/8	Spanner	2/2	2	1	0																	
20	18	143/2	159/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	331							39							
21	19	72	80	0.0		0	0	Tempo	2/2	1	1	0							"

𝅘𝅥
=68
"	68.0	0.0								
21	19	72	80	0.5		0	0	Chord	2/2	1	1	1/8	1/8	1	332														
21	19	145/2	161/2	0.25		1/8	1/8	Chord	2/2	1	1	1/16	1/16	1	333							40							
21	19	291/4	323/4	0.25		3/16	3/16	Chord	2/2	1	1	1/16	1/16	1	334							40							
21	19	73	81	0.25		1/4	1/4	Chord	2/2	1	1	1/16	1/16	1	335							40							
21	19	293/4	325/4	0.25		5/16	5/16	Chord	2/2	1	1	1/16	1/16	1	336							40							
21	19	147/2	163/2	0.25		3/8	3/8	Chord	2/2	1	1	1/16	1/16	1	337							40							
21	19	295/4	327/4	0.25		7/16	7/16	Chord	2/2	1	1	1/16	1/16	1	338														
21	19	74	82	0.0		1/2	1/2	Dynamic	2/2	1	1	0				sf													
21	19	74	82	0.0		1/2	1/2	Tempo	2/2	1	1	0							"

𝅘𝅥
=67
"	67.0	0.0								
21	19	74	82	0.0		1/2	1/2	Spanner	2/2	1	1	0																3	3
21	19	74	82	2.0		1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	339							41						3	3
21	19	149/2	165/2	0.25		5/8	5/8	Chord	2/2	1	2	1/16	1/16	1	340							42						3	3
21	19	299/4	331/4	0.25		11/16	11/16	Chord	2/2	1	2	1/16	1/16	1	341							42						3	3
21	19	75	83	0.25		3/4	3/4	Chord	2/2	1	2	1/16	1/16	1	342							42						3	3
21	19	301/4	333/4	0.25		13/16	13/16	Chord	2/2	1	2	1/16	1/16	1	343							42						3	3
21	19	151/2	167/2	0.25		7/8	7/8	Chord	2/2	1	2	1/16	1/16	1	344							42						3	3
21	19	303/4	335/4	0.25		15/16	15/16	Chord	2/2	1	2	1/16	1/16	1	345							42						3	3
21	19	72	80	0.5		0	0	Chord	2/2	2	1	1/8	1/8	1	346							39							
21	19	145/2	161/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	347							39							
21	19	73	81	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	348							39							
21	19	147/2	163/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	349														
21	19	74	82	0.0		1/2	1/2	Dynamic	2/2	2	1	0				sf													
21	19	74	82	2.0		1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	350														
22	20	76	84	0.0		0	0	Dynamic	2/2	1	1	0				p						41							
