mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	tempo_visible	slur	decrescendo_hairpin	crescendo_line	crescendo_hairpin	Trill:trill
59	59	703/4	703/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	590											
59	59	176	176	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	591											
59	59	705/4	705/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	592											
59	59	353/2	353/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	593											
59	59	707/4	707/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	594											
60	60	177	177	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	595							74				
60	60	709/4	709/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	596											
60	60	355/2	355/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	597							75				
60	60	711/4	711/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	598											
60	60	359/2	359/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	599											
60	60	177	177	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	600											
60	60	709/4	709/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	601											
60	60	355/2	355/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	602											
60	60	711/4	711/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	603											
60	60	178	178	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	604											
60	60	713/4	713/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	605											
60	60	357/2	357/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	606											
60	60	715/4	715/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	607											
60	60	179	179	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	608											
60	60	717/4	717/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	609											
60	60	359/2	359/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	610											
60	60	719/4	719/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	611											
61	61	180	180	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	612											
61	61	363/2	363/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	613											
61	61	727/4	727/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	614											
61	61	182	182	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	615											
61	61	729/4	729/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	616											
61	61	365/2	365/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	617											
61	61	731/4	731/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	618											
61	61	180	180	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	619											
61	61	721/4	721/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	620											
61	61	361/2	361/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	621											
61	61	723/4	723/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	622											
61	61	181	181	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	623											
61	61	725/4	725/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	624											
61	61	363/2	363/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	625											
61	61	727/4	727/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	626											
61	61	182	182	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	627											
61	61	729/4	729/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	628											
61	61	365/2	365/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	629											
61	61	731/4	731/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	630											
62	62	183	183	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	631											
62	62	733/4	733/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	632											
62	62	367/2	367/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	633											
62	62	735/4	735/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	634											
62	62	184	184	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	635											
62	62	737/4	737/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	636											
62	62	369/2	369/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	637											
62	62	739/4	739/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	638											
62	62	185	185	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	639											
62	62	741/4	741/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	640											
62	62	371/2	371/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	641											
62	62	743/4	743/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	642											
62	62	183	183	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	643											
62	62	733/4	733/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	644											
62	62	367/2	367/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	645											
62	62	735/4	735/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	646											
62	62	184	184	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	647											
62	62	737/4	737/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	648											
62	62	369/2	369/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	649											
62	62	739/4	739/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	650											
62	62	185	185	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	651											
62	62	741/4	741/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	652											
62	62	371/2	371/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	653											
62	62	743/4	743/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	654											
63	63	186	186	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	655											
63	63	745/4	745/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	656											
63	63	373/2	373/2	0.75	1/8	1/8	Chord	3/4	1	1	3/16		1/8	3/2	657											
63	63	749/4	749/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	658											
63	63	375/2	375/2	0.75	3/8	3/8	Chord	3/4	1	1	3/16		1/8	3/2	659											
63	63	753/4	753/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	660											
63	63	377/2	377/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	661											
63	63	186	186	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	662											
63	63	745/4	745/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	663											
63	63	373/2	373/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	664											
63	63	747/4	747/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	665											
63	63	187	187	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	666											
63	63	749/4	749/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	667											
63	63	375/2	375/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	668											
63	63	751/4	751/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	669											
63	63	188	188	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	670											
63	63	753/4	753/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	671											
63	63	377/2	377/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	672											
63	63	755/4	755/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	673											
64	64	189	189	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	674											
64	64	190	190	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	675											
64	64	761/4	761/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	676											
64	64	381/2	381/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	677											
64	64	763/4	763/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	678											
64	64	191	191	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	679											
64	64	765/4	765/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	680											
64	64	383/2	383/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	681											
64	64	767/4	767/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	682											
64	64	189	189	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	683											
64	64	757/4	757/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	684											
64	64	379/2	379/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	685											
64	64	759/4	759/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	686											
65	65	192	192	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	687			articAccentBelow								
65	65	194	194	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	688			ornamentTrill								
65	65	385/2	385/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	689											
65	65	193	193	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	690											
65	65	387/2	387/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	691											
65	65	194	194	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	692											
65	65	389/2	389/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	693											
66	66	195	195	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	694											
66	66	196	196	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	695											
66	66	785/4	785/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	696											
66	66	393/2	393/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	697											
66	66	787/4	787/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	698											
66	66	197	197	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	699											
66	66	789/4	789/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	700											
66	66	395/2	395/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	701											
66	66	791/4	791/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	702											
66	66	195	195	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	703											
66	66	781/4	781/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	704											
66	66	391/2	391/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	705											
66	66	783/4	783/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	706											
67	67	198	198	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	707			articAccentAbove								
67	67	200	200	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	708			ornamentTrill								
67	67	397/2	397/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	709											
67	67	199	199	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	710											
67	67	399/2	399/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	711											
67	67	200	200	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	712											
67	67	401/2	401/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	713											
68	68	201	201	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	714	<										
68	68	202	202	0.0	1/4	1/4	Spanner	3/4	1	1	0													3		
68	68	202	202	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	715			ornamentTrill						3		
68	68	203	203	0.0	1/2	1/2	Spanner	3/4	1	1	0															
68	68	203	203	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	716											
68	68	203	203	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	717											
68	68	203	203	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	718											
68	68	403/2	403/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	719											
68	68	405/2	405/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	720											
68	68	407/2	407/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	721											
69	69	204	204	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	722			ornamentTrill								
69	69	205	205	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	723											
69	69	205	205	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	724											
69	69	205	205	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	725											
69	69	206	206	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	726											
69	69	206	206	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	727											
69	69	206	206	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	728			ornamentTrill								
69	69	409/2	409/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	729											
69	69	411/2	411/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	730											
69	69	413/2	413/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	731											
70	70	207	207	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	732											
70	70	208	208	0.0	1/4	1/4	Dynamic	3/4	1	1	0						sf									
70	70	208	208	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	733			ornamentTrill								
70	70	209	209	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	734											
70	70	209	209	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	735											
70	70	209	209	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	736											
70	70	415/2	415/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	737											
70	70	417/2	417/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	738											
70	70	419/2	419/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	739											
71	71	210	210	0.0	0	0	Dynamic	3/4	1	1	0						sf									
71	71	210	210	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	740			ornamentTrill								
71	71	211	211	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	741											
71	71	211	211	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	742											
71	71	211	211	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	743											
71	71	212	212	0.0	1/2	1/2	Dynamic	3/4	1	1	0						sf									
71	71	212	212	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	744											
71	71	212	212	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	745											
71	71	212	212	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	746			ornamentTrill								
71	71	421/2	421/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	747											
71	71	423/2	423/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	748											
71	71	425/2	425/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	749											
72	72	213	213	0.0	0	0	Dynamic	3/4	1	1	0						p									
72	72	213	213	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	750	p										
72	72	853/4	853/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	751											
72	72	427/2	427/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	752											
72	72	855/4	855/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	753											
72	72	214	214	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	754											
72	72	857/4	857/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	755											
72	72	429/2	429/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	756											
72	72	859/4	859/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	757											
72	72	215	215	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	758											
72	72	861/4	861/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	759											
72	72	431/2	431/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	760											
72	72	863/4	863/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	761											
72	72	213	213	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	762											
73	73	216	216	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	763											
73	73	865/4	865/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	764											
73	73	433/2	433/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	765											
73	73	867/4	867/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	766											
73	73	217	217	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	767											
73	73	869/4	869/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	768											
73	73	435/2	435/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	769											
73	73	871/4	871/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	770											
73	73	218	218	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	771											
73	73	873/4	873/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	772											
73	73	437/2	437/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	773											
73	73	875/4	875/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	774											
74	74	219	219	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	775	<										
74	74	877/4	877/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	776											
74	74	439/2	439/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	777											
74	74	879/4	879/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	778											
74	74	220	220	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	779											
74	74	881/4	881/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	780											
74	74	441/2	441/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	781											
74	74	883/4	883/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	782											
74	74	221	221	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	783											
74	74	885/4	885/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	784											
74	74	443/2	443/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	785											
74	74	887/4	887/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	786											
75	75	222	222	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	787			articStaccatoAbove								
75	75	445/2	445/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	788			articStaccatoAbove								
75	75	223	223	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	789			articStaccatoAbove								
75	75	447/2	447/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	790			articStaccatoAbove								
75	75	224	224	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	791			articStaccatoAbove								
75	75	449/2	449/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	792			articStaccatoAbove								
75	75	445/2	445/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	793			articStaccatoAbove								
75	75	223	223	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	794			articStaccatoAbove								
75	75	447/2	447/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	795			articStaccatoAbove								
75	75	224	224	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	796			articStaccatoAbove								
76	76	225	225	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	797			articStaccatoAbove								
76	76	451/2	451/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	798			articStaccatoAbove								
76	76	226	226	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	799			articStaccatoAbove								
76	76	453/2	453/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	800	f		articStaccatoBelow								
76	76	227	227	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	801			articStaccatoBelow								
76	76	455/2	455/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	802			articStaccatoBelow								
76	76	453/2	453/2	0.0	3/8	3/8	Dynamic	3/4	2	1	0						f									
76	76	453/2	453/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	803			articStaccatoBelow								
76	76	227	227	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	804			articStaccatoBelow								
76	76	455/2	455/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	805			articStaccatoBelow								
77	77	228	228	0.0	0	0	Dynamic	3/4	1	1	0						fp									
77	77	228	228	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	806	p		articStaccatoAbove								
77	77	457/2	457/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	807			articStaccatoAbove								
77	77	229	229	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	808			articStaccatoAbove								
77	77	459/2	459/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	809			articStaccatoAbove								
77	77	230	230	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	810			articStaccatoAbove								
77	77	461/2	461/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	811			articStaccatoAbove								
77	77	228	228	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	812											
78	78	231	231	0.0	0	0	Spanner	3/4	1	1	0													4		
78	78	231	231	0.0	0	0	Spanner	3/4	1	1	0													4		0
78	78	231	231	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	813									4		0
78	78	463/2	463/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	814			articStaccatoAbove								
78	78	232	232	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	815			articStaccatoAbove								
78	78	465/2	465/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	816			articStaccatoAbove								
78	78	233	233	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	817			articStaccatoAbove								
78	78	467/2	467/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	818			articStaccatoAbove								
79	79	234	234	0.0	0	0	Spanner	3/4	1	1	0															0
79	79	234	234	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	819	<										0
79	79	234	234	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	820			articStaccatoBelow								
79	79	469/2	469/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	821			articStaccatoBelow								
79	79	235	235	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	822			articStaccatoBelow								
79	79	471/2	471/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	823			articStaccatoBelow								
79	79	236	236	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	824			articStaccatoBelow								
79	79	473/2	473/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	825			articStaccatoBelow								
80	80	237	237	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	826											0
80	80	237	237	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	827			articStaccatoBelow								
80	80	475/2	475/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	828			articStaccatoBelow								
80	80	238	238	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	829			articStaccatoBelow								
80	80	477/2	477/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	830			articStaccatoBelow								
80	80	239	239	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	831			articStaccatoBelow								
80	80	479/2	479/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	832			articStaccatoBelow								
81	81	240	240	0.0	0	0	Dynamic	3/4	1	1	0						f									0
81	81	240	240	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	833	f										0
81	81	242	242	0.0	1/2	1/2	Spanner	3/4	1	1	0															
81	81	242	242	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	834											
81	81	242	242	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	835											
81	81	242	242	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	836			articStaccatoAbove								
81	81	485/2	485/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	837			articStaccatoAbove								
81	81	240	240	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	838											
81	81	481/2	481/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	839											
81	81	241	241	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	840											
81	81	483/2	483/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	841											
81	81	242	242	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	842											
81	81	485/2	485/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	843											
82	82	243	243	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	844			articStaccatoAbove								
82	82	487/2	487/2	0.0	1/8	1/8	Dynamic	3/4	1	1	0						p									
82	82	487/2	487/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	845							76				
82	82	244	244	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	846	p						76				
82	82	489/2	489/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	847							76				
82	82	245	245	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	848							76				
82	82	491/2	491/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	849											
82	82	243	243	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	850											
83	83	246	246	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	851							77				
83	83	246	246	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	852							78				
84	84	249	249	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	853											
84	84	249	249	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	854											
85	85	252	252	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	855							79				
85	85	505/2	505/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	856											
85	85	253	253	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	857											
85	85	253	253	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	858							80				
85	85	507/2	507/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	859							80				
85	85	254	254	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	860							80				
