mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	crescendo_line	decrescendo_hairpin	diminuendo_line	crescendo_hairpin
28	28	54	54	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	237	>			11		2		
28	28	55	55	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	238						2		
28	28	111/2	111/2	0.0		3/8	3/8	Dynamic	2/4	1	1	0						pp						
28	28	111/2	111/2	0.0		3/8	3/8	Spanner	2/4	1	1	0												
28	28	111/2	111/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	239	pp		articStaccatoAbove					
28	28	54	54	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	240				12				
28	28	55	55	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	241								
28	28	111/2	111/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	242			articStaccatoBelow					
29	29	56	56	0.875		0	0	Chord	2/4	1	1	7/32		1/8	7/4	243								
29	29	455/8	455/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	244								
29	29	57	57	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	245			articStaccatoAbove					
29	29	115/2	115/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	246			articStaccatoAbove					
29	29	56	56	0.875		0	0	Chord	2/4	2	1	7/32		1/8	7/4	247								
29	29	455/8	455/8	0.125		7/32	7/32	Chord	2/4	2	1	1/32		1/32	1	248								
29	29	57	57	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	249			articStaccatoBelow					
29	29	115/2	115/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	250			articStaccatoBelow					
30	30	58	58	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	251								
30	30	119/2	119/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	252			ornamentTrill					
30	30	58	58	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	253								
30	30	119/2	119/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	254			ornamentTrill					
31	31	60	60	0.875		0	0	Chord	2/4	1	1	7/32		1/8	7/4	255								
31	31	487/8	487/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	256								
31	31	61	61	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	257			articStaccatoAbove					
31	31	123/2	123/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	258			articStaccatoAbove					
31	31	60	60	0.875		0	0	Chord	2/4	2	1	7/32		1/8	7/4	259								
31	31	487/8	487/8	0.125		7/32	7/32	Chord	2/4	2	1	1/32		1/32	1	260								
31	31	61	61	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	261			articStaccatoBelow					
31	31	123/2	123/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	262			articStaccatoBelow					
32	32	62	62	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	263								
32	32	511/8	511/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	264								
32	32	62	62	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	265								
32	32	511/8	511/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	266								
33	33	64	64	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	267								
33	33	519/8	519/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	268								
33	33	65	65	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	269								
33	33	527/8	527/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	270								
33	33	64	64	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	271								
33	33	519/8	519/8	0.125		7/32	7/32	Chord	2/4	2	1	1/32		1/32	1	272								
33	33	65	65	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	273								
33	33	527/8	527/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	274								
34	34	66	66	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	275								
34	34	543/8	543/8	0.0		15/32	15/32	Dynamic	2/4	1	1	0						ff						
34	34	543/8	543/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	276	ff							
34	34	66	66	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	277								
34	34	543/8	543/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	278								
35	35	68	68	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	279			articStaccatoAbove					
35	35	137/2	137/2	0.0		1/8	1/8	Dynamic	2/4	1	1	0						p						
35	35	137/2	137/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	280	p		articStaccatoBelow					
35	35	275/4	275/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	281			articStaccatoBelow					
35	35	69	69	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	282			articStaccatoBelow					
35	35	277/4	277/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	283			articStaccatoBelow					
35	35	139/2	139/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	284			articStaccatoBelow					
35	35	279/4	279/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	285			articStaccatoBelow					
35	35	68	68	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	286			articStaccatoBelow					
35	35	137/2	137/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	287			articStaccatoAbove					
35	35	275/4	275/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	288			articStaccatoAbove					
35	35	69	69	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	289			articStaccatoAbove					
35	35	277/4	277/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	290			articStaccatoAbove					
35	35	139/2	139/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	291			articStaccatoAbove					
35	35	279/4	279/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	292			articStaccatoAbove					
36	36	70	70	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	293			articStaccatoBelow					
36	36	281/4	281/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	294			articStaccatoBelow					
36	36	141/2	141/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	295			articStaccatoBelow					
36	36	283/4	283/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	296			articStaccatoBelow					
36	36	71	71	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	297			articStaccatoBelow					
36	36	285/4	285/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	298			articStaccatoBelow					
36	36	143/2	143/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	299			articStaccatoBelow					
36	36	287/4	287/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	300			articStaccatoBelow					
36	36	70	70	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	301			articStaccatoAbove					
36	36	281/4	281/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	302			articStaccatoAbove					
36	36	141/2	141/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	303			articStaccatoAbove					
36	36	283/4	283/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	304			articStaccatoAbove					
36	36	71	71	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	305			articStaccatoAbove					
36	36	285/4	285/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	306			articStaccatoAbove					
36	36	143/2	143/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	307			articStaccatoAbove					
36	36	287/4	287/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	308			articStaccatoAbove					
37	37	72	72	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	309			articStaccatoBelow					
37	37	289/4	289/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	310			articStaccatoBelow					
37	37	145/2	145/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	311			articStaccatoBelow					
37	37	291/4	291/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	312			articStaccatoBelow					
37	37	73	73	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	313			articStaccatoAbove					
37	37	293/4	293/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	314			articStaccatoAbove					
37	37	147/2	147/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	315			articStaccatoAbove					
37	37	295/4	295/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	316			articStaccatoAbove					
37	37	72	72	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	317			articStaccatoAbove					
37	37	289/4	289/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	318			articStaccatoAbove					
37	37	145/2	145/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	319			articStaccatoAbove					
37	37	291/4	291/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	320			articStaccatoAbove					
37	37	73	73	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	321			articStaccatoBelow					
37	37	293/4	293/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	322			articStaccatoBelow					
37	37	147/2	147/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	323			articStaccatoBelow					
37	37	295/4	295/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	324			articStaccatoBelow					
38	38	74	74	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	325			articStaccatoAbove					
38	38	297/4	297/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	326			articStaccatoAbove					
38	38	149/2	149/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	327			articStaccatoAbove					
38	38	299/4	299/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	328			articStaccatoAbove					
38	38	75	75	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	329			articStaccatoAbove					
38	38	301/4	301/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	330			articStaccatoAbove					
38	38	151/2	151/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	331			articStaccatoAbove					
38	38	303/4	303/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	332			articStaccatoAbove					
38	38	74	74	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	333			articStaccatoBelow					
38	38	297/4	297/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	334			articStaccatoBelow					
38	38	149/2	149/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	335			articStaccatoBelow					
38	38	299/4	299/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	336			articStaccatoBelow					
38	38	75	75	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	337			articStaccatoBelow					
38	38	301/4	301/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	338			articStaccatoBelow					
38	38	151/2	151/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	339			articStaccatoBelow					
38	38	303/4	303/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	340			articStaccatoBelow					
39	39	76	76	0.0		0	0	Dynamic	2/4	1	1	0						ff						
39	39	76	76	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	341	ff							
39	39	153/2	153/2	0.0		1/8	1/8	Dynamic	2/4	1	1	0						p						
39	39	153/2	153/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	342	p		articStaccatoAbove					
39	39	307/4	307/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	343			articStaccatoAbove					
39	39	77	77	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	344			articStaccatoAbove					
39	39	309/4	309/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	345			articStaccatoAbove					
39	39	155/2	155/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	346			articStaccatoAbove					
39	39	311/4	311/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	347			articStaccatoAbove					
39	39	76	76	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	348								
39	39	153/2	153/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	349			articStaccatoBelow					
39	39	307/4	307/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	350			articStaccatoBelow					
39	39	77	77	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	351			articStaccatoBelow					
39	39	309/4	309/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	352			articStaccatoBelow					
39	39	155/2	155/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	353			articStaccatoBelow					
39	39	311/4	311/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	354			articStaccatoBelow					
40	40	78	78	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	355			articStaccatoAbove					
40	40	313/4	313/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	356			articStaccatoAbove					
40	40	157/2	157/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	357			articStaccatoAbove					
40	40	315/4	315/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	358			articStaccatoAbove					
40	40	79	79	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	359			articStaccatoAbove					
40	40	317/4	317/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	360			articStaccatoAbove					
40	40	159/2	159/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	361								
40	40	319/4	319/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	362			articStaccatoAbove					
40	40	78	78	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	363			articStaccatoBelow					
40	40	313/4	313/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	364			articStaccatoBelow					
40	40	157/2	157/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	365			articStaccatoBelow					
40	40	315/4	315/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	366			articStaccatoBelow					
40	40	79	79	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	367			articStaccatoBelow					
40	40	317/4	317/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	368			articStaccatoBelow					
40	40	159/2	159/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	369			articStaccatoBelow					
40	40	319/4	319/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	370			articStaccatoBelow					
41	41	80	80	0.0		0	0	Spanner	2/4	1	1	0									1			
41	41	80	80	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	371	<		articStaccatoAbove		1			
41	41	321/4	321/4	0.0		1/16	1/16	Spanner	2/4	1	1	0												
41	41	321/4	321/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	372			articStaccatoAbove					
41	41	161/2	161/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	373			articStaccatoAbove					
41	41	323/4	323/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	374			articStaccatoAbove					
41	41	81	81	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	375			articStaccatoAbove					
41	41	325/4	325/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	376			articStaccatoAbove					
41	41	163/2	163/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	377			articStaccatoAbove					
41	41	327/4	327/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	378			articStaccatoAbove					
41	41	80	80	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	379			articStaccatoBelow					
41	41	321/4	321/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	380			articStaccatoBelow					
41	41	161/2	161/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	381			articStaccatoBelow					
41	41	323/4	323/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	382								
41	41	81	81	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	383			articStaccatoBelow					
41	41	325/4	325/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	384			articStaccatoBelow					
41	41	163/2	163/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	385			articStaccatoBelow					
41	41	327/4	327/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	386			articStaccatoBelow					
42	42	82	82	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	387			articStaccatoAbove					
42	42	329/4	329/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	388			articStaccatoAbove					
42	42	165/2	165/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	389			articStaccatoAbove					
42	42	331/4	331/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	390			articStaccatoAbove					
42	42	83	83	0.0		1/4	1/4	Spanner	2/4	1	1	0												2
42	42	83	83	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	391			articStaccatoAbove					2
42	42	333/4	333/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	392			articStaccatoAbove					2
42	42	167/2	167/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	393			articStaccatoAbove					2
42	42	335/4	335/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	394			articStaccatoAbove					2
42	42	82	82	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	395			articStaccatoAbove					
42	42	329/4	329/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	396			articStaccatoAbove					
42	42	165/2	165/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	397			articStaccatoAbove					
42	42	331/4	331/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	398			articStaccatoAbove					
42	42	83	83	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	399			articStaccatoAbove					
42	42	333/4	333/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	400			articStaccatoAbove					
42	42	167/2	167/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	401			articStaccatoAbove					
42	42	671/8	671/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	402			articStaccatoAbove					
43	43	84	84	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	403			articStaccatoAbove					2
43	43	337/4	337/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	404			articStaccatoAbove					2
43	43	169/2	169/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	405			articStaccatoAbove					2
43	43	339/4	339/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	406			articStaccatoAbove					2
43	43	85	85	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	407			articStaccatoAbove					2
43	43	341/4	341/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	408			articStaccatoAbove					2
43	43	171/2	171/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	409			articStaccatoAbove					2
43	43	343/4	343/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	410			articStaccatoAbove					2
43	43	84	84	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	411			articStaccatoAbove					
43	43	679/8	679/8	0.125		7/32	7/32	Chord	2/4	2	1	1/32		1/32	1	412								
43	43	85	85	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	413			articStaccatoAbove					
43	43	687/8	687/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	414			articStaccatoAbove					
44	44	86	86	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	415	>		articStaccatoAbove					2
44	44	345/4	345/4	0.0		1/16	1/16	Spanner	2/4	1	1	0												
44	44	345/4	345/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	416			articStaccatoAbove					
44	44	173/2	173/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	417			articStaccatoAbove					
44	44	347/4	347/4	0.0		3/16	3/16	Spanner	2/4	1	1	0										3		
44	44	347/4	347/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	418			articStaccatoAbove			3		
44	44	87	87	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	419			articStaccatoAbove			3		
44	44	349/4	349/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	420			articStaccatoAbove			3		
44	44	175/2	175/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	421			articStaccatoAbove			3		
44	44	351/4	351/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	422			articStaccatoAbove			3		
44	44	86	86	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	423			articStaccatoAbove					
44	44	695/8	695/8	0.125		7/32	7/32	Chord	2/4	2	1	1/32		1/32	1	424								
44	44	87	87	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	425			articStaccatoAbove					
44	44	703/8	703/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	426			articStaccatoAbove					
45	45	88	88	0.0		0	0	Spanner	2/4	1	1	0												
45	45	88	88	0.0		0	0	Spanner	2/4	1	1	0												3
45	45	88	88	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	427	<		articStaccatoAbove					3
45	45	353/4	353/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	428			articStaccatoAbove					3
45	45	177/2	177/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	429			articStaccatoAbove					3
45	45	355/4	355/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	430			articStaccatoAbove					3
45	45	89	89	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	431			articStaccatoAbove					3
45	45	357/4	357/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	432			articStaccatoAbove					3
45	45	179/2	179/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	433			articStaccatoAbove					3
45	45	359/4	359/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	434			articStaccatoAbove					3
45	45	88	88	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	435			articStaccatoAbove					
45	45	711/8	711/8	0.125		7/32	7/32	Chord	2/4	2	1	1/32		1/32	1	436								
45	45	89	89	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	437			articStaccatoAbove					
45	45	719/8	719/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	438			articStaccatoAbove					
46	46	90	90	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	439	>		articStaccatoAbove					3
46	46	361/4	361/4	0.0		1/16	1/16	Spanner	2/4	1	1	0												
46	46	361/4	361/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	440			articStaccatoAbove					
46	46	181/2	181/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	441			articStaccatoAbove					
46	46	363/4	363/4	0.0		3/16	3/16	Spanner	2/4	1	1	0										4		
46	46	363/4	363/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	442			articStaccatoAbove			4		
46	46	91	91	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	443			articStaccatoAbove			4		
46	46	365/4	365/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	444			articStaccatoAbove			4		
46	46	183/2	183/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	445			articStaccatoAbove			4		
46	46	367/4	367/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	446			articStaccatoAbove			4		
46	46	90	90	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	447			articStaccatoAbove					
46	46	727/8	727/8	0.125		7/32	7/32	Chord	2/4	2	1	1/32		1/32	1	448								
46	46	91	91	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	449								
46	46	735/8	735/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	450			articStaccatoAbove					
47	47	92	92	0.0		0	0	Spanner	2/4	1	1	0												
47	47	92	92	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	451	<		articStaccatoAbove					
47	47	369/4	369/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	452			articStaccatoAbove					
47	47	185/2	185/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	453			articStaccatoAbove					
47	47	371/4	371/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	454			articStaccatoAbove					
47	47	93	93	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	455	>		articStaccatoAbove					
47	47	373/4	373/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	456			articStaccatoAbove					
47	47	187/2	187/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	457			articStaccatoAbove					
47	47	375/4	375/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	458			articStaccatoAbove					
47	47	92	92	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	459			articStaccatoAbove					
47	47	743/8	743/8	0.125		7/32	7/32	Chord	2/4	2	1	1/32		1/32	1	460								
47	47	93	93	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	461			articStaccatoAbove					
47	47	751/8	751/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	462			articStaccatoAbove					
48	48	94	94	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	463	<		articStaccatoAbove					
48	48	377/4	377/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	464			articStaccatoAbove					
48	48	189/2	189/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	465			articStaccatoAbove					
48	48	379/4	379/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	466			articStaccatoAbove					
48	48	95	95	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	467	>		articStaccatoAbove					
48	48	381/4	381/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	468			articStaccatoAbove					
48	48	191/2	191/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	469			articStaccatoAbove					
48	48	383/4	383/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	470			articStaccatoAbove					
48	48	94	94	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	471			articStaccatoAbove					
48	48	759/8	759/8	0.125		7/32	7/32	Chord	2/4	2	1	1/32		1/32	1	472								
48	48	95	95	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	473			articStaccatoAbove					
48	48	767/8	767/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	474			articStaccatoAbove					
