mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin	decrescendo_hairpin	Trill:trill
66	56	635/6	352/3	0.041666666666666664		1/48	1/48	Chord	12/32	2	1	1/96		1/64	2/3	1273										
66	56	847/8	939/8	0.0		1/32	1/32	Dynamic	12/32	2	1	0						sf								
66	56	847/8	939/8	0.08333333333333333		1/32	1/32	Chord	12/32	2	1	1/48		1/32	2/3	1274										
66	56	2543/24	2819/24	0.041666666666666664		5/96	5/96	Chord	12/32	2	1	1/96		1/64	2/3	1275										
66	56	106	235/2	0.08333333333333333		1/16	1/16	Chord	12/32	2	1	1/48		1/32	2/3	1276										
66	56	1273/12	1411/12	0.041666666666666664		1/12	1/12	Chord	12/32	2	1	1/96		1/64	2/3	1277										
66	56	849/8	941/8	0.08333333333333333		3/32	3/32	Chord	12/32	2	1	1/48		1/32	2/3	1278										
66	56	2549/24	2825/24	0.041666666666666664		11/96	11/96	Chord	12/32	2	1	1/96		1/64	2/3	1279										
66	56	425/4	471/4	0.08333333333333333		1/8	1/8	Chord	12/32	2	1	1/48		1/32	2/3	1280										
66	56	319/3	707/6	0.041666666666666664		7/48	7/48	Chord	12/32	2	1	1/96		1/64	2/3	1281										
66	56	851/8	943/8	0.08333333333333333		5/32	5/32	Chord	12/32	2	1	1/48		1/32	2/3	1282										
66	56	2555/24	2831/24	0.041666666666666664		17/96	17/96	Chord	12/32	2	1	1/96		1/64	2/3	1283										
66	56	213/2	118	0.08333333333333333		3/16	3/16	Chord	12/32	2	1	1/48		1/32	2/3	1284										
66	56	1279/12	1417/12	0.041666666666666664		5/24	5/24	Chord	12/32	2	1	1/96		1/64	2/3	1285										
66	56	853/8	945/8	0.08333333333333333		7/32	7/32	Chord	12/32	2	1	1/48		1/32	2/3	1286										
66	56	2561/24	2837/24	0.041666666666666664		23/96	23/96	Chord	12/32	2	1	1/96		1/64	2/3	1287										
66	56	427/4	473/4	0.08333333333333333		1/4	1/4	Chord	12/32	2	1	1/48		1/32	2/3	1288										
66	56	641/6	355/3	0.041666666666666664		13/48	13/48	Chord	12/32	2	1	1/96		1/64	2/3	1289										
66	56	855/8	947/8	0.08333333333333333		9/32	9/32	Chord	12/32	2	1	1/48		1/32	2/3	1290										
66	56	2567/24	2843/24	0.041666666666666664		29/96	29/96	Chord	12/32	2	1	1/96		1/64	2/3	1291										
66	56	107	237/2	0.08333333333333333		5/16	5/16	Chord	12/32	2	1	1/48		1/32	2/3	1292										
66	56	1285/12	1423/12	0.041666666666666664		1/3	1/3	Chord	12/32	2	1	1/96		1/64	2/3	1293										
66	56	857/8	949/8	0.08333333333333333		11/32	11/32	Chord	12/32	2	1	1/48		1/32	2/3	1294										
66	56	2573/24	2849/24	0.041666666666666664		35/96	35/96	Chord	12/32	2	1	1/96		1/64	2/3	1295										
67	56		475/4	0.125	1	0	0	Chord	12/32	1	1	1/32		1/32	1	1296										
67	56		951/8	0.08333333333333333	1	1/32	1/32	Chord	12/32	1	1	1/48		1/32	2/3	1297										
67	56		2855/24	0.041666666666666664	1	5/96	5/96	Chord	12/32	1	1	1/96		1/64	2/3	1298										
67	56		119	0.125	1	1/16	1/16	Chord	12/32	1	1	1/32		1/32	1	1299										
67	56		953/8	0.08333333333333333	1	3/32	3/32	Chord	12/32	1	1	1/48		1/32	2/3	1300										
67	56		2861/24	0.041666666666666664	1	11/96	11/96	Chord	12/32	1	1	1/96		1/64	2/3	1301										
67	56		477/4	0.125	1	1/8	1/8	Chord	12/32	1	1	1/32		1/32	1	1302										
67	56		955/8	0.08333333333333333	1	5/32	5/32	Chord	12/32	1	1	1/48		1/32	2/3	1303										
67	56		2867/24	0.041666666666666664	1	17/96	17/96	Chord	12/32	1	1	1/96		1/64	2/3	1304				98						
67	56		239/2	0.08333333333333333	1	3/16	3/16	Chord	12/32	1	1	1/48		1/32	2/3	1305				98						
67	56		1435/12	0.041666666666666664	1	5/24	5/24	Chord	12/32	1	1	1/96		1/64	2/3	1306				98						
67	56		957/8	0.08333333333333333	1	7/32	7/32	Chord	12/32	1	1	1/48		1/32	2/3	1307				98						
67	56		2873/24	0.041666666666666664	1	23/96	23/96	Chord	12/32	1	1	1/96		1/64	2/3	1308										
67	56		475/4	0.08333333333333333	1	0	0	Chord	12/32	1	2	1/48		1/32	2/3	1309				99						
67	56		713/6	0.041666666666666664	1	1/48	1/48	Chord	12/32	1	2	1/96		1/64	2/3	1310				99						
67	56		951/8	0.08333333333333333	1	1/32	1/32	Chord	12/32	1	2	1/48		1/32	2/3	1311										
67	56		2855/24	0.041666666666666664	1	5/96	5/96	Chord	12/32	1	2	1/96		1/64	2/3	1312				100						
67	56		119	0.08333333333333333	1	1/16	1/16	Chord	12/32	1	2	1/48		1/32	2/3	1313				100						
67	56		1429/12	0.041666666666666664	1	1/12	1/12	Chord	12/32	1	2	1/96		1/64	2/3	1314				100						
67	56		953/8	0.08333333333333333	1	3/32	3/32	Chord	12/32	1	2	1/48		1/32	2/3	1315										
67	56		2861/24	0.041666666666666664	1	11/96	11/96	Chord	12/32	1	2	1/96		1/64	2/3	1316				101						
67	56		477/4	0.08333333333333333	1	1/8	1/8	Chord	12/32	1	2	1/48		1/32	2/3	1317				101						
67	56		358/3	0.041666666666666664	1	7/48	7/48	Chord	12/32	1	2	1/96		1/64	2/3	1318				101						
67	56		955/8	0.08333333333333333	1	5/32	5/32	Chord	12/32	1	2	1/48		1/32	2/3	1319										
67	56		2867/24	0.041666666666666664	1	17/96	17/96	Chord	12/32	1	2	1/96		1/64	2/3	1320										
67	56		475/4	0.08333333333333333	1	0	0	Chord	12/32	2	1	1/48		1/32	2/3	1321				102						
67	56		713/6	0.041666666666666664	1	1/48	1/48	Chord	12/32	2	1	1/96		1/64	2/3	1322				102						
67	56		951/8	0.08333333333333333	1	1/32	1/32	Chord	12/32	2	1	1/48		1/32	2/3	1323										
67	56		2855/24	0.041666666666666664	1	5/96	5/96	Chord	12/32	2	1	1/96		1/64	2/3	1324				103						
67	56		119	0.08333333333333333	1	1/16	1/16	Chord	12/32	2	1	1/48		1/32	2/3	1325				103						
67	56		1429/12	0.041666666666666664	1	1/12	1/12	Chord	12/32	2	1	1/96		1/64	2/3	1326				103						
67	56		953/8	0.08333333333333333	1	3/32	3/32	Chord	12/32	2	1	1/48		1/32	2/3	1327										
67	56		2861/24	0.041666666666666664	1	11/96	11/96	Chord	12/32	2	1	1/96		1/64	2/3	1328				104						
67	56		477/4	0.08333333333333333	1	1/8	1/8	Chord	12/32	2	1	1/48		1/32	2/3	1329				104						
67	56		358/3	0.041666666666666664	1	7/48	7/48	Chord	12/32	2	1	1/96		1/64	2/3	1330				104						
67	56		955/8	0.08333333333333333	1	5/32	5/32	Chord	12/32	2	1	1/48		1/32	2/3	1331										
67	56		2867/24	0.041666666666666664	1	17/96	17/96	Chord	12/32	2	1	1/96		1/64	2/3	1332				105						
67	56		239/2	0.08333333333333333	1	3/16	3/16	Chord	12/32	2	1	1/48		1/32	2/3	1333				105						
67	56		1435/12	0.041666666666666664	1	5/24	5/24	Chord	12/32	2	1	1/96		1/64	2/3	1334				105						
67	56		957/8	0.08333333333333333	1	7/32	7/32	Chord	12/32	2	1	1/48		1/32	2/3	1335				105						
67	56		2873/24	0.041666666666666664	1	23/96	23/96	Chord	12/32	2	1	1/96		1/64	2/3	1336										
68	56	429/4	479/4	0.125	2	0	0	Chord	12/32	1	1	1/32		1/32	1	1337										
68	56	859/8	959/8	0.08333333333333333	2	1/32	1/32	Chord	12/32	1	1	1/48		1/32	2/3	1338										
68	56	2579/24	2879/24	0.041666666666666664	2	5/96	5/96	Chord	12/32	1	1	1/96		1/64	2/3	1339										
68	56	215/2	120	0.125	2	1/16	1/16	Chord	12/32	1	1	1/32		1/32	1	1340										
68	56	861/8	961/8	0.08333333333333333	2	3/32	3/32	Chord	12/32	1	1	1/48		1/32	2/3	1341										
68	56	2585/24	2885/24	0.041666666666666664	2	11/96	11/96	Chord	12/32	1	1	1/96		1/64	2/3	1342										
68	56	431/4	481/4	0.125	2	1/8	1/8	Chord	12/32	1	1	1/32		1/32	1	1343										
68	56	863/8	963/8	0.08333333333333333	2	5/32	5/32	Chord	12/32	1	1	1/48		1/32	2/3	1344										
68	56	2591/24	2891/24	0.041666666666666664	2	17/96	17/96	Chord	12/32	1	1	1/96		1/64	2/3	1345										
68	56	108	241/2	0.125	2	3/16	3/16	Chord	12/32	1	1	1/32		1/32	1	1346										
68	56	865/8	965/8	0.08333333333333333	2	7/32	7/32	Chord	12/32	1	1	1/48		1/32	2/3	1347										
68	56	2597/24	2897/24	0.041666666666666664	2	23/96	23/96	Chord	12/32	1	1	1/96		1/64	2/3	1348				106						
68	56	433/4	483/4	0.08333333333333333	2	1/4	1/4	Chord	12/32	1	1	1/48		1/32	2/3	1349				106						
68	56	325/3	725/6	0.041666666666666664	2	13/48	13/48	Chord	12/32	1	1	1/96		1/64	2/3	1350				106						
68	56	867/8	967/8	0.08333333333333333	2	9/32	9/32	Chord	12/32	1	1	1/48		1/32	2/3	1351										
68	56	2603/24	2903/24	0.041666666666666664	2	29/96	29/96	Chord	12/32	1	1	1/96		1/64	2/3	1352										
68	56	217/2	121	0.08333333333333333	2	5/16	5/16	Chord	12/32	1	1	1/48		1/32	2/3	1353										
68	56	1303/12	1453/12	0.041666666666666664	2	1/3	1/3	Chord	12/32	1	1	1/96		1/64	2/3	1354										
68	56	869/8	969/8	0.08333333333333333	2	11/32	11/32	Chord	12/32	1	1	1/48		1/32	2/3	1355										
68	56	2609/24	2909/24	0.041666666666666664	2	35/96	35/96	Chord	12/32	1	1	1/96		1/64	2/3	1356										
68	56	429/4	479/4	0.08333333333333333	2	0	0	Chord	12/32	1	2	1/48		1/32	2/3	1357				107						
68	56	322/3	719/6	0.041666666666666664	2	1/48	1/48	Chord	12/32	1	2	1/96		1/64	2/3	1358				107						
68	56	859/8	959/8	0.08333333333333333	2	1/32	1/32	Chord	12/32	1	2	1/48		1/32	2/3	1359										
68	56	2579/24	2879/24	0.041666666666666664	2	5/96	5/96	Chord	12/32	1	2	1/96		1/64	2/3	1360				108						
68	56	215/2	120	0.08333333333333333	2	1/16	1/16	Chord	12/32	1	2	1/48		1/32	2/3	1361				108						
68	56	1291/12	1441/12	0.041666666666666664	2	1/12	1/12	Chord	12/32	1	2	1/96		1/64	2/3	1362										
68	56	861/8	961/8	0.08333333333333333	2	3/32	3/32	Chord	12/32	1	2	1/48		1/32	2/3	1363										
68	56	2585/24	2885/24	0.041666666666666664	2	11/96	11/96	Chord	12/32	1	2	1/96		1/64	2/3	1364				109						
68	56	431/4	481/4	0.08333333333333333	2	1/8	1/8	Chord	12/32	1	2	1/48		1/32	2/3	1365				109						
68	56	647/6	361/3	0.041666666666666664	2	7/48	7/48	Chord	12/32	1	2	1/96		1/64	2/3	1366				109						
68	56	863/8	963/8	0.08333333333333333	2	5/32	5/32	Chord	12/32	1	2	1/48		1/32	2/3	1367										
68	56	2591/24	2891/24	0.041666666666666664	2	17/96	17/96	Chord	12/32	1	2	1/96		1/64	2/3	1368				110						
68	56	108	241/2	0.08333333333333333	2	3/16	3/16	Chord	12/32	1	2	1/48		1/32	2/3	1369				110						
68	56	1297/12	1447/12	0.041666666666666664	2	5/24	5/24	Chord	12/32	1	2	1/96		1/64	2/3	1370				110						
68	56	865/8	965/8	0.08333333333333333	2	7/32	7/32	Chord	12/32	1	2	1/48		1/32	2/3	1371										
68	56	2597/24	2897/24	0.041666666666666664	2	23/96	23/96	Chord	12/32	1	2	1/96		1/64	2/3	1372										
68	56	433/4	483/4	0.08333333333333333	2	1/4	1/4	Chord	12/32	1	2	1/48		1/32	2/3	1373										
68	56	325/3	725/6	0.041666666666666664	2	13/48	13/48	Chord	12/32	1	2	1/96		1/64	2/3	1374										
68	56	867/8	967/8	0.08333333333333333	2	9/32	9/32	Chord	12/32	1	2	1/48		1/32	2/3	1375										
68	56	217/2	121	0.08333333333333333	2	5/16	5/16	Chord	12/32	1	2	1/48		1/32	2/3	1376										
68	56	1303/12	1453/12	0.041666666666666664	2	1/3	1/3	Chord	12/32	1	2	1/96		1/64	2/3	1377										
68	56	869/8	969/8	0.08333333333333333	2	11/32	11/32	Chord	12/32	1	2	1/48		1/32	2/3	1378										
68	56	2609/24	2909/24	0.041666666666666664	2	35/96	35/96	Chord	12/32	1	2	1/96		1/64	2/3	1379										
68	56	429/4	479/4	0.08333333333333333	2	0	0	Chord	12/32	2	1	1/48		1/32	2/3	1380				111						
68	56	322/3	719/6	0.041666666666666664	2	1/48	1/48	Chord	12/32	2	1	1/96		1/64	2/3	1381				111						
68	56	859/8	959/8	0.08333333333333333	2	1/32	1/32	Chord	12/32	2	1	1/48		1/32	2/3	1382										
68	56	2579/24	2879/24	0.041666666666666664	2	5/96	5/96	Chord	12/32	2	1	1/96		1/64	2/3	1383				112						
68	56	215/2	120	0.08333333333333333	2	1/16	1/16	Chord	12/32	2	1	1/48		1/32	2/3	1384				112						
68	56	1291/12	1441/12	0.041666666666666664	2	1/12	1/12	Chord	12/32	2	1	1/96		1/64	2/3	1385				112						
68	56	861/8	961/8	0.08333333333333333	2	3/32	3/32	Chord	12/32	2	1	1/48		1/32	2/3	1386										
68	56	2585/24	2885/24	0.041666666666666664	2	11/96	11/96	Chord	12/32	2	1	1/96		1/64	2/3	1387				113						
68	56	431/4	481/4	0.08333333333333333	2	1/8	1/8	Chord	12/32	2	1	1/48		1/32	2/3	1388				113						
68	56	647/6	361/3	0.041666666666666664	2	7/48	7/48	Chord	12/32	2	1	1/96		1/64	2/3	1389				113						
68	56	863/8	963/8	0.08333333333333333	2	5/32	5/32	Chord	12/32	2	1	1/48		1/32	2/3	1390										
68	56	2591/24	2891/24	0.041666666666666664	2	17/96	17/96	Chord	12/32	2	1	1/96		1/64	2/3	1391				114						
68	56	108	241/2	0.08333333333333333	2	3/16	3/16	Chord	12/32	2	1	1/48		1/32	2/3	1392				114						
68	56	1297/12	1447/12	0.041666666666666664	2	5/24	5/24	Chord	12/32	2	1	1/96		1/64	2/3	1393				114						
68	56	865/8	965/8	0.08333333333333333	2	7/32	7/32	Chord	12/32	2	1	1/48		1/32	2/3	1394										
68	56	2597/24	2897/24	0.041666666666666664	2	23/96	23/96	Chord	12/32	2	1	1/96		1/64	2/3	1395				115						
68	56	433/4	483/4	0.08333333333333333	2	1/4	1/4	Chord	12/32	2	1	1/48		1/32	2/3	1396				115						
68	56	325/3	725/6	0.041666666666666664	2	13/48	13/48	Chord	12/32	2	1	1/96		1/64	2/3	1397				115						
68	56	867/8	967/8	0.08333333333333333	2	9/32	9/32	Chord	12/32	2	1	1/48		1/32	2/3	1398										
68	56	217/2	121	0.08333333333333333	2	5/16	5/16	Chord	12/32	2	1	1/48		1/32	2/3	1399										
68	56	1303/12	1453/12	0.041666666666666664	2	1/3	1/3	Chord	12/32	2	1	1/96		1/64	2/3	1400				116						
68	56	869/8	969/8	0.08333333333333333	2	11/32	11/32	Chord	12/32	2	1	1/48		1/32	2/3	1401				116						
68	56	2609/24	2909/24	0.041666666666666664	2	35/96	35/96	Chord	12/32	2	1	1/96		1/64	2/3	1402										
69	57	435/4	485/4	0.0		0	0	Dynamic	12/32	1	1	0						f								
69	57	435/4	485/4	0.125		0	0	Chord	12/32	1	1	1/32		1/32	1	1403										
69	57	871/8	971/8	0.08333333333333333		1/32	1/32	Chord	12/32	1	1	1/48		1/32	2/3	1404										
69	57	2615/24	2915/24	0.041666666666666664		5/96	5/96	Chord	12/32	1	1	1/96		1/64	2/3	1405										
69	57	109	243/2	0.125		1/16	1/16	Chord	12/32	1	1	1/32		1/32	1	1406										
69	57	873/8	973/8	0.08333333333333333		3/32	3/32	Chord	12/32	1	1	1/48		1/32	2/3	1407										
69	57	2621/24	2921/24	0.041666666666666664		11/96	11/96	Chord	12/32	1	1	1/96		1/64	2/3	1408										
69	57	437/4	487/4	0.0		1/8	1/8	Dynamic	12/32	1	1	0						p								
69	57	437/4	487/4	0.08333333333333333		1/8	1/8	Chord	12/32	1	1	1/48		1/32	2/3	1409										
69	57	328/3	731/6	0.041666666666666664		7/48	7/48	Chord	12/32	1	1	1/96		1/64	2/3	1410				117						
69	57	875/8	975/8	0.08333333333333333		5/32	5/32	Chord	12/32	1	1	1/48		1/32	2/3	1411				117						
69	57	2627/24	2927/24	0.041666666666666664		17/96	17/96	Chord	12/32	1	1	1/96		1/64	2/3	1412				117						
69	57	219/2	122	0.08333333333333333		3/16	3/16	Chord	12/32	1	1	1/48		1/32	2/3	1413				117						
69	57	1315/12	1465/12	0.041666666666666664		5/24	5/24	Chord	12/32	1	1	1/96		1/64	2/3	1414				117						
69	57	877/8	977/8	0.08333333333333333		7/32	7/32	Chord	12/32	1	1	1/48		1/32	2/3	1415				117						
69	57	2633/24	2933/24	0.041666666666666664		23/96	23/96	Chord	12/32	1	1	1/96		1/64	2/3	1416				117						
69	57	439/4	489/4	0.08333333333333333		1/4	1/4	Chord	12/32	1	1	1/48		1/32	2/3	1417				117						
69	57	659/6	367/3	0.041666666666666664		13/48	13/48	Chord	12/32	1	1	1/96		1/64	2/3	1418				117						
69	57	879/8	979/8	0.08333333333333333		9/32	9/32	Chord	12/32	1	1	1/48		1/32	2/3	1419				117						
69	57	2639/24	2939/24	0.041666666666666664		29/96	29/96	Chord	12/32	1	1	1/96		1/64	2/3	1420				117						
69	57	110	245/2	0.08333333333333333		5/16	5/16	Chord	12/32	1	1	1/48		1/32	2/3	1421				117						
69	57	1321/12	1471/12	0.041666666666666664		1/3	1/3	Chord	12/32	1	1	1/96		1/64	2/3	1422				117						
69	57	881/8	981/8	0.08333333333333333		11/32	11/32	Chord	12/32	1	1	1/48		1/32	2/3	1423				117						
69	57	2645/24	2945/24	0.041666666666666664		35/96	35/96	Chord	12/32	1	1	1/96		1/64	2/3	1424										
69	57	435/4	485/4	0.08333333333333333		0	0	Chord	12/32	2	1	1/48		1/32	2/3	1425				118						
69	57	653/6	364/3	0.041666666666666664		1/48	1/48	Chord	12/32	2	1	1/96		1/64	2/3	1426				118						
69	57	871/8	971/8	0.08333333333333333		1/32	1/32	Chord	12/32	2	1	1/48		1/32	2/3	1427				118						
69	57	2615/24	2915/24	0.041666666666666664		5/96	5/96	Chord	12/32	2	1	1/96		1/64	2/3	1428				118						
69	57	109	243/2	0.08333333333333333		1/16	1/16	Chord	12/32	2	1	1/48		1/32	2/3	1429				118						
69	57	1309/12	1459/12	0.041666666666666664		1/12	1/12	Chord	12/32	2	1	1/96		1/64	2/3	1430				118						
69	57	873/8	973/8	0.08333333333333333		3/32	3/32	Chord	12/32	2	1	1/48		1/32	2/3	1431				118						
69	57	2621/24	2921/24	0.041666666666666664		11/96	11/96	Chord	12/32	2	1	1/96		1/64	2/3	1432										
69	57	437/4	487/4	0.125		1/8	1/8	Chord	12/32	2	1	1/32		1/32	1	1433										
69	57	875/8	975/8	0.08333333333333333		5/32	5/32	Chord	12/32	2	1	1/48		1/32	2/3	1434										
69	57	2627/24	2927/24	0.041666666666666664		17/96	17/96	Chord	12/32	2	1	1/96		1/64	2/3	1435										
69	57	219/2	122	0.125		3/16	3/16	Chord	12/32	2	1	1/32		1/32	1	1436										
69	57	877/8	977/8	0.08333333333333333		7/32	7/32	Chord	12/32	2	1	1/48		1/32	2/3	1437										
69	57	2633/24	2933/24	0.041666666666666664		23/96	23/96	Chord	12/32	2	1	1/96		1/64	2/3	1438										
69	57	439/4	489/4	0.125		1/4	1/4	Chord	12/32	2	1	1/32		1/32	1	1439										
69	57	879/8	979/8	0.08333333333333333		9/32	9/32	Chord	12/32	2	1	1/48		1/32	2/3	1440										
69	57	2639/24	2939/24	0.041666666666666664		29/96	29/96	Chord	12/32	2	1	1/96		1/64	2/3	1441										
69	57	110	245/2	0.125		5/16	5/16	Chord	12/32	2	1	1/32		1/32	1	1442										
69	57	881/8	981/8	0.08333333333333333		11/32	11/32	Chord	12/32	2	1	1/48		1/32	2/3	1443										
69	57	2645/24	2945/24	0.041666666666666664		35/96	35/96	Chord	12/32	2	1	1/96		1/64	2/3	1444										
70	58	441/4	491/4	0.0		0	0	Dynamic	12/32	1	1	0						f								
70	58	441/4	491/4	0.125		0	0	Chord	12/32	1	1	1/32		1/32	1	1445										
70	58	883/8	983/8	0.08333333333333333		1/32	1/32	Chord	12/32	1	1	1/48		1/32	2/3	1446										
70	58	2651/24	2951/24	0.041666666666666664		5/96	5/96	Chord	12/32	1	1	1/96		1/64	2/3	1447										
70	58	221/2	123	0.125		1/16	1/16	Chord	12/32	1	1	1/32		1/32	1	1448										
70	58	885/8	985/8	0.08333333333333333		3/32	3/32	Chord	12/32	1	1	1/48		1/32	2/3	1449										
70	58	2657/24	2957/24	0.041666666666666664		11/96	11/96	Chord	12/32	1	1	1/96		1/64	2/3	1450										
70	58	443/4	493/4	0.0		1/8	1/8	Dynamic	12/32	1	1	0						p								
70	58	443/4	493/4	0.08333333333333333		1/8	1/8	Chord	12/32	1	1	1/48		1/32	2/3	1451				119						
70	58	665/6	370/3	0.041666666666666664		7/48	7/48	Chord	12/32	1	1	1/96		1/64	2/3	1452				119						
70	58	887/8	987/8	0.08333333333333333		5/32	5/32	Chord	12/32	1	1	1/48		1/32	2/3	1453				119						
70	58	2663/24	2963/24	0.041666666666666664		17/96	17/96	Chord	12/32	1	1	1/96		1/64	2/3	1454				119						
70	58	111	247/2	0.08333333333333333		3/16	3/16	Chord	12/32	1	1	1/48		1/32	2/3	1455				119						
70	58	1333/12	1483/12	0.041666666666666664		5/24	5/24	Chord	12/32	1	1	1/96		1/64	2/3	1456				119						
70	58	889/8	989/8	0.08333333333333333		7/32	7/32	Chord	12/32	1	1	1/48		1/32	2/3	1457				119						
70	58	2669/24	2969/24	0.041666666666666664		23/96	23/96	Chord	12/32	1	1	1/96		1/64	2/3	1458				119						
70	58	445/4	495/4	0.08333333333333333		1/4	1/4	Chord	12/32	1	1	1/48		1/32	2/3	1459				119						
70	58	334/3	743/6	0.041666666666666664		13/48	13/48	Chord	12/32	1	1	1/96		1/64	2/3	1460				119						
70	58	891/8	991/8	0.08333333333333333		9/32	9/32	Chord	12/32	1	1	1/48		1/32	2/3	1461				119						
70	58	2675/24	2975/24	0.041666666666666664		29/96	29/96	Chord	12/32	1	1	1/96		1/64	2/3	1462				119						
70	58	223/2	124	0.08333333333333333		5/16	5/16	Chord	12/32	1	1	1/48		1/32	2/3	1463				119						
70	58	1339/12	1489/12	0.041666666666666664		1/3	1/3	Chord	12/32	1	1	1/96		1/64	2/3	1464				119						
70	58	893/8	993/8	0.08333333333333333		11/32	11/32	Chord	12/32	1	1	1/48		1/32	2/3	1465				119						
70	58	2681/24	2981/24	0.041666666666666664		35/96	35/96	Chord	12/32	1	1	1/96		1/64	2/3	1466										
70	58	441/4	491/4	0.08333333333333333		0	0	Chord	12/32	2	1	1/48		1/32	2/3	1467				120						
70	58	331/3	737/6	0.041666666666666664		1/48	1/48	Chord	12/32	2	1	1/96		1/64	2/3	1468				120						
70	58	883/8	983/8	0.08333333333333333		1/32	1/32	Chord	12/32	2	1	1/48		1/32	2/3	1469				120						
70	58	2651/24	2951/24	0.041666666666666664		5/96	5/96	Chord	12/32	2	1	1/96		1/64	2/3	1470				120						
70	58	221/2	123	0.08333333333333333		1/16	1/16	Chord	12/32	2	1	1/48		1/32	2/3	1471				120						
70	58	1327/12	1477/12	0.041666666666666664		1/12	1/12	Chord	12/32	2	1	1/96		1/64	2/3	1472				120						
70	58	885/8	985/8	0.08333333333333333		3/32	3/32	Chord	12/32	2	1	1/48		1/32	2/3	1473				120						
70	58	2657/24	2957/24	0.041666666666666664		11/96	11/96	Chord	12/32	2	1	1/96		1/64	2/3	1474										
70	58	443/4	493/4	0.125		1/8	1/8	Chord	12/32	2	1	1/32		1/32	1	1475										
70	58	887/8	987/8	0.08333333333333333		5/32	5/32	Chord	12/32	2	1	1/48		1/32	2/3	1476										
70	58	2663/24	2963/24	0.041666666666666664		17/96	17/96	Chord	12/32	2	1	1/96		1/64	2/3	1477										
70	58	111	247/2	0.125		3/16	3/16	Chord	12/32	2	1	1/32		1/32	1	1478										
70	58	889/8	989/8	0.08333333333333333		7/32	7/32	Chord	12/32	2	1	1/48		1/32	2/3	1479										
70	58	2669/24	2969/24	0.041666666666666664		23/96	23/96	Chord	12/32	2	1	1/96		1/64	2/3	1480										
70	58	445/4	495/4	0.125		1/4	1/4	Chord	12/32	2	1	1/32		1/32	1	1481										
70	58	891/8	991/8	0.08333333333333333		9/32	9/32	Chord	12/32	2	1	1/48		1/32	2/3	1482										
70	58	2675/24	2975/24	0.041666666666666664		29/96	29/96	Chord	12/32	2	1	1/96		1/64	2/3	1483										
70	58	223/2	124	0.125		5/16	5/16	Chord	12/32	2	1	1/32		1/32	1	1484										
70	58	893/8	993/8	0.08333333333333333		11/32	11/32	Chord	12/32	2	1	1/48		1/32	2/3	1485										
70	58	2681/24	2981/24	0.041666666666666664		35/96	35/96	Chord	12/32	2	1	1/96		1/64	2/3	1486										
71	59	447/4	497/4	0.0		0	0	Spanner	12/32	1	1	0												16		
71	59	447/4	497/4	0.08333333333333333		0	0	Chord	12/32	1	1	1/48		1/32	2/3	1487				121				16		
71	59	671/6	373/3	0.041666666666666664		1/48	1/48	Chord	12/32	1	1	1/96		1/64	2/3	1488				121				16		
71	59	895/8	995/8	0.08333333333333333		1/32	1/32	Chord	12/32	1	1	1/48		1/32	2/3	1489				121				16		
71	59	2687/24	2987/24	0.041666666666666664		5/96	5/96	Chord	12/32	1	1	1/96		1/64	2/3	1490				121				16		
71	59	112	249/2	0.08333333333333333		1/16	1/16	Chord	12/32	1	1	1/48		1/32	2/3	1491				121				16		
71	59	1345/12	1495/12	0.041666666666666664		1/12	1/12	Chord	12/32	1	1	1/96		1/64	2/3	1492				121				16		
71	59	897/8	997/8	0.08333333333333333		3/32	3/32	Chord	12/32	1	1	1/48		1/32	2/3	1493				121				16		
71	59	2693/24	2993/24	0.041666666666666664		11/96	11/96	Chord	12/32	1	1	1/96		1/64	2/3	1494				121				16		
71	59	449/4	499/4	0.08333333333333333		1/8	1/8	Chord	12/32	1	1	1/48		1/32	2/3	1495				121				16		
71	59	337/3	749/6	0.041666666666666664		7/48	7/48	Chord	12/32	1	1	1/96		1/64	2/3	1496				121				16		
71	59	899/8	999/8	0.08333333333333333		5/32	5/32	Chord	12/32	1	1	1/48		1/32	2/3	1497				121				16		
71	59	2699/24	2999/24	0.041666666666666664		17/96	17/96	Chord	12/32	1	1	1/96		1/64	2/3	1498				121				16		
71	59	225/2	125	0.08333333333333333		3/16	3/16	Chord	12/32	1	1	1/48		1/32	2/3	1499				121				16		
71	59	1351/12	1501/12	0.041666666666666664		5/24	5/24	Chord	12/32	1	1	1/96		1/64	2/3	1500				121				16		
71	59	901/8	1001/8	0.08333333333333333		7/32	7/32	Chord	12/32	1	1	1/48		1/32	2/3	1501				121				16		
71	59	2705/24	3005/24	0.041666666666666664		23/96	23/96	Chord	12/32	1	1	1/96		1/64	2/3	1502				121				16		
71	59	451/4	501/4	0.08333333333333333		1/4	1/4	Chord	12/32	1	1	1/48		1/32	2/3	1503				121				16		
71	59	677/6	376/3	0.041666666666666664		13/48	13/48	Chord	12/32	1	1	1/96		1/64	2/3	1504				121				16		
71	59	903/8	1003/8	0.08333333333333333		9/32	9/32	Chord	12/32	1	1	1/48		1/32	2/3	1505				121				16		
71	59	2711/24	3011/24	0.041666666666666664		29/96	29/96	Chord	12/32	1	1	1/96		1/64	2/3	1506				121				16		
